position,B1_number,B1_gillogly_table1,B1_nara_straight,B1_pamphlet_encoder_key,B1_pamphlet_straight,B3_number,B3_gillogly_table1,B3_nara_straight,B3_pamphlet_encoder_key,B3_pamphlet_straight
1,71,S,S,S,S,317,A,A,A,U
2,194,C,C,B,B,8,I,I,I,I
3,38,S,S,S,S,92,C,C,C,C
4,1701,?,?,?,?,73,H,H,H,H
5,89,E,E,E,E,112,R,R,R,R
6,76,T,T,T,T,89,E,E,E,E
7,11,F,F,F,F,67,I,I,I,I
8,83,A,A,A,A,318,H,H,H,A
9,1629,?,?,?,?,28,A,A,A,A
10,48,G,G,G,G,96,R,R,R,R
11,94,C,C,C,C,107,H,H,H,H
12,63,D,D,D,D,41,T,T,T,T
13,132,O,O,O,O,631,T,O,O,O
14,16,T,T,T,T,78,S,S,S,S
15,111,T,T,T,T,146,T,T,T,T
16,95,U,U,U,I,397,T,T,T,R
17,84,C,C,C,C,118,D,D,D,D
18,341,W,W,W,C,98,A,A,A,A
19,975,O,O,W,I,114,A,A,A,A
20,14,T,T,T,T,246,D,D,D,A
21,40,W,W,W,W,348,L,L,L,T
22,64,T,T,T,T,116,A,A,A,A
23,27,A,A,A,A,74,T,T,T,T
24,81,A,A,A,A,88,A,A,A,A
25,139,I,I,I,I,12,O,O,O,O
26,213,W,W,S,S,65,C,C,C,C
27,63,D,D,D,D,32,T,T,T,T
28,90,B,B,B,B,14,T,T,T,T
29,1120,I,I,T,W,81,A,A,A,A
30,8,I,I,I,I,19,W,W,W,W
31,15,D,D,D,D,76,T,T,T,T
32,3,T,T,T,T,121,P,P,P,P
33,126,T,T,T,T,216,S,S,A,A
34,2018,?,?,?,?,85,E,E,E,E
35,40,W,W,W,W,33,E,E,E,E
36,74,T,T,T,T,66,W,W,W,W
37,758,T,F,A,F,15,D,D,D,D
38,485,A,A,B,F,108,T,T,T,T
39,604,A,T,A,T,68,T,T,T,T
40,230,B,B,A,A,77,B,B,B,B
41,436,B,B,B,L,43,O,O,O,O
42,664,P,C,A,C,24,A,A,A,A
43,582,L,T,D,T,122,F,F,F,F
44,150,A,A,A,A,96,R,R,R,R
45,251,A,A,A,U,117,M,M,M,M
46,284,A,A,A,C,36,A,A,A,A
47,308,B,B,B,G,211,T,T,D,D
48,231,W,W,B,B,301,H,H,H,T
49,124,C,C,C,C,15,D,D,D,D
50,211,T,T,D,D,44,N,N,N,N
51,486,L,L,E,A,11,F,F,F,F
52,225,T,T,F,F,46,O,O,O,O
53,401,F,F,F,L,89,E,E,E,E
54,370,I,I,I,P,18,B,B,B,B
55,11,F,F,F,F,136,O,O,O,O
56,101,L,L,L,L,68,T,T,T,T
57,305,K,K,K,P,317,A,A,A,U
58,139,I,I,I,I,28,A,A,A,A
59,189,L,L,G,G,90,B,B,B,B
60,17,P,P,P,P,82,M,M,M,M
61,33,E,E,E,E,304,P,P,P,T
62,88,A,A,A,A,71,S,S,S,S
63,208,A,A,M,M,43,O,O,O,O
64,193,B,B,N,N,221,B,B,T,T
65,145,P,P,P,P,198,T,T,A,A
66,1,W,W,W,W,176,L,L,M,M
67,94,C,C,C,C,310,A,A,A,I
68,73,H,H,H,H,319,I,I,I,H
69,416,O,O,O,R,81,A,A,A,A
70,918,T,T,O,A,99,T,T,T,T
71,263,O,O,O,T,264,S,S,S,O
72,28,A,A,A,A,380,B,B,B,S
