position,cipher_number,letter_obtained,letter_expected,key_word,key_neighbours_n-2..n+2,plaintext_context
4,807,i,v,i,805=a 806=r 807=i 808=t 809=c,iha[v]edepos
11,647,o,i,o,645=t 646=c 647=o 648=o 649=l,edepos[i]tedint
22,239,p,u,p,237=a 238=u 239=p 240=i 241=t,ntheco[u]ntyofb
25,811,t,y,t,809=c 810=f 811=t 812=a 813=o,ecount[y]ofbedf
27,196,l,f,l,194=c 195=f 196=l 197=a 198=t,ountyo[f]bedfor
31,160,o,f,o,158=i 159=f 160=o 161=s 162=p,yofbed[f]ordabo
34,211,t,d,t,209=m 210=d 211=t 212=s 213=w,bedfor[d]aboutf
39,554,p,t,p,552=r 553=t 554=p 555=o 556=t,rdabou[t]fourmi
55,196,l,f,l,194=c 195=f 196=l 197=a 198=t,frombu[f]ordsin
65,1005,p,x,p,1003=w 1004=h 1005=p 1006=f 1007=r,sinane[x]cavati
68,807,i,v,i,805=a 806=r 807=i 808=t 809=c,anexca[v]ationo
76,807,i,v,i,805=a 806=r 807=i 808=t 809=c,tionor[v]aultsi
83,1005,p,x,p,1003=w 1004=h 1005=p 1006=f 1007=r,aultsi[x]feetbe
86,191,s,e,s,189=l 190=e 191=s 192=n 193=b,tsixfe[e]tbelow
99,196,l,f,l,194=c 195=f 196=l 197=a 198=t,thesur[f]aceoft
102,191,s,e,s,189=l 190=e 191=s 192=n 193=b,surfac[e]oftheg
107,620,h,e,h,618=a 619=s 620=h 621=s 622=o,ceofth[e]ground
109,220,t,r,t,218=t 219=r 220=t 221=b 222=a,oftheg[r]oundth
116,191,s,e,s,189=l 190=e 191=s 192=n 193=b,oundth[e]follow
119,234,t,l,t,232=a 233=l 234=t 235=o 236=a,dthefo[l]lowing
131,158,i,l,i,156=g 157=l 158=i 159=f 160=o,gartic[l]esbelo
132,191,s,e,s,189=l 190=e 191=s 192=n 193=b,articl[e]sbelon
136,197,a,l,a,195=f 196=l 197=a 198=t 199=c,clesbe[l]onging
146,607,o,n,o,605=a 606=p 607=o 608=t 609=s,ingjoi[n]tlytot
149,811,t,y,t,809=c 810=f 811=t 812=a 813=o,jointl[y]tothep
159,159,f,i,f,157=l 158=i 159=f 160=o 161=s,hepart[i]eswhos
166,486,l,e,l,484=f 485=a 486=l 487=t 488=a,eswhos[e]namesa
170,511,f,e,f,509=a 510=l 511=f 512=t 513=e,osenam[e]saregi
173,220,t,r,t,218=t 219=r 220=t 221=b 222=a,namesa[r]egiven
177,807,i,v,i,805=a 806=r 807=i 808=t 809=c,saregi[v]eninnu
179,540,t,n,t,538=p 539=o 540=t 541=s 542=f,regive[n]innumb
191,511,f,e,f,509=a 510=l 511=f 512=t 513=e,berthr[e]eherew
192,548,f,e,f,546=t 547=l 548=f 549=n 550=o,erthre[e]herewi
194,603,t,e,t,601=o 602=a 603=t 604=a 605=a,threeh[e]rewith
195,220,t,r,t,218=t 219=r 220=t 221=b 222=a,hreehe[r]ewitht
203,575,o,e,o,573=t 574=a 575=o 576=j 577=b,withth[e]firstd
218,540,t,n,t,538=p 539=o 540=t 541=s 542=f,ositco[n]sisted
219,217,t,s,t,215=a 216=s 217=t 218=t 219=r,sitcon[s]istedo
223,84,c,e,c,82=m 83=a 84=c 85=e 86=t,onsist[e]doften
231,239,p,u,p,237=a 238=u 239=p 240=i 241=t,oftenh[u]ndreda
232,540,t,n,t,538=p 539=o 540=t 541=s 542=f,ftenhu[n]dredan
240,196,l,f,l,194=c 195=f 196=l 197=a 198=t,redand[f]ourtee
242,239,p,u,p,237=a 238=u 239=p 240=i 241=t,dandfo[u]rteenp
251,557,e,n,e,555=o 556=t 557=e 558=t 559=m,eenpou[n]dsofgo
252,211,t,d,t,209=m 210=d 211=t 212=s 213=w,enpoun[d]sofgol
253,505,r,s,r,503=a 504=h 505=r 506=t 507=t,npound[s]ofgold
261,540,t,n,t,538=p 539=o 540=t 541=s 542=f,fgolda[n]dthirt
264,205,s,h,s,203=e 204=h 205=s 206=t 207=m,ldandt[h]irtyei
268,811,t,y,t,809=c 810=f 811=t 812=a 813=o,dthirt[y]eighth
274,205,s,h,s,203=e 204=h 205=s 206=t 207=m,yeight[h]undred
276,607,o,n,o,605=a 606=p 607=o 608=t 609=s,ighthu[n]dredan
278,220,t,r,t,218=t 219=r 220=t 221=b 222=a,hthund[r]edandt
287,158,i,l,i,156=g 157=l 158=i 159=f 160=o,andtwe[l]vepoun
288,807,i,v,i,805=a 806=r 807=i 808=t 809=c,ndtwel[v]epound
301,807,i,v,i,805=a 806=r 807=i 808=t 809=c,sofsil[v]erdepo
315,807,i,v,i,805=a 806=r 807=i 808=t 809=c,itedno[v]eighte
343,600,t,s,t,598=t 599=o 600=t 601=o 602=a,condwa[s]madede
344,208,a,m,a,206=t 207=m 208=a 209=m 210=d,ondwas[m]adedec
345,230,b,a,b,228=a 229=a 230=b 231=w 232=a,ndwasm[a]dedece
347,191,s,e,s,189=l 190=e 191=s 192=n 193=b,wasmad[e]deceig
351,511,f,e,f,509=a 510=l 511=f 512=t 513=e,adedec[e]ightee
364,811,t,y,t,809=c 810=f 811=t 812=a 813=o,ntwent[y]oneand
367,486,l,e,l,484=f 485=a 486=l 487=t 488=a,entyon[e]andcon
368,230,b,a,b,228=a 229=a 230=b 231=w 232=a,ntyone[a]ndcons
370,211,t,d,t,209=m 210=d 211=t 212=s 213=w,yonean[d]consis
371,200,a,c,a,198=t 199=c 200=a 201=a 202=a,oneand[c]onsist
378,603,t,e,t,601=o 602=a 603=t 604=a 605=a,onsist[e]dofnin
381,666,h,f,h,664=p 665=h 666=h 667=c 668=w,istedo[f]ninete
387,511,f,e,f,509=a 510=l 511=f 512=t 513=e,fninet[e]enhund
388,548,f,e,f,546=t 547=l 548=f 549=n 550=o,ninete[e]nhundr
392,557,e,n,e,555=o 556=t 557=e 558=t 559=m,teenhu[n]dredan
402,807,i,v,i,805=a 806=r 807=i 808=t 809=c,dandse[v]enpoun
412,160,o,f,o,158=i 159=f 160=o 161=s 162=p,oundso[f]goldan
417,230,b,a,b,228=a 229=a 230=b 231=w 232=a,ofgold[a]ndtwel
418,540,t,n,t,538=p 539=o 540=t 541=s 542=f,fgolda[n]dtwelv
424,807,i,v,i,805=a 806=r 807=i 808=t 809=c,ndtwel[v]ehundr
430,220,t,r,t,218=t 219=r 220=t 221=b 222=a,vehund[r]edande
434,540,t,n,t,538=p 539=o 540=t 541=s 542=f,ndreda[n]deight
441,811,t,y,t,809=c 810=f 811=t 812=a 813=o,deight[y]eighto
452,807,i,v,i,805=a 806=r 807=i 808=t 809=c,tofsil[v]eralso
456,158,i,l,i,156=g 157=l 158=i 159=f 160=o,ilvera[l]sojewe
459,581,t,j,t,579=h 580=a 581=t 582=l 583=f,eralso[j]ewelso
477,177,t,l,t,175=m 176=l 177=t 178=e 179=t,edinst[l]ouisin
481,217,t,s,t,215=a 216=s 217=t 218=t 219=r,stloui[s]inexch
485,1005,p,x,p,1003=w 1004=h 1005=p 1006=f 1007=r,uisine[x]change
495,230,b,a,b,228=a 229=a 230=b 231=w 232=a,ngetos[a]vetran
496,807,i,v,i,805=a 806=r 807=i 808=t 809=c,getosa[v]etrans
497,191,s,e,s,189=l 190=e 191=s 192=n 193=b,etosav[e]transp
513,540,t,n,t,538=p 539=o 540=t 541=s 542=f,ationa[n]dvalue
515,807,i,v,i,805=a 806=r 807=i 808=t 809=c,ionand[v]alueda
520,582,l,d,l,580=a 581=t 582=l 583=f 584=e,dvalue[d]atthir
522,643,a,t,a,641=p 642=s 643=a 644=w 645=t,alueda[t]thirte
