position,cipher_number,letter_obtained,letter_expected,key_word,key_neighbours_n-2..n+2,plaintext_context
25,811,f,y,fundamentally,809=and 810=altering 811=fundamentally 812=the 813=powers,ecount[y]ofbedf
42,95,i,u,inalienable,93=with 94=certain 95=inalienable 96=rights 97=that,boutfo[u]rmiles
65,1005,h,x,have,1003=repeated 1004=petitions 1005=have 1006=been 1007=answered,sinane[x]cavati
83,1005,h,x,have,1003=repeated 1004=petitions 1005=have 1006=been 1007=answered,aultsi[x]feetbe
149,811,f,y,fundamentally,809=and 810=altering 811=fundamentally 812=the 813=powers,jointl[y]tothep
157,248,t,r,to,246=a 247=design 248=to 249=reduce 250=them|under,othepa[r]tieswh
206,248,t,r,to,246=a 247=design 248=to 249=reduce 250=them|under,hthefi[r]stdepo
223,84,c,e,created,82=men 83=are 84=created 85=equal 86=that,onsist[e]doften
268,811,f,y,fundamentally,809=and 810=altering 811=fundamentally 812=the 813=powers,dthirt[y]eighth
292,95,i,u,inalienable,93=with 94=certain 95=inalienable 96=rights 97=that,elvepo[u]ndsofs
348,246,a,d,a,244=object 245=evinces 246=a 247=design 248=to,asmade[d]eceigh
364,811,f,y,fundamentally,809=and 810=altering 811=fundamentally 812=the 813=powers,ntwent[y]oneand
393,246,a,d,a,244=object 245=evinces 246=a 247=design 248=to,eenhun[d]redand
441,811,f,y,fundamentally,809=and 810=altering 811=fundamentally 812=the 813=powers,deight[y]eighto
485,1005,h,x,have,1003=repeated 1004=petitions 1005=have 1006=been 1007=answered,uisine[x]change
531,53,r,t,respect,51=a 52=decent 53=respect 54=to 55=the,irteen[t]housan
559,95,i,u,inalienable,93=with 94=certain 95=inalienable 96=rights 97=that,eissec[u]relypa
563,811,f,y,fundamentally,809=and 810=altering 811=fundamentally 812=the 813=powers,ecurel[y]packed
571,108,t,i,that,106=of 107=happiness 108=that 109=to 110=secure,ckedin[i]ronpot
609,811,f,y,fundamentally,809=and 810=altering 811=fundamentally 812=the 813=powers,roughl[y]linedw
666,440,u,w,uncomfortable,438=places 439=unusual 440=uncomfortable 441=and 442=distant,overed[w]ithoth
701,84,c,e,created,82=men 83=are 84=created 85=equal 86=that,ibesth[e]exactl
703,1005,h,x,have,1003=repeated 1004=petitions 1005=have 1006=been 1007=answered,esthee[x]actloc
714,811,f,y,fundamentally,809=and 810=altering 811=fundamentally 812=the 813=powers,ocalit[y]ofthev
722,96,r,u,rights,94=certain 95=inalienable 96=rights 97=that 98=among,ftheva[u]ltsoth
733,246,a,d,a,244=object 245=evinces 246=a 247=design 248=to,thatno[d]ifficu
742,811,f,y,fundamentally,809=and 810=altering 811=fundamentally 812=the 813=powers,ficult[y]willbe
