n,word,initial
1,when,W
2,in,I
3,the,T
4,course,C
5,of,O
6,human,H
7,events,E
8,it,I
9,becomes,B
10,necessary,N
11,for,F
12,one,O
13,people,P
14,to,T
15,dissolve,D
16,the,T
17,political,P
18,bands,B
19,which,W
20,have,H
21,connected,C
22,them,T
23,with,W
24,another,A
25,and,A
26,to,T
27,assume,A
28,among,A
29,the,T
30,powers,P
31,of,O
32,the,T
33,earth,E
34,the,T
35,separate,S
36,and,A
37,equal,E
38,station,S
39,to,T
40,which,W
41,the,T
42,laws,L
43,of,O
44,nature,N
45,and,A
46,of,O
47,nature's,N
48,god,G
49,entitle,E
50,them,T
51,a,A
52,decent,D
53,respect,R
54,to,T
55,the,T
56,opinions,O
57,of,O
58,mankind,M
59,requires,R
60,that,T
61,they,T
62,should,S
63,declare,D
64,the,T
65,causes,C
66,which,W
67,impel,I
68,them,T
69,to,T
70,the,T
71,separation,S
72,we,W
73,hold,H
74,these,T
75,truths,T
76,to,T
77,be,B
78,self,S
79,evident,E
80,that,T
81,all,A
82,men,M
83,are,A
84,created,C
85,equal,E
86,that,T
87,they,T
88,are,A
89,endowed,E
90,by,B
91,their,T
92,creator,C
93,with,W
94,certain,C
95,unalienable,U
96,rights,R
97,that,T
98,among,A
99,these,T
100,are,A
101,life,L
102,liberty,L
103,and,A
104,the,T
105,pursuit,P
106,of,O
107,happiness,H
108,that,T
109,to,T
110,secure,S
111,these,T
112,rights,R
113,governments,G
114,are,A
115,instituted,I
116,among,A
117,men,M
118,deriving,D
119,their,T
120,just,J
121,powers,P
122,from,F
123,the,T
124,consent,C
125,of,O
126,the,T
127,governed,G
128,that,T
129,whenever,W
130,any,A
131,form,F
132,of,O
133,government,G
134,becomes,B
135,destructive,D
136,of,O
137,these,T
138,ends,E
139,it,I
140,is,I
141,the,T
142,right,R
143,of,O
144,the,T
145,people,P
146,to,T
147,alter,A
148,or,O
149,to,T
150,abolish,A
151,it,I
152,and,A
153,to,T
154,institute,I
155,new,N
156,government,G
157,laying,L
158,its,I
159,foundation,F
160,on,O
161,such,S
162,principles,P
163,and,A
164,organizing,O
165,its,I
166,powers,P
167,in,I
168,such,S
169,form,F
170,as,A
171,to,T
172,them,T
173,shall,S
174,seem,S
175,most,M
176,likely,L
177,to,T
178,effect,E
179,their,T
180,safety,S
181,and,A
182,happiness,H
183,prudence,P
184,indeed,I
185,will,W
186,dictate,D
187,that,T
188,governments,G
189,long,L
190,established,E
191,should,S
192,not,N
193,be,B
194,changed,C
195,for,F
196,light,L
197,and,A
198,transient,T
199,causes,C
200,and,A
201,accordingly,A
202,all,A
203,experience,E
204,hath,H
205,shewn,S
206,that,T
207,mankind,M
208,are,A
209,more,M
210,disposed,D
211,to,T
212,suffer,S
213,while,W
214,evils,E
215,are,A
216,sufferable,S
217,than,T
218,to,T
219,right,R
220,themselves,T
221,by,B
222,abolishing,A
223,the,T
224,forms,F
225,to,T
226,which,W
227,they,T
228,are,A
229,accustomed,A
230,but,B
231,when,W
232,a,A
233,long,L
234,train,T
235,of,O
236,abuses,A
237,and,A
238,usurpations,U
239,pursuing,P
240,invariably,I
241,the,T
242,same,S
243,object,O
244,evinces,E
245,a,A
246,design,D
247,to,T
248,reduce,R
249,them,T
250,under,U
251,absolute,A
252,despotism,D
253,it,I
254,is,I
255,their,T
256,right,R
257,it,I
258,is,I
259,their,T
260,duty,D
261,to,T
262,throw,T
263,off,O
264,such,S
265,government,G
266,and,A
267,to,T
268,provide,P
269,new,N
270,guards,G
271,for,F
272,their,T
273,future,F
274,security,S
275,such,S
276,has,H
277,been,B
278,the,T
279,patient,P
280,sufferance,S
281,of,O
282,these,T
283,colonies,C
284,and,A
285,such,S
286,is,I
287,now,N
288,the,T
289,necessity,N
290,which,W
291,constrains,C
292,them,T
293,to,T
294,alter,A
295,their,T
296,former,F
297,systems,S
298,of,O
299,government,G
300,the,T
301,history,H
302,of,O
303,the,T
304,present,P
305,king,K
306,of,O
307,great,G
308,britain,B
309,is,I
310,a,A
311,history,H
312,of,O
313,repeated,R
314,injuries,I
315,and,A
316,usurpations,U
317,all,A
318,having,H
319,in,I
320,direct,D
321,object,O
322,the,T
323,establishment,E
324,of,O
325,an,A
326,absolute,A
327,tyranny,T
328,over,O
329,these,T
330,states,S
331,to,T
332,prove,P
333,this,T
334,let,L
335,facts,F
336,be,B
337,submitted,S
338,to,T
339,a,A
340,candid,C
341,world,W
342,he,H
343,has,H
344,refused,R
345,his,H
346,assent,A
347,to,T
348,laws,L
349,the,T
350,most,M
351,wholesome,W
352,and,A
353,necessary,N
354,for,F
355,the,T
356,public,P
