n,word_forward_count,word_backward_count,candidate_words,candidate_initials,ambiguous,printed_marker,beyond_last_marker
1,when,when,when,W,,yes,
2,in,in,in,I,,yes,
3,the,the,the,T,,yes,
4,course,course,course,C,,yes,
5,of,of,of,O,,yes,
6,human,human,human,H,,yes,
7,events,events,events,E,,yes,
8,it,it,it,I,,yes,
9,becomes,becomes,becomes,B,,yes,
10,necessary,necessary,necessary,N,,yes,
11,for,for,for,F,,,
12,one,one,one,O,,,
13,people,people,people,P,,,
14,to,to,to,T,,,
15,dissolve,dissolve,dissolve,D,,,
16,the,the,the,T,,,
17,political,political,political,P,,,
18,bands,bands,bands,B,,,
19,which,which,which,W,,,
20,have,have,have,H,,yes,
21,connected,connected,connected,C,,,
22,them,them,them,T,,,
23,with,with,with,W,,,
24,another,another,another,A,,,
25,and,and,and,A,,,
26,to,to,to,T,,,
27,assume,assume,assume,A,,,
28,among,among,among,A,,,
29,the,the,the,T,,,
30,powers,powers,powers,P,,yes,
31,of,of,of,O,,,
32,the,the,the,T,,,
33,earth,earth,earth,E,,,
34,the,the,the,T,,,
35,separate,separate,separate,S,,,
36,and,and,and,A,,,
37,equal,equal,equal,E,,,
38,station,station,station,S,,,
39,to,to,to,T,,,
40,which,which,which,W,,yes,
41,the,the,the,T,,,
42,laws,laws,laws,L,,,
43,of,of,of,O,,,
44,nature,nature,nature,N,,,
45,and,and,and,A,,,
46,of,of,of,O,,,
47,nature's,nature's,nature's,N,,,
48,god,god,god,G,,,
49,entitle,entitle,entitle,E,,,
50,them,them,them,T,,yes,
51,a,a,a,A,,,
52,decent,decent,decent,D,,,
53,respect,respect,respect,R,,,
54,to,to,to,T,,,
55,the,the,the,T,,,
56,opinions,opinions,opinions,O,,,
57,of,of,of,O,,,
58,mankind,mankind,mankind,M,,,
59,requires,requires,requires,R,,,
60,that,that,that,T,,yes,
61,they,they,they,T,,,
62,should,should,should,S,,,
63,declare,declare,declare,D,,,
64,the,the,the,T,,,
65,causes,causes,causes,C,,,
66,which,which,which,W,,,
67,impel,impel,impel,I,,,
68,them,them,them,T,,,
69,to,to,to,T,,,
70,the,the,the,T,,yes,
71,separation,separation,separation,S,,,
72,we,we,we,W,,,
73,hold,hold,hold,H,,,
74,these,these,these,T,,,
75,truths,truths,truths,T,,,
76,to,to,to,T,,,
77,be,be,be,B,,,
78,self,self,self,S,,,
79,evident,evident,evident,E,,,
80,that,that,that,T,,yes,
81,all,all,all,A,,,
82,men,men,men,M,,,
83,are,are,are,A,,,
84,created,created,created,C,,,
85,equal,equal,equal,E,,,
86,that,that,that,T,,,
87,they,they,they,T,,,
88,are,are,are,A,,,
89,endowed,endowed,endowed,E,,,
90,by,by,by,B,,yes,
91,their,their,their,T,,,
92,creator,creator,creator,C,,,
93,with,with,with,W,,,
94,certain,certain,certain,C,,,
95,inalienable,inalienable,inalienable,I,,,
96,rights,rights,rights,R,,,
97,that,that,that,T,,,
98,among,among,among,A,,,
99,these,these,these,T,,,
100,are,are,are,A,,yes,
101,life,life,life,L,,,
102,liberty,liberty,liberty,L,,,
103,and,and,and,A,,,
104,the,the,the,T,,,
105,pursuit,pursuit,pursuit,P,,,
106,of,of,of,O,,,
107,happiness,happiness,happiness,H,,,
108,that,that,that,T,,,
109,to,to,to,T,,,
110,secure,secure,secure,S,,yes,
111,their,their,their,T,,,
112,rights,rights,rights,R,,,
113,governments,governments,governments,G,,,
114,are,are,are,A,,,
115,instituted,instituted,instituted,I,,,
116,among,among,among,A,,,
117,men,men,men,M,,,
118,deriving,deriving,deriving,D,,,
119,their,their,their,T,,,
120,just,just,just,J,,yes,
121,powers,powers,powers,P,,,
122,from,from,from,F,,,
123,the,the,the,T,,,
124,consent,consent,consent,C,,,
125,of,of,of,O,,,
126,the,the,the,T,,,
127,governed,governed,governed,G,,,
128,that,that,that,T,,,
129,when,when,when,W,,,
130,any,any,any,A,,yes,
131,form,form,form,F,,,
