term,date,title,url,verified,snippet
grizzlies,1836-01-11,"Image 3 of The Daily Cincinnati Republican, and commercial register (Cincinnati, Ohio), January 11, 1836",http://www.loc.gov/resource/sn84045036/1836-01-11/ed-1/?sp=3,False,
grizzlies,1836-01-23,"Image 3 of The Daily Cincinnati Republican, and commercial register (Cincinnati, Ohio), January 23, 1836",http://www.loc.gov/resource/sn84045036/1836-01-23/ed-1/?sp=3,False,
grizzlies,1836-02-13,"Image 3 of Richmond palladium (Richmond, Wayne County, Ind.), February 13, 1836",http://www.loc.gov/resource/sn82016416/1836-02-13/ed-1/?sp=3,False,
grizzlies,1836-02-20,"Image 4 of Richmond palladium (Richmond, Wayne County, Ind.), February 20, 1836",http://www.loc.gov/resource/sn82016416/1836-02-20/ed-1/?sp=4,False,
grizzlies,1836-02-23,"Image 4 of The New Hampshire gazette (Portsmouth [N.H.]), February 23, 1836",http://www.loc.gov/resource/sn83025588/1836-02-23/ed-1/?sp=4,False,
grizzlies,1836-02-27,"Image 4 of Richmond palladium (Richmond, Wayne County, Ind.), February 27, 1836",http://www.loc.gov/resource/sn82016416/1836-02-27/ed-1/?sp=4,False,
grizzlies,1836-03-01,"Image 1 of The New Hampshire gazette (Portsmouth [N.H.]), March 1, 1836",http://www.loc.gov/resource/sn83025588/1836-03-01/ed-1/?sp=1,False,
grizzlies,1836-03-23,"Image 4 of The Rhode-Island Republican (Newport, R.I.), March 23, 1836",http://www.loc.gov/resource/sn83025561/1836-03-23/ed-1/?sp=4,False,
grizzlies,1836-03-26,"Image 4 of Richmond palladium (Richmond, Wayne County, Ind.), March 26, 1836",http://www.loc.gov/resource/sn82016416/1836-03-26/ed-1/?sp=4,False,
grizzlies,1836-04-13,"Image 4 of Morning star (Limerick, Me.), April 13, 1836",http://www.loc.gov/resource/sn84024361/1836-04-13/ed-1/?sp=4,False,
grizzlies,1836-04-27,"Image 1 of The daily herald (New-Haven [Conn.]), April 27, 1836",http://www.loc.gov/resource/sn82015818/1836-04-27/ed-1/?sp=1,False,
