term,date,title,url,verified,snippet
stampeding,1836-08-12,"Image 2 of The Arkansas advocate (Little Rock, A.T. [Ark.]), August 12, 1836",http://www.loc.gov/resource/sn87062070/1836-08-12/ed-1/?sp=2,False,
stampeding,1839-03-23,"Image 3 of New-Hampshire statesman and state journal (Concord [N.H.]), March 23, 1839",http://www.loc.gov/resource/sn84022931/1839-03-23/ed-1/?sp=3,False,
stampeding,1842-07-08,"Image 2 of Daily Cincinnati Republican (Cincinnati [Ohio]), July 8, 1842",http://www.loc.gov/resource/sn85025798/1842-07-08/ed-1/?sp=2,False,
stampeding,1842-07-12,"Image 1 of Southern Argus (Columbus, Miss.), July 12, 1842",http://www.loc.gov/resource/sn83016884/1842-07-12/ed-1/?sp=1,False,
stampeding,1842-07-19,"Image 1 of Southern Argus (Columbus, Miss.), July 19, 1842",http://www.loc.gov/resource/sn83016884/1842-07-19/ed-1/?sp=1,False,
stampeding,1842-07-26,"Image 1 of Southern Argus (Columbus, Miss.), July 26, 1842",http://www.loc.gov/resource/sn83016884/1842-07-26/ed-1/?sp=1,False,
stampeding,1842-08-02,"Image 1 of Southern Argus (Columbus, Miss.), August 2, 1842",http://www.loc.gov/resource/sn83016884/1842-08-02/ed-1/?sp=1,True,"orses in camp; but this time they took themselves in, for F.'s horse was continually cutting up unseemly and extra \""shines, had frequently came near stampeding all our animals and.was worth but litltle after setting aside his tricks. To show how daring the Indians horse thieves were I have but to men tion th"
stampeding,1842-08-23,"Image 1 of Southern Argus (Columbus, Miss.), August 23, 1842",http://www.loc.gov/resource/sn83016884/1842-08-23/ed-1/?sp=1,False,
stampeding,1842-11-24,"Image 2 of Alexandria gazette (Alexandria, D.C.), November 24, 1842",http://www.loc.gov/resource/sn85025007/1842-11-24/ed-1/?sp=2,False,
stampeding,1843-01-28,"Image 1 of The Port-Gibson correspondent (Port Gibson, Miss.), January 28, 1843",http://www.loc.gov/resource/sn83016954/1843-01-28/ed-1/?sp=1,False,
stampeding,1843-02-17,"Image 4 of New-Hampshire statesman and state journal (Concord [N.H.]), February 17, 1843",http://www.loc.gov/resource/sn84022931/1843-02-17/ed-1/?sp=4,False,
stampeding,1843-05-13,"Image 2 of The Cecil Whig (Elkton, Md.), May 13, 1843",http://www.loc.gov/resource/sn83016348/1843-05-13/ed-1/?sp=2,False,
stampeding,1844-04-04,"Image 4 of Hill's New-Hampshire patriot (Concord, N.H.), April 4, 1844",http://www.loc.gov/resource/sn84022903/1844-04-04/ed-1/?sp=4,False,
stampeding,1844-05-25,"Image 2 of The New York herald (New York [N.Y.]), May 25, 1844",http://www.loc.gov/resource/sn83030313/1844-05-25/ed-1/?sp=2,False,
stampeding,1844-05-27,"Image 3 of Daily national intelligencer (Washington City [D.C.]), May 27, 1844",http://www.loc.gov/resource/sn83026172/1844-05-27/ed-1/?sp=3,False,
stampeding,1844-06-14,"Image 1 of New-Hampshire statesman and state journal (Concord [N.H.]), June 14, 1844",http://www.loc.gov/resource/sn84022931/1844-06-14/ed-1/?sp=1,False,
stampeding,1844-07-20,"Image 2 of The daily Madisonian (Washington City [i.e. Washington, D.C.]), July 20, 1844",http://www.loc.gov/resource/sn84020074/1844-07-20/ed-1/?sp=2,False,
stampeding,1844-07-20,"Image 3 of Daily national intelligencer (Washington City [D.C.]), July 20, 1844",http://www.loc.gov/resource/sn83026172/1844-07-20/ed-1/?sp=3,False,
stampeding,1844-07-31,"Image 3 of Edgefield advertiser (Edgefield, S.C.), July 31, 1844",http://www.loc.gov/resource/sn84026897/1844-07-31/ed-1/?sp=3,False,
stampeding,1844-08-02,"Image 1 of Bloomington herald (Bloomington, I. T. [Iowa]), August 2, 1844",http://www.loc.gov/resource/sn85050801/1844-08-02/ed-1/?sp=1,False,
stampeding,1844-09-14,"Image 2 of Grant County herald (Lancaster, W.T. [i.e. Wis.]), September 14, 1844",http://www.loc.gov/resource/sn87082160/1844-09-14/ed-1/?sp=2,False,
stampeding,1844-09-27,"Image 2 of The Ottawa free trader (Ottawa, Ill.), September 27, 1844",http://www.loc.gov/resource/sn84038582/1844-09-27/ed-1/?sp=2,False,
stampeding,1844-10-22,"Image 1 of The New Hampshire gazette (Portsmouth [N.H.]), October 22, 1844",http://www.loc.gov/resource/sn83025588/1844-10-22/ed-1/?sp=1,False,
stampeding,1845-01-04,"Image 2 of Wisconsin herald, and Grant County advertiser (Lancaster, Wis.), January 4, 1845",http://www.loc.gov/resource/sn87082161/1845-01-04/ed-1/?sp=2,False,
stampeding,1845-03-13,"Image 2 of Hawk-eye (Burlington, Iowa), March 13, 1845",http://www.loc.gov/resource/sn85049816/1845-03-13/ed-1/?sp=2,False,
stampeding,1845-03-21,"Image 1 of The Ottawa free trader (Ottawa, Ill.), March 21, 1845",http://www.loc.gov/resource/sn84038582/1845-03-21/ed-1/?sp=1,False,
stampeding,1845-05-08,"Image 1 of Martinsburg gazette (Martinsburg, Va. [W. Va.]), May 8, 1845",http://www.loc.gov/resource/sn84038468/1845-05-08/ed-1/?sp=1,False,
stampeding,1845-06-10,"Image 1 of American Republican and Baltimore daily clipper (Baltimore, Md.), June 10, 1845",http://www.loc.gov/resource/sn83009567/1845-06-10/ed-1/?sp=1,False,
stampeding,1845-07-10,"Image 1 of Port-Gibson herald (Port Gibson, Miss.), July 10, 1845",http://www.loc.gov/resource/sn87090149/1845-07-10/ed-1/?sp=1,False,
stampeding,1845-07-22,"Image 2 of Wheeling times and advertiser (Wheeling, Va. [W. Va.]), July 22, 1845",http://www.loc.gov/resource/sn84038585/1845-07-22/ed-1/?sp=2,False,
stampeding,1845-08-14,"Image 1 of Indiana State sentinel (Indianapolis), August 14, 1845",http://www.loc.gov/resource/sn82015677/1845-08-14/ed-1/?sp=1,False,
stampeding,1845-12-31,"Image 4 of The New era ([Portsmouth, Va.]), December 31, 1845",http://www.loc.gov/resource/sn86071753/1845-12-31/ed-1/?sp=4,False,
stampeding,1846-01-01,"Image 4 of Hill's New-Hampshire patriot (Concord, N.H.), January 1, 1846",http://www.loc.gov/resource/sn84022903/1846-01-01/ed-1/?sp=4,False,
stampeding,1846-01-02,"Image 1 of American Republican and Baltimore daily clipper (Baltimore, Md.), January 2, 1846",http://www.loc.gov/resource/sn83009567/1846-01-02/ed-1/?sp=1,False,
stampeding,1846-01-21,"Image 4 of Republican herald (Providence [R.I.]), January 21, 1846",http://www.loc.gov/resource/sn83021460/1846-01-21/ed-1/?sp=4,False,
stampeding,1846-02-12,"Image 1 of Staunton spectator, and general advertiser (Staunton, Va.), February 12, 1846",http://www.loc.gov/resource/sn84024719/1846-02-12/ed-1/?sp=1,False,
stampeding,1846-02-19,"Image 1 of Martinsburg gazette (Martinsburg, Va. [W. Va.]), February 19, 1846",http://www.loc.gov/resource/sn84038468/1846-02-19/ed-1/?sp=1,False,
stampeding,1846-02-21,"Image 1 of Wisconsin herald (Lancaster, Wis.), February 21, 1846",http://www.loc.gov/resource/sn87082162/1846-02-21/ed-1/?sp=1,False,
stampeding,1846-02-26,"Image 4 of Hill's New-Hampshire patriot (Concord, N.H.), February 26, 1846",http://www.loc.gov/resource/sn84022903/1846-02-26/ed-1/?sp=4,False,
stampeding,1846-03-12,"Image 1 of The Evansville journal (Evansville, Ind.), March 12, 1846",http://www.loc.gov/resource/sn84023914/1846-03-12/ed-1/?sp=1,False,
