term,source,date,title,url,verified,snippet
stampede,chroniclingamerica,1824-06-01,"Image 2 of American watchman and Delaware advertiser (Wilmington, Del.), June 1, 1824",http://www.loc.gov/resource/sn82014894/1824-06-01/ed-1/?sp=2,False,
stampede,chroniclingamerica,1824-05-26,"Image 2 of Daily national intelligencer (Washington City [D.C.]), May 26, 1824",http://www.loc.gov/resource/sn83026172/1824-05-26/ed-1/?sp=2,False,
stampeding,chroniclingamerica,1824-06-01,"Image 2 of American watchman and Delaware advertiser (Wilmington, Del.), June 1, 1824",http://www.loc.gov/resource/sn82014894/1824-06-01/ed-1/?sp=2,False,
stampeding,chroniclingamerica,1824-05-26,"Image 2 of Daily national intelligencer (Washington City [D.C.]), May 26, 1824",http://www.loc.gov/resource/sn83026172/1824-05-26/ed-1/?sp=2,False,
stampeded,chroniclingamerica,1824-06-01,"Image 2 of American watchman and Delaware advertiser (Wilmington, Del.), June 1, 1824",http://www.loc.gov/resource/sn82014894/1824-06-01/ed-1/?sp=2,False,
stampeded,chroniclingamerica,1824-05-26,"Image 2 of Daily national intelligencer (Washington City [D.C.]), May 26, 1824",http://www.loc.gov/resource/sn83026172/1824-05-26/ed-1/?sp=2,False,
stampedo,chroniclingamerica,1834-12-23,"Image 1 of Daily national intelligencer (Washington City [D.C.]), December 23, 1834",http://www.loc.gov/resource/sn83026172/1834-12-23/ed-1/?sp=1,True,"nt Leu.\n12 Burial at Sea.\n13 A Visit to the Hotel des Invalides.\n14 French Navy.\n15 The Dragoon to bis steed.\n16 A Stampedo.\n17 The Soldier.\n18 Dry Rot.\nLetter from W. Patterson, Esq., to H. Niles, Esq.;\nExtracts from English newspapers.\n"
stampedo,chroniclingamerica,1834-12-25,"Image 1 of Daily national intelligencer (Washington City [D.C.]), December 25, 1834",http://www.loc.gov/resource/sn83026172/1834-12-25/ed-1/?sp=1,True,"nt Leu.\n12 Burial at Sea.\n13 A Visit to the Hotel des Invalides.\n14 French Navy.\n15 The Dragoon to his steed.\n16 A Stampedo.\n17 The Soldier.\nI Le?ter from W. Patterson, Esq., to H. Niles, Esq.;\nExtracts from English newspapers.\n19 Revoluti"
stampedo,chroniclingamerica,1834-12-24,"Image 1 of Daily national intelligencer (Washington City [D.C.]), December 24, 1834",http://www.loc.gov/resource/sn83026172/1834-12-24/ed-1/?sp=1,False,
stampedo,chroniclingamerica,1834-12-22,"Image 1 of Daily national intelligencer (Washington City [D.C.]), December 22, 1834",http://www.loc.gov/resource/sn83026172/1834-12-22/ed-1/?sp=1,True,"nt Leu.\n12 Burial at Sea.\n13 A Visit to the Hotel des Invalides.\n14 French Navy.\n15 The Dragoon to bis steed.\n16 A Stampedo.\n17 The Soldier.\n18 Dry Rot.\nLetter from W. Patterson, Esq., to H. Niles, Esq.;\nExtracts from English newspapers.\n"
stampedo,chroniclingamerica,1834-12-19,"Image 3 of Daily national intelligencer (Washington City [D.C.]), December 19, 1834",http://www.loc.gov/resource/sn83026172/1834-12-19/ed-1/?sp=3,False,
improvised,chroniclingamerica,1835-11-21,"Image 4 of South Branch intelligencer (Romney, Va. [W. Va.]), November 21, 1835",http://www.loc.gov/resource/sn84026826/1835-11-21/ed-1/?sp=4,False,
improvised,chroniclingamerica,1830-10-27,"Image 1 of The Arkansas advocate (Little Rock, A.T. [Ark.]), October 27, 1830",http://www.loc.gov/resource/sn87062070/1830-10-27/ed-1/?sp=1,False,
improvised,chroniclingamerica,1830-12-02,"Image 1 of Litchfield enquirer (Litchfield, Conn.), December 2, 1830",http://www.loc.gov/resource/sn84020071/1830-12-02/ed-1/?sp=1,True,"heard a composition and\na recitation of two. The first was grace\nful, and in good taste; but the last were a\nkind of improvised account of given chap\nters in philosophy, done with a selectness\nof language, and a clearness of recollec\ntion quite"
improvised,chroniclingamerica,1833-03-19,"Image 2 of The Rhode-Island Republican (Newport, R.I.), March 19, 1833",http://www.loc.gov/resource/sn83025561/1833-03-19/ed-1/?sp=2,False,
improvised,chroniclingamerica,1835-10-14,"Image 4 of The Rhode-Island Republican (Newport, R.I.), October 14, 1835",http://www.loc.gov/resource/sn83025561/1835-10-14/ed-1/?sp=4,True," but I forewarn you that he is as deaf as an\nadder.\u201d\n\u201cNo matter, 1 will halloo.\u201d\n~And the boy who had improvised this piece of\npleasantry\u2014which the good reader will according to\nhis taste, think either good or bad\u2014went t"
improvised,chroniclingamerica,1825-02-25,"Image 4 of Constitutional Whig (Richmond, Va.), February 25, 1825",http://www.loc.gov/resource/sn83045110/1825-02-25/ed-1/?sp=4,False,
