word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,47,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
about,3,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
accident,2,,2.925e-05,42,1780,2.656e-05,3.185e-05,0.918
accompanied,1,,5.519e-05,42,1780,6.065e-05,4.806e-05,1.148
accompany,1,,1.800e-05,42,1780,1.748e-05,1.535e-05,1.173
accomplishes,1,,5.719e-07,33,1785,1.002e-06,1.279e-06,0.447
accordingly,1,,9.880e-05,42,1780,7.819e-05,5.000e-05,1.976
account,9,,3.669e-04,42,1780,3.018e-04,2.475e-04,1.482
acquire,1,,2.505e-05,42,1780,2.261e-05,1.718e-05,1.458
acquired,1,,5.387e-05,42,1780,5.243e-05,4.413e-05,1.221
acquiring,1,,1.001e-05,42,1780,1.004e-05,6.978e-06,1.434
acquisition,1,,1.616e-05,42,1780,1.361e-05,9.334e-06,1.731
act,1,,8.182e-04,42,1780,6.634e-04,6.375e-04,1.283
added,1,,1.378e-04,42,1780,1.010e-04,1.001e-04,1.377
addition,1,,6.830e-05,42,1780,6.527e-05,7.663e-05,0.891
adopted,1,,8.911e-05,42,1780,1.110e-04,1.194e-04,0.746
advance,1,,4.138e-05,42,1780,5.350e-05,6.951e-05,0.595
adventure,1,,9.441e-06,42,1780,9.990e-06,8.507e-06,1.110
advice,1,,6.153e-05,42,1780,4.452e-05,3.573e-05,1.722
affecting,1,,1.750e-05,42,1780,2.057e-05,1.632e-05,1.072
affection,1,,5.625e-05,42,1780,6.322e-05,3.736e-05,1.506
after,8,,9.501e-04,42,1780,9.360e-04,9.191e-04,1.034
afternoon,1,,2.808e-05,42,1780,2.641e-05,3.710e-05,0.757
age,1,,1.958e-04,42,1780,2.072e-04,1.909e-04,1.025
all,3,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
allaying,1,,4.556e-07,33,1781,7.993e-07,5.747e-07,0.793
along,1,,9.738e-05,42,1780,1.153e-04,1.526e-04,0.638
also,2,,6.678e-04,42,1780,6.941e-04,7.343e-04,0.909
although,1,,1.325e-04,42,1780,1.877e-04,1.769e-04,0.749
among,3,,3.966e-04,42,1780,4.507e-04,3.721e-04,1.066
amongst,2,,5.055e-05,42,1780,4.622e-05,2.581e-05,1.959
an,7,,2.969e-03,42,1780,2.959e-03,2.855e-03,1.040
anahaways,1,proper,0.000e+00,0,,0.000e+00,0.000e+00,
ancient,1,,1.287e-04,42,1780,1.370e-04,9.470e-05,1.359
and,86,,2.816e-02,42,1780,2.824e-02,2.700e-02,1.043
animal,1,,6.160e-05,42,1780,7.278e-05,6.951e-05,0.886
announced,1,,1.702e-05,42,1780,2.338e-05,3.047e-05,0.559
another,5,,4.298e-04,42,1780,4.525e-04,4.078e-04,1.054
antelope,3,,7.670e-07,33,1786,1.124e-06,1.724e-06,0.445
anxiety,1,,2.085e-05,42,1780,2.749e-05,1.953e-05,1.068
anxiously,1,,4.700e-06,42,1780,7.641e-06,5.503e-06,0.854
any,1,,2.178e-03,42,1780,1.839e-03,1.658e-03,1.314
appearance,4,,1.219e-04,42,1780,1.212e-04,9.792e-05,1.244
appearances,1,,2.114e-05,42,1780,1.598e-05,9.482e-06,2.229
appetites,1,,5.112e-06,40,1780,5.453e-06,2.879e-06,1.776
appointed,1,,2.385e-04,42,1780,1.663e-04,1.430e-04,1.668
apprehended,1,,2.077e-05,42,1780,1.518e-05,7.290e-06,2.850
approach,1,,4.141e-05,42,1780,4.543e-05,3.292e-05,1.258
are,4,,3.634e-03,42,1780,3.712e-03,3.504e-03,1.037
army,2,,2.815e-04,42,1780,1.761e-04,1.781e-04,1.581
arrival,2,,6.188e-05,42,1780,5.176e-05,3.733e-05,1.658
arrive,1,,2.936e-05,42,1780,2.470e-05,2.121e-05,1.384
arrived,1,,9.506e-05,42,1780,9.281e-05,6.798e-05,1.398
arrives,2,,9.906e-06,42,1780,8.177e-06,6.265e-06,1.581
article,1,,1.397e-04,42,1780,1.221e-04,1.227e-04,1.138
articles,3,,1.304e-04,42,1780,1.031e-04,9.423e-05,1.384
as,7,,6.231e-03,42,1780,6.448e-03,6.478e-03,0.962
ascend,2,,1.111e-05,42,1780,1.223e-05,7.421e-06,1.497
ascending,3,,7.886e-06,42,1780,1.146e-05,1.004e-05,0.785
ascertain,1,,3.148e-05,42,1780,3.716e-05,2.987e-05,1.054
ascertains,1,,6.781e-07,38,1780,5.599e-07,3.610e-07,1.878
ask,1,,5.453e-05,42,1780,9.345e-05,1.017e-04,0.536
assiniboins,1,proper,2.688e-08,14,1801,5.713e-08,4.243e-08,0.634
