word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,56,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
abdomen,2,,1.024e-05,39,1781,1.167e-05,1.850e-05,0.553
abies,1,,1.536e-07,25,1785,1.705e-07,4.636e-07,0.331
able,2,,1.729e-04,42,1780,1.631e-04,1.469e-04,1.177
abodes,1,,2.215e-06,38,1781,3.353e-06,1.750e-06,1.265
about,8,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
above,6,,3.212e-04,42,1780,3.343e-04,3.528e-04,0.910
abrupt,1,,4.161e-06,42,1780,4.354e-06,4.795e-06,0.868
abruptly,2,,1.038e-05,42,1780,5.099e-06,6.755e-06,1.536
acces,1,,1.457e-07,31,1785,1.396e-07,1.045e-07,1.394
accompanied,1,,5.519e-05,42,1780,6.065e-05,4.806e-05,1.148
accomplish,1,,1.570e-05,42,1780,2.305e-05,2.065e-05,0.760
accomplished,1,,2.777e-05,42,1780,4.292e-05,4.384e-05,0.634
according,1,,2.918e-04,42,1780,2.598e-04,1.952e-04,1.495
accordingly,1,,9.880e-05,42,1780,7.819e-05,5.000e-05,1.976
accumulated,1,,7.484e-06,42,1780,9.868e-06,1.023e-05,0.732
accumulation,1,,6.632e-06,41,1780,8.974e-06,9.636e-06,0.688
across,2,,3.187e-05,42,1780,4.911e-05,8.294e-05,0.384
actively,1,,2.214e-06,38,1780,4.508e-06,5.601e-06,0.395
actual,1,,4.990e-05,42,1780,6.374e-05,7.724e-05,0.646
adjoining,1,,1.924e-05,42,1780,1.806e-05,2.115e-05,0.910
admeasurements,1,,7.554e-08,26,1785,1.247e-07,5.759e-08,1.312
advanced,1,,7.151e-05,42,1780,6.921e-05,6.078e-05,1.176
advancing,1,,1.520e-05,42,1780,1.817e-05,1.560e-05,0.974
affected,1,,5.766e-05,42,1780,5.579e-05,4.859e-05,1.187
affords,1,,2.542e-05,42,1780,2.508e-05,1.545e-05,1.645
after,3,,9.501e-04,42,1780,9.360e-04,9.191e-04,1.034
agent,1,,5.283e-05,42,1780,7.998e-05,1.020e-04,0.518
ages,1,,5.565e-05,42,1780,6.378e-05,4.657e-05,1.195
aggravated,2,,6.138e-06,42,1780,6.847e-06,5.187e-06,1.183
aggregate,1,,1.673e-05,42,1780,1.753e-05,2.930e-05,0.571
aggregates,1,,6.753e-07,30,1785,4.469e-07,1.142e-06,0.592
aid,1,,8.141e-05,42,1780,1.003e-04,1.048e-04,0.777
all,3,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
alleviating,1,,1.524e-06,41,1780,8.016e-07,4.767e-07,3.197
almost,1,,1.826e-04,42,1780,2.396e-04,2.373e-04,0.769
along,4,,9.738e-05,42,1780,1.153e-04,1.526e-04,0.638
already,1,,1.771e-04,42,1780,2.043e-04,1.916e-04,0.924
also,3,,6.678e-04,42,1780,6.941e-04,7.343e-04,0.909
alternating,1,,1.156e-06,31,1783,1.689e-06,4.912e-06,0.235
although,1,,1.325e-04,42,1780,1.877e-04,1.769e-04,0.749
america,1,proper,2.101e-04,42,1780,1.323e-04,1.242e-04,1.692
among,2,,3.966e-04,42,1780,4.507e-04,3.721e-04,1.066
an,7,,2.969e-03,42,1780,2.959e-03,2.855e-03,1.040
and,103,,2.816e-02,42,1780,2.824e-02,2.700e-02,1.043
angles,1,,2.272e-05,41,1780,1.999e-05,2.153e-05,1.055
animal,2,,6.160e-05,42,1780,7.278e-05,6.951e-05,0.886
animals,3,,5.729e-05,42,1780,6.171e-05,7.345e-05,0.780
anterior,2,,1.927e-05,40,1781,1.554e-05,2.658e-05,0.725
any,2,,2.178e-03,42,1780,1.839e-03,1.658e-03,1.314
appearance,3,,1.219e-04,42,1780,1.212e-04,9.792e-05,1.244
appeared,3,,1.554e-04,42,1780,1.491e-04,1.098e-04,1.416
appears,2,,2.051e-04,42,1780,1.738e-04,1.265e-04,1.622
approaches,1,,1.023e-05,42,1780,1.015e-05,1.012e-05,1.010
approaching,2,,2.313e-05,42,1780,2.896e-05,2.253e-05,1.027
arachnides,1,proper,5.559e-09,5,1810,5.209e-08,1.863e-08,0.298
arctic,1,proper,6.418e-06,39,1780,2.898e-06,7.835e-06,0.819
are,15,,3.634e-03,42,1780,3.712e-03,3.504e-03,1.037
arid,1,,1.735e-05,42,1780,4.589e-06,5.281e-06,3.284
arising,1,,4.842e-05,42,1780,3.938e-05,3.051e-05,1.587
arkansa,2,proper,1.941e-07,16,1792,5.811e-07,3.157e-08,6.148
armed,1,,4.981e-05,42,1780,3.591e-05,3.011e-05,1.654
around,1,,5.298e-05,42,1780,1.094e-04,1.244e-04,0.426
arquated,3,,3.116e-08,3,1817,1.125e-07,1.645e-08,1.894
arranged,1,,1.688e-05,42,1780,2.741e-05,6.027e-05,0.280
arrival,1,,6.188e-05,42,1780,5.176e-05,3.733e-05,1.658
arrived,2,,9.506e-05,42,1780,9.281e-05,6.798e-05,1.398
as,13,,6.231e-03,42,1780,6.448e-03,6.478e-03,0.962
ascend,1,,1.111e-05,42,1780,1.223e-05,7.421e-06,1.497
ascended,1,,1.052e-05,40,1780,1.365e-05,8.318e-06,1.264
ascending,2,,7.886e-06,42,1780,1.146e-05,1.004e-05,0.785
ascent,1,,5.464e-06,39,1781,8.243e-06,6.446e-06,0.848
assist,1,,3.796e-05,42,1780,3.047e-05,2.375e-05,1.598
