word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,57,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
able,1,,1.729e-04,42,1780,1.631e-04,1.469e-04,1.177
about,2,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
above,1,,3.212e-04,42,1780,3.343e-04,3.528e-04,0.910
absorbing,1,,1.415e-06,36,1783,3.829e-06,4.961e-06,0.285
accept,1,,4.179e-05,42,1780,3.318e-05,4.307e-05,0.970
accident,1,,2.925e-05,42,1780,2.656e-05,3.185e-05,0.918
accompanied,1,,5.519e-05,42,1780,6.065e-05,4.806e-05,1.148
accompaniment,1,,7.172e-07,32,1785,2.104e-06,3.081e-06,0.233
according,1,,2.918e-04,42,1780,2.598e-04,1.952e-04,1.495
accumulates,1,,5.393e-07,34,1781,9.441e-07,1.275e-06,0.423
accused,1,,2.285e-05,42,1780,2.521e-05,2.153e-05,1.061
acquainted,1,,6.696e-05,42,1780,6.015e-05,3.233e-05,2.071
acquire,1,,2.505e-05,42,1780,2.261e-05,1.718e-05,1.458
act,2,,8.182e-04,42,1780,6.634e-04,6.375e-04,1.283
action,1,,2.331e-04,42,1780,2.565e-04,3.365e-04,0.693
acts,1,,1.266e-04,42,1780,1.352e-04,1.222e-04,1.036
actually,1,,5.731e-05,42,1780,6.309e-05,5.627e-05,1.018
adjacent,1,,1.830e-05,42,1780,1.413e-05,1.779e-05,1.029
advance,1,,4.138e-05,42,1780,5.350e-05,6.951e-05,0.595
advancing,1,,1.520e-05,42,1780,1.817e-05,1.560e-05,0.974
affluence,1,,3.403e-06,40,1780,2.634e-06,1.105e-06,3.079
after,3,,9.501e-04,42,1780,9.360e-04,9.191e-04,1.034
against,2,,7.017e-04,42,1780,6.675e-04,5.705e-04,1.230
agarren,1,proper,0.000e+00,0,1844,7.205e-10,8.317e-11,0.000
ago,1,,5.291e-05,42,1780,6.192e-05,1.050e-04,0.504
alcalde,1,,1.904e-07,24,1788,1.024e-06,1.278e-06,0.149
alive,1,,2.898e-05,42,1780,2.939e-05,2.427e-05,1.194
all,16,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
almost,1,,1.826e-04,42,1780,2.396e-04,2.373e-04,0.769
along,1,,9.738e-05,42,1780,1.153e-04,1.526e-04,0.638
already,2,,1.771e-04,42,1780,2.043e-04,1.916e-04,0.924
also,3,,6.678e-04,42,1780,6.941e-04,7.343e-04,0.909
alternate,1,,7.725e-06,42,1780,8.690e-06,1.012e-05,0.763
always,1,,2.769e-04,42,1780,2.771e-04,2.739e-04,1.011
american,1,proper,1.784e-04,42,1780,1.952e-04,2.570e-04,0.694
americans,3,proper,3.976e-05,41,1780,2.648e-05,2.264e-05,1.756
among,6,,3.966e-04,42,1780,4.507e-04,3.721e-04,1.066
amusement,3,,1.414e-05,42,1780,1.655e-05,1.102e-05,1.283
amusements,1,,8.466e-06,42,1780,8.739e-06,4.896e-06,1.729
an,3,,2.969e-03,42,1780,2.959e-03,2.855e-03,1.040
and,62,,2.816e-02,42,1780,2.824e-02,2.700e-02,1.043
animal,1,,6.160e-05,42,1780,7.278e-05,6.951e-05,0.886
animals,3,,5.729e-05,42,1780,6.171e-05,7.345e-05,0.780
another,3,,4.298e-04,42,1780,4.525e-04,4.078e-04,1.054
any,7,,2.178e-03,42,1780,1.839e-03,1.658e-03,1.314
anything,1,,2.027e-05,42,1780,4.063e-05,1.097e-04,0.185
anywhere,2,,2.356e-06,40,1780,3.555e-06,1.409e-05,0.167
apparel,1,,7.709e-06,42,1780,6.359e-06,4.361e-06,1.768
appear,1,,2.376e-04,42,1780,1.891e-04,1.379e-04,1.723
applied,2,,1.105e-04,42,1780,1.149e-04,1.078e-04,1.025
apprehend,1,,2.441e-05,42,1780,1.744e-05,8.343e-06,2.926
apprehending,1,,5.144e-06,42,1780,2.806e-06,1.293e-06,3.978
approach,1,,4.141e-05,42,1780,4.543e-05,3.292e-05,1.258
are,15,,3.634e-03,42,1780,3.712e-03,3.504e-03,1.037
around,2,,5.298e-05,42,1780,1.094e-04,1.244e-04,0.426
arrearages,1,,3.320e-06,42,1780,2.552e-06,1.073e-06,3.093
articles,2,,1.304e-04,42,1780,1.031e-04,9.423e-05,1.384
as,27,,6.231e-03,42,1780,6.448e-03,6.478e-03,0.962
assemblies,1,,1.640e-05,42,1780,1.220e-05,6.379e-06,2.571
assisted,1,,1.855e-05,42,1780,1.899e-05,1.687e-05,1.100
at,15,,3.874e-03,42,1780,3.970e-03,4.249e-03,0.912
atoms,1,,2.587e-06,38,1780,4.755e-06,6.420e-06,0.403
attempting,1,,1.693e-05,42,1780,1.679e-05,1.378e-05,1.229
attendant,1,,8.516e-06,42,1780,1.242e-05,1.076e-05,0.792
attraction,1,,8.717e-06,41,1781,1.176e-05,1.014e-05,0.860
attractions,1,,3.139e-06,39,1780,5.408e-06,5.482e-06,0.573
attractive,1,,3.860e-06,41,1780,9.227e-06,1.669e-05,0.231
avidity,1,,4.318e-06,42,1780,3.164e-06,1.465e-06,2.947
away,2,,1.904e-04,42,1780,2.322e-04,2.452e-04,0.777
axe,1,,4.001e-06,41,1780,6.706e-06,5.924e-06,0.675
baggage,1,,1.244e-05,42,1780,9.323e-06,1.193e-05,1.042
baile,1,,5.922e-08,22,1792,5.520e-08,7.077e-08,0.837
bailes,1,,4.253e-09,6,1808,9.503e-09,1.843e-08,0.231
baiting,1,,4.723e-07,35,1780,4.283e-07,3.862e-07,1.223
ball,2,,2.382e-05,42,1780,2.622e-05,3.382e-05,0.704
balls,1,,9.232e-06,42,1780,1.027e-05,1.106e-05,0.835
bandolin,1,,0.000e+00,0,1844,3.640e-10,7.556e-10,0.000
bank,3,,8.811e-05,42,1780,2.267e-04,1.997e-04,0.441
barbarous,1,,1.786e-05,42,1780,1.554e-05,8.029e-06,2.225
barcel,1,proper,2.941e-09,5,1804,3.522e-09,2.124e-09,1.385
barely,1,,6.804e-06,42,1780,6.970e-06,7.485e-06,0.909
basis,1,,2.858e-05,42,1780,3.284e-05,4.437e-05,0.644
be,24,,8.153e-03,42,1780,7.276e-03,6.350e-03,1.284
bears,1,,2.845e-05,42,1780,2.860e-05,2.610e-05,1.090
became,1,,1.232e-04,42,1780,1.553e-04,1.598e-04,0.771
because,1,,3.397e-04,42,1780,3.571e-04,3.122e-04,1.088
become,1,,1.952e-04,42,1780,2.208e-04,2.108e-04,0.926
becomes,2,,7.069e-05,42,1780,7.896e-05,8.279e-05,0.854
beds,1,,1.394e-05,42,1780,2.030e-05,3.042e-05,0.458
been,8,,2.056e-03,42,1780,2.339e-03,2.234e-03,0.921
before,2,,9.457e-04,42,1780,9.351e-04,8.471e-04,1.116
began,2,,1.130e-04,42,1780,1.044e-04,1.084e-04,1.043
beggar,1,,3.927e-06,41,1780,4.720e-06,4.169e-06,0.942
being,10,,1.121e-03,42,1780,9.612e-04,8.729e-04,1.284
belle,1,,2.009e-06,38,1783,3.254e-06,6.143e-06,0.327
benches,1,,1.846e-06,40,1780,2.815e-06,3.503e-06,0.527
better,2,,2.135e-04,42,1780,2.259e-04,2.452e-04,0.871
blood,1,,1.489e-04,42,1780,1.612e-04,1.369e-04,1.088
body,1,,2.979e-04,42,1780,3.004e-04,2.486e-04,1.198
bono,1,,4.942e-07,33,1785,5.866e-07,5.863e-07,0.843
booty,1,,3.514e-06,40,1780,3.285e-06,2.192e-06,1.603
bordering,1,,4.952e-06,41,1781,5.688e-06,5.291e-06,0.936
borders,1,,1.430e-05,42,1780,1.578e-05,1.432e-05,0.999
bought,1,,1.955e-05,42,1780,2.162e-05,3.255e-05,0.601
bound,2,,9.291e-05,42,1780,1.021e-04,9.162e-05,1.014
boys,1,,1.900e-05,42,1780,3.093e-05,5.407e-05,0.351
breaking,1,,2.125e-05,42,1780,2.413e-05,2.696e-05,0.788
bringing,1,,3.497e-05,42,1780,3.612e-05,3.604e-05,0.970
brows,2,,2.930e-06,42,1780,3.846e-06,3.444e-06,0.851
buffalo,1,,3.872e-06,39,1781,1.337e-05,2.519e-05,0.154
buffoon,1,,6.772e-07,35,1780,5.495e-07,3.340e-07,2.028
bull,4,,1.798e-05,42,1780,1.633e-05,2.212e-05,0.813
buried,1,,2.407e-05,42,1780,2.629e-05,2.583e-05,0.932
business,1,,1.966e-04,42,1780,1.917e-04,2.643e-04,0.744
but,19,,3.615e-03,42,1780,3.816e-03,3.321e-03,1.089
by,20,,6.917e-03,42,1780,6.706e-03,6.497e-03,1.065
ca,1,,1.830e-05,42,1780,1.075e-05,7.487e-06,2.444
caballero,2,,2.088e-08,14,1789,1.430e-07,1.867e-07,0.112
calabozo,1,,3.274e-08,12,1806,4.123e-08,2.276e-08,1.438
calamity,1,,1.288e-05,42,1780,1.217e-05,7.294e-06,1.766
calderon's,1,proper,0.000e+00,0,,0.000e+00,0.000e+00,
call,1,,1.388e-04,42,1780,1.523e-04,1.489e-04,0.933
called,2,,4.286e-04,42,1780,4.393e-04,3.731e-04,1.149
calls,1,,3.739e-05,42,1780,3.884e-05,3.353e-05,1.115
can,4,,1.244e-03,42,1780,1.346e-03,1.297e-03,0.959
can't,1,,0.000e+00,0,,0.000e+00,0.000e+00,
canadian,1,proper,6.416e-06,42,1780,4.485e-06,1.151e-05,0.557
capital,2,,7.448e-05,42,1780,1.068e-04,1.188e-04,0.627
card,1,,5.944e-06,42,1780,6.727e-06,1.431e-05,0.415
cards,1,,7.535e-06,42,1780,7.552e-06,1.325e-05,0.569
careful,1,,2.442e-05,42,1780,3.006e-05,5.273e-05,0.463
