word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,75,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
abandoning,1,,2.980e-06,41,1780,3.907e-06,3.234e-06,0.922
abodes,1,,2.215e-06,38,1781,3.353e-06,1.750e-06,1.265
aborigines,1,,1.878e-06,37,1784,2.838e-06,2.301e-06,0.816
about,5,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
abrupt,1,,4.161e-06,42,1780,4.354e-06,4.795e-06,0.868
academy,1,,2.973e-05,42,1780,3.010e-05,4.293e-05,0.692
acquainted,1,,6.696e-05,42,1780,6.015e-05,3.233e-05,2.071
action,2,,2.331e-04,42,1780,2.565e-04,3.365e-04,0.693
added,1,,1.378e-04,42,1780,1.010e-04,1.001e-04,1.377
adds,1,,2.462e-05,42,1780,2.275e-05,1.840e-05,1.338
adjoining,1,,1.924e-05,42,1780,1.806e-05,2.115e-05,0.910
advantages,1,,6.628e-05,42,1780,6.099e-05,4.104e-05,1.615
affected,1,,5.766e-05,42,1780,5.579e-05,4.859e-05,1.187
afforded,1,,3.186e-05,42,1780,3.841e-05,2.341e-05,1.361
affords,2,,2.542e-05,42,1780,2.508e-05,1.545e-05,1.645
after,3,,9.501e-04,42,1780,9.360e-04,9.191e-04,1.034
afternoon,1,,2.808e-05,42,1780,2.641e-05,3.710e-05,0.757
afterwards,1,,1.622e-04,42,1780,1.432e-04,9.313e-05,1.741
again,1,,2.795e-04,42,1780,3.366e-04,3.287e-04,0.850
ago,2,,5.291e-05,42,1780,6.192e-05,1.050e-04,0.504
air,1,,1.664e-04,42,1780,1.591e-04,1.832e-04,0.909
alas,1,,2.296e-05,42,1780,2.684e-05,1.665e-05,1.379
all,5,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
allegheny,4,proper,1.755e-06,34,1782,2.719e-06,4.892e-06,0.359
almost,2,,1.826e-04,42,1780,2.396e-04,2.373e-04,0.769
alone,1,,1.380e-04,42,1780,1.705e-04,1.527e-04,0.904
along,2,,9.738e-05,42,1780,1.153e-04,1.526e-04,0.638
already,1,,1.771e-04,42,1780,2.043e-04,1.916e-04,0.924
also,1,,6.678e-04,42,1780,6.941e-04,7.343e-04,0.909
although,1,,1.325e-04,42,1780,1.877e-04,1.769e-04,0.749
am,3,,4.508e-04,42,1780,3.551e-04,3.522e-04,1.280
american,1,proper,1.784e-04,42,1780,1.952e-04,2.570e-04,0.694
americans,1,proper,3.976e-05,41,1780,2.648e-05,2.264e-05,1.756
among,5,,3.966e-04,42,1780,4.507e-04,3.721e-04,1.066
amused,1,,6.031e-06,41,1780,7.236e-06,6.027e-06,1.001
an,17,,2.969e-03,42,1780,2.959e-03,2.855e-03,1.040
ancient,1,,1.287e-04,42,1780,1.370e-04,9.470e-05,1.359
ancients,1,,1.732e-05,42,1780,1.548e-05,7.015e-06,2.470
and,93,,2.816e-02,42,1780,2.824e-02,2.700e-02,1.043
annihilation,1,,3.195e-06,39,1780,3.387e-06,2.334e-06,1.369
antiquity,1,proper,2.199e-05,42,1780,2.194e-05,1.299e-05,1.694
any,2,,2.178e-03,42,1780,1.839e-03,1.658e-03,1.314
appear,1,,2.376e-04,42,1780,1.891e-04,1.379e-04,1.723
appears,2,,2.051e-04,42,1780,1.738e-04,1.265e-04,1.622
appellation,1,,1.237e-05,42,1780,1.019e-05,3.799e-06,3.257
applause,1,,1.453e-05,42,1780,1.248e-05,1.059e-05,1.372
apprehend,1,,2.441e-05,42,1780,1.744e-05,8.343e-06,2.926
apprehended,1,,2.077e-05,42,1780,1.518e-05,7.290e-06,2.850
apprised,1,,4.261e-06,42,1780,3.278e-06,2.097e-06,2.032
approach,1,,4.141e-05,42,1780,4.543e-05,3.292e-05,1.258
ar,1,,1.782e-05,42,1780,1.030e-05,8.235e-06,2.164
arbitrary,1,,2.066e-05,42,1780,1.768e-05,1.195e-05,1.729
