word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,88,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
able,2,,1.729e-04,42,1780,1.631e-04,1.469e-04,1.177
about,4,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
absolutely,1,,4.208e-05,42,1780,3.720e-05,4.239e-05,0.993
abstemious,1,,8.250e-07,35,1780,6.158e-07,3.704e-07,2.227
accommodating,1,,2.391e-06,42,1780,2.348e-06,1.816e-06,1.317
accompanied,1,,5.519e-05,42,1780,6.065e-05,4.806e-05,1.148
accompany,2,,1.800e-05,42,1780,1.748e-05,1.535e-05,1.173
according,1,,2.918e-04,42,1780,2.598e-04,1.952e-04,1.495
account,1,,3.669e-04,42,1780,3.018e-04,2.475e-04,1.482
act,1,,8.182e-04,42,1780,6.634e-04,6.375e-04,1.283
action,1,,2.331e-04,42,1780,2.565e-04,3.365e-04,0.693
adapting,1,,1.162e-06,40,1781,1.688e-06,1.760e-06,0.660
add,1,,8.559e-05,42,1780,7.827e-05,6.901e-05,1.240
added,1,,1.378e-04,42,1780,1.010e-04,1.001e-04,1.377
advanced,1,,7.151e-05,42,1780,6.921e-05,6.078e-05,1.176
adventure,1,,9.441e-06,42,1780,9.990e-06,8.507e-06,1.110
adventures,2,,7.739e-06,41,1780,9.464e-06,8.816e-06,0.878
adverse,1,,1.145e-05,42,1780,1.564e-05,1.778e-05,0.644
after,3,,9.501e-04,42,1780,9.360e-04,9.191e-04,1.034
afterwards,2,,1.622e-04,42,1780,1.432e-04,9.313e-05,1.741
against,2,,7.017e-04,42,1780,6.675e-04,5.705e-04,1.230
age,1,,1.958e-04,42,1780,2.072e-04,1.909e-04,1.025
agencies,1,,1.715e-05,34,1780,5.309e-06,1.216e-05,1.410
agency,3,proper,4.006e-05,42,1780,3.449e-05,3.606e-05,1.111
agents,1,,4.196e-05,42,1780,4.861e-05,6.191e-05,0.678
agog,1,,4.950e-08,23,1793,8.722e-08,1.268e-07,0.390
agreed,1,,1.079e-04,42,1780,8.952e-05,9.177e-05,1.176
all,11,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
along,1,,9.738e-05,42,1780,1.153e-04,1.526e-04,0.638
also,2,,6.678e-04,42,1780,6.941e-04,7.343e-04,0.909
always,4,,2.769e-04,42,1780,2.771e-04,2.739e-04,1.011
am,1,,4.508e-04,42,1780,3.551e-04,3.522e-04,1.280
amateur,1,,7.820e-07,30,1780,1.703e-06,4.268e-06,0.183
among,8,,3.966e-04,42,1780,4.507e-04,3.721e-04,1.066
amused,1,,6.031e-06,41,1780,7.236e-06,6.027e-06,1.001
amusing,3,,5.627e-06,41,1780,9.515e-06,8.569e-06,0.657
an,8,,2.969e-03,42,1780,2.959e-03,2.855e-03,1.040
and,110,,2.816e-02,42,1780,2.824e-02,2.700e-02,1.043
another,3,,4.298e-04,42,1780,4.525e-04,4.078e-04,1.054
anticipation,1,,3.869e-06,42,1780,7.086e-06,5.615e-06,0.689
anticipations,3,,1.483e-06,38,1782,4.938e-06,2.605e-06,0.569
antoine,3,proper,1.184e-06,38,1780,1.624e-06,2.106e-06,0.562
appearance,1,,1.219e-04,42,1780,1.212e-04,9.792e-05,1.244
appointed,2,,2.385e-04,42,1780,1.663e-04,1.430e-04,1.668
apprehensions,1,,1.704e-05,42,1780,1.221e-05,4.941e-06,3.449
apt,2,,2.918e-05,42,1780,2.614e-05,2.349e-05,1.242
are,5,,3.634e-03,42,1780,3.712e-03,3.504e-03,1.037
arkansas,4,proper,3.906e-06,30,1783,1.317e-05,2.005e-05,0.195
armed,1,,4.981e-05,42,1780,3.591e-05,3.011e-05,1.654
around,2,,5.298e-05,42,1780,1.094e-04,1.244e-04,0.426
arrangements,1,,2.147e-05,42,1780,2.471e-05,2.619e-05,0.820
arrival,1,,6.188e-05,42,1780,5.176e-05,3.733e-05,1.658
arrived,1,,9.506e-05,42,1780,9.281e-05,6.798e-05,1.398
arriving,2,,8.069e-06,42,1780,1.080e-05,1.296e-05,0.622
as,12,,6.231e-03,42,1780,6.448e-03,6.478e-03,0.962
asleep,2,,7.966e-06,42,1780,1.193e-05,1.226e-05,0.650
assigned,1,,4.418e-05,42,1780,4.410e-05,4.350e-05,1.016
astray,1,,3.258e-06,39,1781,4.000e-06,3.205e-06,1.016
at,13,,3.874e-03,42,1780,3.970e-03,4.249e-03,0.912
attack,1,,6.380e-05,42,1780,5.703e-05,5.849e-05,1.091
autumnal,1,,2.797e-06,40,1780,3.222e-06,2.317e-06,1.207
await,1,,4.034e-06,41,1780,6.208e-06,7.210e-06,0.559
awake,1,,9.239e-06,42,1780,1.250e-05,1.020e-05,0.906
aware,1,,1.958e-05,42,1780,4.373e-05,3.370e-05,0.581
away,2,,1.904e-04,42,1780,2.322e-04,2.452e-04,0.777
awkward,1,,3.665e-06,42,1780,5.476e-06,5.152e-06,0.711
babylonish,1,proper,1.385e-06,31,1786,1.388e-06,3.965e-07,3.492
backed,1,,1.392e-06,37,1781,2.988e-06,4.643e-06,0.300
backwards,1,,7.383e-06,40,1780,5.926e-06,5.209e-06,1.418
backwoodsmen,1,,7.007e-08,20,1788,1.774e-07,2.115e-07,0.331
baggage,3,,1.244e-05,42,1780,9.323e-06,1.193e-05,1.042
bags,1,,4.145e-06,42,1780,5.568e-06,8.280e-06,0.501
band,1,,2.014e-05,42,1780,2.641e-05,3.737e-05,0.539
banks,2,,4.749e-05,42,1780,9.865e-05,9.567e-05,0.496
be,16,,8.153e-03,42,1780,7.276e-03,6.350e-03,1.284
bear,1,,9.484e-05,42,1780,1.045e-04,8.870e-05,1.069
beatte,2,proper,1.454e-09,2,1800,7.004e-08,1.086e-07,0.013
beauties,1,,1.517e-05,42,1780,1.440e-05,7.748e-06,1.957
become,2,,1.952e-04,42,1780,2.208e-04,2.108e-04,0.926
been,8,,2.056e-03,42,1780,2.339e-03,2.234e-03,0.921
beetles,1,,9.548e-07,33,1780,7.097e-07,2.841e-06,0.336
before,4,,9.457e-04,42,1780,9.351e-04,8.471e-04,1.116
being,4,,1.121e-03,42,1780,9.612e-04,8.729e-04,1.284
believed,1,,5.666e-05,42,1780,8.294e-05,6.398e-05,0.886
benevolence,1,,2.770e-05,42,1780,2.742e-05,9.619e-06,2.880
