word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,43,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
ability,1,,2.718e-05,42,1780,3.216e-05,3.760e-05,0.723
able,1,,1.729e-04,42,1780,1.631e-04,1.469e-04,1.177
about,4,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
above,2,,3.212e-04,42,1780,3.343e-04,3.528e-04,0.910
absence,1,,4.972e-05,42,1780,4.989e-05,6.689e-05,0.743
acceded,1,,3.831e-06,42,1780,3.330e-06,1.743e-06,2.198
accordingly,1,,9.880e-05,42,1780,7.819e-05,5.000e-05,1.976
account,1,,3.669e-04,42,1780,3.018e-04,2.475e-04,1.482
accumulated,1,,7.484e-06,42,1780,9.868e-06,1.023e-05,0.732
accurate,1,,2.623e-05,42,1780,2.317e-05,2.274e-05,1.153
accurately,1,,1.066e-05,42,1780,1.145e-05,1.199e-05,0.889
acknowledge,2,,3.992e-05,42,1780,3.374e-05,2.017e-05,1.979
across,2,,3.187e-05,42,1780,4.911e-05,8.294e-05,0.384
act,1,,8.182e-04,42,1780,6.634e-04,6.375e-04,1.283
action,1,,2.331e-04,42,1780,2.565e-04,3.365e-04,0.693
acuteness,1,,3.215e-06,41,1780,3.666e-06,2.057e-06,1.563
adams,4,,3.740e-05,42,1780,4.335e-05,4.629e-05,0.808
added,1,,1.378e-04,42,1780,1.010e-04,1.001e-04,1.377
adding,1,,2.155e-05,42,1780,2.376e-05,2.423e-05,0.889
addition,1,,6.830e-05,42,1780,6.527e-05,7.663e-05,0.891
additional,1,,6.528e-05,42,1780,6.259e-05,6.822e-05,0.957
additions,1,,1.075e-05,42,1780,1.165e-05,1.522e-05,0.706
administration,1,,8.127e-05,42,1780,7.499e-05,6.285e-05,1.293
adopted,2,,8.911e-05,42,1780,1.110e-04,1.194e-04,0.746
advantage,2,,1.128e-04,42,1780,9.437e-05,7.283e-05,1.549
adversaries,1,,8.544e-06,41,1780,8.668e-06,3.762e-06,2.271
adversary,1,,8.598e-06,41,1780,9.546e-06,5.656e-06,1.520
advised,1,,2.062e-05,42,1780,1.912e-05,1.902e-05,1.084
advocate,1,,1.622e-05,42,1780,2.097e-05,1.670e-05,0.971
affection,1,,5.625e-05,42,1780,6.322e-05,3.736e-05,1.506
affectionate,1,,2.289e-05,42,1780,2.213e-05,1.060e-05,2.159
affectionately,1,,4.431e-06,42,1780,5.320e-06,2.896e-06,1.530
affirm,1,,1.479e-05,41,1780,1.391e-05,8.418e-06,1.757
afflicted,1,,1.421e-05,42,1780,1.513e-05,7.630e-06,1.862
affliction,1,,1.383e-05,42,1780,1.397e-05,5.597e-06,2.470
after,5,,9.501e-04,42,1780,9.360e-04,9.191e-04,1.034
afterwards,2,,1.622e-04,42,1780,1.432e-04,9.313e-05,1.741
again,2,,2.795e-04,42,1780,3.366e-04,3.287e-04,0.850
against,5,,7.017e-04,42,1780,6.675e-04,5.705e-04,1.230
agree,1,,6.634e-05,42,1780,5.236e-05,5.247e-05,1.264
agreed,3,,1.079e-04,42,1780,8.952e-05,9.177e-05,1.176
agreement,1,,5.332e-05,42,1780,5.402e-05,6.806e-05,0.783
agrees,1,,8.660e-06,42,1780,7.723e-06,8.362e-06,1.036
aid,1,,8.141e-05,42,1780,1.003e-04,1.048e-04,0.777
alembert,1,proper,1.089e-06,30,1787,7.612e-07,4.316e-07,2.522
algiers,1,proper,7.686e-06,39,1782,5.151e-06,2.401e-06,3.201
all,18,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
alleges,1,,1.905e-06,36,1780,4.154e-06,6.616e-06,0.288
alone,1,,1.380e-04,42,1780,1.705e-04,1.527e-04,0.904
also,2,,6.678e-04,42,1780,6.941e-04,7.343e-04,0.909
although,2,,1.325e-04,42,1780,1.877e-04,1.769e-04,0.749
always,4,,2.769e-04,42,1780,2.771e-04,2.739e-04,1.011
am,1,,4.508e-04,42,1780,3.551e-04,3.522e-04,1.280
america,1,proper,2.101e-04,42,1780,1.323e-04,1.242e-04,1.692
among,1,,3.966e-04,42,1780,4.507e-04,3.721e-04,1.066
amusing,1,,5.627e-06,41,1780,9.515e-06,8.569e-06,0.657
an,11,,2.969e-03,42,1780,2.959e-03,2.855e-03,1.040
analogically,1,,9.938e-08,22,1783,1.212e-07,8.545e-08,1.163
analogy,1,,1.117e-05,41,1780,1.456e-05,9.852e-06,1.134
anamorphosis,1,,1.015e-08,8,1798,1.580e-08,6.802e-09,1.493
and,103,,2.816e-02,42,1780,2.824e-02,2.700e-02,1.043
