word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,45,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
about,2,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
abroad,1,,3.907e-05,42,1780,4.610e-05,3.424e-05,1.141
absurd,1,,2.322e-05,42,1780,2.229e-05,1.481e-05,1.568
absurdity,1,,1.154e-05,42,1780,1.092e-05,5.941e-06,1.941
abuse,1,,3.338e-05,42,1780,2.329e-05,1.507e-05,2.215
abuses,1,,1.237e-05,42,1780,1.311e-05,7.844e-06,1.577
ac,1,,2.691e-05,42,1780,1.695e-05,1.679e-05,1.602
accept,1,,4.179e-05,42,1780,3.318e-05,4.307e-05,0.970
acceptable,1,,1.571e-05,42,1780,1.531e-05,8.778e-06,1.790
accession,1,,1.283e-05,42,1780,1.185e-05,8.317e-06,1.543
accommodating,1,,2.391e-06,42,1780,2.348e-06,1.816e-06,1.317
accordingly,1,,9.880e-05,42,1780,7.819e-05,5.000e-05,1.976
account,2,,3.669e-04,42,1780,3.018e-04,2.475e-04,1.482
actuated,1,,9.262e-06,42,1780,7.939e-06,5.655e-06,1.638
adams,4,,3.740e-05,42,1780,4.335e-05,4.629e-05,0.808
added,1,,1.378e-04,42,1780,1.010e-04,1.001e-04,1.377
adding,1,,2.155e-05,42,1780,2.376e-05,2.423e-05,0.889
addressed,1,,3.769e-05,42,1780,5.594e-05,4.343e-05,0.868
affair,1,,3.243e-05,42,1780,2.695e-05,2.056e-05,1.578
affairs,1,,1.427e-04,42,1780,9.762e-05,9.233e-05,1.545
again,2,,2.795e-04,42,1780,3.366e-04,3.287e-04,0.850
against,3,,7.017e-04,42,1780,6.675e-04,5.705e-04,1.230
age,2,,1.958e-04,42,1780,2.072e-04,1.909e-04,1.025
agent,1,proper,5.283e-05,42,1780,7.998e-05,1.020e-04,0.518
agreed,1,,1.079e-04,42,1780,8.952e-05,9.177e-05,1.176
alienation,1,,3.810e-06,40,1781,5.019e-06,3.573e-06,1.066
all,11,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
allegiance,1,,2.019e-05,42,1780,1.165e-05,1.064e-05,1.898
alliance,2,,2.556e-05,42,1780,2.119e-05,1.513e-05,1.690
allies,1,,2.403e-05,42,1780,1.839e-05,1.191e-05,2.018
already,1,,1.771e-04,42,1780,2.043e-04,1.916e-04,0.924
also,2,,6.678e-04,42,1780,6.941e-04,7.343e-04,0.909
although,1,,1.325e-04,42,1780,1.877e-04,1.769e-04,0.749
america,3,proper,2.101e-04,42,1780,1.323e-04,1.242e-04,1.692
american,2,proper,1.784e-04,42,1780,1.952e-04,2.570e-04,0.694
among,2,,3.966e-04,42,1780,4.507e-04,3.721e-04,1.066
amounting,1,,1.559e-05,42,1780,1.768e-05,1.755e-05,0.888
an,10,,2.969e-03,42,1780,2.959e-03,2.855e-03,1.040
analogy,1,,1.117e-05,41,1780,1.456e-05,9.852e-06,1.134
and,80,,2.816e-02,42,1780,2.824e-02,2.700e-02,1.043
annually,1,,4.224e-05,42,1780,3.916e-05,3.391e-05,1.246
another,1,,4.298e-04,42,1780,4.525e-04,4.078e-04,1.054
answer,1,,1.781e-04,42,1780,1.843e-04,1.943e-04,0.916
answered,1,,6.542e-05,42,1780,7.116e-05,6.359e-05,1.029
any,14,,2.178e-03,42,1780,1.839e-03,1.658e-03,1.314
appear,2,,2.376e-04,42,1780,1.891e-04,1.379e-04,1.723
application,2,,1.041e-04,42,1780,1.012e-04,1.137e-04,0.916
apply,1,,6.538e-05,42,1780,6.034e-05,5.931e-05,1.102
applying,1,,1.832e-05,42,1780,1.741e-05,1.694e-05,1.081
appointed,1,,2.385e-04,42,1780,1.663e-04,1.430e-04,1.668
appointment,1,,6.249e-05,42,1780,5.294e-05,5.214e-05,1.198
apprehensive,1,,8.709e-06,42,1780,5.231e-06,2.272e-06,3.833
are,5,,3.634e-03,42,1780,3.712e-03,3.504e-03,1.037
argu,1,,6.045e-07,33,1782,6.428e-07,3.615e-07,1.672
army,1,,2.815e-04,42,1780,1.761e-04,1.781e-04,1.581
arrangements,1,,2.147e-05,42,1780,2.471e-05,2.619e-05,0.820
arrival,1,,6.188e-05,42,1780,5.176e-05,3.733e-05,1.658
artificial,1,,1.708e-05,42,1780,2.173e-05,2.580e-05,0.662
as,21,,6.231e-03,42,1780,6.448e-03,6.478e-03,0.962
ascertain,1,,3.148e-05,42,1780,3.716e-05,2.987e-05,1.054
asked,4,,7.261e-05,42,1780,1.008e-04,1.281e-04,0.567
asperities,1,,6.105e-07,38,1781,7.179e-07,4.068e-07,1.501
assented,2,,4.273e-06,42,1780,7.323e-06,5.581e-06,0.766
assigned,2,,4.418e-05,42,1780,4.410e-05,4.350e-05,1.016
association,1,proper,3.033e-05,41,1780,4.321e-05,1.060e-04,0.286
at,29,,3.874e-03,42,1780,3.970e-03,4.249e-03,0.912
atrocity,1,,1.136e-06,36,1784,1.560e-06,9.094e-07,1.249
attainment,1,,7.561e-06,42,1780,8.398e-06,5.117e-06,1.478
attempt,1,,9.512e-05,42,1780,9.368e-05,7.792e-05,1.221
attended,1,,1.065e-04,42,1780,8.429e-05,5.318e-05,2.002
attorney,3,proper,6.011e-05,42,1780,5.457e-05,6.873e-05,0.875
attributed,1,,1.574e-05,42,1780,1.982e-05,1.562e-05,1.008
august,1,proper,1.023e-04,42,1780,7.434e-05,1.148e-04,0.891
avail,1,,2.029e-05,42,1780,2.339e-05,1.790e-05,1.133
averse,1,,6.852e-06,42,1780,5.562e-06,2.999e-06,2.284
avoid,1,,4.909e-05,42,1780,4.752e-05,3.909e-05,1.256
