word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,87,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
about,13,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
above,13,,3.212e-04,42,1780,3.343e-04,3.528e-04,0.910
abundance,1,,2.253e-05,42,1780,2.505e-05,2.010e-05,1.121
accomplishment,1,,1.078e-05,42,1780,1.375e-05,7.728e-06,1.395
acquainted,1,,6.696e-05,42,1780,6.015e-05,3.233e-05,2.071
acquired,1,,5.387e-05,42,1780,5.243e-05,4.413e-05,1.221
acres,1,,4.426e-05,42,1780,4.503e-05,6.692e-05,0.661
addendum,1,,1.932e-07,24,1783,8.259e-08,1.995e-07,0.968
admitted,1,,9.242e-05,42,1780,9.579e-05,8.084e-05,1.143
afford,2,,5.886e-05,42,1780,5.669e-05,3.918e-05,1.502
after,6,,9.501e-04,42,1780,9.360e-04,9.191e-04,1.034
agent,1,,5.283e-05,42,1780,7.998e-05,1.020e-04,0.518
agree,1,,6.634e-05,42,1780,5.236e-05,5.247e-05,1.264
agriculture,1,,3.654e-05,42,1780,3.078e-05,3.573e-05,1.023
airing,1,,6.166e-07,35,1780,5.494e-07,6.700e-07,0.920
all,12,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
along,1,,9.738e-05,42,1780,1.153e-04,1.526e-04,0.638
also,2,,6.678e-04,42,1780,6.941e-04,7.343e-04,0.909
although,1,,1.325e-04,42,1780,1.877e-04,1.769e-04,0.749
among,3,,3.966e-04,42,1780,4.507e-04,3.721e-04,1.066
amply,1,,8.509e-06,42,1780,8.974e-06,6.577e-06,1.294
an,9,,2.969e-03,42,1780,2.959e-03,2.855e-03,1.040
and,80,,2.816e-02,42,1780,2.824e-02,2.700e-02,1.043
another,1,,4.298e-04,42,1780,4.525e-04,4.078e-04,1.054
answer,1,,1.781e-04,42,1780,1.843e-04,1.943e-04,0.916
anxiety,1,,2.085e-05,42,1780,2.749e-05,1.953e-05,1.068
any,2,,2.178e-03,42,1780,1.839e-03,1.658e-03,1.314
appeared,1,,1.554e-04,42,1780,1.491e-04,1.098e-04,1.416
apply,1,,6.538e-05,42,1780,6.034e-05,5.931e-05,1.102
appointed,1,,2.385e-04,42,1780,1.663e-04,1.430e-04,1.668
apprehend,1,,2.441e-05,42,1780,1.744e-05,8.343e-06,2.926
april,1,proper,1.567e-04,42,1780,1.053e-04,1.635e-04,0.959
are,2,,3.634e-03,42,1780,3.712e-03,3.504e-03,1.037
arrange,1,,6.080e-06,42,1780,7.426e-06,9.698e-06,0.627
arrived,5,,9.506e-05,42,1780,9.281e-05,6.798e-05,1.398
articles,1,,1.304e-04,42,1780,1.031e-04,9.423e-05,1.384
as,10,,6.231e-03,42,1780,6.448e-03,6.478e-03,0.962
ascend,1,,1.111e-05,42,1780,1.223e-05,7.421e-06,1.497
ascending,1,,7.886e-06,42,1780,1.146e-05,1.004e-05,0.785
ascends,1,,3.644e-06,38,1782,3.622e-06,2.559e-06,1.424
assist,1,,3.796e-05,42,1780,3.047e-05,2.375e-05,1.598
assorting,1,,1.470e-07,29,1781,1.604e-07,3.782e-07,0.389
assurances,1,,1.185e-05,42,1780,7.835e-06,5.010e-06,2.365
at,34,,3.874e-03,42,1780,3.970e-03,4.249e-03,0.912
attempt,1,,9.512e-05,42,1780,9.368e-05,7.792e-05,1.221
attention,1,,1.778e-04,42,1780,1.800e-04,1.641e-04,1.083
au,1,,1.719e-05,42,1780,9.395e-06,1.209e-05,1.422
aug,14,,2.040e-06,41,1780,1.493e-06,4.757e-06,0.429
august,2,proper,1.023e-04,42,1780,7.434e-05,1.148e-04,0.891
authorized,1,,7.013e-05,42,1780,5.775e-05,7.816e-05,0.897
aux,1,,2.034e-06,39,1780,2.160e-06,2.019e-06,1.008
avoids,1,,1.466e-06,39,1780,1.810e-06,1.882e-06,0.779
b,1,proper,1.473e-04,42,1780,1.113e-04,1.655e-04,0.890
bad,3,,7.731e-05,42,1780,7.842e-05,8.138e-05,0.950
baggage,2,,1.244e-05,42,1780,9.323e-06,1.193e-05,1.042
bailing,1,,3.521e-07,32,1784,2.303e-07,2.919e-07,1.206
bar,5,,4.811e-05,42,1780,5.240e-05,7.593e-05,0.634
barge,1,,2.582e-06,39,1780,2.733e-06,3.444e-06,0.750
barrels,1,,1.285e-05,42,1780,1.079e-05,1.655e-05,0.777
bars,4,,8.009e-06,42,1780,1.096e-05,2.395e-05,0.334
batteaux,2,,1.639e-06,38,1780,5.424e-07,2.052e-07,7.986
bay,1,proper,6.645e-05,42,1780,5.041e-05,6.286e-05,1.057
be,12,,8.153e-03,42,1780,7.276e-03,6.350e-03,1.284
beach,3,,1.081e-05,42,1780,1.123e-05,1.778e-05,0.608
bearing,1,,3.562e-05,42,1780,4.731e-05,6.431e-05,0.554
bears,1,,2.845e-05,42,1780,2.860e-05,2.610e-05,1.090
beautiful,2,,5.984e-05,42,1780,1.145e-04,1.092e-04,0.548
became,1,,1.232e-04,42,1780,1.553e-04,1.598e-04,0.771
been,4,,2.056e-03,42,1780,2.339e-03,2.234e-03,0.921
before,2,,9.457e-04,42,1780,9.351e-04,8.471e-04,1.116
behind,1,,5.588e-05,42,1780,6.656e-05,8.248e-05,0.677
being,4,,1.121e-03,42,1780,9.612e-04,8.729e-04,1.284
believe,1,,1.902e-04,42,1780,2.221e-04,1.796e-04,1.059
below,2,,8.516e-05,42,1780,9.911e-05,1.386e-04,0.614
bend,1,,1.197e-05,42,1780,1.137e-05,1.352e-05,0.886
bends,1,,3.257e-06,41,1780,3.035e-06,3.329e-06,0.978
best,1,,2.374e-04,42,1780,2.573e-04,3.087e-04,0.769
big,1,proper,1.123e-05,42,1780,1.195e-05,2.944e-05,0.382
biscuit,3,,1.562e-06,38,1780,1.806e-06,1.982e-06,0.788
black,1,,9.760e-05,42,1780,1.077e-04,1.406e-04,0.694
blunderbusses,1,,1.967e-07,27,1782,1.581e-07,8.881e-08,2.215
board,2,,2.247e-04,42,1780,1.821e-04,2.746e-04,0.818
boat,10,,4.621e-05,42,1780,5.259e-05,5.595e-05,0.826
body,1,,2.979e-04,42,1780,3.004e-04,2.486e-04,1.198
bold,1,,2.687e-05,42,1780,3.354e-05,2.482e-05,1.082
both,2,,4.471e-04,42,1780,4.405e-04,4.075e-04,1.097
branch,1,,6.496e-05,42,1780,7.670e-05,7.404e-05,0.877
breadth,1,,2.365e-05,42,1780,2.250e-05,1.844e-05,1.282
breakfast,2,,1.014e-05,42,1780,1.362e-05,1.719e-05,0.590
breakfasted,1,,1.861e-06,38,1780,1.287e-06,9.514e-07,1.956
brothers,2,proper,2.150e-05,42,1780,2.724e-05,3.425e-05,0.628
buffaloe,1,proper,1.287e-06,35,1785,3.586e-07,5.472e-08,23.513
built,1,,6.561e-05,42,1780,6.530e-05,9.027e-05,0.727
bursting,1,,4.704e-06,41,1780,6.745e-06,5.354e-06,0.879
but,20,,3.615e-03,42,1780,3.816e-03,3.321e-03,1.089
butt,1,,2.439e-06,42,1780,2.314e-06,3.392e-06,0.719
butter,1,,1.105e-05,42,1780,1.461e-05,2.741e-05,0.403
by,12,,6.917e-03,42,1780,6.706e-03,6.497e-03,1.065
call,1,,1.388e-04,42,1780,1.523e-04,1.489e-04,0.933
called,5,,4.286e-04,42,1780,4.393e-04,3.731e-04,1.149
came,7,,2.544e-04,42,1780,2.703e-04,3.050e-04,0.834
camp,4,,5.607e-05,42,1780,4.599e-05,5.987e-05,0.937
can,3,,1.244e-03,42,1780,1.346e-03,1.297e-03,0.959
canoe,2,,8.588e-06,40,1780,6.702e-06,6.527e-06,1.316
canoes,2,,1.080e-05,40,1780,5.522e-06,4.645e-06,2.326
cass,1,proper,1.441e-06,34,1783,4.167e-06,6.244e-06,0.231
catfish,2,,1.405e-07,25,1789,1.371e-07,3.737e-07,0.376
cattle,1,,4.775e-05,42,1780,3.954e-05,5.271e-05,0.906
caught,5,,1.800e-05,42,1780,2.289e-05,3.032e-05,0.593
cave,1,,1.200e-05,41,1780,1.101e-05,9.904e-06,1.212
cedar,2,,5.654e-06,42,1780,6.181e-06,1.167e-05,0.485
central,1,,1.606e-05,42,1780,2.762e-05,8.499e-05,0.189
ch,1,proper,4.214e-05,42,1780,5.539e-05,4.266e-05,0.988
channel,4,,2.255e-05,42,1780,2.368e-05,4.208e-05,0.536
chart,2,,5.769e-06,42,1780,4.323e-06,6.951e-06,0.830
cheese,1,,5.904e-06,42,1780,7.935e-06,1.405e-05,0.420
chein,1,proper,3.741e-08,15,1792,2.719e-08,1.729e-08,2.164
cheins,1,proper,1.298e-09,1,1821,3.348e-09,1.454e-09,0.893
chief,1,,1.786e-04,42,1780,1.425e-04,1.575e-04,1.134
chiefly,1,,6.124e-05,42,1780,6.063e-05,4.995e-05,1.226
chiefs,1,,2.145e-05,42,1780,2.584e-05,1.538e-05,1.395
chien,1,proper,3.796e-07,28,1786,9.988e-07,1.099e-06,0.346
choose,2,,3.692e-05,42,1780,3.627e-05,2.707e-05,1.364
clearer,1,,4.011e-06,42,1780,4.620e-06,5.490e-06,0.731
cliff,1,,2.718e-06,41,1780,4.619e-06,6.457e-06,0.421
close,1,,9.136e-05,42,1780,1.153e-04,1.394e-04,0.656
clothing,1,,2.421e-05,42,1780,1.885e-05,2.632e-05,0.920
cluster,1,,2.720e-06,39,1780,3.880e-06,5.010e-06,0.543
coffee,1,,1.543e-05,42,1780,1.733e-05,2.077e-05,0.743
come,2,,3.187e-04,42,1780,3.529e-04,3.626e-04,0.879
comes,1,,6.049e-05,42,1780,6.969e-05,8.866e-05,0.682
coming,1,,7.824e-05,42,1780,8.563e-05,1.032e-04,0.758
commenced,1,,3.905e-05,42,1780,6.991e-05,6.445e-05,0.606
commences,1,,6.912e-06,42,1780,1.063e-05,7.948e-06,0.870
committed,1,,1.157e-04,42,1780,9.067e-05,6.003e-05,1.927
company,1,,1.978e-04,42,1780,2.417e-04,4.534e-04,0.436
conceived,1,,3.421e-05,42,1780,2.863e-05,1.716e-05,1.993
concluded,1,proper,4.767e-05,42,1780,4.434e-05,2.956e-05,1.613
confusion,1,,3.222e-05,42,1780,3.280e-05,2.480e-05,1.299
consequence,1,,1.483e-04,42,1780,1.353e-04,7.607e-05,1.950
considerable,1,,1.542e-04,42,1780,1.342e-04,1.053e-04,1.465
considerably,1,,2.540e-05,42,1780,2.257e-05,2.222e-05,1.143
consideration,1,,1.726e-04,42,1780,1.732e-04,1.507e-04,1.145
considered,1,,1.998e-04,42,1780,2.013e-04,1.523e-04,1.312
consisting,1,,3.992e-05,42,1780,3.536e-05,3.631e-05,1.099
consumption,1,,1.553e-05,42,1780,2.326e-05,2.509e-05,0.619
continuation,1,,9.509e-06,42,1780,9.006e-06,8.802e-06,1.080
continue,1,,1.050e-04,42,1780,8.426e-05,6.396e-05,1.642
continued,3,,1.608e-04,42,1780,1.734e-04,1.603e-04,1.003
continues,1,,2.812e-05,42,1780,2.624e-05,2.266e-05,1.241
convenient,1,,4.728e-05,42,1780,3.646e-05,3.310e-05,1.428
convey,1,,3.054e-05,42,1780,2.983e-05,2.475e-05,1.234
cool,1,proper,1.607e-05,42,1780,1.870e-05,2.326e-05,0.691
copper,1,proper,2.582e-05,42,1780,2.957e-05,4.422e-05,0.584
