text,n_types,absent_pre1822,rare_lt1e7,ratio_lt_0_1,ratio_lt_0_25,strong,strong_examples
biddle,669,0.0015,0.0179,0.0015,0.0120,0.0000,
ejames,848,0.0295,0.0472,0.0047,0.0283,0.0000,
flint,787,0.0051,0.0114,0.0013,0.0102,0.0000,
gregg,896,0.0056,0.0312,0.0033,0.0346,0.0022,ranchero vaqueros
hall,866,0.0092,0.0150,0.0000,0.0196,0.0000,
irving,821,0.0037,0.0305,0.0037,0.0317,0.0000,
jackson,551,0.0091,0.0309,0.0036,0.0127,0.0000,
jefferson,737,0.0014,0.0190,0.0027,0.0095,0.0014,egoism
jqadams,681,0.0044,0.0132,0.0000,0.0059,0.0000,
paulding,850,0.0141,0.0224,0.0000,0.0129,0.0000,
pike,604,0.0033,0.0050,0.0017,0.0132,0.0000,
randolph,695,0.0144,0.0086,0.0000,0.0043,0.0000,
letters,708,0.0014,0.0099,0.0085,0.0339,0.0028,stampeding grizzlies
narrative,960,0.0052,0.0052,0.0021,0.0146,0.0000,
