word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,44,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
able,1,,1.729e-04,42,1780,1.631e-04,1.469e-04,1.177
about,2,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
above,1,,3.212e-04,42,1780,3.343e-04,3.528e-04,0.910
absence,2,,4.972e-05,42,1780,4.989e-05,6.689e-05,0.743
absent,3,,2.842e-05,42,1780,2.536e-05,3.051e-05,0.931
abundance,1,,2.253e-05,42,1780,2.505e-05,2.010e-05,1.121
acceptable,3,,1.571e-05,42,1780,1.531e-05,8.778e-06,1.790
accessions,1,,1.138e-06,38,1781,1.774e-06,2.004e-06,0.568
accident,2,,2.925e-05,42,1780,2.656e-05,3.185e-05,0.918
accompany,1,,1.800e-05,42,1780,1.748e-05,1.535e-05,1.173
accompanying,1,,1.708e-05,42,1780,1.603e-05,2.413e-05,0.708
accomplished,1,,2.777e-05,42,1780,4.292e-05,4.384e-05,0.634
accordance,1,,8.026e-06,40,1780,1.696e-05,3.687e-05,0.218
account,1,,3.669e-04,42,1780,3.018e-04,2.475e-04,1.482
accumulated,2,,7.484e-06,42,1780,9.868e-06,1.023e-05,0.732
accumulations,1,,1.714e-06,38,1780,1.539e-06,3.055e-06,0.561
acquaintance,1,,3.467e-05,42,1780,3.687e-05,2.573e-05,1.347
acquaintances,1,,2.473e-06,42,1780,4.442e-06,4.587e-06,0.539
action,2,,2.331e-04,42,1780,2.565e-04,3.365e-04,0.693
adding,1,,2.155e-05,42,1780,2.376e-05,2.423e-05,0.889
addition,1,,6.830e-05,42,1780,6.527e-05,7.663e-05,0.891
addressed,3,,3.769e-05,42,1780,5.594e-05,4.343e-05,0.868
admitted,1,,9.242e-05,42,1780,9.579e-05,8.084e-05,1.143
advent,1,,1.769e-06,41,1780,2.957e-06,5.805e-06,0.305
adventure,1,,9.441e-06,42,1780,9.990e-06,8.507e-06,1.110
advice,1,,6.153e-05,42,1780,4.452e-05,3.573e-05,1.722
advisable,1,,9.158e-06,42,1780,9.238e-06,1.090e-05,0.840
advised,2,,2.062e-05,42,1780,1.912e-05,1.902e-05,1.084
advocated,1,,2.060e-06,38,1780,5.856e-06,6.659e-06,0.309
affairs,1,,1.427e-04,42,1780,9.762e-05,9.233e-05,1.545
affecting,1,,1.750e-05,42,1780,2.057e-05,1.632e-05,1.072
afford,1,,5.886e-05,42,1780,5.669e-05,3.918e-05,1.502
after,1,,9.501e-04,42,1780,9.360e-04,9.191e-04,1.034
again,1,,2.795e-04,42,1780,3.366e-04,3.287e-04,0.850
against,1,,7.017e-04,42,1780,6.675e-04,5.705e-04,1.230
agreed,2,,1.079e-04,42,1780,8.952e-05,9.177e-05,1.176
agreement,1,,5.332e-05,42,1780,5.402e-05,6.806e-05,0.783
aid,1,,8.141e-05,42,1780,1.003e-04,1.048e-04,0.777
all,16,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
allow,1,,6.447e-05,42,1780,6.377e-05,6.870e-05,0.939
alone,2,,1.380e-04,42,1780,1.705e-04,1.527e-04,0.904
already,2,,1.771e-04,42,1780,2.043e-04,1.916e-04,0.924
also,2,,6.678e-04,42,1780,6.941e-04,7.343e-04,0.909
altogether,1,,4.372e-05,42,1780,5.946e-05,4.862e-05,0.899
always,1,,2.769e-04,42,1780,2.771e-04,2.739e-04,1.011
among,1,,3.966e-04,42,1780,4.507e-04,3.721e-04,1.066
amount,1,,1.400e-04,42,1780,2.273e-04,3.412e-04,0.410
ample,1,,2.462e-05,42,1780,2.960e-05,2.569e-05,0.958
an,14,,2.969e-03,42,1780,2.959e-03,2.855e-03,1.040
and,115,,2.816e-02,42,1780,2.824e-02,2.700e-02,1.043
another,1,,4.298e-04,42,1780,4.525e-04,4.078e-04,1.054
any,4,,2.178e-03,42,1780,1.839e-03,1.658e-03,1.314
appearance,1,,1.219e-04,42,1780,1.212e-04,9.792e-05,1.244
appears,1,,2.051e-04,42,1780,1.738e-04,1.265e-04,1.622
appliances,1,,6.333e-07,29,1785,1.245e-06,8.886e-06,0.071
appropriating,1,,3.038e-06,42,1780,4.559e-06,4.098e-06,0.741
april,1,proper,1.567e-04,42,1780,1.053e-04,1.635e-04,0.959
are,14,,3.634e-03,42,1780,3.712e-03,3.504e-03,1.037
around,1,,5.298e-05,42,1780,1.094e-04,1.244e-04,0.426
arranged,2,,1.688e-05,42,1780,2.741e-05,6.027e-05,0.280
arrangement,2,,3.659e-05,42,1780,4.439e-05,5.601e-05,0.653
arrived,2,,9.506e-05,42,1780,9.281e-05,6.798e-05,1.398
articles,1,,1.304e-04,42,1780,1.031e-04,9.423e-05,1.384
as,27,,6.231e-03,42,1780,6.448e-03,6.478e-03,0.962
ascertained,1,,3.253e-05,42,1780,4.052e-05,3.051e-05,1.066
asking,1,,9.996e-06,42,1780,1.744e-05,2.717e-05,0.368
assigned,1,,4.418e-05,42,1780,4.410e-05,4.350e-05,1.016
assist,1,,3.796e-05,42,1780,3.047e-05,2.375e-05,1.598
assistance,1,,8.259e-05,42,1780,5.556e-05,3.798e-05,2.175
associates,2,,1.242e-05,42,1780,1.484e-05,1.308e-05,0.949
association,1,,3.033e-05,41,1780,4.321e-05,1.060e-04,0.286
assurances,1,,1.185e-05,42,1780,7.835e-06,5.010e-06,2.365
assure,1,,2.382e-05,42,1780,1.901e-05,1.313e-05,1.815
assuring,1,,5.653e-06,42,1780,4.637e-06,3.170e-06,1.783
at,17,,3.874e-03,42,1780,3.970e-03,4.249e-03,0.912
atmosphere,1,,2.359e-05,42,1780,3.052e-05,3.175e-05,0.743
authority,3,,3.088e-04,42,1780,2.142e-04,1.704e-04,1.812
avail,1,,2.029e-05,42,1780,2.339e-05,1.790e-05,1.133
aware,1,,1.958e-05,42,1780,4.373e-05,3.370e-05,0.581
b,2,,1.473e-04,42,1780,1.113e-04,1.655e-04,0.890
be,48,,8.153e-03,42,1780,7.276e-03,6.350e-03,1.284
bears,1,,2.845e-05,42,1780,2.860e-05,2.610e-05,1.090
became,1,,1.232e-04,42,1780,1.553e-04,1.598e-04,0.771
become,1,,1.952e-04,42,1780,2.208e-04,2.108e-04,0.926
bedford,2,proper,1.166e-05,42,1780,9.519e-06,9.832e-06,1.186
been,6,,2.056e-03,42,1780,2.339e-03,2.234e-03,0.921
before,3,,9.457e-04,42,1780,9.351e-04,8.471e-04,1.116
beg,1,,4.095e-05,42,1780,2.949e-05,2.530e-05,1.618
being,6,,1.121e-03,42,1780,9.612e-04,8.729e-04,1.284
belonging,1,,7.506e-05,42,1780,5.525e-05,5.146e-05,1.459
below,1,,8.516e-05,42,1780,9.911e-05,1.386e-04,0.614
beneficial,1,,2.287e-05,42,1780,2.429e-05,1.684e-05,1.358
best,2,,2.374e-04,42,1780,2.573e-04,3.087e-04,0.769
better,3,,2.135e-04,42,1780,2.259e-04,2.452e-04,0.871
