,jefferson_1,jefferson_2,jefferson_3,jefferson_4,randolph_1,randolph_2,randolph_3,randolph_4,jackson_1,jackson_2,jackson_3,jackson_4,jqadams_1,jqadams_2,jqadams_3,jqadams_4,ejames_1,ejames_2,ejames_3,ejames_4,flint_1,flint_2,flint_3,flint_4,hall_1,hall_2,hall_3,hall_4,paulding_1,paulding_2,paulding_3,paulding_4,pike_1,pike_2,pike_3,pike_4,biddle_1,biddle_2,biddle_3,biddle_4,gregg_1,gregg_2,gregg_3,gregg_4,pattie_1,pattie_2,pattie_3,pattie_4,tjames_1,tjames_2,tjames_3,tjames_4,irving_1,irving_2,irving_3,irving_4,bagby_1,bagby_2,bagby_3,bagby_4,cooke_1,cooke_2,cooke_3,cooke_4,cooke_lee_1,cooke_lee_2,cooke_lee_3,cooke_lee_4,davis_1,davis_2,davis_3,davis_4,page_1,page_2,page_3,page_4,cable_1,cable_2,cable_3,cable_4,eggleston_1,eggleston_2,eggleston_3,eggleston_4,twain_1,twain_2,twain_3,twain_4,twain_letters_1,twain_letters_2,twain_letters_3,twain_letters_4,lee_1,lee_2,lee_3,lee_4,cabell_1,cabell_2,cabell_3,cabell_4,christian_1,christian_2,christian_3,christian_4,pollock_1,pollock_2,pollock_3,pollock_4,shsp_1,shsp_2,shsp_3,shsp_4,poe_goldbug_1,poe_goldbug_2,poe_letters_1,beale_letters,beale_letter1,beale_b2,narrative,morriss,narrative_A,narrative_B,beale_letters_2000,narrative_2000
jefferson_1,0.0000,0.8162,0.9252,1.1177,1.0303,0.9908,1.1356,1.0130,1.0216,1.0541,0.8756,0.8774,0.8517,0.9738,0.9670,0.9132,1.1920,1.0434,1.2388,1.1701,0.9035,1.0027,0.9310,0.9641,1.0106,0.9563,0.8764,1.0764,0.8604,0.9147,0.8951,0.8340,1.0429,0.9916,0.9914,1.0208,1.0607,1.0338,1.1032,1.0089,0.9845,1.0658,1.0398,1.1128,0.9130,1.2120,0.9968,1.0047,0.9454,1.0443,0.9822,0.9802,0.8697,1.0299,1.1032,1.1195,0.9157,1.1031,0.9070,1.1159,0.8618,0.8801,1.0528,1.1524,0.8637,1.0448,0.9930,0.8889,0.9342,0.8994,0.9944,0.9042,1.0580,1.0500,1.0620,1.1979,0.9144,1.0142,1.0531,1.0176,1.0522,1.0187,0.9579,1.0060,0.9646,1.0875,0.9272,1.0591,1.0449,0.9180,1.0863,0.9976,1.0881,0.8429,1.0169,1.0272,0.9023,0.9443,0.9790,0.9116,0.9634,1.0021,1.0117,1.0274,0.9739,0.9772,0.8706,1.1244,0.8777,1.0386,0.9649,0.9230,1.0767,0.9718,1.0837,1.0780,1.0773,1.4551,0.8915,1.1877,1.0082,0.9764,1.0950,1.0066
jefferson_2,0.8162,0.0000,0.8770,1.0663,1.0432,1.0516,1.0986,0.9378,0.8466,1.0539,0.8208,0.8763,0.8098,0.9444,0.8720,0.9740,1.1019,0.9812,1.2371,1.1618,0.9517,0.9428,0.9630,0.9158,0.9375,0.8948,0.8008,1.1003,0.9126,0.9074,0.9664,0.9161,0.9601,0.9326,0.9547,1.0196,1.0379,1.0587,1.0422,1.0508,1.0103,0.9772,1.0604,1.0506,0.8453,1.1329,0.9461,0.9921,0.8727,1.0268,0.9449,0.9495,0.9386,0.9962,1.1021,1.0874,0.9774,1.1503,0.9311,1.1338,0.8920,0.7711,1.0319,1.1306,0.8358,1.0405,0.9881,0.9506,0.8794,0.8716,0.8433,0.7907,1.1476,1.0448,1.1266,1.1753,0.9865,0.9794,1.0794,1.0155,1.0436,1.0445,1.0477,0.9165,1.0774,1.1265,0.9446,1.0265,1.0351,0.9721,1.0988,1.0566,0.9647,0.8905,0.9501,1.1322,0.9994,0.9695,1.0088,0.9075,0.9493,1.0402,1.0157,0.9943,0.8718,0.9648,0.9360,1.0355,1.0219,1.0658,0.9206,0.8247,1.1299,0.9558,1.1212,0.8479,0.8624,1.3805,0.8680,1.2812,0.9441,0.9370,0.8928,0.9389
jefferson_3,0.9252,0.8770,0.0000,1.1450,1.1288,1.2393,1.2385,1.1133,0.9392,1.1831,0.9750,0.9313,1.0300,0.9774,1.0247,1.0692,1.0680,0.9965,1.2790,1.1408,0.9684,0.9119,0.9849,1.0320,0.9634,0.9047,0.9035,1.1200,1.0371,1.0047,1.1039,1.0037,1.0658,0.9511,0.9715,1.0027,0.9933,0.9965,1.0734,1.0354,1.0638,0.9172,1.0355,1.0803,0.8935,1.0528,1.0461,1.0257,0.9214,0.9809,0.9368,1.0357,0.9308,1.0109,1.0923,1.1059,1.0979,1.2205,0.9783,1.2504,0.9706,0.9697,1.0810,1.2225,1.0214,1.1235,1.0270,1.0429,0.9361,0.9460,0.9684,0.9014,1.1530,1.2225,1.2409,1.2510,1.1023,1.1652,1.1824,1.1991,1.1486,1.0182,1.2488,1.0002,1.1942,1.3294,1.1082,1.0929,1.1412,1.1549,1.3518,1.2195,1.1758,1.0040,1.0901,1.0826,1.0498,1.1466,1.0590,1.0462,1.0840,1.1516,1.1017,1.1564,1.0308,1.0457,1.0494,1.1611,0.9762,1.1245,1.0107,0.9201,1.2808,1.1121,1.2456,0.9743,0.9739,1.5094,0.9977,1.2571,1.1659,1.0413,0.9859,1.1657
jefferson_4,1.1177,1.0663,1.1450,0.0000,1.1783,1.2986,1.4405,1.1372,1.0766,1.2291,1.1791,1.1236,1.0294,1.1768,1.1361,1.1859,1.2545,1.2247,1.3148,1.3018,1.1000,1.2303,1.0821,1.1946,1.0013,1.0771,1.0728,0.9406,1.0071,0.9676,1.2041,1.0935,1.2431,1.1307,1.1621,1.1006,1.2047,1.3023,1.1897,1.1780,1.0858,1.2408,1.1005,1.2029,1.1380,1.3575,1.2464,1.2178,1.1655,1.2376,1.2758,1.2533,1.1132,1.2962,1.3085,1.3081,1.0418,1.3017,1.2088,1.3891,1.1016,1.0629,1.2930,1.2953,1.1616,1.2807,1.2220,1.2511,0.9224,1.1234,1.1233,1.0530,1.3675,1.2523,1.3402,1.4115,1.1072,1.2788,1.2371,1.2572,1.2300,1.2634,1.2929,1.1052,1.2720,1.3180,1.1253,1.0095,1.1899,1.2867,1.3288,1.2404,1.2691,1.1881,1.0999,1.3350,1.1939,1.3175,1.2039,1.1868,1.1917,1.2774,1.2091,1.2284,1.1301,1.1952,1.0687,1.1772,1.1710,1.3311,1.1588,1.1421,1.3763,1.1163,1.3911,1.1507,1.1535,1.5575,1.0926,1.6227,1.1553,1.1812,1.1773,1.1516
randolph_1,1.0303,1.0432,1.1288,1.1783,0.0000,0.7939,0.8746,0.8581,0.9247,0.9100,0.8363,1.1370,0.9906,1.0888,1.1276,1.0195,1.2384,1.1983,1.3883,1.3033,1.1275,1.1812,1.0955,1.1319,1.0943,1.0440,1.1485,1.1126,1.0115,1.0338,1.0600,1.0563,1.2338,1.0789,0.9901,1.0568,1.2868,1.2125,1.1557,1.1687,1.0269,1.2192,1.1000,1.1635,1.1507,1.3660,1.2086,1.0526,1.1641,1.2114,1.1338,1.0391,1.2052,1.2069,1.3093,1.2916,1.0056,1.2154,1.1120,1.1596,1.0698,1.0115,1.2860,1.3530,1.0094,1.1648,1.1215,1.0408,1.0692,1.0567,1.2340,0.9899,1.3217,1.2588,1.2204,1.3930,1.1406,0.9955,1.2172,0.9854,1.2901,1.2311,1.2496,1.1761,1.2744,1.2475,1.1165,1.1078,1.0329,1.0269,1.0916,0.9208,0.9383,0.9680,0.8570,1.2777,1.1506,1.2033,1.1200,1.2365,1.1190,1.2253,1.1977,1.1523,1.0689,1.1445,1.1130,1.2430,1.2046,1.1512,1.0342,0.9751,1.0576,1.0948,1.0705,1.0406,1.0786,1.5441,0.9909,1.3552,1.0966,1.0241,1.1210,1.0969
randolph_2,0.9908,1.0516,1.2393,1.2986,0.7939,0.0000,0.7808,0.8805,0.9109,0.8777,0.8425,1.0299,1.0029,1.0922,1.0744,0.9861,1.2316,1.1750,1.2878,1.2083,1.0942,1.1236,1.0559,1.0147,1.0593,1.0195,1.1351,1.1119,1.0168,1.0855,1.0645,0.9787,1.1406,1.0412,0.9958,1.0294,1.1889,1.1445,1.0979,1.1248,1.0484,1.2698,1.2036,1.1721,1.0637,1.2849,1.1758,0.9684,1.0719,1.1339,1.0898,0.9945,1.1301,1.1655,1.3014,1.1988,1.0015,1.1252,1.1192,1.1063,1.0486,0.9599,1.1274,1.2570,0.9198,1.1698,1.1182,1.0547,1.0964,1.0556,1.1855,0.9512,1.3494,1.2831,1.1138,1.2310,0.9866,0.9409,1.0943,0.9395,1.2953,1.2015,1.1189,1.0886,1.2280,1.2392,1.0803,1.1922,0.9324,1.0205,1.0977,0.9559,0.9508,1.0057,0.9051,1.2040,1.1085,1.2006,1.1768,1.0900,1.1133,1.1301,1.1050,1.0638,0.9906,1.1735,1.0276,1.1684,1.1403,1.0756,1.0309,0.8868,0.9001,1.0330,1.0754,1.0982,1.1526,1.5135,1.0354,1.3902,1.1564,1.0730,1.1929,1.1548
randolph_3,1.1356,1.0986,1.2385,1.4405,0.8746,0.7808,0.0000,0.9037,0.9971,0.9986,0.8721,1.0727,1.1418,1.2241,1.1922,1.0958,1.2606,1.1768,1.3354,1.2362,1.2364,1.0773,1.2027,1.0472,1.1179,1.0777,1.2403,1.2961,1.1018,1.1723,1.0845,1.0693,1.1642,1.1164,1.0957,1.1132,1.2354,1.2125,1.1577,1.2457,1.1905,1.3334,1.2291,1.2476,1.1411,1.3237,1.2651,1.1274,1.0513,1.1079,1.1867,1.0136,1.2639,1.2102,1.3180,1.2410,1.0222,1.1669,1.0869,1.1963,1.1580,1.0564,1.2691,1.3223,0.9871,1.2195,1.1317,1.1067,1.2311,1.0546,1.2199,1.1111,1.2941,1.3263,1.2114,1.2533,1.1714,1.0301,1.1672,0.9728,1.3497,1.2881,1.2142,1.2313,1.3163,1.3516,1.1410,1.1527,1.0855,1.0493,1.1371,1.0965,1.0423,1.1281,1.0490,1.2653,1.2258,1.2398,1.1751,1.1670,1.1358,1.1834,1.1676,1.1475,1.0298,1.1600,0.9786,1.1997,1.1126,1.0463,1.0569,0.9333,1.0361,1.0867,1.1030,1.1985,1.2536,1.5197,1.1543,1.4326,1.2088,1.2240,1.3052,1.2077
randolph_4,1.0130,0.9378,1.1133,1.1372,0.8581,0.8805,0.9037,0.0000,1.0178,0.9430,0.8704,0.9702,0.9435,1.0449,1.0769,0.9711,1.1840,1.0618,1.3710,1.2197,1.0097,1.0185,1.0658,0.9721,1.0733,0.8940,1.1053,1.0742,0.9067,0.8921,0.9603,0.9503,1.0651,0.9878,1.0284,1.0757,1.2335,1.0911,1.0798,1.1271,0.9660,1.2114,1.1212,1.1009,1.0670,1.1948,1.1683,0.9716,1.0544,1.0705,1.0653,0.9793,1.1001,1.0593,1.1737,1.1060,0.8646,1.1423,0.9515,1.0350,1.0135,0.9110,1.1959,1.2849,0.9242,1.1201,1.1046,1.0118,1.0496,1.0233,1.1461,1.0603,1.2227,1.1138,1.1410,1.2221,1.0090,0.9331,1.0258,0.9379,1.1634,1.2223,1.1182,1.1139,1.1239,1.0310,0.9507,1.0072,0.9142,0.9444,0.9907,0.9720,0.9128,1.0040,0.9279,1.1691,1.0582,1.0737,1.0389,1.0861,1.0998,1.1056,1.1491,1.0941,0.9728,1.0905,0.9053,1.1907,1.0505,0.9977,0.9562,0.8483,0.9396,0.9538,1.1517,1.0185,1.0460,1.5224,0.9752,1.3270,1.0690,1.0259,1.0814,1.0689
jackson_1,1.0216,0.8466,0.9392,1.0766,0.9247,0.9109,0.9971,1.0178,0.0000,0.8105,0.6906,0.8785,0.8822,0.9165,0.9978,0.8878,1.0322,1.0833,1.2032,1.0585,1.0119,1.0052,0.9732,0.9338,0.9683,0.9304,0.9650,0.9980,0.9815,0.9557,1.0831,0.9774,1.0572,0.8972,0.8682,0.8933,0.9446,1.0308,1.0726,1.0343,0.9878,1.1191,1.0923,1.0171,0.9678,1.1378,0.9548,1.0241,0.9058,1.0473,0.9482,0.9867,1.0645,1.0433,1.1374,1.1048,1.0150,1.0999,1.0293,1.1884,0.9049,0.7930,1.0384,1.0469,0.8862,0.9838,0.8985,0.8795,0.9105,0.8463,0.9559,0.7490,1.1422,1.1573,1.1280,1.2337,1.0250,1.0001,1.0524,1.0032,1.1761,1.0888,1.0700,1.0805,1.2216,1.2697,1.0019,1.0608,1.0832,1.0886,1.0904,1.1005,1.0295,0.8557,0.8915,1.2012,1.0244,1.0582,0.9649,1.0017,0.9837,1.0736,0.9503,1.0334,0.9601,1.0330,0.9384,0.9474,1.0642,1.0518,0.8066,0.8699,1.1361,1.0816,1.1129,0.8888,0.9522,1.2931,0.9049,1.2257,1.0330,0.9482,0.9739,1.0266
jackson_2,1.0541,1.0539,1.1831,1.2291,0.9100,0.8777,0.9986,0.9430,0.8105,0.0000,0.7723,1.0653,1.0009,1.0893,1.1142,1.0823,1.2018,1.2324,1.3700,1.1700,1.1129,1.1650,1.1187,1.0119,1.1806,1.1204,1.2310,1.2314,1.0784,1.1980,1.1172,1.0550,1.1587,1.0067,1.0830,1.1254,1.2117,1.1623,1.0605,1.1912,1.1670,1.3628,1.2948,1.2708,1.0992,1.3288,1.2033,1.1267,1.0991,1.1891,1.1104,0.9740,1.2220,1.2296,1.3199,1.2813,1.0413,1.1878,1.2281,1.0120,1.0646,0.9810,1.2956,1.2277,1.0767,1.1393,1.1356,1.0385,1.1921,1.0229,1.1999,0.9709,1.4376,1.2887,1.1499,1.3948,1.1216,1.0845,1.1440,0.9181,1.4000,1.3047,1.1829,1.2105,1.2520,1.1690,1.1329,1.1304,0.9674,0.9187,1.0808,0.9010,0.9579,0.9737,0.8781,1.2865,1.2058,1.2225,1.1917,1.1537,1.1856,1.1984,1.1131,1.0782,1.0575,1.1528,1.0361,1.1342,1.1973,1.1577,1.0513,0.9003,0.9674,1.0413,1.1197,0.9983,1.0380,1.4406,1.0767,1.3399,1.1428,1.1275,1.0606,1.1372
