,jefferson_1,jefferson_2,jefferson_3,jefferson_4,randolph_1,randolph_2,randolph_3,randolph_4,jackson_1,jackson_2,jackson_3,jackson_4,jqadams_1,jqadams_2,jqadams_3,jqadams_4,ejames_1,ejames_2,ejames_3,ejames_4,flint_1,flint_2,flint_3,flint_4,hall_1,hall_2,hall_3,hall_4,paulding_1,paulding_2,paulding_3,paulding_4,pike_1,pike_2,pike_3,pike_4,biddle_1,biddle_2,biddle_3,biddle_4,gregg_1,gregg_2,gregg_3,gregg_4,pattie_1,pattie_2,pattie_3,pattie_4,tjames_1,tjames_2,tjames_3,tjames_4,irving_1,irving_2,irving_3,irving_4,bagby_1,bagby_2,bagby_3,bagby_4,cooke_1,cooke_2,cooke_3,cooke_4,cooke_lee_1,cooke_lee_2,cooke_lee_3,cooke_lee_4,davis_1,davis_2,davis_3,davis_4,page_1,page_2,page_3,page_4,cable_1,cable_2,cable_3,cable_4,eggleston_1,eggleston_2,eggleston_3,eggleston_4,twain_1,twain_2,twain_3,twain_4,twain_letters_1,twain_letters_2,twain_letters_3,twain_letters_4,lee_1,lee_2,lee_3,lee_4,cabell_1,cabell_2,cabell_3,cabell_4,christian_1,christian_2,christian_3,christian_4,pollock_1,pollock_2,pollock_3,pollock_4,shsp_1,shsp_2,shsp_3,shsp_4,poe_goldbug_1,poe_goldbug_2,poe_letters_1,beale_letters,beale_letter1,beale_b2,narrative,morriss,narrative_A,narrative_B,beale_letters_2000,narrative_2000
jefferson_1,-0.0000,0.8686,0.9696,0.9088,0.8928,0.9376,0.9610,0.9340,1.0080,0.9165,0.9656,1.1467,0.9172,0.9441,0.9567,0.9974,1.1867,1.1350,1.0634,1.0728,0.8524,1.1805,0.9863,1.0648,1.0633,1.1510,1.0685,0.9945,0.9255,1.0721,0.9253,0.8726,1.1825,1.1265,0.9609,1.0406,1.0767,1.1468,1.2434,1.0452,0.9348,1.1684,1.0563,0.9453,1.1160,1.2146,0.9188,0.8629,1.1123,1.0278,1.1371,1.0363,1.0480,1.2358,1.2378,1.1305,0.7514,0.9761,0.8659,1.0247,1.0763,1.0528,1.0497,0.9526,0.8354,1.0472,1.0553,0.8528,0.8588,1.0316,0.9039,0.9770,1.0816,1.0270,1.0445,1.1705,1.0807,0.9985,1.1189,1.0282,0.9087,1.0224,0.8944,1.0826,0.9829,0.9519,0.9894,1.0444,0.9812,0.8986,1.0352,0.8226,0.8984,0.9729,0.8696,0.9782,0.8861,0.9056,1.0059,0.9404,0.8429,1.1029,1.2153,1.0453,0.9807,1.0049,0.9407,0.9960,0.9532,1.1628,1.0346,1.0877,0.9512,0.9395,0.7701,0.9712,0.9663,0.9499,0.7981,0.8388,0.8000,0.8636,0.9714,0.8009
jefferson_2,0.8686,-0.0000,0.8262,0.8055,0.8536,1.0805,1.0487,0.9745,0.8938,0.8606,0.9632,1.1148,0.8578,0.9387,0.8593,1.0856,1.2033,0.9428,0.9736,1.1153,0.9089,1.0748,1.0317,1.1665,0.9880,0.9732,0.8927,0.9773,1.0432,0.8898,1.0211,1.0925,1.1098,1.1333,0.8012,0.9846,1.0411,1.2147,1.2176,1.1841,1.0377,0.9492,0.9266,0.8353,0.9308,1.1809,0.7938,0.9903,1.0366,1.1248,1.1871,1.0618,0.9835,1.0528,1.0690,1.0657,1.0223,1.1292,0.9980,1.0479,1.1206,0.9622,1.1583,0.9817,0.8733,0.9876,1.0580,0.9034,0.8993,0.9631,0.7741,0.9003,1.1111,1.0847,1.1254,1.1860,1.1481,1.0803,1.1781,1.0882,0.9420,0.9281,1.1715,0.8831,1.1066,1.0621,0.8495,0.9241,1.0746,1.0139,1.0990,0.9839,0.8039,0.8128,0.7849,1.0190,1.0215,0.9977,0.9621,1.0087,0.9108,1.1331,1.0390,1.0177,0.8414,0.9343,0.9797,1.0155,1.0117,1.1823,0.9951,0.9592,1.1073,1.0829,0.8819,0.8121,0.8491,0.9203,0.8357,1.0946,0.8461,0.8803,0.8751,0.8421
jefferson_3,0.9696,0.8262,-0.0000,0.7683,0.9925,1.1497,1.0755,1.1487,0.8954,1.0704,1.0215,1.0180,0.9729,0.8825,0.8689,1.0276,0.8497,0.8332,0.8426,1.0539,0.9066,0.8888,0.9201,1.0894,0.8109,0.9114,0.8796,0.8749,1.1607,1.0634,1.0746,1.0203,0.9911,0.9540,0.7917,0.9753,0.9200,0.8832,0.8070,0.9444,0.9653,0.7069,0.7553,0.8678,0.8539,0.9108,0.8931,1.0883,0.9535,0.8525,0.9009,0.9896,0.9443,0.8899,0.9453,0.9318,1.1411,1.1644,0.9584,1.1280,1.0862,1.0913,1.0955,1.0963,0.9790,0.9564,0.8751,1.1004,0.6794,0.8929,0.8225,0.7971,1.0896,1.1559,1.2034,1.1035,1.2175,1.2136,1.2430,1.2022,1.0290,0.8622,1.2572,0.9888,1.2209,1.2415,1.2424,0.8014,1.0969,1.1455,1.3058,1.1456,1.0606,1.0335,0.9744,0.9950,1.0549,1.0647,1.0128,1.1004,1.1307,1.2109,1.1383,1.1653,0.9985,0.9397,1.0685,1.0985,0.9540,1.1948,0.9960,0.9220,1.1754,1.0673,0.9997,0.8090,0.8189,1.0321,1.0032,0.9321,1.0932,0.9130,0.8301,1.0987
jefferson_4,0.9088,0.8055,0.7683,0.0000,0.9043,1.0449,1.1610,0.9254,0.7778,0.8736,0.9902,1.1455,0.7977,0.8551,0.9491,1.0874,1.0767,1.1303,0.8864,1.1966,1.0318,1.2067,0.8842,1.1591,0.8661,0.9322,1.0626,0.6739,0.7852,0.7006,0.9482,0.9006,1.1423,1.0821,0.8436,0.9416,1.0516,1.2119,1.0058,1.0727,0.7970,0.9868,0.7340,0.7775,1.0289,1.1186,1.0102,1.0275,1.1696,1.1302,1.1258,1.0419,1.0292,1.2032,1.1287,1.1090,0.8170,1.1546,0.9533,0.9243,1.0991,1.1130,1.2174,1.1135,0.9049,1.0742,1.1381,1.1489,0.5644,0.8812,0.8530,0.7953,1.1178,1.1015,1.2114,1.1635,1.0094,1.1953,1.0886,1.0026,0.8642,0.9058,1.1194,0.9728,1.1172,0.9980,0.9709,0.6579,0.9053,1.0380,1.1127,0.9045,0.9420,1.0288,0.8097,1.1844,1.1812,1.2462,1.1505,1.1584,0.9651,1.2443,1.1840,1.1501,0.9068,0.9724,0.9931,1.0372,1.1323,1.2652,1.0703,1.0729,1.0385,0.9531,1.0393,0.7957,0.8136,1.1584,0.8653,1.2519,0.9208,0.8553,0.8624,0.9211
randolph_1,0.8928,0.8536,0.9925,0.9043,0.0000,0.4231,0.5670,0.6245,0.6669,0.5707,0.6582,1.1383,1.0357,0.9652,1.0365,0.9690,1.1429,1.2532,1.1177,1.1343,0.9905,1.1442,1.0787,1.0671,1.1063,1.0711,1.0750,0.8422,0.9613,1.0154,0.9526,0.9793,1.1797,1.1411,0.7548,1.0466,1.2428,1.1107,1.1085,1.1383,0.9893,1.1143,0.9925,0.9475,1.0513,1.2146,1.1032,0.8562,1.1857,1.2081,1.0845,0.8898,1.2012,1.2490,1.2842,1.2896,0.9550,1.0489,1.0649,0.8823,1.2002,1.0746,1.2190,1.1222,0.8856,1.1965,1.1965,1.0478,1.1439,1.0684,1.1923,0.8499,1.1811,1.1322,1.1160,1.2899,1.0700,0.9315,1.0451,0.7651,1.1128,1.0498,1.0780,1.0546,1.1324,0.9967,1.0662,0.9975,0.6742,0.7768,0.9547,0.6097,0.5973,0.7525,0.4857,1.1382,1.1077,1.0437,1.0482,1.1979,1.0553,1.2637,1.2428,1.1284,0.8863,1.0767,1.0595,1.1102,1.0831,1.1658,1.0385,0.8729,0.7837,1.0647,0.6630,0.7897,0.8756,1.0697,0.8009,0.8637,0.9034,0.7658,0.9354,0.9090
randolph_2,0.9376,1.0805,1.1497,1.0449,0.4231,-0.0000,0.3949,0.7127,0.6488,0.6628,0.6715,1.0348,1.0149,0.9687,1.0027,0.7908,1.0609,1.2461,1.0848,1.0425,1.0312,1.1709,1.1342,0.9897,1.1545,1.0841,1.2312,0.9102,0.9384,1.1000,0.9662,0.9108,1.0182,0.9197,0.8446,1.0332,1.2325,1.0623,1.0585,1.0423,1.0243,1.1772,1.0394,1.0580,1.1901,1.1319,1.0927,0.7571,1.1614,1.1270,1.0927,0.9174,1.2220,1.2417,1.2678,1.2173,0.9359,0.9276,1.1297,0.8614,1.2409,1.1372,1.2264,1.0843,0.9200,1.2133,1.1696,0.9941,1.1364,0.9431,1.2889,0.7866,1.2581,1.1679,1.0257,1.1325,1.0742,0.8621,0.9653,0.7757,1.1608,1.1462,0.9935,1.0938,1.0662,1.0758,1.0827,1.0963,0.7381,0.8809,0.9393,0.6834,0.6125,0.8763,0.5668,1.0958,1.1908,1.1352,1.1422,1.1552,1.1411,1.1928,1.2595,1.1076,0.9668,1.1175,1.0611,1.0257,1.1640,1.1129,0.9892,0.9056,0.6994,0.9989,0.6827,0.9505,1.0384,1.0657,0.9342,0.9407,1.0115,0.8796,1.0905,1.0175
randolph_3,0.9610,1.0487,1.0755,1.1610,0.5670,0.3949,-0.0000,0.6188,0.7344,0.7638,0.7068,1.0068,1.1197,1.0345,1.0104,0.8014,1.1218,1.1583,1.1455,1.0875,1.0588,0.9721,1.2361,0.8845,1.0755,1.0755,1.2594,1.0186,0.9820,1.1607,0.9091,0.9325,1.0202,0.9556,0.9514,1.0680,1.1746,1.0642,1.0533,1.1320,1.0518,1.1812,1.1149,1.0185,1.1050,1.1151,1.0848,0.8183,1.1304,1.1219,1.0739,0.9048,1.3233,1.1876,1.2040,1.1957,0.9736,0.9836,0.9903,0.9222,1.2765,1.1424,1.2176,1.0528,0.8535,1.1783,1.0101,1.0293,1.1893,0.8479,1.1864,0.8500,1.1947,1.1149,1.0585,1.0036,1.1363,0.9019,0.9444,0.8887,1.1373,1.1546,1.0866,1.1979,1.1161,1.0395,1.0788,1.0079,0.7829,0.7856,0.9901,0.8384,0.6803,0.9189,0.6686,1.0903,1.2344,1.1037,1.1041,1.1482,0.9734,1.1284,1.2146,0.9865,0.8557,1.0925,1.0104,0.9357,1.0340,0.9017,0.9357,0.8104,0.8130,0.9707,0.7310,0.9696,1.0346,1.1206,1.0585,0.8731,1.1287,0.9696,1.0737,1.1331
randolph_4,0.9340,0.9745,1.1487,0.9254,0.6245,0.7127,0.6188,0.0000,0.9545,0.6417,0.7903,1.0060,0.9217,1.0556,1.0661,1.0048,1.1099,1.1986,1.1544,1.0878,0.9908,1.1233,1.1324,1.0710,1.1445,0.9380,1.2418,0.8775,0.8025,0.8016,0.8201,0.8641,1.1288,1.0479,1.0061,1.1817,1.3217,1.0500,1.0814,1.1374,0.8030,1.1413,1.0997,1.0162,1.0736,1.2079,1.1386,0.9427,1.2819,1.2466,1.1826,0.9525,1.1912,1.1919,1.2154,1.1293,0.8303,0.9895,0.8387,0.7666,1.2633,1.0421,1.3175,1.1302,0.9819,1.2567,1.1714,1.0196,1.1883,1.0592,1.2145,1.0737,1.1019,0.9775,1.0384,1.1341,1.0848,0.7861,0.8426,0.7866,0.9957,1.0977,0.8684,1.0406,0.9897,0.8005,0.8934,0.8494,0.6993,0.7334,0.9135,0.7046,0.7097,1.0253,0.7350,1.0987,1.1842,0.9670,1.0959,1.1483,1.0624,1.2471,1.2238,1.1581,0.9549,1.2221,1.0791,1.1315,1.1584,0.9448,1.0591,0.8321,0.7781,0.9536,0.8484,0.9246,0.9405,1.1208,0.9871,0.9534,1.0097,0.9690,0.9643,1.0152
jackson_1,1.0080,0.8938,0.8954,0.7778,0.6669,0.6488,0.7344,0.9545,-0.0000,0.5612,0.5997,1.0472,0.9689,0.8269,0.9856,0.8967,1.1178,1.2433,1.0611,1.0417,1.0351,1.1270,0.9697,0.9478,1.0629,1.1519,1.0792,0.8042,1.0117,0.9498,1.1008,0.8237,1.1742,1.0202,0.7388,0.9161,1.0157,1.0397,1.1245,1.1096,0.9452,1.0952,0.9952,0.8085,1.1264,1.2354,1.0948,0.8960,1.0607,1.1449,1.0473,1.0392,1.1717,1.3009,1.2061,1.2740,0.9439,1.1037,1.1644,0.9962,1.2105,0.9477,1.1834,0.9614,0.8648,1.0408,1.0322,0.7941,0.9367,0.8346,1.0309,0.7392,1.1959,1.1539,1.1279,1.2430,1.1848,1.0340,1.1543,0.9366,1.1354,1.0525,1.0691,1.2139,1.2970,1.2196,1.0358,0.8327,0.9047,0.9733,1.0316,0.8666,0.7982,0.8698,0.7003,1.1545,1.0708,1.1278,0.9649,1.0918,0.9904,1.2347,1.2048,1.0815,0.8709,0.9983,0.9470,0.9650,1.1582,1.1552,0.8462,1.0109,1.0294,1.0858,0.8894,0.7916,0.8846,0.9708,0.9008,0.9101,0.9672,0.8682,0.9359,0.9667
jackson_2,0.9165,0.8606,1.0704,0.8736,0.5707,0.6628,0.7638,0.6417,0.5612,0.0000,0.5734,1.0449,0.8936,0.8684,0.9750,0.9454,1.0977,1.2285,1.1575,1.1381,0.9933,1.2273,1.0837,1.0106,1.1740,1.1894,1.2603,0.9620,0.9391,1.0164,1.1044,0.9325,1.1354,1.0442,0.7784,1.0216,1.2340,1.1356,1.1387,1.1923,0.9562,1.2547,1.0955,1.0004,1.0802,1.2056,1.0283,0.8904,1.2139,1.2859,1.2467,0.8990,1.1521,1.2385,1.2191,1.2366,0.8396,1.1300,1.1309,0.6984,1.3021,1.0351,1.3257,1.0499,0.9218,1.1057,1.1487,0.9181,1.1277,0.9695,1.1680,0.9173,1.2918,0.9846,0.9298,1.2557,1.1016,0.9710,0.9118,0.6460,1.1261,1.1837,0.9806,1.1718,1.1801,0.9388,0.9507,0.7438,0.7094,0.8186,0.8919,0.5994,0.5618,0.7617,0.5742,1.0862,1.2245,1.0568,1.2347,1.2379,1.0504,1.2893,1.2549,1.1443,0.8966,1.0735,1.0276,1.0616,1.1299,1.1665,0.8908,0.8905,0.7667,1.0133,0.7688,0.7277,0.8066,1.0054,0.8260,0.9493,0.8946,0.8163,0.8447,0.8956
