sample,author_key,group,genre,words,n_paragraphs,semicolons,colons,dashes,parentheses,commas,exclamations,questions,etc_&c,quotation_marks,relativisers_which_who,which,that,infinitives,coordinators_and_but_or_nor,and,however,doubtless,upon,until,passive_be_+_ed,negative_passive,never_or_not_to_be_+_participle,reflexive_pronouns,untriggered_reflexives,the_pct,and_pct,of_pct,sentence_len_mean,sentence_len_sd,sentence_len_median,long_sentences_40plus_pct,paragraph_len_mean,word_len_mean,long_words_7plus_pct,type_token_ratio_first1000
jefferson_1,jefferson,early,letters,2187,8,7.773205304069502,3.657978966620942,0.45724737082761774,0.9144947416552355,98.30818472793781,0.45724737082761774,2.286236854138089,0.45724737082761774,0.0,9.144947416552355,4.572473708276178,18.747142203932327,14.631915866483768,48.010973936899866,38.86602652034751,0.45724737082761774,0.45724737082761774,0.0,0.0,7.773205304069502,0.45724737082761774,0.0,5.029721079103795,2.286236854138089,7.864654778235026,3.886602652034751,5.715592135345222,27.0,23.766573164846463,22.0,17.28395061728395,272.375,4.5592135345221765,21.902149062642888,0.43
jefferson_2,jefferson,early,letters,2084,14,8.157389635316699,0.4798464491362764,0.4798464491362764,0.0,97.88867562380038,0.0,0.0,0.4798464491362764,0.0,7.197696737044146,5.758157389635317,14.875239923224568,17.754318618042227,42.7063339731286,33.589251439539346,1.4395393474088292,0.0,0.9596928982725528,0.4798464491362764,8.637236084452976,0.0,0.0,0.9596928982725528,0.0,6.142034548944338,3.3589251439539347,4.846449136276392,23.415730337078653,17.411992333370833,19.0,14.606741573033707,148.57142857142858,4.594529750479847,23.272552783109404,0.403
jefferson_3,jefferson,early,letters,2239,12,5.359535506922733,0.4466279589102278,0.8932559178204555,1.3398838767306833,100.93791871371148,0.0,0.0,0.0,0.0,13.398838767306833,10.719071013845467,12.05895489057615,20.54488610987048,45.10942384993301,34.39035283608754,1.3398838767306833,0.0,0.0,0.4466279589102278,12.05895489057615,0.8932559178204555,0.4466279589102278,4.466279589102278,1.786511835640911,7.369361322018758,3.439035283608754,6.386779812416258,35.523809523809526,19.2126110657332,35.0,36.507936507936506,186.25,4.751674854845914,25.011165698972754,0.435
jefferson_4,jefferson,early,letters,2005,21,7.4812967581047385,1.9950124688279303,0.0,1.4962593516209477,81.79551122194513,0.0,0.49875311720698257,0.0,0.0,14.962593516209477,11.471321695760599,14.962593516209477,28.428927680798004,41.895261845386536,24.438902743142144,0.49875311720698257,0.0,0.0,0.0,12.967581047381547,0.49875311720698257,0.0,0.0,0.0,9.376558603491272,2.4438902743142146,5.187032418952619,29.043478260869566,13.53800183210721,28.0,18.84057971014493,95.66666666666667,4.46783042394015,20.399002493765586,0.33
randolph_1,randolph,early,letters,2022,39,7.9129574678536105,3.9564787339268053,4.451038575667655,0.49455984174085066,121.66172106824926,0.49455984174085066,2.472799208704253,0.9891196834817013,11.869436201780415,9.396636993076163,7.4183976261127595,12.363996043521267,20.276953511374877,49.45598417408507,33.13550939663699,0.49455984174085066,0.0,1.4836795252225519,0.0,4.451038575667655,0.49455984174085066,0.0,1.4836795252225519,0.49455984174085066,3.3630069238377844,3.3135509396636995,2.7695351137487636,22.21978021978022,13.660813541580405,20.0,12.087912087912088,52.1025641025641,4.334817012858556,18.348170128585558,0.423
randolph_2,randolph,early,letters,2091,48,4.782400765184122,2.391200382592061,1.9129603060736489,4.782400765184122,96.12625538020086,0.9564801530368244,4.782400765184122,0.4782400765184122,4.30416068866571,10.043041606886657,5.260640841702535,13.390722142515543,23.91200382592061,33.95504543280727,24.868483978957435,0.9564801530368244,0.0,1.9129603060736489,2.391200382592061,5.738880918220947,0.0,0.0,1.9129603060736489,0.9564801530368244,3.778096604495457,2.4868483978957436,3.395504543280727,15.567164179104477,9.914254764567648,13.0,2.9850746268656714,43.583333333333336,4.152080344332855,16.594930655188904,0.455
randolph_3,randolph,early,letters,2035,48,9.336609336609337,2.9484029484029484,5.405405405405405,3.9312039312039313,102.21130221130221,2.9484029484029484,3.9312039312039313,1.9656019656019657,2.9484029484029484,4.422604422604422,3.43980343980344,10.81081081081081,13.267813267813267,33.90663390663391,30.466830466830466,0.0,0.0,1.9656019656019657,0.9828009828009828,8.353808353808354,0.0,0.0,1.9656019656019657,0.9828009828009828,4.6683046683046685,3.0466830466830466,3.3415233415233416,15.293233082706767,11.232921012274064,13.0,5.263157894736842,42.583333333333336,4.098771498771499,16.167076167076168,0.416
randolph_4,randolph,early,letters,2033,20,10.329562223315298,3.9350713231677323,4.426955238563699,6.394490900147566,119.0359075258239,0.0,0.9837678307919331,0.49188391539596654,19.183472700442696,10.329562223315298,6.394490900147566,11.313330054107231,14.26463354648303,39.84259714707329,26.069847515986226,0.9837678307919331,0.0,0.9837678307919331,0.0,8.853910477127398,0.0,0.0,1.4756517461878997,0.0,4.3285784554845055,2.6069847515986226,3.3939990162321694,20.535353535353536,15.748218643229523,15.0,11.11111111111111,102.2,4.117560255779636,16.871618298081653,0.451
jackson_1,jackson,early,letters,2055,33,3.8929440389294405,2.4330900243309004,1.9464720194647203,2.9197080291970803,50.12165450121655,0.0,1.4598540145985401,0.0,6.326034063260341,12.652068126520682,8.75912408759124,10.70559610705596,35.03649635036496,42.33576642335766,35.523114355231144,0.0,0.0,0.48661800486618007,0.48661800486618007,12.652068126520682,0.48661800486618007,0.0,0.9732360097323601,0.9732360097323601,6.228710462287105,3.5523114355231145,4.13625304136253,35.41379310344828,32.303948204058244,30.0,32.758620689655174,63.696969696969695,4.376642335766423,20.583941605839414,0.421
jackson_2,jackson,early,letters,2071,22,0.9657170449058425,4.345726702076291,0.0,2.4142926122646067,55.52873008208595,0.0,0.48285852245292127,0.0,2.4142926122646067,4.828585224529213,3.380009657170449,10.140028971511347,28.005794302269436,36.69724770642202,26.55721873491067,0.9657170449058425,0.0,0.48285852245292127,0.0,8.691453404152583,0.9657170449058425,0.0,1.448575567358764,0.48285852245292127,4.925156929019797,2.6557218734910673,2.5108643167551907,31.815384615384616,24.949256193629996,24.0,23.076923076923077,95.5909090909091,4.076291646547562,14.53404152583293,0.409
