id,source,volume,kind,date,year,period,recipient,heading,word_count,elisions,flags
hay-0001,letters_1908,1,letter,1860,1860,pre_war,"Misses Julia, Annie And Mary R—","TO MISSES JULIA, ANNIE AND MARY R-",0,0,
hay-0002,letters_1908,1,letter,1860,1860,pre_war,The Misses R—,TO THE MISSES R-,98,0,
hay-0003,letters_1908,1,letter,1860,1860,pre_war,Miss Mary R—,HAY TO MISS MARY R-,73,0,
hay-0004,letters_1908,1,letter,1860,1860,pre_war,Miss Mary E,HAY TO MISS MAEY E .,144,0,
hay-0005,letters_1908,1,letter,1860,1860,pre_war,Miss Mary R,HAY TO MISS MARY R .,224,0,
hay-0006,letters_1908,1,letter,1860,1860,pre_war,Miss Mary R,HAY TO MISS MARY R .,120,0,
hay-0007,letters_1908,1,letter,1861-03-19,1861,civil_war,Mrs. R—,HAY TO MRS. R-,147,0,
hay-0008,letters_1908,1,letter,1861,1861,civil_war,Miss Mary R—,HAY TO MISS MARY R-,231,0,
hay-0009,letters_1908,1,diary,1861-04-18,1861,civil_war,,DIARY,480,0,
hay-0010,letters_1908,1,diary,1861-04-19,1861,civil_war,,DIARY,568,2,
hay-0011,letters_1908,1,diary,1861-04-20,1861,civil_war,,DIARY,457,0,
hay-0012,letters_1908,1,diary,1861-04-21,1861,civil_war,,DIARY,370,0,
hay-0013,letters_1908,1,diary,1861-04-22,1861,civil_war,,DIARY,587,0,
hay-0014,letters_1908,1,diary,1861-04-23,1861,civil_war,,DIARY,435,2,
hay-0015,letters_1908,1,diary,1861-04-24,1861,civil_war,,DIARY,112,0,
hay-0016,letters_1908,1,diary,1861-04-25,1861,civil_war,,DIARY,252,0,
hay-0017,letters_1908,1,diary,1861-04-26,1861,civil_war,,DIARY,167,0,
hay-0018,letters_1908,1,diary,1861-04-28,1861,civil_war,,DIARY,38,0,
hay-0019,letters_1908,1,diary,1861-04-29,1861,civil_war,,DIARY,242,2,
hay-0020,letters_1908,1,diary,1861-04-30,1861,civil_war,,DIARY,219,0,
hay-0021,letters_1908,1,diary,1861-05-01,1861,civil_war,,DIARY,207,0,
hay-0022,letters_1908,1,diary,1861-05-04,1861,civil_war,,DIARY,132,0,
hay-0023,letters_1908,1,diary,1861-05-05,1861,civil_war,,DIARY,3,0,
hay-0024,letters_1908,1,diary,1861-05-07,1861,civil_war,,DIARY,341,0,
hay-0025,letters_1908,1,diary,1861-05-09,1861,civil_war,,DIARY,99,0,
hay-0026,letters_1908,1,diary,1861-05-10,1861,civil_war,,DIARY,205,0,
hay-0027,letters_1908,1,diary,1861-05-11,1861,civil_war,,DIARY,92,0,
hay-0028,letters_1908,1,letter,1861-08-19,1861,civil_war,James A. Hamilton,HAY TO JAMES A. HAMILTON.,207,0,
hay-0029,letters_1908,1,letter,1861-08-21,1861,civil_war,Mrs. E—,HAY TO MRS. E-,525,0,
hay-0030,letters_1908,1,letter,1861-08-21,1861,civil_war,Nicolay,HAY TO NICOLAY.,50,0,
hay-0031,letters_1908,1,letter,1861-08-24,1861,civil_war,Nicolay,HAY TO NICOLAY.,201,0,
hay-0032,letters_1908,1,diary,1861-08-22,1861,civil_war,,DIARY,99,2,
hay-0033,letters_1908,1,diary,1861-08-28,1861,civil_war,,DIARY,34,2,
hay-0034,letters_1908,1,diary,1861-10-10,1861,civil_war,,DIARY,381,0,
hay-0035,letters_1908,1,diary,1861-10-12,1861,civil_war,,DIARY,363,2,
hay-0036,letters_1908,1,diary,1861-10-17,1861,civil_war,,DIARY,381,0,
hay-0037,letters_1908,1,diary,1861-10-22,1861,civil_war,,DIARY,336,0,
hay-0038,letters_1908,1,diary,1861-10-26,1861,civil_war,,DIARY,328,0,
hay-0039,letters_1908,1,diary,1861-10-27,1861,civil_war,,DIARY,342,0,
hay-0040,letters_1908,1,diary,1861-11-08,1861,civil_war,,DIARY,100,0,
hay-0041,letters_1908,1,diary,1861-11-11,1861,civil_war,,DIARY,79,0,
hay-0042,letters_1908,1,diary,1861-11-13,1861,civil_war,,DIARY,830,0,
hay-0043,letters_1908,1,letter,1862-03-31,1862,civil_war,Nicolay,HAY TO NICOLAY.,37,0,
hay-0044,letters_1908,1,letter,1862,1862,civil_war,Nicolay,HAY TO NICOLAY.,40,0,
hay-0045,letters_1908,1,letter,1862-04-04,1862,civil_war,Nicolay,HAY TO NICOLAY.,47,0,
hay-0046,letters_1908,1,letter,1862-04-09,1862,civil_war,Nicolay,HAY TO NICOLAY.,191,0,
hay-0047,letters_1908,1,letter,1862-08-01,1862,civil_war,Nicolay,HAY TO NICOLAY.,93,0,
hay-0048,letters_1908,1,letter,1862-08-11,1862,civil_war,Nicolay,HAY TO NICOLAY.,1939,2,
hay-0049,letters_1908,1,letter,1862-08-27,1862,civil_war,Nicolay,HAY TO NICOLAY.,298,0,
hay-0050,letters_1908,1,letter,1863-01-22,1863,civil_war,Miss Mary R,HAY TO MISS MARY R .,362,0,
hay-0051,letters_1908,1,letter,1863-04-08,1863,civil_war,Nicolay,HAY TO NICOLAY.,501,0,
hay-0052,letters_1908,1,letter,1863-04-10,1863,civil_war,Nicolay,HAY TO NICOLAY.,110,0,
hay-0053,letters_1908,1,letter,1863-04-10,1863,civil_war,President Lincoln,HAY TO PRESIDENT LINCOLN.,702,0,
hay-0054,letters_1908,1,letter,1863-04-14,1863,civil_war,Nicolay,HAY TO NICOLAY.,414,0,
hay-0055,letters_1908,1,letter,1863-04-16,1863,civil_war,Nicolay,HAY TO NICOLAY.,301,0,
hay-0056,letters_1908,1,letter,1863-04-23,1863,civil_war,Nicolay,HAY TO NICOLAY.,1326,2,
hay-0057,letters_1908,1,letter,1863-08-07,1863,civil_war,Nicolay,HAY TO NICOLAY.,299,0,
hay-0058,letters_1908,1,diary,1863-08-09,1863,civil_war,,DIARY,182,0,
hay-0059,letters_1908,1,diary,1863-08-13,1863,civil_war,,DIARY,199,0,
hay-0060,letters_1908,1,diary,1863-08-19,1863,civil_war,,DIARY,349,0,
hay-0061,letters_1908,1,diary,1863-09-09,1863,civil_war,,DIARY,944,2,
hay-0062,letters_1908,1,diary,1863-09-10,1863,civil_war,,DIARY,254,0,
hay-0063,letters_1908,1,letter,1863-09-11,1863,civil_war,Nicolay,HAY TO NICOLAY.,515,0,
hay-0064,letters_1908,1,diary,1863,1863,civil_war,,DIARY,1035,4,
hay-0065,letters_1908,1,diary,1863-10-18,1863,civil_war,,DIARY,511,0,
hay-0066,letters_1908,1,diary,1863-10-19,1863,civil_war,,DIARY,55,0,
