ngram,paper_lincoln_ordinary,paper_lincoln_pieces,paper_hay_pieces,ownhand_lincoln_ordinary,ownhand_lincoln_pieces,ownhand_hay_pieces
w1,1.000,0.397,0.947,0.988,0.365,0.982
w2,1.000,0.762,0.930,0.998,0.810,0.912
w3,1.000,0.905,0.789,1.000,0.905,0.807
c3,0.988,0.413,0.895,0.955,0.460,0.807
c4,1.000,0.206,0.912,0.984,0.365,1.000
c5,1.000,0.206,0.965,0.994,0.444,1.000
c6,1.000,0.381,0.965,0.997,0.571,1.000
c7,1.000,0.508,0.982,0.997,0.746,1.000
c8,1.000,0.683,0.982,1.000,0.794,0.982
c9,1.000,0.810,0.947,0.998,0.825,0.965
c10,1.000,0.873,0.930,0.998,0.825,0.947
c11,1.000,0.873,0.895,0.998,0.889,0.930
c12,1.000,0.889,0.842,0.998,0.889,0.895
c13,1.000,0.905,0.807,1.000,0.889,0.860
c14,1.000,0.889,0.667,1.000,0.905,0.807
c15,1.000,0.873,0.667,0.998,0.937,0.772
c16,1.000,0.857,0.649,0.997,0.905,0.702
