draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,215.9,-57.7,2.63,20.0,16.0,14.4,18.4,E-W,21.6,38.9,13.3,16.3,184.9,18.0,73.3,12.6,21.1,0,,0,19.45,1.01
1,223.6,-58.6,3.71,16.0,20.0,11.1,14.4,N-S,16.9,39.0,12.5,17.7,186.7,19.9,71.5,11.2,19.8,0,,0,18.98,4.61
2,209.9,-59.0,3.37,16.0,20.0,11.7,15.6,N-S,21.5,36.8,13.9,18.1,183.9,17.5,70.8,12.5,19.0,1,3.91,1,3.98,-11.6
3,230.3,-60.8,3.57,16.0,20.0,12.2,17.1,N-S,20.7,40.7,12.6,18.1,185.0,18.8,61.2,12.7,20.8,0,,0,30.7,13.58
4,231.9,-58.1,3.16,20.0,16.0,12.8,16.7,E-W,16.9,36.2,13.5,17.5,187.8,18.3,60.4,13.9,20.3,0,,0,33.75,17.07
5,210.9,-59.9,3.66,16.0,20.0,10.5,15.4,N-S,16.8,34.6,12.8,17.6,188.9,16.8,79.0,13.2,19.2,0,,0,18.28,2.85
6,213.9,-56.1,2.82,20.0,16.0,15.0,19.5,N-S,21.1,35.3,14.4,17.3,185.3,19.8,74.0,13.8,20.5,0,,0,22.27,2.78
7,210.3,-59.7,3.72,20.0,16.0,13.3,16.4,N-S,17.2,39.9,13.4,16.1,187.2,16.8,75.9,11.6,17.9,1,4.38,1,4.45,-11.9
8,209.9,-60.5,3.19,20.0,16.0,15.5,19.2,N-S,17.4,38.1,14.2,18.1,188.2,18.0,64.6,12.8,20.3,1,3.91,1,3.98,-15.21
9,215.7,-58.2,3.09,20.0,16.0,13.2,18.0,N-S,21.5,38.9,13.2,19.0,187.6,19.1,72.1,12.5,21.1,0,,0,19.92,1.88
10,208.7,-58.3,3.69,16.0,20.0,11.7,16.5,E-W,18.3,37.1,12.5,16.7,185.3,16.3,64.9,12.6,20.2,1,5.62,1,5.62,-10.88
