draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,214.4,-60.6,4.13,16.0,20.0,11.0,15.6,E-W,19.2,36.1,13.9,18.8,189.3,18.4,65.9,13.4,20.9,0,,0,19.22,3.58
1,213.1,-60.1,4.92,20.0,16.0,11.3,15.1,N-S,17.2,36.2,13.3,17.6,186.7,16.7,73.7,10.8,17.7,0,,0,19.69,4.58
2,225.4,-57.5,3.99,20.0,16.0,12.4,16.8,N-S,18.1,39.9,12.4,16.0,187.7,17.6,60.2,13.7,20.3,0,,0,29.53,12.75
3,210.9,-59.8,4.02,20.0,16.0,11.6,15.2,N-S,21.2,37.5,14.2,17.5,184.1,16.8,70.5,14.1,20.1,0,,0,19.45,4.25
4,215.4,-56.6,4.1,16.0,20.0,15.9,19.5,N-S,21.5,40.0,14.0,18.1,184.2,18.8,71.2,12.0,17.0,1,4.38,1,4.45,-15.04
5,209.7,-58.2,4.03,20.0,16.0,10.3,14.9,E-W,16.0,38.7,12.8,18.8,187.0,17.7,69.8,12.3,19.8,0,,0,17.58,2.63
6,230.2,-57.2,4.65,16.0,20.0,14.8,19.6,N-S,20.8,40.4,12.8,16.7,187.4,18.9,76.3,13.2,18.2,0,,0,24.84,5.21
7,223.6,-60.4,4.0,20.0,16.0,15.7,19.1,N-S,18.7,37.0,13.6,18.0,183.4,17.3,74.8,12.4,18.5,0,,0,27.42,8.31
8,227.1,-56.9,4.26,16.0,20.0,11.0,15.9,E-W,21.7,40.2,14.0,17.1,185.7,18.5,64.4,11.9,19.1,0,,0,24.14,8.23
9,218.8,-56.6,5.0,20.0,16.0,12.7,16.6,E-W,20.1,39.5,14.1,16.7,188.7,18.4,61.6,12.6,17.2,0,,0,19.45,2.89
10,227.9,-60.5,4.97,16.0,20.0,10.6,14.1,N-S,21.6,38.2,14.0,18.0,185.4,16.1,69.9,13.1,20.2,0,,0,27.19,13.1
11,211.5,-56.4,4.03,20.0,16.0,11.3,15.1,E-W,19.5,37.6,13.4,16.8,186.2,17.3,76.5,13.3,21.4,0,,0,18.75,3.69
12,216.3,-56.1,4.44,20.0,16.0,15.2,18.5,N-S,16.8,38.9,13.6,17.3,183.7,19.1,68.4,12.8,21.4,0,,0,19.92,1.39
13,218.8,-57.9,4.05,16.0,20.0,12.2,16.3,N-S,17.4,39.5,13.8,17.2,186.1,17.2,72.6,11.2,18.1,1,3.91,0,18.28,1.98
14,221.6,-58.6,3.93,16.0,20.0,14.1,17.2,N-S,18.0,38.8,12.4,17.1,184.1,17.2,71.0,12.0,17.8,0,,0,24.14,6.95
15,208.6,-60.6,4.85,20.0,16.0,15.2,19.9,E-W,21.3,39.4,13.4,19.1,187.4,17.6,79.0,11.7,20.2,1,3.91,1,3.98,-15.87
16,222.5,-57.1,4.54,20.0,16.0,12.6,16.8,N-S,20.4,37.7,14.0,17.8,185.3,16.2,71.2,11.7,17.8,0,,0,25.31,8.49
17,227.7,-56.8,4.98,16.0,20.0,12.7,17.4,E-W,18.5,36.3,12.4,17.0,185.4,16.2,73.1,13.2,17.7,0,,0,28.36,10.93
18,208.6,-57.9,4.83,20.0,16.0,11.0,14.7,N-S,19.3,37.1,12.9,17.4,184.4,18.2,60.3,12.5,18.7,0,,0,17.58,2.92
19,213.2,-60.4,4.4,16.0,20.0,13.7,17.9,E-W,20.4,35.7,12.9,18.1,188.6,17.5,78.1,11.7,19.5,1,4.06,1,17.11,-0.76
20,223.8,-56.0,4.62,16.0,20.0,10.4,15.0,N-S,16.3,39.2,12.9,16.8,189.2,18.1,60.4,13.0,20.3,0,,0,18.98,3.99
21,225.2,-56.2,4.59,16.0,20.0,11.1,14.6,N-S,20.7,37.3,14.4,18.0,187.5,17.3,73.9,12.3,19.2,0,,0,21.56,7.0
22,229.5,-60.7,4.46,20.0,16.0,10.6,15.5,E-W,16.8,38.8,13.3,17.8,184.4,19.5,73.2,13.1,19.5,0,,0,33.52,18.01
23,210.5,-59.1,4.92,16.0,20.0,10.1,14.1,E-W,20.7,36.9,13.0,16.3,188.2,19.2,62.5,12.1,17.2,1,3.44,1,3.52,-10.55
24,216.6,-59.0,4.76,20.0,16.0,10.5,14.4,N-S,16.8,36.3,12.9,18.0,189.0,17.5,64.0,11.1,19.6,0,,0,19.69,5.28
25,229.0,-56.8,3.84,16.0,20.0,13.7,17.5,N-S,19.9,36.7,12.9,17.0,188.1,16.9,77.9,11.3,18.1,0,,0,23.67,6.14
26,226.8,-60.5,4.7,20.0,16.0,13.5,18.4,E-W,21.7,37.2,14.6,18.8,187.3,18.9,66.3,12.3,19.8,0,,0,22.97,4.61
27,233.1,-59.4,3.96,16.0,20.0,9.5,14.2,N-S,17.5,36.1,13.5,17.8,186.6,17.4,72.1,12.6,19.4,0,,0,27.19,13.01
28,212.6,-58.4,4.72,16.0,20.0,16.0,19.9,N-S,16.0,37.8,13.5,17.8,185.9,18.4,75.3,12.8,18.0,0,,1,17.81,-2.07
29,228.2,-56.2,3.87,20.0,16.0,13.2,18.1,E-W,21.0,41.3,13.5,16.4,187.6,18.1,71.8,13.8,19.6,0,,0,29.3,11.18
30,215.3,-57.8,3.91,20.0,16.0,12.3,16.9,E-W,19.4,37.6,14.6,17.9,189.0,19.1,67.4,12.9,20.0,0,,0,21.09,4.19
31,228.8,-59.6,4.14,20.0,16.0,10.9,14.6,E-W,16.9,36.9,13.3,16.5,186.4,19.7,75.9,12.1,18.5,0,,0,28.12,13.57
32,223.1,-59.6,4.01,20.0,16.0,13.1,16.9,N-S,21.9,38.0,13.3,17.4,188.3,17.2,66.4,12.5,17.5,0,,0,20.62,3.71
