draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,219.9,-58.4,5.28,20.0,16.0,13.7,17.0,N-S,21.2,35.8,12.7,17.4,184.8,17.7,73.6,13.0,19.9,0,,0,19.92,2.89
1,223.6,-57.1,5.51,16.0,20.0,13.7,16.8,N-S,20.8,38.4,14.1,17.2,183.9,18.1,63.9,12.4,18.3,0,,0,26.25,9.41
2,219.9,-58.5,5.62,16.0,20.0,12.3,15.5,N-S,19.4,37.9,12.8,15.9,188.0,19.7,71.9,11.7,19.5,0,,0,17.11,1.56
3,228.0,-56.8,5.62,20.0,16.0,13.5,16.9,E-W,17.7,39.6,14.2,18.2,187.5,19.5,67.8,12.0,20.1,0,,0,22.73,5.8
4,209.7,-58.7,5.46,16.0,20.0,13.9,17.7,N-S,19.5,37.2,13.0,18.6,184.9,18.2,62.7,12.6,17.1,1,2.5,1,2.58,-15.11
5,230.0,-58.4,5.77,16.0,20.0,12.6,16.8,E-W,20.4,41.3,13.5,17.6,185.0,17.9,66.5,12.7,21.5,0,,0,29.06,12.31
6,220.7,-58.1,5.53,16.0,20.0,10.8,15.2,N-S,20.7,38.1,13.5,17.6,188.2,18.5,67.6,12.8,19.8,0,,0,18.05,2.86
7,216.6,-59.8,5.17,20.0,16.0,10.6,14.1,E-W,21.7,35.5,13.6,17.1,185.3,18.2,74.8,12.0,20.9,0,,0,19.69,5.6
8,232.0,-59.7,5.36,16.0,20.0,10.5,14.7,N-S,21.1,38.8,14.0,17.0,185.8,17.9,74.9,12.3,17.9,0,,0,27.89,13.23
9,213.8,-57.6,5.33,16.0,20.0,10.6,14.1,E-W,20.6,38.8,13.0,17.2,185.0,16.9,79.1,12.8,19.1,0,,0,16.64,2.56
10,217.9,-60.4,5.27,16.0,20.0,12.4,16.0,E-W,17.3,36.2,14.8,19.0,187.6,19.3,61.0,13.0,21.6,0,,0,20.86,4.89
11,226.8,-58.0,5.58,16.0,20.0,11.3,15.2,E-W,20.7,38.0,12.9,18.4,188.9,16.5,72.9,12.5,20.4,0,,0,18.98,3.82
12,218.5,-59.1,5.34,16.0,20.0,15.3,18.4,N-S,20.1,35.9,12.5,16.1,188.8,17.1,65.2,12.9,20.8,0,,1,17.34,-1.06
13,228.1,-57.9,5.56,20.0,16.0,13.5,17.0,E-W,16.9,37.9,12.5,16.7,184.5,16.6,70.3,12.4,20.6,0,,0,34.92,17.88
14,214.2,-58.1,5.12,20.0,16.0,14.5,17.9,E-W,20.9,40.1,14.7,16.5,185.3,16.8,68.3,12.4,19.5,0,,0,19.45,1.58
15,211.5,-58.6,5.58,16.0,20.0,10.1,14.7,N-S,17.2,40.0,12.8,17.5,184.4,18.0,79.1,12.4,17.9,1,7.34,1,7.27,-7.44
16,230.1,-60.1,5.15,16.0,20.0,15.5,19.7,E-W,18.0,38.8,12.9,17.6,187.7,18.2,60.3,12.7,20.6,0,,0,24.14,4.46
17,228.7,-58.5,5.02,16.0,20.0,14.5,19.3,N-S,16.4,40.1,13.4,16.3,185.0,18.2,66.4,12.4,19.6,0,,0,25.08,5.76
18,217.0,-58.5,5.73,16.0,20.0,10.4,14.6,N-S,17.8,37.1,13.5,18.4,186.9,18.1,77.6,12.4,18.4,0,,0,18.05,3.44
19,215.6,-56.4,5.2,20.0,16.0,13.3,17.3,N-S,21.0,37.3,14.1,16.7,187.7,18.0,76.7,13.4,22.1,0,,0,19.69,2.36
20,208.9,-59.4,5.02,20.0,16.0,12.0,16.8,E-W,20.1,36.2,12.8,17.5,186.2,19.6,75.2,11.8,20.9,0,,0,17.58,0.76
21,214.6,-57.8,5.03,20.0,16.0,12.8,16.2,N-S,20.3,36.5,13.8,18.9,183.8,19.8,72.3,13.6,18.7,0,,0,20.62,4.45
22,226.6,-59.9,5.14,20.0,16.0,12.2,16.9,E-W,20.4,37.1,12.4,15.8,185.2,18.1,60.9,11.6,17.4,0,,0,24.84,7.96
23,220.8,-58.7,5.3,20.0,16.0,10.3,15.2,N-S,18.0,38.5,14.3,18.8,186.6,18.1,72.6,12.1,18.5,0,,0,21.09,5.87
