draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,218.4,-59.8,3.96,16.0,20.0,15.7,19.5,N-S,17.5,38.8,12.1,18.2,189.1,16.5,79.0,13.7,20.6,0,,1,16.64,-2.87
1,222.1,-59.4,4.47,20.0,16.0,15.4,19.6,E-W,21.1,37.4,13.3,16.6,185.1,18.4,69.3,13.2,20.4,0,,0,19.69,0.08
2,221.5,-58.6,3.98,20.0,16.0,13.5,18.3,E-W,19.3,36.3,12.8,15.6,185.8,16.6,74.3,12.0,20.6,0,,0,19.92,1.6
3,222.4,-58.2,4.7,20.0,16.0,11.1,15.6,E-W,16.4,39.7,12.5,16.8,183.9,16.6,61.2,11.8,18.8,0,,0,22.27,6.7
4,220.4,-59.1,4.3,16.0,20.0,11.8,14.9,E-W,18.8,38.0,13.1,18.0,187.1,17.7,67.4,13.0,22.0,0,,0,18.28,3.36
5,221.7,-58.1,4.58,16.0,20.0,15.4,19.7,E-W,21.8,36.2,13.5,17.5,187.1,16.7,68.8,11.0,17.5,0,,0,19.92,0.18
6,221.5,-59.2,4.3,20.0,16.0,13.2,16.2,N-S,18.8,37.7,13.7,18.1,187.9,18.4,77.9,12.8,19.9,0,,0,21.33,5.11
7,222.5,-57.9,4.15,20.0,16.0,12.7,17.6,N-S,21.1,37.1,13.9,17.6,188.8,19.2,63.3,13.6,21.4,0,,0,21.33,3.75
8,222.1,-58.2,4.63,16.0,20.0,12.4,16.7,N-S,21.0,37.8,14.0,17.3,189.1,17.6,71.8,12.2,16.8,0,,0,19.69,2.94
9,223.1,-57.7,3.84,16.0,20.0,11.3,15.4,N-S,16.1,38.8,13.6,18.3,186.3,19.5,78.4,11.7,19.6,0,,0,19.92,4.5
10,218.8,-58.4,4.9,16.0,20.0,13.3,18.0,N-S,18.5,37.1,12.7,18.2,186.0,16.8,60.8,12.7,20.5,0,,0,18.98,0.95
11,222.6,-59.8,4.39,16.0,20.0,11.9,16.8,N-S,20.4,36.9,12.9,16.5,186.5,18.2,67.2,11.5,20.4,0,,0,18.75,1.92
12,218.1,-58.6,4.97,20.0,16.0,11.8,15.3,E-W,20.3,38.2,13.4,17.3,186.0,16.7,71.5,11.8,16.9,0,,0,19.22,3.92
13,218.5,-60.0,4.08,20.0,16.0,16.0,19.8,N-S,20.1,39.2,14.1,17.6,185.0,16.7,60.5,12.2,20.5,0,,1,19.45,-0.39
14,221.8,-59.1,3.88,16.0,20.0,13.0,16.8,E-W,18.0,39.4,12.7,18.7,185.3,19.0,62.1,10.9,16.9,0,,0,17.34,0.59
15,218.1,-58.6,4.91,16.0,20.0,13.4,18.2,E-W,20.6,37.9,13.6,18.8,188.2,18.8,60.1,13.5,19.9,0,,0,18.52,0.3
16,219.8,-58.4,4.22,20.0,16.0,13.5,16.9,E-W,22.0,37.9,13.5,18.6,184.2,19.1,77.1,12.6,21.8,0,,0,20.62,3.77
17,222.2,-60.0,4.46,16.0,20.0,14.8,19.1,E-W,17.7,36.1,13.2,17.4,188.7,19.6,71.1,13.8,22.4,0,,0,19.92,0.81
18,219.1,-57.6,4.02,20.0,16.0,13.1,17.6,N-S,18.0,39.9,13.2,18.9,188.5,16.7,60.2,13.2,19.2,0,,0,19.92,2.35
19,221.9,-58.8,4.04,16.0,20.0,9.9,14.9,N-S,18.2,37.4,14.4,19.0,186.9,16.0,62.9,13.6,21.0,0,,0,21.33,6.45
20,218.1,-58.1,4.74,16.0,20.0,15.4,18.8,N-S,21.0,37.3,13.0,17.0,184.3,17.9,75.9,12.7,19.0,0,,1,17.81,-0.95
21,219.1,-58.9,4.35,16.0,20.0,14.7,18.7,N-S,18.0,39.3,13.3,15.8,185.9,17.9,65.6,12.1,20.2,0,,1,17.58,-1.13
22,222.6,-58.2,4.3,20.0,16.0,12.4,16.7,E-W,20.5,40.5,13.0,18.6,188.3,16.4,73.8,11.8,20.0,0,,0,19.69,2.94
23,219.8,-58.3,4.53,20.0,16.0,9.4,14.0,N-S,19.9,37.3,13.8,16.8,186.2,16.4,67.6,11.1,18.6,0,,0,20.39,6.36
24,219.5,-58.6,4.85,16.0,20.0,12.6,16.2,E-W,21.6,37.6,14.4,17.5,186.0,18.7,77.8,11.6,17.3,0,,0,19.45,3.22
25,219.6,-59.0,3.89,20.0,16.0,14.9,18.7,N-S,16.8,38.4,12.8,17.3,184.9,18.3,70.2,11.6,17.5,0,,0,19.69,1.03
26,218.3,-57.9,3.87,16.0,20.0,12.3,15.4,N-S,21.1,36.5,13.2,16.3,187.2,16.8,65.0,13.9,19.7,0,,0,18.98,3.59
27,221.3,-58.0,4.77,16.0,20.0,14.2,18.5,N-S,18.4,37.5,12.8,18.1,185.6,17.7,74.7,13.1,18.3,0,,0,18.75,0.29
28,221.1,-58.7,3.84,16.0,20.0,14.4,18.4,N-S,21.6,38.5,13.2,17.4,189.1,18.7,73.7,12.1,17.6,0,,0,18.75,0.4
29,222.8,-59.0,4.89,20.0,16.0,10.8,15.7,N-S,16.3,36.1,13.1,16.9,187.1,20.0,77.3,12.5,18.9,0,,0,21.56,5.84
30,218.0,-60.0,4.01,16.0,20.0,11.5,15.6,N-S,21.0,37.2,12.8,18.2,184.1,16.2,76.0,11.5,18.5,0,,0,17.81,2.2
31,219.1,-59.1,3.98,16.0,20.0,10.3,14.2,N-S,17.8,39.5,14.3,18.6,188.0,16.5,74.2,12.3,20.0,0,,0,19.45,5.24
32,222.1,-58.0,4.72,16.0,20.0,13.9,17.0,E-W,16.9,37.9,13.8,16.7,186.5,19.4,70.9,12.2,20.8,0,,0,19.45,2.49
33,219.0,-59.8,4.56,20.0,16.0,13.4,17.2,N-S,21.5,38.7,13.7,16.6,189.1,17.1,71.4,11.6,18.7,0,,0,19.22,1.99
34,218.8,-58.7,4.47,20.0,16.0,15.7,19.9,N-S,21.1,39.6,12.8,17.5,184.0,17.1,70.4,13.4,18.7,0,,1,18.28,-1.64
35,223.4,-58.7,3.81,16.0,20.0,13.0,16.4,E-W,18.6,37.0,13.2,18.5,187.9,18.0,67.3,12.6,20.0,0,,0,20.86,4.45
36,221.6,-59.9,4.76,20.0,16.0,13.7,18.0,N-S,19.2,39.7,12.9,16.4,185.5,19.6,76.2,12.5,21.8,0,,0,18.28,0.25
