draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,220.4,-59.2,5.17,20.0,16.0,13.1,17.7,E-W,18.5,38.7,13.5,18.1,184.5,18.3,67.4,13.1,19.3,0,,0,20.16,2.41
1,222.0,-59.1,5.72,16.0,20.0,10.3,14.1,N-S,20.4,37.9,13.1,17.1,189.1,16.2,72.3,12.0,19.5,0,,0,17.81,3.74
2,219.0,-60.0,5.68,16.0,20.0,11.7,16.5,E-W,20.9,36.8,14.1,18.5,187.0,19.7,60.2,11.6,19.4,0,,0,19.22,2.76
3,222.8,-59.3,5.43,20.0,16.0,10.0,15.0,N-S,17.3,39.9,12.7,17.9,184.6,19.8,68.1,12.3,20.4,0,,0,23.44,8.49
4,220.0,-60.1,5.5,16.0,20.0,13.6,18.4,N-S,22.0,35.0,12.7,16.4,183.4,16.3,68.2,12.0,20.9,0,,1,18.28,-0.16
5,221.6,-60.1,5.79,16.0,20.0,11.2,14.7,N-S,19.2,37.3,13.2,18.9,188.8,16.3,61.6,13.7,18.8,0,,0,18.52,3.77
6,221.5,-59.5,5.42,16.0,20.0,13.5,18.2,E-W,16.5,38.1,13.0,18.5,186.4,18.9,69.8,12.8,19.0,0,,0,18.28,0.09
7,219.9,-57.6,5.27,20.0,16.0,16.0,19.4,N-S,19.5,39.2,13.1,15.6,188.5,17.7,77.4,12.8,20.5,0,,1,17.81,-1.63
8,220.7,-60.0,5.2,16.0,20.0,14.2,17.7,E-W,18.0,37.8,13.7,17.4,184.9,17.5,76.5,12.7,18.6,0,,0,18.98,1.33
9,223.2,-60.3,5.5,16.0,20.0,11.5,14.8,N-S,17.0,36.4,12.6,18.5,189.4,17.6,71.1,13.8,19.7,0,,0,19.69,4.89
10,220.7,-58.3,5.02,20.0,16.0,12.4,15.5,N-S,20.0,37.0,12.6,18.9,186.9,17.7,75.6,12.3,18.4,0,,0,20.62,5.12
11,222.6,-60.4,5.52,20.0,16.0,15.2,19.7,N-S,20.8,38.5,13.7,16.3,184.3,18.9,68.3,12.2,19.6,0,,0,24.38,4.7
12,221.8,-59.5,5.47,20.0,16.0,11.9,15.7,N-S,17.4,38.7,13.4,17.5,188.3,16.8,61.2,11.9,18.7,0,,0,19.92,4.27
13,219.6,-57.8,5.2,16.0,20.0,11.2,14.6,N-S,20.5,38.5,14.8,17.5,188.1,19.7,75.7,11.8,17.7,0,,0,19.69,5.04
14,220.4,-58.0,5.22,20.0,16.0,15.1,18.2,E-W,17.4,39.6,13.2,17.0,185.2,18.9,79.3,12.8,20.8,0,,0,18.98,0.82
15,220.3,-58.6,5.13,20.0,16.0,14.7,18.9,E-W,16.8,36.7,14.2,16.0,186.9,19.6,75.8,12.6,21.2,0,,0,20.39,1.46
16,221.8,-59.9,5.02,20.0,16.0,10.9,15.7,N-S,16.6,38.5,14.1,17.2,186.1,16.6,65.8,10.8,19.9,0,,0,20.86,5.14
17,222.5,-59.8,5.33,16.0,20.0,12.9,17.7,E-W,21.7,39.3,13.9,16.8,187.5,16.3,79.0,13.7,21.1,0,,0,18.28,0.56
18,221.5,-58.4,5.39,16.0,20.0,15.6,18.9,E-W,17.5,39.4,13.4,17.6,185.4,17.1,62.5,10.8,18.0,0,,1,17.58,-1.31
19,221.1,-58.7,5.16,16.0,20.0,11.6,14.6,E-W,18.8,36.9,12.7,18.1,188.8,18.8,65.0,13.8,21.9,0,,0,19.45,4.85
20,218.3,-59.6,5.51,20.0,16.0,10.8,14.5,E-W,20.5,38.7,14.2,17.4,187.8,19.3,67.3,12.1,17.1,0,,0,19.69,5.14
21,223.2,-58.7,5.63,16.0,20.0,12.0,16.3,N-S,22.0,41.1,14.0,18.8,189.0,19.7,68.7,12.7,19.6,0,,0,18.05,1.75
22,222.5,-60.2,5.13,20.0,16.0,15.2,18.2,N-S,21.6,40.2,12.9,16.6,184.1,16.8,75.4,13.4,19.3,0,,0,25.31,7.07
23,221.1,-59.1,5.5,20.0,16.0,12.5,16.2,E-W,20.5,37.7,13.2,16.4,189.1,16.7,67.5,13.4,18.0,0,,0,18.98,2.76
24,219.7,-58.2,5.48,20.0,16.0,14.2,17.9,N-S,17.9,37.6,13.2,17.6,187.8,18.6,65.0,13.5,20.6,0,,0,19.92,1.98
25,224.0,-58.4,5.49,20.0,16.0,13.8,18.1,N-S,18.2,40.2,13.3,18.4,185.6,20.0,65.2,11.8,19.1,0,,0,22.5,4.35
26,219.4,-57.8,5.31,20.0,16.0,15.4,18.5,E-W,18.1,39.3,14.0,16.7,186.7,19.7,67.1,13.7,21.2,0,,0,19.45,0.94
27,220.0,-60.0,5.62,20.0,16.0,10.6,14.6,E-W,17.2,38.1,13.9,18.4,185.4,19.7,64.6,13.2,22.2,0,,0,20.62,6.0
28,218.4,-59.8,5.71,20.0,16.0,11.7,16.5,N-S,20.8,38.3,12.6,16.5,188.0,16.6,76.1,11.8,17.7,0,,0,17.34,0.87
29,222.7,-59.8,5.5,16.0,20.0,15.3,19.1,N-S,21.6,37.0,13.7,16.4,187.6,16.4,63.6,12.1,20.5,0,,1,18.52,-0.62
30,221.7,-57.9,5.33,16.0,20.0,11.8,15.1,N-S,18.6,36.5,12.8,16.7,186.3,18.7,64.1,12.4,21.1,0,,0,18.52,3.38
31,219.8,-59.9,5.3,16.0,20.0,11.9,15.7,N-S,21.7,39.2,13.0,16.8,184.1,18.1,74.2,11.8,19.9,0,,0,16.88,1.2
32,221.0,-58.6,5.1,16.0,20.0,12.2,15.3,E-W,21.9,38.5,13.5,19.1,183.4,17.1,62.9,12.9,18.3,0,,0,18.98,3.72
33,221.5,-58.5,5.65,16.0,20.0,12.2,15.7,N-S,18.1,36.3,13.3,17.0,184.9,18.1,76.5,11.6,17.9,0,,0,19.92,4.26
34,220.3,-60.0,5.0,16.0,20.0,13.9,18.7,N-S,17.0,37.7,14.2,17.3,188.1,17.7,66.6,11.8,19.9,0,,0,19.45,0.8
35,222.8,-60.2,5.19,20.0,16.0,13.1,17.8,N-S,20.8,37.7,13.2,16.4,183.7,19.1,74.0,12.8,19.0,0,,0,23.44,5.64
36,223.6,-59.1,5.06,16.0,20.0,10.7,14.6,E-W,16.5,37.6,14.1,18.1,188.0,17.5,79.8,11.9,17.9,0,,0,20.62,6.05
37,222.1,-59.9,5.68,20.0,16.0,12.6,17.4,N-S,20.7,38.0,13.1,16.4,184.8,18.1,71.7,12.8,18.2,0,,0,24.84,7.49
38,221.5,-60.5,5.12,20.0,16.0,16.0,19.8,E-W,20.6,39.4,14.4,17.0,187.6,18.6,72.4,13.1,22.3,0,,0,20.16,0.36
