draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,251.2,-54.6,3.91,20.0,16.0,11.3,15.0,E-W,16.7,36.3,13.9,18.8,188.3,19.1,60.2,11.4,19.7,0,,0,33.05,18.1
1,242.9,-52.1,4.18,20.0,16.0,14.8,18.7,N-S,17.8,39.0,14.3,17.4,187.1,19.6,74.1,12.8,20.1,0,,0,35.16,16.42
2,235.2,-53.0,4.36,20.0,16.0,15.0,19.4,N-S,18.5,38.1,13.3,18.0,187.1,16.2,78.6,13.2,18.6,0,,0,33.52,14.1
3,254.5,-59.2,4.41,16.0,20.0,10.9,14.8,E-W,20.0,39.3,13.9,19.2,184.5,17.2,78.6,12.8,22.3,0,,0,35.16,20.37
4,252.5,-50.7,4.8,20.0,16.0,12.8,16.1,N-S,21.3,36.8,13.3,18.1,187.5,19.7,73.9,11.5,20.1,0,,0,32.34,16.22
5,238.8,-50.7,4.66,20.0,16.0,10.4,14.2,E-W,18.8,39.2,14.6,17.9,186.8,17.7,64.2,12.3,20.9,0,,0,36.8,22.6
6,234.2,-57.8,4.86,16.0,20.0,14.8,18.2,N-S,21.0,36.0,12.7,16.7,187.7,18.9,69.9,12.4,19.9,0,,0,26.02,7.77
7,254.8,-55.3,4.95,20.0,16.0,13.0,17.0,E-W,19.2,36.3,14.4,17.5,185.9,16.7,64.6,12.1,20.8,0,,0,31.64,14.65
8,246.8,-55.3,4.71,20.0,16.0,10.3,14.2,N-S,16.3,39.1,13.1,18.1,185.5,17.7,77.2,13.4,21.4,0,,0,34.69,20.46
9,235.9,-58.5,4.03,16.0,20.0,15.0,18.3,N-S,18.1,39.9,14.0,16.3,188.3,16.1,75.0,12.4,19.0,0,,0,32.81,14.55
10,238.3,-58.2,4.89,16.0,20.0,10.0,14.1,N-S,19.2,37.8,13.0,17.2,188.7,17.9,61.7,11.5,18.9,0,,0,28.36,14.3
11,237.5,-54.5,4.82,20.0,16.0,12.8,17.7,N-S,19.5,39.0,14.0,16.3,187.1,16.6,62.4,13.3,19.0,0,,0,33.28,15.6
12,257.1,-50.7,3.98,20.0,16.0,11.5,15.2,E-W,20.3,37.0,12.3,16.8,188.3,18.6,79.1,12.8,20.0,0,,0,32.11,16.93
13,244.0,-52.2,4.24,20.0,16.0,11.1,15.1,E-W,18.4,36.8,13.5,16.1,189.3,20.0,66.5,13.1,21.2,0,,0,38.67,23.57
14,238.8,-51.3,4.91,16.0,20.0,13.0,17.7,E-W,16.1,38.8,12.3,18.2,187.2,19.4,63.6,14.0,21.0,0,,0,39.14,21.46
15,239.0,-53.5,3.96,20.0,16.0,9.4,14.2,N-S,21.2,38.9,12.9,18.5,184.9,19.8,67.8,12.6,19.3,0,,0,33.75,19.55
16,255.8,-58.5,4.69,20.0,16.0,12.0,15.2,E-W,18.8,36.9,13.2,16.4,187.6,17.0,60.4,11.4,17.1,0,,0,26.02,10.82
17,253.2,-52.1,4.9,16.0,20.0,13.5,16.6,N-S,21.2,39.4,13.2,17.5,183.5,17.9,69.3,12.2,19.9,0,,0,30.47,13.86
18,236.2,-55.0,3.82,16.0,20.0,14.3,18.0,E-W,21.0,38.9,14.2,17.5,188.4,19.1,74.9,12.9,20.1,0,,0,31.88,13.9
19,242.4,-56.4,4.65,16.0,20.0,16.4,19.8,N-S,18.5,38.1,12.3,16.4,189.4,17.1,61.0,12.6,21.1,0,,0,38.91,19.08
