draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,191.2,-56.8,4.05,20.0,16.0,16.3,19.5,N-S,21.5,38.5,13.1,16.1,183.9,17.4,73.4,12.8,17.9,1,5.0,1,5.16,-14.34
1,189.5,-50.4,4.81,16.0,20.0,15.1,19.2,E-W,17.2,40.2,13.3,19.2,188.9,19.8,74.9,13.3,18.8,1,3.12,1,2.81,-16.41
2,190.6,-55.1,3.82,20.0,16.0,16.1,20.0,N-S,21.6,36.6,13.6,15.7,183.5,19.1,69.5,12.6,17.2,1,8.28,1,8.67,-11.29
3,208.5,-55.0,4.11,16.0,20.0,13.4,18.4,N-S,18.5,39.2,13.2,17.3,183.7,16.5,69.4,13.0,20.5,1,3.75,1,3.75,-14.66
4,194.9,-58.3,3.89,16.0,20.0,13.4,16.6,E-W,16.9,38.3,14.3,17.4,186.7,18.8,78.3,13.3,20.8,1,6.41,1,6.8,-9.83
5,197.8,-60.2,4.51,16.0,20.0,12.5,15.7,E-W,18.6,38.3,13.8,17.8,186.8,17.8,60.5,11.8,17.6,1,2.5,1,2.34,-13.32
6,208.0,-57.5,3.92,16.0,20.0,15.1,19.2,E-W,16.4,36.7,13.4,15.5,186.5,16.8,71.5,12.1,19.1,1,6.72,1,6.8,-12.45
7,193.8,-53.6,4.49,16.0,20.0,15.2,19.9,N-S,20.3,37.5,14.2,18.7,187.7,18.6,76.5,11.6,18.6,1,3.12,1,3.05,-16.86
8,206.7,-56.9,4.8,20.0,16.0,12.6,16.0,E-W,16.8,36.0,13.3,17.3,186.1,18.4,77.4,12.4,19.8,1,3.91,0,18.05,2.01
9,193.1,-55.8,4.83,16.0,20.0,14.2,18.6,N-S,16.5,39.5,14.0,19.1,187.5,16.8,79.3,12.5,16.8,1,2.19,1,1.88,-16.69
10,196.2,-56.0,4.93,16.0,20.0,14.9,18.9,N-S,21.6,38.3,14.1,17.1,188.3,16.5,70.8,11.0,17.4,1,1.56,1,1.64,-17.25
11,188.0,-55.7,4.0,20.0,16.0,12.4,15.4,N-S,19.0,37.3,14.8,17.9,187.7,19.2,63.3,12.9,19.1,1,3.59,1,3.52,-11.88
12,183.6,-60.2,4.17,16.0,20.0,14.3,17.6,N-S,17.5,36.0,12.1,18.2,183.4,18.3,68.9,10.7,16.7,1,4.06,1,3.98,-13.6
13,192.6,-57.8,3.82,20.0,16.0,12.8,17.1,N-S,20.2,39.9,13.6,16.0,187.0,16.3,73.5,11.4,19.5,1,5.0,1,4.92,-12.17
14,188.5,-51.0,4.05,20.0,16.0,14.0,18.8,E-W,16.6,40.7,13.3,17.1,184.8,16.5,76.8,12.4,18.0,1,3.12,1,3.05,-15.77
15,185.4,-56.5,4.98,20.0,16.0,9.7,14.0,E-W,18.4,37.5,13.3,18.6,185.6,18.4,72.1,10.7,20.6,1,0.78,1,0.47,-13.54
16,193.4,-51.1,4.71,20.0,16.0,13.1,16.8,E-W,17.4,37.1,13.5,16.3,183.9,19.1,71.1,13.5,22.0,1,0.78,1,0.7,-16.13
17,188.5,-52.5,4.28,20.0,16.0,14.4,18.2,N-S,16.4,39.8,13.3,17.5,185.9,17.6,74.3,13.7,21.7,1,3.59,1,3.52,-14.69
