draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,207.7,-57.6,5.62,16.0,20.0,12.9,16.9,N-S,18.6,37.7,14.4,17.9,184.5,19.3,75.0,12.0,17.0,1,4.06,1,4.22,-12.72
1,199.4,-58.1,5.23,16.0,20.0,14.0,18.0,E-W,20.7,37.6,13.0,17.3,188.6,18.0,73.7,11.7,20.1,1,3.91,1,3.98,-13.97
2,199.9,-57.4,5.79,20.0,16.0,16.7,20.0,E-W,19.2,38.2,12.9,16.3,188.4,17.1,68.4,11.8,17.8,1,0.0,1,0.0,-20.0
3,207.3,-57.5,5.47,20.0,16.0,11.0,15.0,N-S,19.2,40.6,13.9,18.0,184.3,17.8,65.6,12.2,18.7,1,1.88,1,1.88,-13.11
4,190.0,-51.9,5.33,20.0,16.0,11.2,15.9,E-W,17.5,38.7,13.4,17.7,188.2,16.9,79.8,13.3,20.9,1,2.81,1,2.58,-13.28
5,206.4,-54.9,5.27,16.0,20.0,15.7,19.4,E-W,21.6,39.8,14.2,16.1,187.4,19.0,62.2,11.8,21.5,1,1.72,1,6.33,-13.06
6,186.3,-51.1,5.4,16.0,20.0,13.2,18.1,N-S,16.2,36.4,12.9,17.8,186.0,16.2,76.1,12.9,19.0,1,1.88,1,1.41,-16.68
7,197.4,-56.9,5.51,20.0,16.0,13.4,17.5,E-W,17.9,38.2,13.2,17.3,184.3,17.8,69.2,13.2,19.1,1,7.5,1,7.73,-9.74
8,188.3,-55.3,5.37,16.0,20.0,13.8,18.0,N-S,18.5,38.2,12.7,18.7,188.4,19.8,60.7,11.9,21.3,1,4.53,1,4.45,-13.51
9,197.0,-54.7,5.54,20.0,16.0,15.5,19.7,N-S,20.9,39.4,14.3,17.8,186.6,18.7,75.9,14.0,22.1,1,1.56,1,0.0,-19.73
