draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,151.0,-50.7,3.43,20.0,16.0,15.3,19.8,N-S,16.3,38.5,12.5,15.9,184.2,19.0,76.3,13.7,18.2,1,6.41,1,6.33,-13.5
1,138.8,-61.0,3.41,16.0,20.0,14.1,18.1,E-W,17.0,41.0,14.5,17.4,187.3,17.2,73.4,13.3,18.0,0,,0,25.55,7.43
2,149.4,-55.3,2.56,16.0,20.0,11.0,14.6,N-S,18.3,40.1,14.0,18.8,184.8,17.7,77.0,13.8,21.6,0,,0,23.91,9.34
3,136.2,-55.5,3.69,16.0,20.0,9.8,14.3,N-S,17.1,38.7,13.5,17.7,185.0,16.5,71.0,13.1,20.9,1,4.38,1,4.45,-9.85
4,143.7,-52.5,3.55,20.0,16.0,15.0,18.5,E-W,19.2,38.4,12.7,16.1,187.7,18.7,74.6,12.8,17.5,0,,0,27.66,9.14
5,144.0,-52.8,2.86,16.0,20.0,13.0,16.8,N-S,20.6,36.0,13.9,16.1,184.1,17.2,61.3,12.6,19.0,0,,0,27.42,10.64
6,147.5,-51.0,2.98,16.0,20.0,12.4,17.3,N-S,18.9,37.7,13.0,16.5,188.8,16.5,70.5,12.1,17.3,0,,0,28.83,11.55
7,142.2,-59.7,3.28,16.0,20.0,14.4,18.6,N-S,19.4,37.9,13.4,17.6,185.0,17.8,65.3,12.8,20.5,0,,0,26.25,7.65
8,146.3,-59.5,3.56,20.0,16.0,10.3,14.8,N-S,20.5,38.9,13.0,17.7,187.9,17.6,76.4,11.0,17.2,0,,0,22.27,7.45
9,136.6,-50.5,3.76,20.0,16.0,13.7,17.6,E-W,20.7,35.9,13.9,16.9,185.4,18.5,66.5,11.9,19.0,0,,0,25.55,7.93
10,142.5,-58.1,3.56,20.0,16.0,14.2,18.2,N-S,17.0,38.1,13.0,18.4,186.1,17.5,64.6,12.9,19.9,0,,0,22.97,4.74
11,144.4,-57.9,3.7,20.0,16.0,11.0,14.2,N-S,17.1,37.3,13.6,16.6,185.4,18.1,70.1,11.2,18.9,0,,0,25.55,11.35
12,140.3,-50.4,3.43,16.0,20.0,15.3,18.7,N-S,18.1,35.4,12.4,17.3,186.4,18.9,67.7,12.6,21.2,0,,0,30.47,11.72
13,156.9,-50.8,3.62,16.0,20.0,13.1,16.6,N-S,21.3,37.1,13.9,17.2,184.7,20.0,63.7,12.6,20.5,1,4.06,1,4.22,-12.42
14,139.3,-51.0,2.57,20.0,16.0,12.7,17.4,N-S,22.0,38.8,14.0,17.2,185.7,19.2,60.9,11.8,20.8,0,,0,26.02,8.63
15,155.5,-55.5,3.56,20.0,16.0,9.9,14.6,N-S,18.2,36.2,13.6,17.1,188.9,16.4,67.8,13.8,21.4,1,3.75,1,3.75,-10.85
16,148.3,-55.4,3.76,16.0,20.0,15.2,19.7,N-S,19.2,36.2,12.3,18.1,185.8,20.0,66.5,12.4,17.9,0,,0,24.14,4.46
17,141.6,-54.3,3.45,16.0,20.0,10.1,14.7,N-S,16.9,38.5,13.0,17.9,188.2,16.7,73.7,12.0,18.5,0,,0,26.25,11.53
18,142.1,-59.0,2.78,20.0,16.0,12.0,16.3,N-S,20.2,36.7,13.7,17.1,184.2,19.3,77.4,13.1,19.3,0,,0,25.78,9.44
19,136.7,-58.0,3.71,20.0,16.0,14.9,19.7,E-W,19.8,36.7,13.7,18.0,186.7,19.2,69.4,12.1,18.1,1,5.78,1,5.86,-13.85
20,138.1,-58.2,3.37,20.0,16.0,14.3,17.9,N-S,19.8,39.5,14.4,16.4,186.9,17.7,74.9,11.3,20.6,0,,0,23.67,5.75
21,134.5,-54.2,2.91,20.0,16.0,11.6,16.4,N-S,18.8,38.4,13.8,18.8,183.8,18.5,78.5,13.0,21.9,1,4.06,1,3.98,-12.46
22,138.7,-55.6,3.22,16.0,20.0,15.4,19.3,E-W,20.0,38.4,13.9,16.2,185.5,16.0,78.6,12.7,20.7,0,,0,23.67,4.35
23,134.9,-50.3,3.08,16.0,20.0,13.8,18.2,N-S,16.9,38.1,14.5,17.0,186.2,17.1,73.2,11.8,20.8,1,5.78,1,5.86,-12.39
24,141.0,-53.8,3.34,16.0,20.0,10.6,14.1,N-S,19.5,38.5,13.6,17.9,187.6,18.5,61.4,12.3,19.9,0,,0,23.67,9.54
25,152.3,-55.1,3.48,16.0,20.0,9.4,14.2,N-S,20.2,38.8,13.0,18.2,187.5,19.3,67.3,11.6,17.6,0,,0,21.56,7.38
26,151.0,-59.5,3.57,16.0,20.0,15.1,19.1,N-S,21.9,39.9,13.6,17.6,185.4,19.1,61.6,13.7,21.4,0,,0,24.84,5.75
27,146.3,-54.5,3.57,16.0,20.0,14.8,18.5,N-S,16.8,38.6,14.8,19.0,189.1,18.3,63.8,13.5,17.9,0,,0,26.48,7.95
28,145.5,-60.2,3.25,20.0,16.0,11.0,15.3,N-S,21.2,36.5,12.8,16.9,185.3,18.5,66.6,12.5,20.0,0,,0,25.78,10.48
29,134.2,-52.8,3.29,16.0,20.0,13.8,16.9,N-S,19.9,37.0,14.1,16.9,186.2,18.6,73.7,12.3,20.0,0,,0,22.27,5.36
30,144.6,-52.0,3.43,20.0,16.0,15.4,19.8,N-S,18.7,37.5,14.1,18.7,184.9,19.2,79.7,13.2,20.4,0,,0,25.31,5.49
31,153.9,-58.8,3.41,20.0,16.0,11.7,15.5,N-S,19.7,40.2,12.8,17.7,187.4,16.4,78.7,12.9,21.0,1,4.38,1,4.45,-11.09
32,150.0,-54.7,2.75,20.0,16.0,13.6,18.2,N-S,18.0,36.6,14.3,18.5,188.8,17.0,60.2,11.8,19.9,0,,0,22.03,3.83
33,144.0,-57.2,3.27,16.0,20.0,13.0,17.1,N-S,19.3,39.3,13.7,19.2,186.3,17.0,60.5,11.5,18.5,0,,0,24.84,7.74
34,137.5,-55.0,2.6,20.0,16.0,14.8,18.3,E-W,18.7,39.1,13.1,16.8,183.7,17.3,68.4,13.9,21.5,0,,0,26.25,7.93
35,157.4,-52.2,3.23,20.0,16.0,16.2,19.5,N-S,21.0,38.0,12.7,18.8,187.6,17.8,64.0,11.4,17.9,1,4.38,1,4.45,-15.05
36,147.3,-52.8,2.87,20.0,16.0,9.7,14.3,N-S,16.3,36.7,13.5,16.9,183.7,17.5,79.9,12.0,17.8,0,,0,24.84,10.51
37,135.1,-57.2,2.82,20.0,16.0,11.6,16.4,N-S,17.0,38.8,14.3,17.2,184.3,16.7,63.7,10.8,18.9,1,4.84,1,4.92,-11.48
38,148.3,-51.2,3.16,16.0,20.0,11.4,14.7,E-W,16.7,35.4,13.6,16.4,184.3,17.4,73.6,13.2,19.7,0,,0,28.36,13.67
