id,group,witness,where_or_role,event,time_stated,clock_basis,date_of_statement,source,note
A1,household,Catherine O'Leary,"137 DeKoven, owner of the barn","milked the cows at 4.30 pm and 5 am; fed the horse beside the fence and put him in the barn; no lamp in yard or barn that night","about 7 pm (horse); in bed when awakened",none stated,1871-10-15 affidavit; 1871-11-24 inquiry,"McDermott affidavits, Chicago Tribune 20 Oct 1871 p. 2 (Andreas II:708); Tribune 25 Nov 1871 p. 6","inquiry: 'I was in bed myself and my husband and five children when this fire commenced' (Bales App. D p. 209 fragment)"
A2,household,Patrick O'Leary,"137 DeKoven","wife went to bed; he went to bed; asleep until roused","wife ~8 pm; himself ~8.30 pm; roused about 9 (NY Tribune 14 Oct)",none stated,1871-10-14 press; 1871-11-25 inquiry,"New-York Tribune 14 Oct 1871 ; Tribune 26 Nov 1871 p. 1","affidavit says Denis Ryan (Regan) woke them; at the inquiry Mrs O'Leary said Sullivan did (Andreas II:708-709 note)"
A3,household,Daniel Sullivan,"134 DeKoven (south side), drayman","at the O'Leary house about an hour; left; sat across the street; saw fire in the barn","at O'Leary's from about 8 for about an hour (inquiry) or 8.30 to 9 (affidavit); saw the fire 'about half-past 9' (affidavit); 'twenty or twenty-five minutes past 9' (inquiry); 'about nine o'clock' (1885)",none stated,1871-10-15; 1871-11-25; 1884-85,"Tribune 20 Oct 1871 p. 2; Tribune 26 Nov 1871 p. 1; Andreas II:708 note","transcript (Bales App. D p. 256): 'about twenty minutes past nine to twenty-five minutes past nine'; sat 'for about twenty or twenty-five minutes' at White's (Bales p. 130)"
A4,household,Dennis Regan,"112 DeKoven, labourer","at the O'Leary house; went home to bed; heard a neighbour say the barn was on fire","at O'Leary's about half-past 8; heard of the fire 'some time after 9'",none stated,1871-11-24,"Tribune 25 Nov 1871 p. 6","engines came about a quarter of an hour later by his estimate"
A5,household,Catharine McLaughlin,"front cottage, 137 DeKoven","company in the house; someone cried Fire; saw the barn burning and the rear of Dalton's house just igniting","'about 9.00' (Andreas summary)",none stated,1871-11-25; 1884-85,"Tribune 26 Nov 1871 p. 1; Andreas II:719 summary","engines about ten minutes after discovery by her estimate"
A6,household,Catharine Sullivan,"south side of DeKoven (Daniel's mother)","washing dishes; saw a bright reflection on her window panes; the barn and two others east of it on fire",none,none,1871-11-24,"Tribune 25 Nov 1871 p. 6","her son and Dennis Regan woke the O'Learys"
B1,neighbourhood,James E. Dalton,"135 DeKoven, next lot east","heard a woman's scream of terror from the direction of the O'Leary premises; about ten minutes later Mrs O'Rorke saw reflected firelight on Forbes's cottage; fire then under way in the barn","scream about 8.45; light about 8.55",house clock implied,1884-85,"Andreas II:714","recollection 13 years later; corroborated by Mrs Dalton and two sons (B2)"
B2,neighbourhood,Catherine E. Dalton and sons,"135 DeKoven","guests left before 8.30; put children to bed; heard a woman scream from the O'Leary premises","fire 'as early as 8.45'",elapsed household tasks,1884-85,"Andreas II:714","James P. N. Dalton (then 12) 8.45; grandmother O'Rorke 'always spoke of the fire as originating at 8.45'"
B3,neighbourhood,James Dalton,"cor. Clinton and Forquer","at the fire by nine; it had been going fifteen minutes or longer",by 9.00,none stated,1884-85,"Andreas II:714",
B4,neighbourhood,Joseph Dushek,"153 DeKoven, milkman","first discovered the fire",about 8.45,"a coincidence he could date",1884-85,"Andreas II:714","also found the broken lamp in the ruins the day after"
B5,neighbourhood,William Lee,"133 DeKoven (middle cottage), blacksmith","saw flames he first took for Dalton's shed, then the barn; ran to Goll's drug store for an alarm; returned home as the clock struck nine; fire burning 10 to 15 minutes by then","ignition about 8.45 to 8.50",house clock striking nine,1884-85,"Andreas II:714-715","Andreas: 'Mr. Lee fixes the beginning of the fire at about 8:50'"
B6,neighbourhood,William Dunn,"visiting Forbes, 133 DeKoven","looked at the clock, 'It is nine o'clock. We had better go'; saw the light near Blue Island Avenue and came back","not earlier than 9.00",Forbes's clock,1884-85,"Andreas II:715","conflicts with Lee in the same house"
B7,neighbourhood,Richard Riley,"130 W. Twelfth St, SW cor. Canal; railroad contractor","looked at his Jurgensen watch, raised the window and saw firelight to the north-west; went to DeKoven opposite O'Leary's while the fire was still confined to the barn; Sullivan had just returned home with the calf; engine came 15 to 20 minutes later","8.40 by his watch when he first saw the light; fire began before 8.40",Jurgensen watch; 9.00 train he meant to catch,1884-85,"Andreas II:715","Andreas checked the Alton timetable; fire crossed Taylor St at 9.30 to 9.35 by his watch"
B8,neighbourhood,John Comiskey,"Lytle St, due west of DeKoven's end","saw the light from his back porch; after 10 to 15 minutes looked at the clock",clock 8.55; fire 8.40 to 8.45,house clock,1884-85,"Andreas II:715",
