year,MAM_T_cell_C,MAM_T_3x3_C,JJA_T_cell_C,JJA_T_3x3_C,MAM_T_cell_C_anom_1500-1600,MAM_T_cell_C_z_1500-1600,MAM_T_cell_C_rank_warmest1_1500-1600,MAM_T_cell_C_anom_1901-2000,JJA_T_cell_C_anom_1500-1600,JJA_T_cell_C_z_1500-1600,JJA_T_cell_C_rank_warmest1_1500-1600,JJA_T_cell_C_anom_1901-2000
1500,9.68,8.72,18.87,17.86,0.02,0.03,53.00,-0.58,0.42,0.44,26.00,0.33
1501,10.39,9.43,18.03,17.02,0.73,0.79,18.00,0.13,-0.42,-0.43,69.00,-0.51
1502,9.13,8.16,19.45,18.43,-0.53,-0.56,75.00,-1.13,1.00,1.03,14.00,0.91
1503,9.88,8.92,20.07,19.05,0.22,0.24,43.00,-0.38,1.62,1.67,6.00,1.53
1504,10.39,9.43,19.81,18.79,0.73,0.79,18.00,0.13,1.36,1.41,9.00,1.27
1505,10.14,9.17,17.77,16.77,0.48,0.52,31.00,-0.12,-0.68,-0.70,78.00,-0.77
1506,9.96,8.99,18.82,17.81,0.30,0.33,39.00,-0.30,0.37,0.39,28.00,0.28
1507,9.90,8.92,18.37,17.36,0.24,0.26,42.00,-0.36,-0.08,-0.08,53.00,-0.17
1508,8.91,7.94,17.89,16.88,-0.75,-0.80,81.00,-1.35,-0.56,-0.57,76.00,-0.65
1509,10.14,9.17,19.37,18.35,0.48,0.52,31.00,-0.12,0.92,0.95,15.00,0.83
1510,9.38,8.42,18.34,17.33,-0.28,-0.30,65.00,-0.88,-0.11,-0.11,55.00,-0.20
1511,9.88,8.92,17.06,16.06,0.22,0.24,43.00,-0.38,-1.39,-1.43,95.00,-1.48
1512,10.10,9.13,18.47,17.47,0.44,0.48,34.00,-0.16,0.02,0.02,47.00,-0.07
1513,9.41,8.45,18.37,17.36,-0.25,-0.26,62.00,-0.85,-0.08,-0.08,53.00,-0.17
1514,9.31,8.34,18.53,17.52,-0.35,-0.37,70.00,-0.95,0.08,0.09,42.00,-0.01
1515,8.25,7.28,17.15,16.15,-1.41,-1.51,95.00,-2.01,-1.30,-1.34,92.00,-1.39
1516,10.27,9.31,19.30,18.28,0.61,0.66,25.00,0.01,0.85,0.88,17.00,0.76
1517,9.94,8.98,18.42,17.41,0.28,0.31,40.00,-0.32,-0.03,-0.03,52.00,-0.12
1518,10.17,9.21,17.96,16.96,0.51,0.55,29.00,-0.09,-0.49,-0.50,73.00,-0.58
1519,10.27,9.31,18.21,17.21,0.61,0.66,25.00,0.01,-0.24,-0.24,59.00,-0.33
1520,9.00,8.02,18.57,17.57,-0.66,-0.70,79.00,-1.26,0.12,0.13,41.00,0.03
1521,10.43,9.47,18.90,17.88,0.77,0.83,17.00,0.17,0.45,0.47,25.00,0.36
1522,9.88,8.92,18.53,17.52,0.22,0.24,43.00,-0.38,0.08,0.09,42.00,-0.01
1523,10.17,9.22,18.87,17.86,0.51,0.55,29.00,-0.09,0.42,0.44,26.00,0.33
1524,9.63,8.67,18.53,17.52,-0.03,-0.03,56.00,-0.63,0.08,0.09,42.00,-0.01
1525,9.77,8.80,18.80,17.79,0.11,0.12,49.00,-0.49,0.35,0.36,31.00,0.26
1526,10.47,9.51,18.19,17.18,0.81,0.88,16.00,0.21,-0.26,-0.26,62.00,-0.35
1527,8.37,7.41,17.71,16.71,-1.29,-1.38,92.00,-1.89,-0.74,-0.76,80.00,-0.83
1528,9.88,8.92,18.11,17.11,0.22,0.24,43.00,-0.38,-0.34,-0.35,64.00,-0.43
1529,9.26,8.29,16.39,15.39,-0.40,-0.43,71.00,-1.00,-2.06,-2.12,100.00,-2.15
1530,10.33,9.36,18.81,17.80,0.67,0.73,20.00,0.07,0.36,0.37,29.00,0.27
1531,8.19,7.22,18.43,17.42,-1.47,-1.58,96.00,-2.07,-0.02,-0.02,51.00,-0.11
1532,10.25,9.29,19.50,18.48,0.59,0.64,27.00,-0.01,1.05,1.09,12.00,0.96
1533,10.14,9.17,17.92,16.92,0.48,0.52,31.00,-0.12,-0.53,-0.54,75.00,-0.62
1534,11.09,10.13,20.58,19.56,1.43,1.54,6.00,0.83,2.13,2.20,5.00,2.04
1535,8.91,7.94,18.69,17.69,-0.75,-0.80,81.00,-1.35,0.24,0.25,36.00,0.15
1536,10.74,9.78,21.12,20.10,1.08,1.17,12.00,0.48,2.67,2.76,2.00,2.58
1537,9.51,8.54,17.76,16.75,-0.15,-0.16,61.00,-0.75,-0.69,-0.71,79.00,-0.78
1538,8.70,7.73,19.17,18.15,-0.96,-1.03,85.00,-1.56,0.72,0.75,20.00,0.63
1539,10.10,9.14,18.52,17.52,0.44,0.48,34.00,-0.16,0.07,0.08,45.00,-0.02
1540,12.11,11.16,21.16,20.14,2.45,2.64,1.00,1.85,2.71,2.80,1.00,2.62
1541,9.53,8.57,18.09,17.09,-0.13,-0.13,58.00,-0.73,-0.36,-0.37,67.00,-0.45
1542,7.54,6.57,16.54,15.54,-2.12,-2.27,100.00,-2.72,-1.91,-1.97,99.00,-2.00
1543,9.35,8.38,17.70,16.70,-0.31,-0.33,69.00,-0.91,-0.75,-0.77,81.00,-0.84
1544,9.37,8.40,18.32,17.31,-0.29,-0.31,67.00,-0.89,-0.13,-0.13,56.00,-0.22
1545,10.33,9.37,19.48,18.47,0.67,0.73,20.00,0.07,1.03,1.07,13.00,0.94
1546,8.91,7.95,18.46,17.45,-0.75,-0.80,81.00,-1.35,0.01,0.01,48.00,-0.08
1547,9.88,8.92,18.80,17.79,0.22,0.24,43.00,-0.38,0.35,0.36,31.00,0.26
1548,9.76,8.80,19.30,18.30,0.10,0.11,50.00,-0.50,0.85,0.88,17.00,0.76
1549,10.29,9.34,18.76,17.76,0.63,0.68,24.00,0.03,0.31,0.32,33.00,0.22
1550,8.72,7.76,18.03,17.03,-0.94,-1.01,84.00,-1.54,-0.42,-0.43,69.00,-0.51
1551,9.11,8.15,18.73,17.73,-0.55,-0.59,78.00,-1.15,0.28,0.29,35.00,0.19
1552,10.58,9.62,18.44,17.43,0.92,0.99,15.00,0.32,-0.01,-0.01,50.00,-0.10
1553,9.12,8.16,18.60,17.59,-0.54,-0.58,77.00,-1.14,0.15,0.16,40.00,0.06
1554,10.60,9.64,19.19,18.17,0.94,1.02,14.00,0.34,0.74,0.77,19.00,0.65
1555,10.33,9.36,17.27,16.27,0.67,0.73,20.00,0.07,-1.18,-1.21,90.00,-1.27
1556,10.00,9.04,20.85,19.83,0.34,0.37,38.00,-0.26,2.40,2.48,3.00,2.31
1557,9.55,8.58,19.11,18.11,-0.11,-0.11,57.00,-0.71,0.66,0.68,21.00,0.57
1558,11.33,10.37,19.06,18.05,1.67,1.80,3.00,1.07,0.61,0.63,24.00,0.52
1559,11.25,10.29,20.06,19.04,1.59,1.71,5.00,0.99,1.61,1.66,7.00,1.52
1560,10.76,9.80,17.49,16.49,1.10,1.19,11.00,0.50,-0.96,-0.99,87.00,-1.05
1561,9.75,8.78,18.76,17.75,0.09,0.10,51.00,-0.51,0.31,0.32,33.00,0.22
1562,10.25,9.29,18.52,17.52,0.59,0.64,27.00,-0.01,0.07,0.08,45.00,-0.02
1563,9.38,8.42,17.88,16.88,-0.28,-0.30,65.00,-0.88,-0.57,-0.58,77.00,-0.66
1564,10.31,9.35,18.21,17.21,0.65,0.70,23.00,0.05,-0.24,-0.24,59.00,-0.33
1565,9.15,8.18,18.81,17.81,-0.51,-0.54,74.00,-1.11,0.36,0.37,29.00,0.27
1566,8.58,7.62,18.68,17.67,-1.08,-1.16,87.00,-1.68,0.23,0.24,38.00,0.14
