year,UpperRhine_47.5-49.5N_7-8.5E_mean,UpperRhine_47.5-49.5N_7-8.5E_frac_below_-3,CentralEurope_46-52N_5-15E_mean,CentralEurope_46-52N_5-15E_frac_below_-3,France_43-50N_-4-7E_mean,France_43-50N_-4-7E_frac_below_-3,Germany_47.5-54N_6-15E_mean,Germany_47.5-54N_6-15E_frac_below_-3,Europe_all_mean,Europe_all_frac_below_-3
1510,1.085,0.000,0.913,0.000,1.337,0.000,0.920,0.000,0.869,0.011
1511,2.245,0.000,1.670,0.000,0.539,0.000,1.965,0.000,0.225,0.052
1512,0.572,0.000,-0.443,0.042,-1.208,0.051,-0.118,0.043,-0.324,0.062
1513,0.164,0.000,-1.030,0.114,-0.266,0.004,-0.726,0.083,-0.291,0.028
1514,-0.300,0.000,-1.175,0.097,0.307,0.000,-1.059,0.091,0.179,0.018
1515,2.481,0.000,1.263,0.004,1.382,0.000,1.543,0.004,-0.141,0.029
1516,-1.928,0.333,-2.267,0.309,-3.602,0.688,-2.223,0.283,-0.628,0.135
1517,-6.815,1.000,-4.377,0.801,-6.331,0.957,-4.794,0.909,-1.161,0.217
1518,-3.445,0.667,-1.957,0.271,-0.980,0.115,-2.367,0.326,-0.653,0.092
1519,-0.801,0.000,-0.887,0.055,0.716,0.000,-1.197,0.061,-0.380,0.083
1520,-1.359,0.000,-1.076,0.064,0.105,0.000,-1.086,0.057,-0.077,0.038
1521,2.059,0.000,1.620,0.000,2.010,0.000,1.932,0.000,0.495,0.044
1522,0.845,0.000,-0.296,0.085,0.335,0.000,0.042,0.035,-0.508,0.088
1523,-0.535,0.000,-0.840,0.034,-0.395,0.000,-0.930,0.009,-0.353,0.085
1524,0.766,0.000,0.178,0.013,-0.319,0.004,0.271,0.013,0.257,0.050
1525,-2.660,0.250,-3.582,0.678,-2.384,0.303,-3.524,0.639,0.083,0.083
