year,pdsi_strasbourg_cell,pdsi_mean_3x3,pdsi_mean_5x5,pdsi_48.25N_7.25E,pdsi_48.25N_7.75E,pdsi_48.25N_8.25E,pdsi_48.75N_7.25E,pdsi_48.75N_7.75E,pdsi_48.75N_8.25E,pdsi_49.25N_7.25E,pdsi_49.25N_7.75E,pdsi_49.25N_8.25E,pdsi_basel_47.75N_7.75E,pdsi_colmar_48.25N_7.25E,pdsi_freiburg_47.75N_7.75E,pdsi_karlsruhe_49.25N_8.25E,pdsi_nancy_48.75N_6.25E,pdsi_stuttgart_48.75N_9.25E,pdsi_strasbourg_cell_rank_wettest1,pdsi_strasbourg_cell_rank_driest1,pdsi_strasbourg_cell_pctile_1500_1600,pdsi_mean_3x3_rank_wettest1,pdsi_mean_3x3_rank_driest1,pdsi_mean_3x3_pctile_1500_1600,pdsi_mean_5x5_rank_wettest1,pdsi_mean_5x5_rank_driest1,pdsi_mean_5x5_pctile_1500_1600
1500,-0.742,-0.653,-0.864,-0.916,-0.599,-1.421,-1.637,-0.742,-1.035,-0.823,0.899,0.400,-1.436,-0.916,-1.436,0.400,-1.992,-0.681,60,42,0.416,61,41,0.406,66,36,0.356
1501,0.119,0.347,0.064,-0.132,0.550,-0.221,-0.599,0.119,0.098,0.209,1.553,1.547,-0.495,-0.132,-0.495,1.547,-0.022,-0.243,43,59,0.584,43,59,0.584,46,56,0.554
1502,-1.594,-2.351,-2.343,-2.102,-2.088,-3.485,-2.960,-1.594,-2.574,-1.465,-2.381,-2.514,-2.580,-2.102,-2.580,-2.514,-2.830,-1.276,75,27,0.267,84,18,0.178,87,15,0.149
1503,-7.242,-7.558,-6.904,-7.154,-7.699,-8.610,-8.228,-7.242,-7.131,-7.001,-7.699,-7.261,-7.476,-7.154,-7.476,-7.261,-7.592,-4.951,100,2,0.020,100,2,0.020,100,2,0.020
1504,-8.800,-7.812,-7.276,-9.295,-9.120,-7.492,-7.978,-8.800,-7.693,-7.999,-6.752,-5.178,-9.505,-9.295,-9.505,-5.178,-7.037,-6.813,101,1,0.010,101,1,0.010,101,1,0.010
1505,-2.934,-1.747,-1.513,-3.907,-2.306,-2.255,-1.251,-2.934,-1.086,-2.337,-0.133,0.489,-3.848,-3.907,-3.848,0.489,0.951,-1.647,91,11,0.109,74,28,0.277,74,28,0.277
1506,-1.590,-0.872,-1.015,-2.944,-1.867,-1.581,-1.621,-1.590,0.104,-1.127,0.786,1.996,-2.458,-2.944,-2.458,1.996,-0.983,-3.768,74,28,0.277,65,37,0.366,71,31,0.307
1507,1.290,1.548,0.975,-0.002,1.606,0.968,0.578,1.290,1.710,1.701,2.567,3.517,-0.455,-0.002,-0.455,3.517,1.672,-1.463,22,80,0.792,14,88,0.871,24,78,0.772
1508,1.769,1.338,0.944,0.943,2.122,0.675,0.418,1.769,0.880,1.889,1.506,1.841,1.084,0.943,1.084,1.841,0.881,-0.357,13,89,0.881,17,85,0.842,26,76,0.752
1509,1.495,1.369,1.052,0.965,1.719,0.988,0.931,1.495,0.768,1.432,2.092,1.933,0.986,0.965,0.986,1.933,0.376,0.138,19,83,0.822,16,86,0.851,21,81,0.802
1510,0.961,1.156,0.959,1.132,1.435,1.324,1.004,0.961,0.576,0.962,1.709,1.298,0.886,1.132,0.886,1.298,0.558,1.175,28,74,0.733,23,79,0.782,25,77,0.762
1511,2.474,2.367,2.204,2.099,2.543,1.793,1.563,2.474,1.932,2.633,2.599,3.668,1.793,2.099,1.793,3.668,1.497,2.065,7,95,0.941,9,93,0.921,9,93,0.921
1512,1.183,0.825,0.599,0.447,0.392,0.342,-0.507,1.183,-0.243,1.315,1.896,2.601,-0.271,0.447,-0.271,2.601,-1.159,0.905,24,78,0.772,31,71,0.703,39,63,0.624
1513,0.663,0.321,0.283,0.163,0.144,-0.144,-0.777,0.663,0.722,0.964,0.047,1.105,-0.646,0.163,-0.646,1.105,-0.005,0.151,35,67,0.663,44,58,0.574,43,59,0.584
1514,-0.090,-0.064,-0.233,-0.461,0.076,0.341,-0.264,-0.090,-0.726,-0.030,0.120,0.457,-1.280,-0.461,-1.280,0.457,-0.719,-0.977,48,54,0.535,48,54,0.535,51,51,0.505
1515,2.586,2.705,2.384,2.162,2.724,1.815,2.742,2.586,2.047,2.608,3.912,3.753,1.553,2.162,1.553,3.753,2.724,1.450,5,97,0.960,7,95,0.941,6,96,0.950
1516,-0.474,-2.109,-2.027,-1.111,-1.253,-3.427,-3.741,-0.474,-2.504,0.014,-3.401,-3.087,-2.121,-1.111,-2.121,-3.087,-3.397,-2.400,57,45,0.446,82,20,0.198,83,19,0.188
1517,-6.787,-6.895,-6.474,-6.562,-7.006,-6.989,-8.017,-6.787,-6.885,-6.151,-7.903,-5.759,-7.097,-6.562,-7.097,-5.759,-8.332,-4.201,99,3,0.030,99,3,0.030,99,3,0.030
1518,-4.590,-3.103,-3.005,-4.915,-4.681,-2.623,-2.499,-4.590,-1.013,-3.749,-3.126,-0.734,-4.934,-4.915,-4.934,-0.734,-1.563,-0.562,98,4,0.040,91,11,0.109,93,9,0.089
1519,-1.320,-0.493,-0.633,-2.240,-1.088,-0.861,0.108,-1.320,0.990,-1.052,0.228,0.795,-2.335,-2.240,-2.335,0.795,0.803,0.187,71,31,0.307,54,48,0.475,59,43,0.426
1520,-1.706,-1.217,-1.332,-2.226,-1.402,-0.920,-1.324,-1.706,-1.100,-1.507,-0.747,-0.017,-2.047,-2.226,-2.047,-0.017,-1.143,-1.245,76,26,0.257,71,31,0.307,72,30,0.297
1521,1.601,2.137,2.003,1.247,2.237,2.073,2.255,1.601,3.169,1.992,1.878,2.782,1.856,1.247,1.856,2.782,2.912,1.918,16,86,0.851,11,91,0.901,10,92,0.911
1522,1.009,0.863,0.843,0.623,1.097,0.996,1.530,1.009,2.099,0.769,0.052,-0.406,0.946,0.623,0.946,-0.406,0.329,1.759,25,77,0.762,29,73,0.723,30,72,0.713
1523,-1.014,-0.460,-0.566,-0.886,-1.074,-0.290,0.106,-1.014,0.587,-0.976,-0.242,-0.353,-0.110,-0.886,-0.110,-0.353,-1.188,1.056,65,37,0.366,52,50,0.495,55,47,0.465
