TEMPERATURE																		PRECIPITATION        																
     	JAN 	FEB 	MRC	APR 	MAY	JUN 	JUL 	AUG 	SEP 	OKT 	NOV 	DEC	Winter	Spring	Summer	Autumn	Year	JAN 	FEB 	MRC	APR 	MAY	JUN 	JUL 	AUG 	SEP 	OKT 	NOV 	DEC	Winter	Spring	Summer	Autumn	Year

1525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
1526	0	0	0	1	0	0	0	0	0	0	1	3	0	0.3	0	0.3	0.16	0	0	1	-1	0	0	0	2	0	0	0	-3	0.00	0.00	0.70	0.00	0.17
1527	3	3	-2	-3	-2	-1	-2	-1	-2	0	0	-1	3	-2.3	-1.3	-0.7	-0.33	-1	-1	2	0	0	1	1	0	0	0	0	-2	-1.70	0.70	0.70	0.00	-0.08
1528	-2	-2	0	0	0	0	0	0	0	0	0	-2	-1.7	0	0	0	-0.42	0	0	0	0	0	0	0	0	0	0	0	0	-0.70	0.00	0.00	0.00	-0.17
1529	-1	0	0	-1	-2	-1	-2	-2	-2	0	3	3	-1	-1	-1.7	0.3	-0.84	0	0	0	0	1	2	2	2	0	0	0	0	0.00	0.30	2.00	0.00	0.58
1530	3	3	3	-1	0	0	0	1	1	1	0	-1	3	0.7	0.3	0.7	1.17	0	0	-2	0	0	0	2	1	0	-1	0	0	0.00	-0.70	1.00	-1.00	-0.17
1531	0	1	-1	0	0	0	0	1	1	1	0	1	0	-0.3	0.3	0.7	0.17	0	0	0	0	0	0	0	0	-2	-2	0	0	0.00	0.00	0.00	-4.00	-1.00
1532	0	-1	1	0	1	1	0	1	1	1	1	0	0	0.7	0.7	1	0.58	0	3	0	0	-1	0	0	0	0	0	0	0	1.00	-0.30	0.00	0.00	0.17
1533	1	0	0	0	0	-1	0	1	1	0	-1	-1	0.3	0	0	0	0.08	0	0	0	0	0	1	1	1	0	0	0	0	0.00	0.00	1.00	0.00	0.25
1534	-3	-3	0	0	0	1	3	2	0	0	0	0	-2.3	0	2	0	-0.08	0	-1	-1	-1	0	-1	-1	-1	0	0	0	0	-0.30	-0.70	-1.00	0.00	-0.50
1535	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-0.7	-0.3	0	0	-0.25	0	0	0	0	0	1	0	0	1	1	1	-1	0.00	0.00	0.30	1.00	0.33
