Swiss Grape Harvest Dates and Spring/Summer Temperature Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 
Swiss Grape Harvest Dates and Spring/Summer Temperature Reconstruction

LAST UPDATE: 2/2008 (Original receipt by WDC Paleo)
CONTRIBUTOR: Nicole Meier, University of Bern 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2008-015

SUGGESTED DATA CITATION: Meier, N., et al.  2008.
Swiss Grape Harvest Dates and Spring/Summer Temperature Reconstruction. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2008-015.    
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: 
Meier, N., T. Rutishauser, C. Pfister, H. Wanner, and J. Luterbacher. 2007. 
Grape harvest dates as a proxy for Swiss April to August temperature 
reconstructions back to AD 1480. 
Geophys. Res. Lett., 34, L20705, doi:10.1029/2007GL031381.

ABSTRACT:
We present an annually resolved record of grape harvest dates for Switzerland. 
The strong negative relationship between grape harvest dates and April-August 
temperatures allowed a new reconstruction, with associated uncertainties, 
to be derived back to 1480.  Calibration (1928-1979) was performed with 
monthly data from the Basel and Geneva stations and verified over 1980-2006. 
Twelve days of grape harvest difference correspond to around 1ºC April-August 
temperature difference.  Periods cooler (late grape harvest dates) than the 
1961-1990 mean are reconstructed during the 17th century and at the beginning 
of the 19th century.  Warmer conditions were experienced in the early 18th 
century and during the recent decades, in agreement with grape harvest 
temperature reconstructions from France and other independent temperature 
estimates. On decadal (annual) time-scales the earliest harvests were in the 
1580s (2003) and the latest vintages in the 1740s (1816). Large tropical 
volcanic eruptions led to significantly later grape harvest dates (cooling) 
one to two years after the event.


GEOGRAPHIC REGION: Switzerland
PERIOD OF RECORD: 1480 - 2006 AD

FUNDING SOURCES:
Swiss National Science Foundation (project "Past, Present and Future 
Climate Impact on Spring and Summer Vegetation – a Phenological Approach" 
contract 205321-105691/1) and through its National Center of Competence
in Research on Climate (NCCR-Climate), projects PALVAREX and CAPRICORN 
and the Oeschger Centre for Climate Change Research. 
The publication is financially supported by the 
Foundation Marchese Francesco Medici del Vascello.


DESCRIPTION:  
Annual median grape harvest dates for 15 locations in the Swiss Plateau 
region and north-western Switzerland, plus phenological reconstruction
of April - August temperature.



DATA:
Column 1: Year AD
Column 2: Median time series of Swiss grape harvest dates, number of days after January 1
Column 3: Reconstructed April - August temperature anomalies (wrt 1961-1990) 

Year     DoY Rec. Value
1480      291    -0.47
1481      NA       NA
1482      NA       NA
1483      NA       NA
1484      NA       NA
1485      NA       NA
1486      NA       NA
1487      NA       NA
1488      NA       NA
1489      NA       NA
1490      NA       NA
1491      NA       NA
1492      NA       NA
1493      NA       NA
1494      NA       NA
1495      NA       NA
1496      287    -0.18
1497      266     1.34
1498      277     0.55
1499      278     0.47
1500      NA       NA
1501      NA       NA
1502      NA       NA
1503      NA       NA
1504      NA       NA
1505      NA       NA
1506      NA       NA
1507      NA       NA
1508      NA       NA
1509      NA       NA
1510      NA       NA
1511      NA       NA
1512      NA       NA
1513      NA       NA
1514      NA       NA
1515      NA       NA
1516      NA       NA
1517      NA       NA
1518      NA       NA
1519      NA       NA
1520      NA       NA
1521      NA       NA
1522      NA       NA
1523      NA       NA
1524      NA       NA
1525      NA       NA
1526      276     0.62
1527      299    -1.05
1528      282     0.18
1529      297    -0.87
1530      293    -0.62
1531      280     0.33
1532      NA       NA
1533      282     0.18
1534      NA       NA
1535      NA       NA
1536      NA       NA
1537      NA       NA
1538      NA       NA
1539      NA       NA
1540      254     2.21
1541      NA       NA
1542      312    -1.99
1543      NA       NA
1544      NA       NA
1545      NA       NA
1546      NA       NA
1547      NA       NA
1548      NA       NA
1549      264     1.49
1550      283     0.15
1551      272     0.94
1552      268     1.23
1553      285        0
1554      277     0.55
1555      292    -0.51
1556      271     0.98
1557      282     0.18
1558      281     0.29
1559      267     1.27
1560      278     0.47
1561      271     0.98
1562      272     0.91
1563      287    -0.18
1564      279     0.44
1565      271     0.98
1566      272     0.91
1567      273     0.84
1568      286    -0.11
1569      NA       NA
1570      292    -0.54
1571      266     1.34
1572      275     0.69
1573      295    -0.76
1574      277     0.55
1575      281     0.26
1576      287    -0.18
1577      286    -0.11
1578      282     0.18
1579      291    -0.47
1580      275     0.69
1581      NA       NA
1582      NA       NA
1583      265     1.42
1584      NA       NA
1585      NA       NA
1586      279      0.4
1587      NA       NA
1588      283     0.11
1589      NA       NA
1590      263     1.56
1591      280     0.33
1592      NA       NA
1593      NA       NA
1594      292    -0.54
1595      290     -0.4
1596      NA       NA
1597      298    -0.98
1598      NA       NA
1599      264     1.49
1600      299    -1.05
1601      293    -0.58
1602      272     0.94
1603      267     1.27
1604      273     0.87
1605      276     0.62
1606      296    -0.83
1607      273     0.84
1608      288    -0.25
1609      286    -0.11
1610      271     0.98
1611      264     1.49
1612      284     0.04
1613      282     0.18
1614      288    -0.25
1615      268      1.2
1616      257     2.03
1617      295    -0.76
1618      295    -0.76
1619      273     0.87
1620      285    -0.04
1621      299    -1.05
1622      283     0.11
1623      277     0.55
1624      266     1.34
1625      285    -0.04
1626      279      0.4
1627      299    -1.01
1628      307    -1.63
1629      269     1.13
1630      274      0.8
1631      272     0.94
1632      293    -0.62
1633      287    -0.18
1634      279      0.4
1635      277     0.55
1636      267     1.27
1637      264     1.49
1638      260     1.78
1639      284     0.04
1640      285    -0.04
1641      287    -0.14
1642      294    -0.69
1643      290    -0.36
1644      273     0.84
1645      270     1.05
1646      281     0.26
1647      283     0.15
1648      288    -0.25
1649      295    -0.76
1650      290     -0.4
1651      278     0.47
1652      287    -0.18
1653      272     0.91
1654      289    -0.29
1655      284     0.04
1656      279      0.4
1657      278     0.51
1658      287    -0.18
1659      268      1.2
1660      271     0.98
1661      279     0.44
1662      290    -0.36
1663      293    -0.62
1664      282     0.22
1665      276     0.62
1666      273     0.84
1667      293    -0.58
1668      278     0.47
1669      273     0.84
1670      286    -0.11
1671      278     0.47
1672      288    -0.22
1673      300    -1.09
1674      291    -0.47
1675      311    -1.88
1676      268      1.2
1677      291    -0.47
1678      279      0.4
1679      278     0.47
1680      286    -0.11
1681      277     0.55
1682      295    -0.72
1683      287    -0.18
1684      271     0.98
1685      287    -0.18
1686      268      1.2
1687      286    -0.11
1688      288    -0.25
1689      295    -0.76
1690      289    -0.29
1691      287    -0.14
1692      308     -1.7
1693      286    -0.11
1694      284     0.04
1695      305    -1.49
1696      292    -0.51
1697      287    -0.18
1698      313    -2.07
1699      295    -0.76
1700      298    -0.98
1701      286    -0.07
1702      300    -1.12
1703      287    -0.18
1704      268      1.2
1705      289    -0.33
1706      270     1.05
1707      287    -0.14
1708      278     0.47
1709      291    -0.47
1710      278     0.51
1711      290     -0.4
1712      283     0.11
1713      291    -0.47
1714      293    -0.58
1715      277     0.55
1716      296    -0.83
1717      281     0.26
1718      255     2.18
1719      262     1.63
1720      279      0.4
1721      279      0.4
1722      279      0.4
1723      281     0.26
1724      285    -0.04
1725      290     -0.4
1726      273     0.87
1727      279      0.4
1728      274     0.76
1729      286    -0.11
1730      289    -0.33
1731      287    -0.14
1732      286    -0.11
1733      284     0.04
1734      287    -0.14
1735      294    -0.69
1736      281     0.26
1737      285    -0.04
1738      287    -0.18
1739      290    -0.36
1740      290    -0.36
1741      293    -0.62
1742      303    -1.34
1743      299    -1.05
1744      295    -0.76
1745      299    -1.01
1746      289    -0.29
1747      289    -0.33
1748      291    -0.47
1749      295    -0.76
1750      289    -0.33
1751      298    -0.98
1752      296    -0.83
1753      290     -0.4
1754      294    -0.65
1755      288    -0.25
1756      298    -0.98
1757      297    -0.91
1758      296    -0.83
1759      280     0.36
1760      279      0.4
1761      283     0.11
1762      279      0.4
1763      290     -0.4
1764      288    -0.25
1765      294    -0.69
1766      294    -0.69
1767      302    -1.27
1768      292    -0.54
1769      297    -0.91
1770      299    -1.05
1771      288    -0.25
1772      287    -0.18
1773      302    -1.27
1774      284     0.07
1775      291    -0.47
1776      292    -0.54
1777      292    -0.54
1778      285    -0.04
1779      284     0.04
1780      279      0.4
1781      276     0.62
1782      295    -0.72
1783      284     0.04
1784      283     0.15
1785      298    -0.98
1786      292    -0.51
1787      296     -0.8
1788      274      0.8
1789      289    -0.29
1790      288    -0.25
1791      284     0.04
1792      290     -0.4
1793      283     0.15
1794      271     0.98
1795      278     0.47
1796      290     -0.4
1797      283     0.11
1798      281     0.26
1799      301     -1.2
1800      278     0.47
1801      284     0.04
1802      278     0.47
1803      290     -0.4
1804      288    -0.25
1805      301     -1.2
1806      288    -0.25
1807      274     0.76
1808      288    -0.25
1809      303    -1.34
1810      288    -0.25
1811      275     0.69
1812      299    -1.05
1813      298    -0.98
1814      298    -0.98
1815      286    -0.11
