id	play_index	key	group	author	date	note
A11954	0	sh_tempest	SH	Shakespeare	1611	F1 1623
A11954	1	sh_two_gentlemen	SH	Shakespeare	1591	F1 1623
A11954	2	sh_merry_wives	SH	Shakespeare	1597	F1 1623
A11954	3	shx_measure	SHX	Shakespeare(+Middleton?)	1604	F1 1623; excluded from training
A11954	4	sh_errors	SH	Shakespeare	1594	F1 1623
A11954	5	sh_much_ado	SH	Shakespeare	1598	F1 1623
A11954	6	sh_lll	SH	Shakespeare	1595	F1 1623
A11954	7	sh_mnd	SH	Shakespeare	1595	F1 1623
A11954	8	sh_merchant	SH	Shakespeare	1596	F1 1623
A11954	9	sh_ayl	SH	Shakespeare	1599	F1 1623
A11954	10	sh_shrew	SH	Shakespeare	1592	F1 1623
A11954	11	shx_alls_well	SHX	Shakespeare(+Middleton?)	1605	F1 1623; excluded from training
A11954	12	sh_twelfth_night	SH	Shakespeare	1601	F1 1623
A11954	13	sh_winters_tale	SH	Shakespeare	1610	F1 1623
A11954	14	sh_john	SH	Shakespeare	1596	F1 1623
A11954	15	sh_richard2	SH	Shakespeare	1595	F1 1623
A11954	16	sh_1henry4	SH	Shakespeare	1597	F1 1623
A11954	17	sh_2henry4	SH	Shakespeare	1598	F1 1623
A11954	18	sh_henry5	SH	Shakespeare	1599	F1 1623
A11954	19	shx_1henry6	SHX	Shakespeare+other	1592	F1 1623; collaborative; excluded
A11954	20	shx_2henry6	SHX	Shakespeare+other	1591	F1 1623; collaborative; excluded
A11954	21	shx_3henry6	SHX	Shakespeare+other	1591	F1 1623; collaborative; excluded
A11954	22	sh_richard3	SH	Shakespeare	1593	F1 1623
A11954	23	collab_henry8	COLLAB	Shakespeare+Fletcher	1613	F1 1623
A11954	24	sh_troilus	SH	Shakespeare	1602	F1 1623
A11954	25	sh_coriolanus	SH	Shakespeare	1608	F1 1623
A11954	26	shx_titus	SHX	Shakespeare+other	1592	F1 1623; collaborative; excluded
A11954	27	sh_romeo	SH	Shakespeare	1595	F1 1623
A11954	28	shx_timon	SHX	Shakespeare(+Middleton?)	1606	F1 1623; excluded from training
A11954	29	sh_julius_caesar	SH	Shakespeare	1599	F1 1623
A11954	30	shx_macbeth	SHX	Shakespeare(+Middleton?)	1606	F1 1623; excluded from training
A11954	31	sh_hamlet	SH	Shakespeare	1601	F1 1623
A11954	32	sh_lear	SH	Shakespeare	1605	F1 1623
A11954	33	sh_othello	SH	Shakespeare	1604	F1 1623
A11954	34	sh_antony	SH	Shakespeare	1607	F1 1623
A11954	35	sh_cymbeline	SH	Shakespeare	1610	F1 1623
A00969	0	collab_tnk	COLLAB	Shakespeare+Fletcher	1613	Q 1634
A27177	0	fl_mad_lover	FL	Fletcher	1617	Folio 1647
A27177	1	fx_spanish_curate	FX	Fletcher+other	1620	Folio 1647
A27177	2	fx_little_french_lawyer	FX	Fletcher+other	1620	Folio 1647
A27177	3	fx_custom_of_country	FX	Fletcher+other	1620	Folio 1647
A27177	4	fx_noble_gentleman	FX	Fletcher+other	1620	Folio 1647
A27177	5	fx_captain	BF	Beaumont+Fletcher	1620	Folio 1647
A27177	6	fx_beggars_bush	FX	Fletcher+other	1620	Folio 1647
A27177	7	fx_coxcomb	BF	Beaumont+Fletcher	1620	Folio 1647
A27177	8	fx_false_one	FX	Fletcher+other	1620	Folio 1647
A27177	9	fl_chances	FL	Fletcher	1617	Folio 1647
A27177	10	fl_loyal_subject	FL	Fletcher	1618	Folio 1647
A27177	11	fx_laws_of_candy	FX	Fletcher+other	1620	Folio 1647
A27177	12	fx_lovers_progress	FX	Fletcher+other	1620	Folio 1647
A27177	13	fl_island_princess	FL	Fletcher	1621	Folio 1647
A27177	14	fl_humorous_lieutenant	FL	Fletcher	1619	Folio 1647
A27177	15	fx_nice_valour	FX	Fletcher+other	1620	Folio 1647
A27177	16	fx_maid_in_mill	FX	Fletcher+other	1620	Folio 1647
A27177	17	fx_prophetess	FX	Fletcher+other	1620	Folio 1647
A27177	18	fl_bonduca	FL	Fletcher	1613	Folio 1647
A27177	19	fx_sea_voyage	FX	Fletcher+other	1620	Folio 1647
A27177	20	fx_double_marriage	FX	Fletcher+other	1620	Folio 1647
A27177	21	fl_pilgrim	FL	Fletcher	1621	Folio 1647
A27177	22	fx_knight_of_malta	FX	Fletcher+other	1620	Folio 1647
A27177	23	fl_womans_prize	FL	Fletcher	1611	Folio 1647
A27177	24	fx_loves_cure	FX	Fletcher+other	1620	Folio 1647
A27177	25	fx_honest_mans_fortune	FX	Fletcher+other	1620	Folio 1647
A27177	26	fx_queen_of_corinth	FX	Fletcher+other	1620	Folio 1647
A27177	27	fl_women_pleased	FL	Fletcher	1620	Folio 1647
A27177	28	fl_wife_for_month	FL	Fletcher	1624	Folio 1647
A27177	29	fx_wit_at_several_weapons	FX	Fletcher+other	1620	Folio 1647
A27177	30	fl_valentinian	FL	Fletcher	1614	Folio 1647
A27177	31	fx_fair_maid_of_inn	FX	Fletcher+other	1620	Folio 1647
A27177	32	fx_loves_pilgrimage	FX	Fletcher+other	1620	Folio 1647
A27177	33	fx_masque_grays_inn	BE	Beaumont	1620	Folio 1647
A27177	34	fx_four_plays_in_one	FX	Fletcher+other	1620	Folio 1647
A27177	35	fl_wild_goose_chase	FL	Fletcher	1621	Folio 1647
A00962	0	fl_faithful_shepherdess	FL	Fletcher	1608	Q 1610
B13574	0	fl_monsieur_thomas	FL	Fletcher	1615	Q 1639
A00967	0	fl_rule_a_wife	FL	Fletcher	1624	Q 1640
A27204	0	fl_wit_without_money	FL	Fletcher	1614	Q 1661; sole authorship disputed by some
A00966	0	fx_night_walker	FX	Fletcher rev. Shirley	1611	Q 1640
A06343	0	bf_philaster	BF	Beaumont+Fletcher	1609	Q 1620
A06289	0	bf_maids_tragedy	BF	Beaumont+Fletcher	1610	Q 1619
A06207	0	bf_king_no_king	BF	Beaumont+Fletcher	1611	Q 1619
A06389	0	bf_scornful_lady	BF	Beaumont+Fletcher	1610	Q 1616
A06177	0	bf_cupids_revenge	BF	Beaumont+Fletcher	1608	Q 1615
A06252	0	be_knight_burning_pestle	BE	Beaumont	1607	Q 1613
A06458	0	be_woman_hater	BE	Beaumont(+Fletcher)	1606	Q 1607
A00960	0	fx_elder_brother	FX	Fletcher+Massinger	1625	Q 1637
A00958	0	fx_bloody_brother	FX	Fletcher+Massinger+others	1617	Q 1639
A00968	0	fx_thierry	FX	Fletcher+Massinger+Beaumont?	1617	Q 1621
A07234	0	ma_bondman	MA	Massinger	1623	Q
A07237	0	ma_duke_of_milan	MA	Massinger	1621	Q
A07238	0	ma_emperor_of_east	MA	Massinger	1631	Q
A07239	0	ma_great_duke_florence	MA	Massinger	1627	Q
A07240	0	ma_maid_of_honour	MA	Massinger	1621	Q
A07241	0	ma_new_way	MA	Massinger	1625	Q
A07245	0	ma_picture	MA	Massinger	1629	Q
A07246	0	ma_renegado	MA	Massinger	1624	Q
A07247	0	ma_roman_actor	MA	Massinger	1626	Q
A07248	0	ma_unnatural_combat	MA	Massinger	1624	Q
A50090	0	ma_city_madam	MA	Massinger	1632	Q
A12128	0	jac_shirley_bird_in_cage	JAC	Shirley	1633	Q
A12129	0	jac_shirley_changes	JAC	Shirley	1632	Q
A12130	0	jac_shirley_constant_maid	JAC	Shirley	1636	Q
A12138	0	jac_shirley_grateful_servant	JAC	Shirley	1629	Q
A12140	0	jac_shirley_hyde_park	JAC	Shirley	1632	Q
A12141	0	jac_shirley_humorous_courtier	JAC	Shirley	1631	Q
A12142	0	jac_shirley_lady_of_pleasure	JAC	Shirley	1635	Q
A12143	0	jac_shirley_loves_cruelty	JAC	Shirley	1631	Q
A12145	0	jac_shirley_maids_revenge	JAC	Shirley	1626	Q
A12148	0	jac_shirley_opportunity	JAC	Shirley	1634	Q
A12150	0	jac_shirley_royal_master	JAC	Shirley	1637	Q
A12152	0	jac_shirley_school_of_complement	JAC	Shirley	1625	Q
A12154	0	jac_shirley_traitor	JAC	Shirley	1631	Q
A12155	0	jac_shirley_wedding	JAC	Shirley	1626	Q
A12157	0	jac_shirley_witty_fair_one	JAC	Shirley	1628	Q
A07493	0	jac_middleton_chaste_maid	JAC	Middleton	1613	Q
A07495	0	jac_middleton_family_of_love	JAC	Middleton	1605	Q
A07505	0	jac_middleton_michaelmas_term	JAC	Middleton	1605	Q
A07507	0	jac_middleton_phoenix	JAC	Middleton	1604	Q
A07511	0	jac_middleton_trick_to_catch	JAC	Middleton	1605	Q
A07498	0	jac_middleton_game_at_chess	JAC	Middleton	1624	Q
A01046	0	jac_ford_broken_heart	JAC	Ford	1630	Q
A01047	0	jac_ford_perkin_warbeck	JAC	Ford	1633	Q
A01052	0	jac_ford_ladys_trial	JAC	Ford	1638	Q
A01055	0	jac_ford_lovers_melancholy	JAC	Ford	1628	Q
A01056	0	jac_ford_loves_sacrifice	JAC	Ford	1632	Q
A01057	0	jac_ford_tis_pity	JAC	Ford	1630	Q
A14872	0	jac_webster_duchess_of_malfi	JAC	Webster	1613	Q
A14869	0	jac_webster_devils_law_case	JAC	Webster	1618	Q
A14875	0	jac_webster_white_devil	JAC	Webster	1612	Q
A04633	0	jac_jonson_bartholomew_fair	JAC	Jonson	1614	Q
A04639	0	jac_jonson_case_is_altered	JAC	Jonson	1597	Q
A04647	0	jac_jonson_every_man_in	JAC	Jonson	1598	Q
A04653	0	jac_jonson_cynthias_revels	JAC	Jonson	1600	Q
A04658	0	jac_jonson_new_inn	JAC	Jonson	1629	Q
A46228	0	jac_jonson_devil_is_an_ass	JAC	Jonson	1616	Q
A18400	0	jac_chapman_all_fools	JAC	Chapman	1604	Q
A18403	0	jac_chapman_bussy	JAC	Chapman	1604	Q
A18404	0	jac_chapman_byron	JAC	Chapman	1608	Q
A18415	0	jac_chapman_may_day	JAC	Chapman	1602	Q
A18421	0	jac_chapman_revenge_bussy	JAC	Chapman	1610	Q
A18425	0	jac_chapman_caesar_pompey	JAC	Chapman	1613	Q
A18426	0	jac_chapman_widows_tears	JAC	Chapman	1605	Q
A69093	0	jac_chapman_monsieur_dolive	JAC	Chapman	1605	Q
A01911	0	jac_chapman_gyles_goosecap	JAC	Chapman	1602	Q
A07063	0	jac_marston_antonio_mellida	JAC	Marston	1599	Q
