key	group	n_segments	n_words
sh_tempest	SH	10	16915
sh_two_gentlemen	SH	20	17058
sh_merry_wives	SH	23	21354
shx_measure	SHX	17	21451
sh_errors	SH	5	14501
sh_much_ado	SH	5	20861
sh_lll	SH	5	21174
sh_mnd	SH	5	16210
sh_merchant	SH	5	21059
sh_ayl	SH	22	21454
sh_shrew	SH	4	20573
shx_alls_well	SHX	5	22723
sh_twelfth_night	SH	19	19908
sh_winters_tale	SH	15	24825
sh_john	SH	16	20606
sh_richard2	SH	18	21581
sh_1henry4	SH	18	24122
sh_2henry4	SH	17	25260
sh_henry5	SH	5	25572
shx_1henry6	SHX	10	20677
shx_2henry6	SHX	1	24655
shx_3henry6	SHX	1	23503
sh_richard3	SH	18	28339
collab_henry8	COLLAB	17	23261
sh_troilus	SH	1	25484
sh_coriolanus	SH	5	26703
shx_titus	SHX	5	19912
sh_romeo	SH	1	24015
shx_timon	SHX	1	17858
sh_julius_caesar	SH	5	19285
shx_macbeth	SHX	27	16597
sh_hamlet	SH	5	28012
sh_lear	SH	23	23299
sh_othello	SH	14	25941
sh_antony	SH	1	23927
sh_cymbeline	SH	28	26996
collab_tnk	COLLAB	24	23037
fl_mad_lover	FL	5	18150
fx_spanish_curate	FX	21	22565
fx_little_french_lawyer	FX	5	20843
fx_custom_of_country	FX	9	22768
fx_noble_gentleman	FX	5	18854
fx_captain	BF	20	23930
fx_beggars_bush	FX	16	19071
fx_coxcomb	BF	5	20645
fx_false_one	FX	16	19240
fl_chances	FL	24	15908
fl_loyal_subject	FL	28	25382
fx_laws_of_candy	FX	6	15968
fx_lovers_progress	FX	5	20740
fl_island_princess	FL	5	22367
fl_humorous_lieutenant	FL	25	23940
fx_nice_valour	FX	7	14266
fx_maid_in_mill	FX	12	20894
fx_prophetess	FX	18	18604
fl_bonduca	FL	18	20270
fx_sea_voyage	FX	5	16843
fx_double_marriage	FX	5	22877
fl_pilgrim	FL	19	21013
fx_knight_of_malta	FX	18	22880
fl_womans_prize	FL	23	22666
fx_loves_cure	FX	17	19696
fx_honest_mans_fortune	FX	5	22434
fx_queen_of_corinth	FX	16	20218
fl_women_pleased	FL	20	20415
