id	play_index	play_title	n_segments	n_words	n_verse_lines	n_prose_words
A00723	0	Amends for ladies VVith the humour of roring. A comedie. As it was act	6	17640	1349	7216
A00725	0	A Woman's a Weather-cocke.	5	16048	1223	6317
A00958	0	The bloody brother A tragedy. By B.J.F.	11	19059	2496	180
A00959	0	THE TRAGOEDY OF ROLLO Duke of NORMANDY.	12	19190	2623	0
A00960	0	The elder brother a comedie. Acted at the Blacke Friers, by his Maiest	17	18977	2623	0
A00962	0	The faithfull shepheardesse. By Iohn Fletcher	5	19982	2740	11
A00966	0	THE NIGHT-VVALKER: OR, The little Theefe.	5	19648	2656	439
A00967	0	RVLE A WIFE and have a wife.	1	18328	2416	0
A00968	0	THE TRAGEDIE OF THIERRIE AND THEODORET.	6	19161	2420	1862
A00969	0	The Two Noble Kinsmen.	24	22969	2699	2159
A01046	0	THE BROKEN HEART.	10	18738	2880	6
A01047	0	THE CHRONICLE HISTORIE OF PERKIN WARBECK.	5	19214	2650	997
A01052	0	The ladies triall Acted by both their Majesties Servants at the privat	5	16645	2438	676
A01055	0	THE LOVERS MELANCHOLY.	1	17866	1864	4648
A01056	0	Loues Sacrifice.	5	20251	2177	4909
A01057	0	T'is Pitty Shee's a
VVHOORE.	5	18792	1936	5152
A01911	0	SIR GYLES GOOSECAPPE, KNIGHT.	7	20439	600	15337
A01911	1	The Letter.	1	18	0	18
A03190	0	A challenge for beautie· as it hath beene sundry times acted, by the K	5	17513	1721	5510
A03195	0	THE
ENGLISH
TRAVELLER.	6	20637	2647	2503
A03201	0	The fair maid of the vvest. Or, A girle worth gold. The first part. As	5	14549	1416	4257
A03201	1	The fair maid of the vvest. Or, A girle worth gold. The first part. As	5	19451	2075	4517
A03240	0	A MAYDEN-HEAD VVELL LOST.	5	13130	1728	1622
A03244	0	THE Rape of Lucrece.	1	19713	2018	4785
A03248	0	The Royall King,
AND
The Loyall Subiect.	5	19216	1892	5135
A03255	0	THE WISE-VVOMAN OF HOGSDON.	6	17573	732	11829
A04633	0	The first Intermeane after the first Act.	1	726	0	726
A04633	1	The second Intermeane after the second Act.	1	615	0	615
A04633	2	The third Intermeane after the third Act.	1	525	0	525
A04633	3	The fourth Intermeane after the fourth Act.	1	622	1	616
A04639	0	A pleasant Comedy called, the Case is Alterd.	18	18577	1530	6904
A04647	0	EVERY MAN
in his Humor.	15	25515	1139	15889
A04653	0	The fountaine of selfe-loue. Or Cynthias reuels As it hath beene sundr	26	22493	737	17002
A04653	1	The fountaine of selfe-loue. Or Cynthias reuels As it hath beene sundr	1	95	18	0
A04653	2	The fountaine of selfe-loue. Or Cynthias reuels As it hath beene sundr	1	177	0	177
A04658	0	THE NEVV INNE.	23	20972	3058	156
A06177	0	CVPIDS REVENG.	5	20543	1994	5360
A06207	0	A King and NO KING.	5	24101	1988	8803
A06252	0	The knight of the burning pestle	5	19703	1313	9493
A06289	0	The Maydes Tragedy.	5	19888	2100	3598
A06289	1	Maske.	1	1170	132	32
A06343	0	PHYLASTER.	5	19567	1176	9587
A06389	0	The Scornful Lady: A COMEDY.	5	22837	341	20152
A06458	0	The Woman Hater.	13	22265	642	16969
A07063	0	The history of Antonio and Mellida. The first part. As it hath beene s	5	12794	1138	4353
A07063	1	Piero Sforza, to the Italian
Princes, fortune.	1	123	0	123
A07064	0	Antonios Reuenge. ¶ The second part of the Historie of Antonio and Mel	26	14387	1560	2564
A07067	0	THE INSATIATE Countesse.	1	19935	1900	5071
A07083	0	The vvonder of vvomen or The tragedie of Sophonisba as it hath beene s	11	12335	1741	0
A07234	0	The bond-man an antient storie. As it hath been often acted with good 	17	19825	2934	0
A07237	0	THE DVKE OF MILLAINE.	10	20800	2987	119
A07238	0	The Emperour of the East· A tragæ-comœdie. The scæne Constantinople. A	14	19195	2814	373
A07239	0	A COMICAL HISTORY OF THE GREAT DVKE OF FLORENCE.	10	18368	2725	6
A07240	0	The maid of honour As it hath beene often presented with good allowanc	17	18600	2791	0
A07241	0	A NEW WAY TO PAY OLD DEBTS: A COMEDIE.	13	19711	2817	0
A07245	0	THE PICTVRE,
A true Hungarian History.	17	21760	3150	0
A07246	0	THE
RENEGADO.	25	19494	2824	181
A07247	0	The Roman actor A tragædie. As it hath diuers times beene, with good a	11	17753	2575	12
A07248	0	THE
VNNATVRALL
COMBAT.	11	18483	2624	73
A07251	0	The Fatall Dowry: A Tragedy.	10	20344	2645	1549
A07493	0	A Chast Mayd in Cheape-side.	5	16763	1335	5878
A07495	0	The famelie of loue Acted by the children of his Maiesties Reuells.	10	19552	451	16102
A07498	0	A Game at Chesse.	5	16533	2069	1162
A07505	0	Michaelmas terme As it hath been sundry times acted by the Children of	5	19293	406	16108
A07507	0	THE Phoenix:	1	19312	1246	10976
A07511	0	A trick to catch the old-one As it hath beene lately acted, by the chi	5	18070	339	15204
A07511	1	A trick to catch the old-one As it hath beene lately acted, by the chi	1	38	0	38
A11151	0	A match at mid-night A pleasant comœdie: as it hath beene acted by the	5	18452	536	15090
A11152	0	A Shoo-maker, A Gentleman.	5	20121	2131	2652
A11153	0	A nevv vvonder, a woman never vext A pleasant conceited comedy: sundry	5	22038	2740	582
A11155	0	ALL'S LOST BY LVST.	5	15903	2001	1279
A11264	0	The Puritaine Widdow.	4	18176	257	16209
A11954	0	THE TEMPEST.	10	16768	1832	3409
A11954	1	THE Two Gentlemen of Verona.	20	16939	1474	5440
A11954	2	THE Merry Wiues of Windsor.	23	21009	412	17869
A11954	3	MEASVRE, For Measure.	17	21352	1647	9015
A11954	4	The Comedie of Errors.	5	14445	1259	4086
A11954	5	Much adoe about Nothing.	5	20792	647	15827
A11954	6	Loues Labour's lost.	5	21051	1441	9445
A11954	7	A MIDSOMMER Nights Dreame.	5	16097	1584	4094
A11954	8	The Merchant of Venice.	5	20996	1923	5931
A11954	9	As you Like it.	22	21382	1158	12438
A11954	10	THE Taming of the Shrew.	4	20493	1780	6339
A11954	11	ALL'S Well, that Ends Well.	5	22656	1454	11578
A11954	12	Twelfe Night, Or what you will.	19	19805	935	12468
A11954	13	The Winters Tale.	15	24556	2380	7364
A11954	14	The life and death of King Iohn.	16	20460	2439	1323
A11954	15	The life and death of King Richard the Second.	18	21449	2561	1227
A11954	16	The First Part of Henry the Fourth, with the Life and Death of HENRY S	18	23885	1639	11511
A11954	17	The Second Part of Henry the Fourth, Containing his Death: and the Cor	17	24958	1532	13292
A11954	18	The Life of Henry the Fift.	5	25408	1725	12172
A11954	19	The first Part of Henry the Sixt.	10	20575	2504	1482
A11954	20	The second Part of Henry the Sixt, with the death of the Good Duke HVM	1	24505	2482	5111
A11954	21	The third Part of Henry the Sixt, with the death of the Duke of YORKE.	1	23359	2625	2686
A11954	22	The Tragedy of Richard the Third: with the Landing of Earle Richmond, 	18	28204	3157	3586
A11954	23	The Famous History of the Life of King HENRY the Eight.	17	23183	2948	1620
A11954	24	Mr. VVilliam Shakespeares comedies, histories, & tragedies Published a	1	25378	2095	9395
A11954	25	The Tragedy of Coriolanus.	5	26608	2542	7777
A11954	26	The Lamentable Tragedy of Titus Andronicus.	5	19839	2390	1419
A11954	27	THE TRAGEDIE OF ROMEO and IVLIET.	1	23918	2436	4982
A11954	28	THE LIFE OF TYMON OF ATHENS.	1	17812	1702	5430
A11954	29	THE TRAGEDIE OF IVLIVS CAESAR.	5	19210	2098	3343
A11954	30	THE TRAGEDIE OF MACBETH.	27	16493	2020	2161
A11954	31	THE TRAGEDIE OF HAMLET, Prince of Denmarke.	5	27898	2444	9442
A11954	32	THE TRAGEDIE OF KING LEAR.	23	23169	2150	7122
A11954	33	THE TRAGEDIE OF Othello, the Moore of Venice.	14	25831	2505	7277
A11954	34	THE TRAGEDIE OF Anthonie, and Cleopatra.	1	23826	2613	5009
A11954	35	THE TRAGEDIE OF CYMBELINE.	28	26814	2995	4788
A12128	0	THE BIRD IN A CAGE.	5	18316	1070	10491
A12129	0	CHANGES OR, Loue in a Maze.	5	19001	2366	2531
A12130	0	THE CONSTANT MAID.	5	15782	1898	1977
A12133	0	THE CORONATION.	5	15918	2124	1396
A12138	0	THE GRATEFVLL SERVANT.	5	18929	1896	5961
A12140	0	HIDE PARKE.	5	16027	2369	86
A12141	0	THE HVMOROVS COVRTIER.	5	15859	2383	102
A12142	0	The Lady of Pleasure.	5	20311	3017	57
A12143	0	LOVES CRVELTY.	5	16459	1858	3546
A12145	0	THE MAIDES
REVENG.	5	17658	2031	2926
A12148	0	THE OPPORTVNITIE.	5	18068	2076	3491
A12150	0	The royall master as it vvas acted in the nevv Theater in Dublin: and 	5	17489	2615	0
A12152	0	THE
SCHOOLE OF
COMPLEMENT.	5	21411	901	14790
