htid	access	rights	pubdate	oclc	title	imprint	author
mdp.39015063612355	allow	pd	1786	23644484	A review of some interesting periods of Irish history.	Printed for J. Whieldon, 1786.	McKenna, Theobald, -1808,
yale.39002031983019	allow	pd	1810	4184138	Peter Langtoft's Chronicle, (as illustrated and improv'd by Robert of Brunne) from the death of Cadwalader to the end of K. Edward the First's reign. Transcrib'd, and now first publish'd, from a ms. in the Inner-Temple library by Thomas Hearne, M.A.  To which are added, besides a glossary and other curious papers, [1] A roll concerning Glastonbury Abbey, being a survey of all the estates belonging to that house at the dissolution, taken by King Hen. the Eighth's order and for his use.  [2] An account of the hospital of St. Mary Magdalen near Scroby in Nottinghamshire, by John Slacke, master of that hospital.  [3] Two tracts by an anonymous author; the first relating to [Roman antiquities, near] Conquest in Somersetshire, the second concerning Stone-henge ...	Printed at the Theater, M.DCC.XXV. Reprinted for S. Bagster, in the Strand, 1810]	Peter, of Langtoft, d. 1307?
wu.89107608630	allow	pd	1810	4184138	Peter Langtoft's Chronicle, (as illustrated and improv'd by Robert of Brunne) from the death of Cadwalader to the end of K. Edward the First's reign. Transcrib'd, and now first publish'd, from a ms. in the Inner-Temple library by Thomas Hearne, M.A.  To which are added, besides a glossary and other curious papers, [1] A roll concerning Glastonbury Abbey, being a survey of all the estates belonging to that house at the dissolution, taken by King Hen. the Eighth's order and for his use.  [2] An account of the hospital of St. Mary Magdalen near Scroby in Nottinghamshire, by John Slacke, master of that hospital.  [3] Two tracts by an anonymous author; the first relating to [Roman antiquities, near] Conquest in Somersetshire, the second concerning Stone-henge ...	Printed at the Theater, M.DCC.XXV. Reprinted for S. Bagster, in the Strand, 1810]	Peter, of Langtoft, d. 1307?
wu.89002268621	allow	pd	1810	4184138	Peter Langtoft's Chronicle, (as illustrated and improv'd by Robert of Brunne) from the death of Cadwalader to the end of K. Edward the First's reign. Transcrib'd, and now first publish'd, from a ms. in the Inner-Temple library by Thomas Hearne, M.A.  To which are added, besides a glossary and other curious papers, [1] A roll concerning Glastonbury Abbey, being a survey of all the estates belonging to that house at the dissolution, taken by King Hen. the Eighth's order and for his use.  [2] An account of the hospital of St. Mary Magdalen near Scroby in Nottinghamshire, by John Slacke, master of that hospital.  [3] Two tracts by an anonymous author; the first relating to [Roman antiquities, near] Conquest in Somersetshire, the second concerning Stone-henge ...	Printed at the Theater, M.DCC.XXV. Reprinted for S. Bagster, in the Strand, 1810]	Peter, of Langtoft, d. 1307?
hvd.hxj3ks	allow	pd	1810	4184138	Peter Langtoft's Chronicle, (as illustrated and improv'd by Robert of Brunne) from the death of Cadwalader to the end of K. Edward the First's reign. Transcrib'd, and now first publish'd, from a ms. in the Inner-Temple library by Thomas Hearne, M.A.  To which are added, besides a glossary and other curious papers, [1] A roll concerning Glastonbury Abbey, being a survey of all the estates belonging to that house at the dissolution, taken by King Hen. the Eighth's order and for his use.  [2] An account of the hospital of St. Mary Magdalen near Scroby in Nottinghamshire, by John Slacke, master of that hospital.  [3] Two tracts by an anonymous author; the first relating to [Roman antiquities, near] Conquest in Somersetshire, the second concerning Stone-henge ...	Printed at the Theater, M.DCC.XXV. Reprinted for S. Bagster, in the Strand, 1810]	Peter, of Langtoft, d. 1307?
mdp.39015063625019	allow	pd	1719	14707847	Memoirs of Sir Walter Raleigh; his life, his military and naval exploits, his preferments and death: in which are inserted, the private intrigues between the count of Gondamore, the Spanish ambassador, and the Lord Salisbury, then secretary of state / Written by Mr. Theobald.	Printed for W. Mears, 1719.	Theobald, Mr. 1688-1744.
nyp.33433003253071	allow	pd	1726	35808541	Shakespeare restored, or, A specimen of the many errors, as well committed, as unamended, by Mr. Pope in his late edition of this poet : designed not only to correct the said edition, but to restore the true reading of Shakespeare in all the editions ever yet publish'd / by Mr. Theobald.	Printed for R. Francklin ... J. Woodman and D. Lyon ... and C. Davis ..., 1726.	Theobald, Mr. 1688-1744.
hvd.32044083479816	allow	pd	1740	4550358	The works of Shakespeare ... Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for H. Lintott [etc.] 1740.	Shakespeare, William, 1564-1616
hvd.32044083479824	allow	pd	1740	4550358	The works of Shakespeare ... Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for H. Lintott [etc.] 1740.	Shakespeare, William, 1564-1616
hvd.32044009766841	allow	pd	1740	4550358	The works of Shakespeare ... Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for H. Lintott [etc.] 1740.	Shakespeare, William, 1564-1616
hvd.32044083479808	allow	pd	1740	4550358	The works of Shakespeare ... Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for H. Lintott [etc.] 1740.	Shakespeare, William, 1564-1616
hvd.32044083479840	allow	pd	1740	4550358	The works of Shakespeare ... Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for H. Lintott [etc.] 1740.	Shakespeare, William, 1564-1616
hvd.32044009766858	allow	pd	1740	4550358	The works of Shakespeare ... Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for H. Lintott [etc.] 1740.	Shakespeare, William, 1564-1616
hvd.32044083479832	allow	pd	1740	4550358	The works of Shakespeare ... Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for H. Lintott [etc.] 1740.	Shakespeare, William, 1564-1616
hvd.32044083479790	allow	pd	1740	4550358	The works of Shakespeare ... Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for H. Lintott [etc.] 1740.	Shakespeare, William, 1564-1616
hvd.32044092926070	allow	pd	1757	4377572	The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald ...	Printed for C. Hitch [etc.] 1757.	Shakespeare, William, 1564-1616
hvd.32044092926054	allow	pd	1757	4377572	The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald ...	Printed for C. Hitch [etc.] 1757.	Shakespeare, William, 1564-1616
hvd.32044092926088	allow	pd	1757	4377572	The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald ...	Printed for C. Hitch [etc.] 1757.	Shakespeare, William, 1564-1616
hvd.32044092926062	allow	pd	1757	4377572	The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald ...	Printed for C. Hitch [etc.] 1757.	Shakespeare, William, 1564-1616
hvd.32044092926104	allow	pd	1757	4377572	The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald ...	Printed for C. Hitch [etc.] 1757.	Shakespeare, William, 1564-1616
hvd.32044092926096	allow	pd	1757	4377572	The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald ...	Printed for C. Hitch [etc.] 1757.	Shakespeare, William, 1564-1616
nyp.33433100193410	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
nyp.33433100193428	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
njp.32101068586146	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
njp.32101068586153	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
njp.32101068586161	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
njp.32101068586179	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
njp.32101068586187	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
njp.32101068586195	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
njp.32101068586203	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
njp.32101068586211	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
nyp.33433074950415	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
nyp.33433074950423	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
nyp.33433074950431	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
nyp.33433074950449	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
nyp.33433074950456	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
nyp.33433074950464	allow	pd	1752	2687038	The works of Shakespeare. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald.	Printed for J. and P. Knapton [etc.] 1752.	Shakespeare, William, 1564-1616.
njp.32101068586336	allow	pd	1771	6932396	The plays of Shakespeare from the text of Dr. S. Johnson : with the prefaces, notes, etc. of Rowe, Pope, Theobald, Hanmer, Warburton, Johnson and select notes from many other critics ; also, the introduction of the last editor Mr. Capell; and a table shewing his various readings ...	Thomas Ewing, 1771.	Shakespeare, William, 1564-1616.
njp.32101068586344	allow	pd	1771	6932396	The plays of Shakespeare from the text of Dr. S. Johnson : with the prefaces, notes, etc. of Rowe, Pope, Theobald, Hanmer, Warburton, Johnson and select notes from many other critics ; also, the introduction of the last editor Mr. Capell; and a table shewing his various readings ...	Thomas Ewing, 1771.	Shakespeare, William, 1564-1616.
njp.32101068586369	allow	pd	1771	6932396	The plays of Shakespeare from the text of Dr. S. Johnson : with the prefaces, notes, etc. of Rowe, Pope, Theobald, Hanmer, Warburton, Johnson and select notes from many other critics ; also, the introduction of the last editor Mr. Capell; and a table shewing his various readings ...	Thomas Ewing, 1771.	Shakespeare, William, 1564-1616.
njp.32101068586385	allow	pd	1771	6932396	The plays of Shakespeare from the text of Dr. S. Johnson : with the prefaces, notes, etc. of Rowe, Pope, Theobald, Hanmer, Warburton, Johnson and select notes from many other critics ; also, the introduction of the last editor Mr. Capell; and a table shewing his various readings ...	Thomas Ewing, 1771.	Shakespeare, William, 1564-1616.
njp.32101068586393	allow	pd	1771	6932396	The plays of Shakespeare from the text of Dr. S. Johnson : with the prefaces, notes, etc. of Rowe, Pope, Theobald, Hanmer, Warburton, Johnson and select notes from many other critics ; also, the introduction of the last editor Mr. Capell; and a table shewing his various readings ...	Thomas Ewing, 1771.	Shakespeare, William, 1564-1616.
