adaptation                        words scenes   ret4
ad_night_walker_1661              19666      5  0.874
ad_julius_caesar_1684             19278      5  0.863
ad_loyal_subject_1700             25366     28  0.855
ad_humorous_lieutenant_1697       23713     25  0.833
ad_henry4_1700                    20592     17  0.820
ad_rule_a_wife_1697               18259      5  0.799
ad_island_princess_1669           18603      5  0.689
ad_hamlet_1676                    28693      5  0.602
ad_prophetess_1690                16577      5  0.486
ad_chances_1682                   17839     28  0.426
ad_island_princess_1687           13397     12  0.375
ad_timon_1772                     12870     21  0.354
ad_philaster_1695                 18511      5  0.354
ad_valentinian_1685               22024     14  0.339
ad_titus_1687                     16967      7  0.277
ad_unhappy_kindness_1697          16227      5  0.274
ad_bonduca_1696                   13630      6  0.249
ad_tempest_opera_1756              5059     20  0.248
ad_macbeth_1674                   16348      9  0.233
ad_coriolanus_1682                17188     10  0.210
ad_pilgrim_1700                   17188      6  0.205
ad_lear_1681                      17494      5  0.195
ad_richard2_1681                  15831     17  0.177
ad_commonwealth_women_1686        17963     11  0.151
ad_troilus_1679                   22594     11  0.133
ad_injured_princess_1682          17624     13  0.109
ad_tempest_1670                   23098      5  0.093
ad_trick_for_trick_1678           13959      6  0.088
ad_measure_1700                   13639      8  0.087
ad_richard3_1700                  15994     21  0.086
ad_henry6_1681                    22790      7  0.078
ad_julius_caesar_1723             10664     14  0.074
ad_island_princess_1699           10616     14  0.073
ad_jew_of_venice_1701              6501     10  0.073
ad_timon_1678                     22835      5  0.071
ad_caius_marius_1680              20421     14  0.069
ad_sauny_scot_1698                19162      5  0.062
ad_henry5_1723                    13783     18  0.054
ad_love_makes_a_man_1701          22119     24  0.038
ad_misery_civil_war_1680          21627      6  0.009
ad_love_betrayd_1703               6750     10  0.008
ad_inconstant_1702                13160     17  0.006
ad_sham_lawyer_1697               26073      5  0.003
ad_marcus_brutus_1723             11270     16  0.002
