direction,bearing_deg,dist_up_m,lat,lon,elev_m,grad25_deg,grad50_deg,grad100_deg
fall_line_up,265.0,0.0,61.758539,59.429427,898.9,15.3,15.1,15.3
fall_line_up,265.0,25.0,61.758519,59.428955,906.3,16.7,16.8,16.0
fall_line_up,265.0,50.0,61.7585,59.428484,914.1,17.1,16.9,17.1
fall_line_up,265.0,75.0,61.75848,59.428012,921.5,16.3,17.3,17.8
fall_line_up,265.0,100.0,61.758461,59.427541,929.6,19.6,18.8,18.1
fall_line_up,265.0,125.0,61.758441,59.427069,938.5,19.3,18.9,16.9
fall_line_up,265.0,150.0,61.758422,59.426597,946.7,14.5,15.1,14.2
fall_line_up,265.0,175.0,61.758402,59.426126,951.9,9.4,9.3,10.9
fall_line_up,265.0,200.0,61.758382,59.425654,954.9,6.5,6.7,8.1
fall_line_up,265.0,225.0,61.758363,59.425183,957.8,6.8,6.9,6.8
fall_line_up,265.0,250.0,61.758343,59.424711,960.9,7.5,6.9,6.2
fall_line_up,265.0,275.0,61.758324,59.42424,963.8,5.4,5.4,4.9
fall_line_up,265.0,300.0,61.758304,59.423768,965.7,2.4,2.9,3.4
toward_summit,233.4,0.0,61.758539,59.429427,898.9,14.1,13.4,13.1
toward_summit,233.4,25.0,61.758405,59.429047,905.2,12.9,13.6,13.4
toward_summit,233.4,50.0,61.758271,59.428667,911.1,13.8,13.4,13.9
toward_summit,233.4,75.0,61.758138,59.428287,917.1,13.9,14.1,14.6
toward_summit,233.4,100.0,61.758004,59.427907,923.7,15.7,15.8,15.2
toward_summit,233.4,125.0,61.75787,59.427527,931.3,16.8,16.3,15.6
toward_summit,233.4,150.0,61.757736,59.427147,938.3,15.4,15.4,14.9
toward_summit,233.4,175.0,61.757603,59.426767,945.0,13.6,13.5,14.3
toward_summit,233.4,200.0,61.757469,59.426386,950.4,12.5,13.2,14.9
toward_summit,233.4,225.0,61.757335,59.426006,956.7,16.2,16.2,15.7
toward_summit,233.4,250.0,61.757201,59.425626,964.9,18.7,18.2,17.3
toward_summit,233.4,275.0,61.757068,59.425246,973.2,18.6,18.4,18.3
toward_summit,233.4,300.0,61.756934,59.424866,981.5,18.0,18.4,17.4
