id,lat,lon,x_m,y_m,z_bilinear_m,z_nearest_pixel_m,horn3x3_slope_deg,horn3x3_aspect_deg,plane_r30_slope_deg,plane_r30_aspect_deg,plane_r30_npix,plane_r30_rms_m,plane_r50_slope_deg,plane_r50_aspect_deg,plane_r50_npix,plane_r50_rms_m,plane_r100_slope_deg,plane_r100_aspect_deg,plane_r100_npix,plane_r100_rms_m,plane_r150_slope_deg,plane_r150_aspect_deg,plane_r150_npix,plane_r150_rms_m,mc_sd_horn_deg,mc_sd_plane_r50_deg,mc_sd_plane_r100_deg
tent_dyatlovpass_map,61.7585389,59.4294268,0.0,0.0,898.9,898.1,15.4,83.0,nan,,3,,15.3,83.0,9,0.69,15.6,85.0,34,1.61,15.6,84.0,80,2.28,1.19,1.12,0.28
tent_TL1810_office,61.7585611,59.4294361,0.5,2.5,898.6,898.1,15.4,83.0,nan,,3,,15.3,83.0,9,0.69,15.6,84.0,35,1.61,15.6,84.0,78,2.31,1.12,1.06,0.28
tent_TL1810_field,61.7585278,59.4294167,-0.5,-1.2,899.2,898.1,15.4,83.0,nan,,3,,15.2,84.0,8,0.72,15.6,85.0,34,1.61,15.6,84.0,80,2.28,1.1,1.26,0.27
tent_prosecutors_2019,61.7595562,59.4299706,28.7,113.4,886.4,887.1,16.2,77.0,nan,,2,,16.4,77.0,8,0.71,17.0,81.0,36,2.39,16.4,81.0,80,2.58,1.18,1.29,0.25
tent_borzenkov_gps_2009,61.7590333,59.4294167,-0.5,55.1,898.0,897.4,17.7,86.0,nan,,2,,16.9,86.0,8,0.49,17.1,86.0,36,2.3,15.9,84.0,78,2.49,1.14,1.3,0.26
new_monument_sculpture,61.7589433,59.4286827,-39.3,45.1,911.5,907.3,19.5,91.0,nan,,3,,19.3,93.0,9,0.8,17.1,89.0,35,1.85,15.8,84.0,78,2.94,1.04,0.94,0.26
tent_semyashkin_2010_as_published,61.7573833,59.43775,439.6,-128.8,824.8,823.0,9.5,40.0,nan,,2,,9.1,41.0,8,0.24,8.7,43.0,37,0.63,8.4,45.0,80,1.5,1.2,1.22,0.26
cedar,61.7650062,59.4554272,1373.1,720.7,643.4,644.0,9.5,337.0,nan,,2,,9.6,336.0,9,0.28,10.5,333.0,36,1.24,10.3,336.0,76,2.14,,,
dyatlov,61.7635133,59.4501804,1096.0,554.4,665.2,662.5,9.0,6.0,10.9,344.0,4,0.27,10.8,358.0,8,0.74,9.7,8.0,35,3.43,9.2,9.0,79,5.15,,,
slobodin,61.7626626,59.4472703,942.4,459.6,689.0,688.5,9.6,58.0,nan,,3,,10.2,52.0,8,0.85,9.8,39.0,35,2.41,9.3,37.0,79,3.65,,,
kolmogorova,61.7621755,59.4445806,800.3,405.3,715.0,715.4,10.2,60.0,nan,,3,,10.1,60.0,8,0.31,9.6,52.0,35,0.73,9.6,50.0,76,1.62,,,
den_flooring,61.7650514,59.4539289,1294.0,725.8,635.5,636.5,13.8,347.0,nan,,3,,13.4,346.0,9,0.87,10.1,349.0,35,2.33,8.6,355.0,78,4.37,,,
labaz,61.7466967,59.4494443,1057.2,-1319.7,646.4,645.9,10.2,172.0,9.4,167.0,4,0.29,10.3,173.0,9,0.42,11.0,169.0,35,0.8,11.4,170.0,77,0.95,,,
kholat_syakhl_summit_map,61.7545756,59.4177103,-618.8,-441.7,1095.8,1096.0,0.6,252.0,nan,,3,,0.6,303.0,8,0.21,0.6,298.0,36,1.0,0.7,278.0,77,2.59,,,
kholat_syakhl_summit_dem,61.7544444,59.4177778,-615.2,-456.3,1096.0,1096.0,0.6,252.0,nan,,3,,0.6,252.0,9,0.21,0.5,254.0,37,0.98,0.8,232.0,79,3.1,,,
pass_memorial_osm,61.7548411,59.4630442,1775.4,-412.1,782.7,781.4,7.6,163.0,6.3,172.0,4,0.08,7.4,165.0,10,0.55,7.2,157.0,32,1.8,7.3,151.0,78,4.09,,,
helipad_1959,61.7549781,59.4388246,496.3,-396.8,827.6,827.6,5.6,137.0,nan,,3,,5.7,137.0,9,0.17,5.9,138.0,36,1.15,5.9,135.0,75,2.05,,,
