source_db,db_id,url,publication_refs,province,findspot_modern,findspot_ancient,type,text,date_from,date_to,date_basis_if_stated,person,rank,include,notes
EDH,HD003587,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD003587,"AE 1987, 0414. ; G. Mennella - M.P. Pavese, Epigraphica 49, 1987, 254-257, Nr. 12; fig. 14. - AE 1987. ; CIL 05, 07443. (B) ;",Liguria (Regio IX),Valenza,Valentia - Forum Fulvi,epitaph / stele,M(arco) Vibio Q(uinti) f(ilio) Pom(?)(ptina) / veter(ano) leg(ionis) IX / Hispaniensis / Herenniae M(arci) f(iliae) Salin[ae] / uxsori(!) / Sal(vio) Vibio M(arci) f(ilio) Po[m?(ptina?)] / Clementi,1,100,EDH dating field (1 AD - 100 AD),M. Vibius Q. f. Pom.,veteranus leg. IX Hispaniensis,yes,"Concordance EDCS EDCS-05400693. = EDH HD003587 (AE 1987, 414). Augustan form ""Hispaniensis""."
EDH,HD003697,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD003697,"AE 1988, 0583. ; G. Forni, Epigraphica 50, 1988, 105-107, Nr. 1; fig. 1. - AE. ; H.-G. Pflaum, Les fastes de la province de Narbonnaise (Paris 1978) 275. - AE. ; G. Forni, Il reclutamento delle legioni da Augusto a Diocleziano (Milano-Roma 1953) 164. (C) - AE. ; A. Calderini, Aquileia Romana (Milano 1930) 195, Nr. 4; 216, Nr. 2; 270. - AE. ;",Venetia et Histria (Regio X),Aquileia,Aquileia,epitaph / block,Betutia Sex(ti) l(iberta) Fusca / v(iva) f(ecit) sibi et / Sex(to) Betutio Sex(ti) f(ilio) Vol(tinia) / Vianna(!) patrono sig(nifero) leg(ionis) VIIII vet(erano) et / Sex(to) Betutio Sex(ti) l(iberto) Secundo conlib(erto) / et M(arco) Salvio Primo amico,31,70,EDH dating field (31 AD - 70 AD); EDH commentary: (C): Zeit: Augustus-Caligula.,"Sex. Betutius Sex. f. Vol. Vianna(?), Vienna","signifer leg. VIIII, veteranus",yes,"Concordance EDCS EDCS-01401119. = EDH HD003697 (AE 1988, 583). No legion cognomen."
EDH,HD003700,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD003700,"AE 1988, 0584. (C) ; G. Forni, Epigraphica 50, 1988, 107-109, Nr. 2; fig. 2. - AE 1988. ; A. Calderini, Aquileia Romana (Milano 1930) 569. - AE 1988. ;",Venetia et Histria (Regio X),Aquileia,Aquileia,epitaph / stele,L(ucius) Viennius / L(uci) Ani(ensis) Verus / Foro Iuli / m[il(es) leg(ionis) VIIII? ------,31,70,EDH dating field (31 AD - 70 AD); EDH commentary: (C): AE 1988: 2. Hälfte 1. Jh.,"L. Viennius L. [f.] Ani. Verus, Forum Iulii",miles leg. VIIII(?),yes,"AE 1988, 584 (Aquileia); not retrieved from EDCS by the text searches."
EDH,HD004335,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD004335,"AE 1979, 0397. ; C. Godineau, Gallia 37, 1979, 561. - AE 1979. ;",Narbonensis,Puget-sur-Argens,,epitaph / tabula,C(aio) Novellio / Q(uinti) f(ilio) Ani(ensi) / veterano / leg(ionis) VIIII,1,50,EDH dating field (1 AD - 50 AD),C. Novellius Q. f. Ani.,veteranus leg. VIIII,yes,"Concordance EDCS EDCS-11700356. = EDH HD004335 (AE 1979, 397)."
EDH,HD007055,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD007055,"AE 1975, 0558b u. c. ; R.P. Wright - M.W.C. Hassall, Britannia 3, 1972, 361, Nr. 55. - AE 1975. ; RIB 2462, 8; Zeichnung. ;",Britannia,York,Eburacum,identification inscription / tile,[Leg(io) IX] Hisp(ana),71,122,EDH dating field (71 AD - 122 AD),-,tile stamp LEG IX HISP,yes,"Concordance EDCS EDCS-09400491. = EDH HD007055 (AE 1975, 558a, York)."
EDH,HD009867,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD009867,"AE 1975, 0446. ;",Venetia et Histria (Regio X),Cremona,Cremona,,T(itus) Aponius P(ubli) f(ilius) / Ani(ensis) signifer / leg(ionis) IX Hispanien(sis) / vetera(nus) dona(tus) torq(uibus) / armillis phaleris / L(ucius) Aponius P(ubli) f(ilius) / fratri fecit,,,EDH dating field,T. Aponius P. f. Ani.,"signifer leg. IX Hispaniensis, veteranus; donatus torquibus armillis phaleris",yes,"Concordance EDCS EDCS-09400433. = EDH HD009867 (AE 1975, 446). Augustan form ""Hispaniensis""."
EDH,HD011186,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD011186,"AE 1973, 0361. ; G. Kremer, in: E. Walde - B. Kainrath (Hrsg.), Die Selbstdarstellung der römischen Gesellschaft in den Provinzen im Spiegel der Steindenkmäler. ; IX. Internationales Kolloquium über Probleme des provinzialrömischen Kunstschaffens, Innsbruck 2005 (Innsbruck 2007) 143-158; Abb. 2. 7 u. 8; Abb. 3-6. 9-12 (Zeichnungen). ; CIL 13, 04030. ;",Belgica,Mersch,,epitaph,------] / flam[en] Augu[sti] / flamen Leni M[art]is quinq[uennalis] / praef(ectus) cohort(is) [II His]panor(um) eq[uitatae] / tribunus militu[m le]g(ionis) VIIII Hi[spanae] / praefect(us) e[quitum alae Augustae] / Vocon[tiorum ------,,,EDH dating field,"anonymous flamen Augusti, flamen Leni Martis",praef. coh. II Hispanorum eq.; tribunus militum leg. VIIII Hispanae; praef. eq. alae Aug. Vocontiorum,yes,"Concordance EDCS EDCS-10601003. = EDH HD011186 (CIL XIII 4030, Mersch)."
EDH,HD013966,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD013966,"AE 1967, 0020. (B) ; A. Ferrua, Epigraphica 28, 1966, 29. 31, Nr. 22; fig. 4 a (Zeichnung). (B) - AE 1967. ; CIL 06, 41280; Zeichnung. ;",Roma,Roma,Roma,honorific inscription? / tabula,------] / [---] leg(ionis) IX [Hispaniae ---?] / [---] proc(uratori) pr[ov(inciae) ---] / [---? et provinciae no]vae(?) Arab[iae ---],106,161,EDH dating field (106 AD - 161 AD); EDH commentary: Inschriftengattung: statt Ehreninsc auch Grabinsc möglich. Datierung: zwischen 106 (Einrichtung der Provinz Arabia) u. 161 (Zerstörung der legio IX Hispana). (B): AE 1967: Z. 1: LEG T; Z. 3: [Liby]ae Ara[---]; Ferrua: Z. 3: [Li]byae.,anonymous eques,[trib. mil.?] leg. IX Hispanae; procurator prov. [...] et provinciae novae Arabiae,yes,"Concordance EDCS EDCS-01000406. = EDH HD013966 (CIL VI 41280 = AE 1967, 20). EDH dates 106-161, commentary: ""zwischen 106 (Einrichtung der Provinz Arabia) u. 161 (Zerstoerung der legio IX Hispana)""."
EDH,HD014357,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD014357,"AE 1968, 0323. ; AE 2005, 1061. ; P.-M. Duval, REA 70, 1968, 430, Nr. 43, 14. - AE 1968. ; U. Schillinger-Häfele, BRGK 58, 1977, 528-529, Nr. 144. ; C. Keller, Archäologische Forschungen in Aachen. Katalog der Fundstellen in der Innenstadt und in Burtscheid (Mainz 2004) 80, Nr. 648/019; Abb. 52. - AE 2005. ;",Germania inferior,Aachen,Aquae Granni,votive inscription / altar,L(ucius) Latinius L(uci) f(ilius) Publilia / Macer Ver(ona) p(rimi)p(ilus) leg(ionis) VIIII Hisp(anae) / praef(ectus) castr(orum) pro se et suis / Apollini / v(otum) s(olvit) // l(ibens) m(erito),101,200,EDH dating field (101 AD - 200 AD),"L. Latinius L. f. Pub. Macer, Verona",primus pilus leg. VIIII Hispanae; praefectus castrorum,yes,"Concordance EDCS EDCS-10700516. = EDH HD014357 (AE 1968, 323, Aachen; altar to Apollo)."
EDH,HD020249,https://edh.ub.uni-heidelberg.de/edh/inschrift/HD020249,"EphEp 9, p. 557 n. 1111. ; AE 1909, 0241. ; F. Haverfield, Lincolnshire Notes and Queries 10, 1909, 193; Foto. - AE 1903. ; RIB 0257; Zeichnung. ;",Britannia,Lincoln,Lindum,epitaph / tabula,C(aius) Valerius C(ai) f(ilius) / Maec(ia) mil(es) leg(ionis) / IX sign(ifer) |(centuriae) Hospitis / ann(orum) XXXV stip(endiorum) XIIII / t(estamento) p(oni) i(ussit) / h(ic) [s(itus) e(st)],51,71,EDH dating field (51 AD - 71 AD),C. Valerius C. f. Maec.,"miles leg. IX, signifer, centuria Hospitis (aged 35, stip. 14)",yes,"Concordance EDCS EDCS-07800506. = EDH HD020249 (RIB 257, Lincoln)."
