QUERY: "nederlandsch schip" AND pacific AND "S.O.S." AND date within "1940-10-01 1940-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: doodenschip AND date within "1940-01-01 1940-12-31" | collection: DDD_artikel | numberOfRecords: 8 
1940/04/18 | Limburger koerier : provinciaal dagblad | p2 | ddd:010327242:mpeg21:a0116 | OP ZOEK NAAR HET GRAF VAN EEN KONINGIN | KB C51
1940/09/28 | Het nationale dagblad : voor het Nederlandsche volk | p7 | ddd:011132347:mpeg21:a0160 | Ros en ruiter in de kunst | Koninklijke Bibliotheek NBM Mfm MMK 0021
1940/04/22 | Bataviaasch nieuwsblad | p11 | ddd:011123059:mpeg21:a0196 | Buitenzorg Dr. Willem in den K.S.B. | Koninklijke Bibliotheek C 96
1940/10/01 | Hamer : uitgave voor de Volksche Werkgemeenschap | p28 | ddd:010310521:mpeg21:a0081 | DE NOORDSCHE MYTHE | KB A 49
1940/04/02 | De Telegraaf | p9 | ddd:110578175:mpeg21:a0383 | RIJKE EN VOORNAME INDISCHE WEEFSELS. Uitgevoerd in geduldige en gehoorzame technieken. | KB C 98
1940/04/18 | Utrechtsche courant | p2 | MMUTRA04:253351092:mpeg21:a00024 | GEMENGDE BERICHTEN | Het Utrechts Archief
1940/11/28 | Leeuwarder courant | p11 | ddd:010608135:mpeg21:a0301 | VAN TAAI-TAAI EN TAAIPLANKEN | KBDK
1940/10/02 | Westfriesch dagblad onze courant | p | MMWFA01:000314002:mpeg21:a00020 | „REYSEN VAN NICOLAUS DE GRAAFF" | Westfries Archief

QUERY: "stille oceaan" AND geheimzinnig AND date within "1940-10-01 1940-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "geheimzinnige S.O.S." | collection: DDD_artikel | numberOfRecords: 29 
1931/04/23 | Het volk : dagblad voor de arbeiderspartĳ | p5 | ddd:011116306:mpeg21:a0080 | De geheimzinnige S.O.S.-teekens. | Koninklijke Bibliotheek NBM Mfm MMK 0033
1931/04/23 | Voorwaarts | p | KBDDD02:000204519:mpeg21:a0027 | De geheimzinnige S.O.S.-seinen. | Koninklijke Bibliotheek
1939/02/23 | Nieuwsblad van het Noorden | p1 | ddd:010676744:mpeg21:a0011 | Geen contact met de „Peeten”. | KB C 65
1935/10/24 | De courant Het nieuws van den dag | p4 | MMKB15:000612046:mpeg21:a00017 | „We staan gewoon voor een raadsel | Koninklijke Bibliotheek
1935/10/23 | De courant Het nieuws van den dag | p4 | MMKB15:000612045:mpeg21:a00026 | BITTERE ERNST. | Koninklijke Bibliotheek
1939/02/23 | De Indische courant | pII | ddd:010285658:mpeg21:a0159 | GEHEIMZINNIGE S. O. S.-TEEKENS. Van getorpedeerd schip ? | KB C 248
1939/02/24 | Limburgsch dagblad | p1 | ddd:010934370:mpeg21:a0007 | Het raadsel van het getorpedeerde schip BLIJFT NOG STEEDS EEN RAADSEL. | Koninklijke Bibliotheek C 101
1939/02/24 | De Limburger | p1 | MMKB23:001234047:mpeg21:a00007 | Het raadsel van het getorpedeerde schip BLIJFT NOG STEEDS EEN RAADSEL. | Archief De Domijnen
1949/02/21 | Zutphensch dagblad voor Achterhoek en Veluwezoom | p1 | MMRAZ03:179294043:mpeg21:a00016 | Geheimzinnige S.O.S.-tekens bij de Azoren | Regionaal Archief Zutphen
1948/02/05 | Algemeen Dagblad | p1 | MMSARO03:259004030:mpeg21:a00028 | Geheimzinnige S.O.S.-signalen aan Amerikaanse Oostkust opgevangen | Stadsarchief Rotterdam
1939/02/23 | Arnhemsche courant | p | MMKB08:000111047:mpeg21:a0006 | NIETS GEVONDEN. | Koninklijke Bibliotheek
1929/11/25 | Het nieuws van den dag voor Nederlandsch-Indië | p2 | ddd:010221624:mpeg21:a0024 | HET BRITSCHE RIJK. Het geheimzinnige S.O.S.-teeken. | KB C55
1939/02/23 | Nieuwe Haarlemsche courant | p1 | MMNHA03:179191039:mpeg21:a00005 | Getorpedeerde schip vermoedelijk Britsch | Noord-Hollands Archief
1936/10/09 | Bildtsche courant | p4 | MMTRES04:211357080:mpeg21:a00026 | VOOR DE KINDEREN ROB DE AVONTURIER | Tresoar
