QUERY: "krampachtige houding" AND date within "1947-06-01 1949-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "marshall eilanden" AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "marshall-eilanden" AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: elsevier AND "raadsel van de zee" | collection: DDD_artikel | numberOfRecords: 1 
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven

QUERY: "nimmer zal prijsgeven" | collection: DDD_artikel | numberOfRecords: 46 
1939/03/20 | Het nieuws van den dag voor Nederlandsch-Indië | p1 | ddd:010227059:mpeg21:a0002 | Om te Onthouden!. | KB C55
1979/12/29 | Nederlands dagblad : gereformeerd gezinsblad / hoofdred. P. Jongeling ... [et al.] | p3 | ddd:010572979:mpeg21:a0054 | Egypte hekelt verklaring Israël over West Bank | Nederlands Dagblad
1969/06/09 | Het Rotterdamsch parool | p1 | MMSARO03:259063007:mpeg21:a00005 | SPANJE SLUIT GRENS NIET GIBRALTAR AF Vergelding voor grondwet | Stadsarchief Rotterdam
1931/10/15 | De Telegraaf | p14 | ddd:110569292:mpeg21:a0350 | GOUDEN STANDAARD IN Z.-AFRIKA. | KB C 98
1927/08/15 | De Maasbode | p | MMKB04:000196167:mpeg21:a0055 | DUITSCHLAND. FRANKRIJK EN DUITSCHLAND. | Koninklijke Bibliotheek
1935/06/12 | Het nieuws van den dag voor Nederlandsch-Indië | p17 | ddd:010230432:mpeg21:a0272 | Spanningen. | KB C55
1969/06/10 | Nederlands dagblad : gereformeerd gezinsblad / hoofdred. P. Jongeling ... [et al.] | p1 | ddd:010554695:mpeg21:a0007 | Spanje sluit gehele grens met Gibraltar | Nederlands Dagblad
1971/04/07 | Nederlands dagblad : gereformeerd gezinsblad / hoofdred. P. Jongeling ... [et al.] | p4 | ddd:010558441:mpeg21:a0065 | Beroep Hoessein op kerken Gevechten in Amman | Nederlands Dagblad
