QUERY: silverstar AND date within "1946-01-01 1950-12-31" | total 76 | showing years 1946-1950
  1947/08/04 | Algemeen Dagblad | p4 | MMSARO03:259003030:mpeg21:a00084 | — Abbedijk, 2 te Antwerpen v. Londen:
  1949/06/15 | De Noord-Ooster | p | MMVEEN01:000084666:mpeg21:a0037 | SCHIP VOOR AMMAN IN EGYPTE VASTGEHOUDEN
  1949/06/15 | De Tĳd : godsdienstig-staatkundig dagblad | p2 | ddd:011199652:mpeg21:a0055 | Besprekingen Syrië— Israël verbroken
  1947/08/28 | De Nederlandsche transportcourant | p3 | MMKB19:000824197:mpeg21:a00041 | Te Rotterdam verwacht
  1947/09/19 | De Nederlander | p4 | MMKB19:000080069:mpeg21:a00039 | Scheepvaart
  1949/06/15 | Nieuwe provinciale Groninger courant | p2 | MMRHCG04:235026137:mpeg21:a00031 | Krotenbondig
  1947/04/26 | Gazet van Limburg | p2 | MMCC01:048012022:mpeg21:a00019 | Van de sintels naar de grasmat. Internationale courses te Mechelen
  1949/06/15 | De Maasbode | p2 | MMKB15:000556138:mpeg21:a00012 | Muur stortte ’s nachts in
  1947/08/13 | De waarheid | p4 | ddd:010852063:mpeg21:a0087 | BERICHTEN. VAN ELDERS
  1949/05/02 | Provinciale Overijsselsche en Zwolsche courant | p5 | MMHCO02:163848101:mpeg21:a00077 | Wat geeft onze luidspreker?
  1948/08/24 | Dagblad voor Noord-Limburg | p2 | MMCC02:211143063:mpeg21:a00026 | VOLBLOEDWEDSTRIJDEN TE VENRAY
  1947/08/04 | Algemeen Handelsblad | p | KBNRC01:000061990:mpeg21:a0077 | SCHEEPSTIJDINGEN
  1947/09/05 | Nieuwe Haarlemsche courant | p4 | MMNHA03:179232057:mpeg21:a00077 | Scheepvaartberichten
  1947/09/05 | De waarheid | p2 | ddd:010852082:mpeg21:a0044 | BERICHTEN VAN ELDERS
  1949/08/15 | Het Rotterdamsch parool | p2 | MMSARO02:164873039:mpeg21:a00037 | SCHEEPVAART
  1947/08/08 | Algemeen Handelsblad | p | KBNRC01:000061995:mpeg21:a0048 | SCHEEPSTIJDINGEN
  1947/08/13 | De tĳd : dagblad voor Nederland | p2 | ddd:011201182:mpeg21:a0062 | Scheepvaartberichten
  1947/08/08 | De tĳd : dagblad voor Nederland | p2 | ddd:011201178:mpeg21:a0048 | Scheepvaartberichten
  1949/08/11 | Het Rotterdamsch parool | p5 | MMSARO02:164873036:mpeg21:a00080 | Journaal
  1947/08/14 | Algemeen Dagblad | p2 | MMSARO03:259003039:mpeg21:a00043 | Scheepvaart
  1947/09/06 | Algemeen Dagblad | p4 | MMSARO03:259003058:mpeg21:a00090 | BEWEGINGEN VAN ZEESCHEPEN
  1947/08/09 | Bredasche courant | p | MMSAB03:000068141:mpeg21:a0054 | SCHEEPVAART GEREGELDE LIJNEN
  1947/09/17 | De Maasbode | p3 | MMKB15:000549066:mpeg21:a00029 | COLLECTE VOOR BRABANTSE BRANDRAMPEN
  1947/08/13 | Het Rotterdamsch parool | p2 | MMSARO02:164869038:mpeg21:a00047 | SCHEEPVAART
  1947/08/08 | Het Rotterdamsch parool | p2 | MMSARO02:164869034:mpeg21:a00048 | SCHEEPVAART
  1947/08/05 | Het Rotterdamsch parool | p2 | MMSARO02:164869031:mpeg21:a00044 | SCHEEPVAART
  1947/08/09 | Algemeen Dagblad | p2 | MMSARO03:259003035:mpeg21:a00043 | BEWE GINGEN VAN ZEESCHEPEN
  1947/09/18 | Algemeen Dagblad | p4 | MMSARO03:259003068:mpeg21:a00078 | Scheepvaart
  1947/08/14 | Bredasche courant | p | MMSAB03:000068147:mpeg21:a0073 | SCHEEPVAART GEREGELDE LIJNEN
  1947/08/04 | De Maasbode | p3 | MMKB15:000549030:mpeg21:a00030 | HET SPAREN IN JUNI Stijgende tendens. .
  1947/08/02 | De Maasbode | p5 | MMKB15:000549029:mpeg21:a00056 | Nieuws uit Haarlem
  1948/08/12 | Provinciale Overijsselsche en Zwolsche courant | p4 | MMHCO02:163847038:mpeg21:a00049 | Hoogtijdag inde wereld van het paard Uitzonderlijk goed concours-hippique te Zwolle
