QUERY: kortegolfzenders AND date within "1947-06-01 1948-12-31" | collection: DDD_artikel | numberOfRecords: 79 
1948/12/07 | Het Binnenhof | p1 | MMKB19:000374134:mpeg21:a00002 | 24 December Kerstrede van Z. H. de Paus | Koninklijke Bibliotheek
1947/06/21 | De Heerenveensche koerier : onafhankelĳk dagblad voor Midden-Zuid-Oost-Friesland en Noord-Overĳssel | p2 | ddd:010536365:mpeg21:a0028 | Wederopbouw | KB C 199
1948/04/05 | Ons Noorden | p1 | MMRHCG04:235373004:mpeg21:a00003 | In 't Kort | Groninger archieven
1948/12/29 | De Zaanlander | p | MMGAZS01:000107074:mpeg21:a00067 | – Polen zal volgend jaar zeven | Gemeentearchief Zaanstad
1948/04/05 | Overijsselsch dagblad | p1 | MMKB23:001250004:mpeg21:a00007 | In ’t Kort | Historisch Centrum Overijssel
1947/07/15 | Algemeen Indisch dagblad | p | MMNIOD04:000092494:mpeg21:a0031 | Een goede gedachte | NIOD Instituut voor Oorlogs-, Holocaust-
1947/07/04 | Het dagblad : uitgave van de Nederlandsche Dagbladpers te Batavia | p2 | ddd:010897487:mpeg21:a0038 | Een goede gedachte | Universiteitsbibliotheek Leiden S 9462
1948/06/18 | Bildtsche courant | p1 | MMTRES04:211365046:mpeg21:a00006 | ZWARTE HANDEL VIA DE RADIO. | Tresoar
1948/09/16 | Winschoter courant | p2 | MMRHCG03:163522064:mpeg21:a00042 | DE REGELING DER GOLFLENGTEN. | Groninger archieven
1948/12/30 | Helmondsche courant | p | MMRHCE01:000047679:mpeg21:a0020 | FLITSEN | Regionaal Historisch Centrum Eindhoven
1948/06/18 | Nieuwsblad van het Noorden | p3 | ddd:010887325:mpeg21:a0058 | leger van 600 politiemensen | Groninger archieven 649-1309
1948/10/09 | De locomotief : Samarangsch handels- en advertentie-blad | p3 | ddd:010863015:mpeg21:a0072 | Radio-Auto’s voor Amsterdams Politie | Koninklijk Instituut voor de Tropen (KIT
1948/05/15 | Nijmeegsch dagblad | p7 | MMRANM03:048379012:mpeg21:a00101 | Kootwijk, hart van Nederlands radiotelegrafie, jubileert | Regionaal Archief Nijmegen
1948/05/20 | Deventer dagblad | p3 | MMHCO02:163895015:mpeg21:a00054 | Radio Kootwijk 25 jaar Hart van Nederlands radiotelegrafie en -telefonie | Historisch Centrum Overijssel
1948/02/21 | Bredasche courant | p | MMSAB03:000068256:mpeg21:a0025 | Het Zendstation Kootwijk Wonderen van techniek | Stadsarchief Breda
1948/12/31 | Het Rotterdamsch parool | p6 | MMSARO02:164871155:mpeg21:a00094 | Morgen speciale uitzending voor „Grote Beer” | Stadsarchief Rotterdam
1948/12/31 | Winschoter courant | p2 | MMRHCG03:163523078:mpeg21:a00022 | SPECIALE RADIO-UITZENDING VOOR MILITAIREN OP „GROTE BEER’’. | Groninger archieven
1948/12/31 | Nieuw Utrechtsch dagblad | p3 | MMKB27:017771156:mpeg21:a00073 | Morgen speciale uitzending voor „Grote Beer” | Koninklijke Bibliotheek
1948/08/30 | Het Parool | p | ABCDDD:010828701:mpeg21:a0106 | „Wii roepen de wereld” | Koninklijke Bibliotheek
1948/12/31 | Emmer courant | p1 | MMGEM01:163333079:mpeg21:a00009 | KORTE BERICHTEN | Gemeente Emmen
1948/09/30 | Deventer dagblad | p3 | MMHCO02:163896025:mpeg21:a00059 | De Militaire Willemsordë | Historisch Centrum Overijssel
1948/12/31 | Provinciale Drentsche en Asser courant | p | MMDA03:000129520:mpeg21:a0013 | Speciale radio-uitzending van de „Grote Beer" | Drents Archief
1948/12/31 | Provinciale Drentsche en Asser courant | p | MMDA03:000129528:mpeg21:a0013 | Speciale radio-uitzending van de „Grote Beer" | Drents Archief
1948/04/08 | Provinciale Drentsche en Asser courant | p | MMDA03:000130599:mpeg21:a0029 | Nog een liefhebber voor Burgerveen? Televisie-zender komt daar het beste tot zijn recht | Drents Archief
1948/09/15 | Het Parool | p | ABCDDD:010828713:mpeg21:a0018 | Besluit radio-congres GOLFLENGTEN 298, 402 EN 182 M. VOOR ONS LAND | Koninklijke Bibliotheek
