QUERY: "silver star" | total 1436 | showing years 1946-1960
  1952/01/26 | Het Parool | p | ABCDDD:010829843:mpeg21:a0132 | „Silver Star” posthuum voor twee Korea-vrijwilligers
  1951/10/23 | Dagblad voor Noord-Limburg | p2 | MMCC02:211156020:mpeg21:a00026 | SILVER STAR VOOR KOL. DEN OUDEN
  1951/10/24 | Eindhovensch dagblad | p6 | MMRHCE02:163602021:mpeg21:a00120 | Overste den Ouden posthuum met „Silver Star" onderscheiden.
  1952/01/30 | Nieuwe provinciale Groninger courant | p4 | MMRHCG04:235032025:mpeg21:a00054 | „Silver Star” posthuum uitgereikt
  1951/10/23 | Dagblad de stem | p1 | MMSAB05:259508020:mpeg21:a00015 | „Silver Star” voor mevr. den Ouden
  1952/01/26 | Het Binnenhof | p3 | MMKB19:000379022:mpeg21:a00070 | „Silver Star” voor gesneu- velde Korea-vrijwilligers
  1951/10/22 | De Tĳd : godsdienstig-staatkundig dagblad | p7 | ddd:011202716:mpeg21:a0121 | Mevr. DenOuden ontvangt de „Silver Star”
  1952/01/24 | Het Parool | p | ABCDDD:010829841:mpeg21:a0015 | Silver Star posthuum voor Korea-strijder
  1951/10/23 | Nijmeegsch dagblad | p6 | MMRANM03:048387098:mpeg21:a00085 | „SILVER STAR” VOOR LUIT. KOLONEL DEN OUDEN
  1951/10/22 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000069367:mpeg21:a0061 | LAATSTE NIEUWS Mevrouw Den Ouden ontving de „Silver-Star"
  1952/01/26 | Leeuwarder courant : hoofdblad van Friesland | p11 | ddd:010613174:mpeg21:a0202 | „Silver star" voor Nederlandse sergeant en korporaal
  1951/10/23 | De Gooi- en Eemlander | p5 | MMGAGM01:234886020:mpeg21:a00080 | Mevrouw den Ouden ontving de „Silver Star"
  1951/10/23 | Winschoter courant | p1 | MMRHCG03:163541045:mpeg21:a00009 | MEVROUW DEN OUDEN ONTVING DE „SILVER STAR”, WAARMEDE HAAR ECHTGENOOT POSTHUUM WERD ONDERSC
  1951/10/24 | Nieuwe Tilburgsche courant | p3 | MMKB19:000243021:mpeg21:a00062 | MEVROUW DEN OUDEN ONTVING DE „SILVER STAR”
  1951/08/04 | Limburgsch dagblad | p2 | ddd:011026989:mpeg21:a0029 | Limburger ontving in Korea de „Silver Star"
  1952/01/30 | Provinciale Noord-Brabantsche courant Het huisgezin | p3 | MMUBTB04:210858025:mpeg21:a00046 | „SILVER STAR” UITGEREIKT AAN TWEE NEDERLANDSE KOREA-VRIJWILLIGERS
  1952/01/29 | Twentsch dagblad Tubantia | p2 | MMHCO02:163739096:mpeg21:a00038 | LAATSTE NIEUWS „Silver Star” posthuum uitgereikt
  1951/10/23 | Deventer dagblad | p2 | MMHCO02:163905045:mpeg21:a00030 | Posthume Amerikaanse onderscheiding voor kolonel Den Ouden
  1952/01/29 | Twentsch dagblad Tubantia | p2 | MMHCO02:163739093:mpeg21:a00041 | LAATSTE NIEUWS „Silver Star” posthuum uitgereikt
  1951/10/25 | Gereformeerd gezinsblad / hoofdred. P. Jongeling | p2 | ddd:010557977:mpeg21:a0034 | MEVROUW DEN OUDEN ONTVING DE „SILVER STAR", WAARMEE HAAR ECHTGENOOT POSTHUUM WERD ONDERSCH
  1951/08/06 | Leeuwarder courant : hoofdblad van Friesland | p4 | ddd:010613028:mpeg21:a0095 | Silver Star voor Nederlanders in Korea
  1951/08/04 | De Gooi- en Eemlander | p7 | MMGAGM01:234885030:mpeg21:a00085 | Silver Star voor Korea-strijders
  1952/01/28 | Dagblad voor Noord-Limburg | p2 | MMCC02:211157023:mpeg21:a00023 | Silver Star" voor gesneuvelde
  1952/01/26 | Nieuwe Haarlemsche courant | p3 | MMNHA03:179265022:mpeg21:a00045 | Silver Star voor serg.- maj. Van Balkom
  1956/10/23 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p5 | ddd:010988314:mpeg21:a0083 | Toeristenschepen in seizoen 1956-1957
  1952/01/26 | Twentsche courant | p7 | MMCOLO01:280936022:mpeg21:a00091 | „SILVER STAR” UITGEREIKT
  1951/04/30 | Gazet van Limburg | p1 | MMCC01:048028025:mpeg21:a00013 | „Silver Star” voor Nederl. vrijwilligers
  1952/01/26 | De Telegraaf | p3 | ddd:110585412:mpeg21:a0128 | „Silver Star" aa weduwe uitgereik
  1952/01/25 | Het Parool | p | ABCDDD:010829842:mpeg21:a0137 | Silver Star uitgereikt aan weduwe Van Balkom
  1952/01/26 | Zutphens dagblad voor de Graafschap en Veluwezoom | p7 | MMRAZ03:179300022:mpeg21:a00095 | Posthume onderscheiding voor dappere Koreastrijder
  1952/01/30 | Provinciale Overijsselsche en Zwolsche courant | p2 | MMHCO02:163854025:mpeg21:a00023 | „Silver Star” posthuum uitgereikt Aan familie van Nederlandse Korea-vrijwilligers.
  1952/01/26 | Gazet van Limburg | p1 | MMCC01:048031022:mpeg21:a00007 | „Silver Star” voor vrijwilligers in Korea
  1952/01/26 | Deventer dagblad | p3 | MMHCO02:163906022:mpeg21:a00055 | Posthume onderscheiding voor dappere Korea strijder
  1952/01/30 | 't Nieuws voor Kampen | p2 | MMSAK01:164710025:mpeg21:a00023 | „Silver Star” posthuum uitgereikt Aan familie van Nederlandse Korea-vrijwilligers.
  1952/01/30 | De Telegraaf | p2 | ddd:110585415:mpeg21:a0064 | Uitreiking „Silver Star" in Den Haag
  1952/01/30 | Twentsch dagblad Tubantia | p1 | MMHCO02:163739099:mpeg21:a00011 | Gisteren werd op de Amerikaanse Ambassade té Den Haag aan de moeder van wijlen
  1952/01/30 | Twentsch dagblad Tubantia | p1 | MMHCO02:163739098:mpeg21:a00010 | Gisteren werd op de Amerikaanse Ambassade te Den Haag aan de moeder van wijlen
  1952/01/30 | Twentsch dagblad Tubantia | p1 | MMHCO02:163739097:mpeg21:a00010 | Gisteren werd op de Amerikaanse Ambassade te Den Haag aan de moeder van Wijien
  1952/01/30 | Twentsch dagblad Tubantia | p1 | MMHCO02:163739100:mpeg21:a00011 | Gisteren werd op de Amerikaanse Ambassade te Den Haag aan de moeder van wijlen
  1952/01/30 | Nieuwe Haarlemsche courant | p5 | MMNHA03:179265025:mpeg21:a00108 | Twee maal „Silver Star” uitgereikt
  1952/01/29 | De tĳd : dagblad voor Nederland | p4 | ddd:011201321:mpeg21:a0088 | Twee maal „Silver Star" uitgereikt
  1952/01/24 | Nieuwsblad van het Noorden | p1 | ddd:010679346:mpeg21:a0015 | Posthume Silver Star voor Nederlander
  1951/10/25 | Eindhovensch dagblad | p4 | MMRHCE02:163602022:mpeg21:a00070 | Maandag heeft
  1952/01/26 | Nijmeegsch dagblad | p4 | MMRANM03:048389022:mpeg21:a00055 | Uitreiking Silver Star Koreastrijder posthuum onderscheiden
  1951/08/04 | Provinciale Noord-Brabantsche courant Het huisgezin | p1 | MMUBTB04:210856030:mpeg21:a00017 | DE ZILVEREN STER UITGEREIKT
  1951/08/04 | Het Rotterdamsch parool | p6 | MMSARO02:164878081:mpeg21:a00087 | DEN HAAG. — Op 31 Juli 1951
  1951/08/04 | Ons Noorden | p1 | MMRHCG04:235383030:mpeg21:a00013 | AMERIKAANSE ONDERSCHEIDING Voor Nederlanders in Korea
  1951/08/04 | Nieuwe provinciale Groninger courant | p4 | MMRHCG04:235031030:mpeg21:a00048 | Nederlanders in Korea onderscheiden
  1954/06/12 | Nieuwe Tilburgsche courant | p6 | MMKB19:000250060:mpeg21:a00084 | Pater L. v. d. Vrande MSC naar Nieuw Guinea
  1954/06/12 | Nieuwsblad van het Zuiden | p1 | MMKB19:000621060:mpeg21:a00009 | Pater v.d. Vrande tiaar Nieuw-Guinea
  1951/08/06 | Dagblad voor Noord-Limburg | p2 | MMCC02:211155031:mpeg21:a00028 | Onderscheidingen voor Nederlanders in Korea
  1954/06/14 | Dagblad voor Noord-Limburg | p2 | MMCC02:211166061:mpeg21:a00032 | Pater van de Vrcmde naar Nieuw-Guinea
  1954/06/12 | Gazet van Limburg | p2 | MMCC01:047998060:mpeg21:a00035 | Pater v.d. Vrande naar Nw. – Guinea
  1951/08/04 | Nieuwsblad van het Noorden | p2 | ddd:010679660:mpeg21:a0024 | Nederlanders in Korea onderscheiden
  1954/06/12 | Nieuwe Haarlemsche courant | p11 | MMNHA03:179257060:mpeg21:a00149 | Pater L.v.d. Vrande M.S.C. naar Nieuw-Guinea
  1951/08/04 | Overijsselsch dagblad | p1 | MMKB23:001267029:mpeg21:a00023 | AMERIKAANSE ONDERSCHEIDING Voor Nederlanders in Korea
  1951/10/23 | Provinciale Drentsche en Asser courant | p2 | MMKB23:001564098:mpeg21:a00035 | Mevr. Den Ouden nam silver star in ontvangst
  1954/06/12 | De Tĳd : godsdienstig-staatkundig dagblad | p3 | ddd:011203218:mpeg21:a0088 | Pater L. v. d. Vrande M. S. C. naar Nieuw-Guinea
  1952/01/26 | Nieuwe Tilburgsche courant | p1 | MMKB19:000245022:mpeg21:a00019 | Vrijdag heeft te Nijmegen kolonel Bruce W. Bidwell aan de
  1951/10/23 | 't Nieuws voor Kampen | p5 | MMSAK01:164709098:mpeg21:a00091 | Mevrouw Den Ouden ontving „Silver Star”
  1951/10/23 | Provinciale Overijsselsche en Zwolsche courant | p3 | MMHCO02:163853098:mpeg21:a00052 | Mevrouw Den Ouden ontving „Silver Star”
  1952/01/26 | De Volkskrant | p | ABCDDD:010844740:mpeg21:a0067 | Opnieuw twee „Silver Stars” Sgt v. Balkom posthuum onderscheiden
  1952/01/30 | Twentsche courant | p4 | MMCOLO01:280936025:mpeg21:a00058 | „SILVER STAR" POSTHUUM TOEGEKEND
  1951/08/04 | De Volkskrant | p | ABCDDD:010843033:mpeg21:a0117 | Negen gewonden terug uit Korea
  1951/05/01 | Emmer courant | p10 | MMGEM01:163337050:mpeg21:a00127 | Advertentie
  1951/10/24 | Ons Noorden | p4 | MMRHCG04:235383098:mpeg21:a00084 | In tegenwoordigheid van een klein aantal Nederlandse en
  1951/10/23 | Nieuwe provinciale Groninger courant | p4 | MMRHCG04:235031098:mpeg21:a00049 | In tegenwoordigheid van een klein
  1952/01/26 | Trouw | p | ABCDDD:010819709:mpeg21:a0010 | TWEE KOREA-STRIJDERS POSTHUUM ONDERSCHEIDEN
  1951/10/23 | Trouw | p | ABCDDD:010819272:mpeg21:a0077 | Mevr. Den Ouden nam Zilveren Ster in ontvangst
  1952/01/26 | De Heerenveensche koerier : onafhankelĳk dagblad voor Midden | p1 | ddd:010691343:mpeg21:a0011 | Majoor Van Balkom posthuum onderscheiden
  1951/10/24 | Overijsselsch dagblad | p4 | MMKB23:001254021:mpeg21:a00087 | In tegenwoordigheid van een klein aantal Nederlandse en
  1951/08/04 | Limburgsch dagblad | p2 | ddd:010416386:mpeg21:a0068 | de „Silver Star”
  1952/02/21 | Java-bode : nieuws, handels- en advertentieblad voor Nederla | p3 | ddd:010865554:mpeg21:a0082 | Nog een actie
  1952/01/30 | Zutphens dagblad voor de Graafschap en Veluwezoom | p3 | MMRAZ03:179300025:mpeg21:a00061 | Posthume onderscheiding voor Korea- vrijwilligers
  1951/08/04 | Eindhovensch dagblad | p7 | MMRHCE02:163601030:mpeg21:a00092 | NEDERLANDSE OFFICIEREN IN KOREA
  1952/01/30 | Eindhovensch dagblad | p6 | MMRHCE02:163603025:mpeg21:a00092 | Posthume onderscheiding voor Korea-vrijwilligers
  1951/05/01 | Emmer courant | p1 | MMGEM01:163337050:mpeg21:a00009 | Amerikaanse onderscheiding VOOR NEDERLANDSE VAANDRIG
  1951/10/23 | Ons Noorden | p3 | MMRHCG04:235383097:mpeg21:a00070 | Naar wij vernemen:
  1952/01/30 | Deventer dagblad | p6 | MMHCO02:163906025:mpeg21:a00105 | Posthume onderscheiding voor Korea-vrijwilligers
  1950/03/24 | Algemeen Dagblad | p5 | MMSARO03:259008071:mpeg21:a00107 | Amerikaanse passagiersdienst op Europa
  1952/01/24 | De Volkskrant | p | ABCDDD:010844738:mpeg21:a0092 | SIL VERSTAR voor wijlen sgt-maj. Vanßalkom
  1951/03/02 | Nieuwe Haarlemsche courant | p1 | MMNHA03:179246052:mpeg21:a00022 | U.S. Silver Star POSTHUME ONDERSCHEIDING VOOR OVERSTE DEN OUDEN
  1951/10/23 | Overijsselsch dagblad | p3 | MMKB23:001254020:mpeg21:a00064 | Naar wij vernemen:
