QUERY: "straat malakka" | total 18870 | showing years 1947-1948 (capped at 6000)
  1948/03/09 | De Graafschapper | p1 | MMECAL02:179990209:mpeg21:a00008 | Duitsers In Straat Malakka opgepikt
  1948/03/09 | De Graafschapper | p1 | MMECAL02:179990208:mpeg21:a00008 | Duitsers in Straat Malakka opgepikt
  1948/10/15 | De nieuwsgier | p6 | ddd:010474661:mpeg21:a0069 | Advertentie
  1948/03/08 | Nieuwe Haarlemsche courant | p2 | MMNHA03:179234057:mpeg21:a00051 | DUITSERS OPGEPIKT IN STRAAT-MALAKKA
  1948/03/08 | De Gooi- en Eemlander : nieuws- en advertentieblad | p1 | ddd:011173480:mpeg21:a0006 | Twee Duitsers in Straat Malakka opgepikt Zij hadden prettige herinneringen aan de Nederlan
  1948/10/22 | De nieuwsgier | p4 | ddd:010474667:mpeg21:a0061 | Advertentie
  1947/11/27 | Leeuwarder courant : hoofdblad van Friesland | p3 | ddd:010610185:mpeg21:a0113 | NED. PASSAGIERSSCHEPEN
  1948/12/07 | Trouw | p | ABCDDD:010824177:mpeg21:a0089 | PASSAGIERS. EN TROEPENSCHEPEN
  1948/12/07 | Helmondsche courant | p | MMRHCE01:000047462:mpeg21:a0004 | Van en naar INDONESIË
  1948/03/09 | De waarheid | p3 | ddd:010851322:mpeg21:a0078 | Twee Duitsers kwamen herinneringen ophalen
  1948/03/08 | Nijmeegsch dagblad | p1 | MMRANM03:048378057:mpeg21:a00003 | TWEE DUITSERS WAREN OP ZWERFTOCHT
  1948/03/10 | Algemeen Dagblad | p2 | MMSARO03:259004059:mpeg21:a00044 | Uit het Vreemdelingenlegioen ontsnapt
  1948/03/09 | Provinciale Drentsche en Asser courant | p | MMDA03:000130524:mpeg21:a0039 | PRETTIGE HERINNERINGEN.
  1948/03/09 | Provinciale Drentsche en Asser courant | p | MMDA03:000130522:mpeg21:a0034 | PRETTIGE HERINNERINGEN.
  1947/11/20 | De Zaanlander | p | MMGAZS01:000115044:mpeg21:a00033 | Zeevarend Nederland
  1948/03/09 | Leeuwarder courant : hoofdblad van Friesland | p1 | ddd:010610270:mpeg21:a0010 | Duitsers hadden „aangename herinneringen"
  1948/03/08 | Nieuwe courant | p | MMNIOD04:000094272:mpeg21:a0018 | DESERTEURS IN PALEMBANG AANGEKOMEN
  1948/03/08 | De locomotief : Samarangsch handels- en advertentie-blad | p1 | ddd:010862925:mpeg21:a0031 | Deserteurs van het Legioen Twee Duitsers in Palembang
  1948/03/08 | Het dagblad : uitgave van de Nederlandsche Dagbladpers te Ba | p2 | ddd:010896061:mpeg21:a0043 | Ontsnapte Duitsers zoeken werk in Indië
  1948/10/11 | Trouw | p | ABCDDD:010870512:mpeg21:a0086 | RADAR CONTRA SMOKKELAARS IN STRAAT. MALAKKA Koninklijke Marine op haar post
  1947/07/28 | De Nederlandsche transportcourant | p1 | MMKB19:000824170:mpeg21:a00016 | Chinees motorschip in beslag genomen
  1948/12/07 | Gazet van Limburg | p2 | MMCC01:048018057:mpeg21:a00022 | HEEN EN WEER NAAR INDONESIE
  1948/03/09 | Gazet van Limburg | p1 | MMCC01:048015058:mpeg21:a00019 | GEDESERTEERDE DUITSERS OPGEPIKT Zij hadden „prettige herinneringen
  1947/05/10 | Nieuwe courant | p | MMNIOD04:000100368:mpeg21:a0060 | MUNITIE-AANHALING TE SINGAPORE.
  1948/03/09 | Het nieuws : algemeen dagblad | p1 | ddd:010480328:mpeg21:a0003 | Veder Jan d. TWEE DESERTEURS
  1947/06/16 | Trouw | p | ABCDDD:010871159:mpeg21:a0079 | ECONOMIE EN FINANCIEN Samensmelting der vaarten op den Stillen Oceaan Buitenlandse dienste
  1947/02/11 | Nieuwe courant | p | MMNIOD04:000100126:mpeg21:a0054 | De Paketvaart
  1948/04/17 | De locomotief : Samarangsch handels- en advertentie-blad | p4 | ddd:010862980:mpeg21:a0106 | Advertentie
  1948/11/19 | De locomotief : Samarangsch handels- en advertentie-blad | p4 | ddd:010863099:mpeg21:a0082 | Advertentie
  1947/11/27 | Zutphensch dagblad voor Achterhoek en Veluwezoom | p3 | MMRAZ03:179292278:mpeg21:a00057 | Waar zijn onze schepen
  1947/11/27 | Nijmeegsch dagblad | p6 | MMRANM03:048377101:mpeg21:a00097 | SCHEEPSTIJDINGEN
  1948/06/30 | Nijmeegsch dagblad | p2 | MMRANM03:048379049:mpeg21:a00040 | Scheepstijdingen
  1948/12/07 | Provinciale Drentsche en Asser courant | p | MMDA03:000129311:mpeg21:a0023 | Waar zijn onze schepen ?
  1948/12/07 | Provinciale Drentsche en Asser courant | p | MMDA03:000129313:mpeg21:a0023 | Waar zijn onze schepen ?
  1947/05/10 | Het dagblad : uitgave van de Nederlandsche Dagbladpers te Ba | p2 | ddd:010897444:mpeg21:a0025 | Wapens en ammunitie ontdekt
  1948/12/17 | De locomotief : Samarangsch handels- en advertentie-blad | p4 | ddd:010863123:mpeg21:a0066 | De ruilhandel over straat Malakka
  1947/07/28 | Overijsselsch dagblad | p2 | MMKB23:001286024:mpeg21:a00024 | Opstand.
  1947/11/28 | De Heerenveensche koerier : onafhankelĳk dagblad voor Midden | p2 | ddd:010536479:mpeg21:a0108 | Laatste positie Ned passagiersschepen
  1948/10/07 | Trouw | p | ABCDDD:010824125:mpeg21:a0016 | RADAR CONTRA SMOKKELAARS IN STRAAT MALAKKA
