QUERY: "orang medan" | collection: DDD_artikel | numberOfRecords: 8 
1948/04/16 | De West : nieuwsblad uit en voor Suriname | p3 | ddd:110637081:mpeg21:a0047 | Schip vergaan. | Koninklijke Bibliotheek
1939/12/09 | Soerabaijasch handelsblad | p8 | ddd:011121844:mpeg21:a0261 | ZONDAG 10 DECEMBER. | Koninklijke Bibliotheek C 64
1939/11/04 | De Indische courant | p2 | ddd:010285870:mpeg21:a0126 | MAANDAG | KB C 248
1940/03/08 | De Indische courant | pIV | ddd:011176812:mpeg21:a0132 | PROGRAMMA'S. ZATERDAG | Koninklijk Instituut voor Taal-, Land- e
1939/10/24 | De Indische courant | pII | ddd:010285759:mpeg21:a0107 | RADIO-RUBRIEK. PROGRAMMA. WOENSDAG | KB C 248
1940/02/09 | De Indische courant | p2 | ddd:010286255:mpeg21:a0113 | RADIO-RUBRIEK. PROGRAMMA'S. ZATERDAG | KB C 248
1932/12/03 | Rotterdamsch nieuwsblad | p2 | MMKB32:164662039:mpeg21:a00009 | Gij zult niet begeeren.... | Koninklijke Bibliotheek
1939/10/24 | Soerabaijasch handelsblad | p8 | ddd:011121390:mpeg21:a0276 | PROGRAMMA’S DINSDAG 24 OCTOBER. WOENSDAG 25 OCTOBER. | Koninklijke Bibliotheek C 64

QUERY: "ourang-medan" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "oerang medan" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "ourang medang" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: ourang | collection: DDD_artikel | numberOfRecords: 251 
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven
1948/02/03 | De locomotief : Samarangsch handels- en advertentie-blad | p3 | ddd:010862872:mpeg21:a0050 | Een Mysterie van de Zee Krampachtige Houding der Doden De Raadselachtige Ondergang van de  | Koninklijk Instituut voor de Tropen (KIT
1948/02/03 | De locomotief : Samarangsch handels- en advertentie-blad | p3 | ddd:010862872:mpeg21:a0051 | Het bleef stil | Koninklijk Instituut voor de Tropen (KIT
1930/10/09 | Het nieuws van den dag voor Nederlandsch-Indië | p6 | ddd:010229010:mpeg21:a0112 | Arme Indo-Componist. | KB C55
1930/10/09 | De nieuwe vorstenlanden | p1 | MMKB19:002766232:mpeg21:a00002 | Arme Indo componist en „'alkie“. | Koninklijke Bibliotheek
1930/10/15 | Het nieuws van den dag voor Nederlandsch-Indië | p7 | ddd:010229015:mpeg21:a0023 | Advertentie | KB C55
1948/02/28 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862918:mpeg21:a0033 | Ondergang der „Ourang Medan” „Voor het Eerst Werd ik Bang” De Enige Overlevende, Silvio Sc | Koninklijk Instituut voor de Tropen (KIT
1948/03/13 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862945:mpeg21:a0038 | S.O.S, | Koninklijk Instituut voor de Tropen (KIT
1930/09/11 | Algemeen Handelsblad | p14 | ddd:010661580:mpeg21:a0318 | ROLPRENTNIEUWS. Belangstelling voor Ned.-Indië. | KB C 21
