place,lat,lon,km_straight,statute_miles,old_miles,bearing_deg,compass,on_mainland,note
Dasamonquepeuc (Manns Harbor),35.8858,-75.7628,7.6,4.7,3.6,219,SW,yes,mainland town opposite Roanoke; Wikipedia coord for Manns Harbor
Port Ferdinando / Hatarask inlet (approx.),35.82,-75.55,19.5,12.1,9.3,132,SE,no,closed inlet S of Nags Head; position approximate (Quinn)
Kenricks Mounts / Chicamacomico (Rodanthe),35.5933,-75.4678,44.2,27.5,21.0,150,SSE,no,smoke seen 1590; Wikipedia coord for Rodanthe
Croatoan: Cape Creek site 31DR1 (Buxton),35.2678,-75.5425,76.1,47.3,36.2,168,SSE,no,"Manteo's town; Wikipedia coord for Buxton, site within ~1 km"
Wokokon (Ocracoke),35.1128,-75.9758,94.9,59.0,45.2,195,SSW,no,Wikipedia coord for Ocracoke
"Site X / Site Y, Salmon Creek (near Merry Hill)",36.0,-76.7,89.4,55.5,42.5,275,W,yes,First Colony Foundation sites at the mouth of Salmon Creek; approx. from FCF descriptions
Edenton (reported findspot region of the 1937 Dare Stone),36.0581,-76.6008,81.2,50.5,38.7,280,W,yes,Wikipedia coord
"Chowanoke, main town of the Chowanoc (near Harrellsville)",36.28,-76.75,100.8,62.7,48.0,292,WNW,yes,"approx.; site 31HF30 on the Chowan, Hertford County"
"Windsor (Cashie River, Tuscarora country)",35.9931,-76.94,110.9,68.9,52.8,273,W,yes,Wikipedia coord
Weldon (Roanoke River fall line),36.4239,-77.6131,179.1,111.3,85.3,288,WNW,yes,Wikipedia coord; one region proposed for Ocanahowan
Bath (Pamlico River),35.4703,-76.8119,112.3,69.8,53.5,243,WSW,yes,Wikipedia coord; Secotan/Pomeiooc country lies between
"Chesepian towns, Lynnhaven / Great Neck (Virginia Beach)",36.88,-76.05,109.0,67.7,51.9,344,NNW,yes,approx.; Great Neck Point site
Jamestown (1607),37.2088,-76.7794,170.5,105.9,81.2,326,NNW,yes,Historic Jamestowne
