position,cipher_number,expected_letter,dec_straight_pamphlet_text,dec_pamphlet_numbering_forward,dec_pamphlet_numbering_backward,dec_nara_straight,dec_gillogly_table1
1,115,i,i,i,i,i,i
2,73,h,h,h,h,h,h
3,24,a,a,a,a,a,a
4,807,v,r,v,v,r,i
5,37,e,e,e,e,e,e
6,52,d,d,d,d,d,d
7,49,e,e,e,e,e,e
8,17,p,p,p,p,p,p
9,31,o,o,o,o,o,o
10,62,s,s,s,s,s,s
11,647,i,c,i,i,c,o
12,22,t,t,t,t,t,t
13,7,e,e,e,e,e,e
14,15,d,d,d,d,d,d
15,140,i,i,i,i,i,i
16,47,n,n,n,n,n,n
17,29,t,t,t,t,t,t
18,107,h,h,h,h,h,h
19,79,e,e,e,e,e,e
20,84,c,c,c,c,c,c
21,56,o,o,o,o,o,o
22,239,u,u,u,u,p,p
23,10,n,n,n,n,n,n
24,26,t,t,t,t,t,t
25,811,y,f,f,f,f,t
26,5,o,o,o,o,o,o
27,196,f,f,f,f,l,l
28,308,b,g,b,b,b,b
29,85,e,e,e,e,e,e
30,52,d,d,d,d,d,d
31,160,f,f,f,f,o,o
32,136,o,o,o,o,o,o
33,59,r,r,r,r,r,r
34,211,d,d,d,d,t,t
35,36,a,a,a,a,a,a
36,9,b,b,b,b,b,b
37,46,o,o,o,o,o,o
38,316,u,a,u,u,u,u
39,554,t,t,t,t,t,p
40,122,f,f,f,f,f,f
41,106,o,o,o,o,o,o
42,95,u,i,i,i,u,u
43,53,r,r,r,r,r,r
44,58,m,m,m,m,m,m
45,2,i,i,i,i,i,i
46,42,l,l,l,l,l,l
47,7,e,e,e,e,e,e
48,35,s,s,s,s,s,s
49,122,f,f,f,f,f,f
50,53,r,r,r,r,r,r
51,31,o,o,o,o,o,o
52,82,m,m,m,m,m,m
53,77,b,b,b,b,b,b
54,250,u,t,tu,u,u,u
55,196,f,f,f,f,l,l
56,56,o,o,o,o,o,o
57,96,r,r,r,r,r,r
58,118,d,d,d,d,d,d
59,71,s,s,s,s,s,s
60,140,i,i,i,i,i,i
61,287,n,i,n,n,n,n
62,28,a,a,a,a,a,a
63,353,n,a,n,n,n,n
64,37,e,e,e,e,e,e
65,1005,x,h,h,h,p,p
66,65,c,c,c,c,c,c
67,147,a,a,a,a,a,a
68,807,v,r,v,v,r,i
69,24,a,a,a,a,a,a
70,3,t,t,t,t,t,t
71,8,i,i,i,i,i,i
72,12,o,o,o,o,o,o
73,47,n,n,n,n,n,n
74,43,o,o,o,o,o,o
75,59,r,r,r,r,r,r
76,807,v,r,v,v,r,i
77,45,a,a,a,a,a,a
78,316,u,a,u,u,u,u
79,101,l,l,l,l,l,l
80,41,t,t,t,t,t,t
81,78,s,s,s,s,s,s
82,154,i,i,i,i,i,i
83,1005,x,h,h,h,p,p
84,122,f,f,f,f,f,f
85,138,e,e,e,e,e,e
86,191,e,e,e,e,s,s
87,16,t,t,t,t,t,t
88,77,b,b,b,b,b,b
89,49,e,e,e,e,e,e
90,102,l,l,l,l,l,l
91,57,o,o,o,o,o,o
92,72,w,w,w,w,w,w
93,34,t,t,t,t,t,t
94,73,h,h,h,h,h,h
95,85,e,e,e,e,e,e
96,35,s,s,s,s,s,s
97,371,u,i,u,u,u,u
98,59,r,r,r,r,r,r
99,196,f,f,f,f,l,l
100,81,a,a,a,a,a,a
101,92,c,c,c,c,c,c
102,191,e,e,e,e,s,s
103,106,o,o,o,o,o,o
104,273,f,t,f,f,f,f
105,60,t,t,t,t,t,t
106,394,h,t,h,h,h,h
107,620,e,s,e,e,s,h
108,270,g,n,g,g,g,g
109,220,r,r,r,r,t,t
110,106,o,o,o,o,o,o
111,388,u,h,u,u,u,u
112,287,n,i,n,n,n,n
113,63,d,d,d,d,d,d
114,3,t,t,t,t,t,t
115,6,h,h,h,h,h,h
116,191,e,e,e,e,s,s
117,122,f,f,f,f,f,f
118,43,o,o,o,o,o,o
119,234,l,l,l,l,t,t
120,400,l,o,l,l,l,l
121,106,o,o,o,o,o,o
122,290,w,n,w,w,w,w
123,314,i,r,i,i,i,i
124,47,n,n,n,n,n,n
125,48,g,g,g,g,g,g
126,81,a,a,a,a,a,a
127,96,r,r,r,r,r,r
128,26,t,t,t,t,t,t
129,115,i,i,i,i,i,i
130,92,c,c,c,c,c,c
131,158,l,l,l,l,i,i
132,191,e,e,e,e,s,s
133,110,s,s,s,s,s,s
134,77,b,b,b,b,b,b
135,85,e,e,e,e,e,e
136,197,l,l,l,l,a,a
137,46,o,o,o,o,o,o
138,10,n,n,n,n,n,n
139,113,g,g,g,g,g,g
140,140,i,i,i,i,i,i
141,353,n,a,n,n,n,n
142,48,g,g,g,g,g,g
143,120,j,j,j,j,j,j
144,106,o,o,o,o,o,o
145,2,i,i,i,i,i,i
146,607,n,p,n,n,p,o
147,61,t,t,t,t,t,t
148,420,l,t,l,l,l,l
149,811,y,f,f,f,f,t
150,29,t,t,t,t,t,t
151,125,o,o,o,o,o,o
152,14,t,t,t,t,t,t
153,20,h,h,h,h,h,h
154,37,e,e,e,e,e,e
155,105,p,p,p,p,p,p
156,28,a,a,a,a,a,a
157,248,r,t,t,r,r,r
158,16,t,t,t,t,t,t
159,159,i,i,i,i,f,f
160,7,e,e,e,e,e,e
161,35,s,s,s,s,s,s
162,19,w,w,w,w,w,w
163,301,h,t,h,h,h,h
