n,pamphlet_straight_word,pamphlet_straight_initial,pamphlet_numbering_words,pamphlet_numbering_initials,nara_word,nara_initial,gillogly_initial,straight_ne_gillogly,pamphlet_numbering_ne_gillogly,nara_ne_gillogly
1,when,W,when,W,when,W,W,,,
2,in,I,in,I,in,I,I,,,
3,the,T,the,T,the,T,T,,,
4,course,C,course,C,course,C,C,,,
5,of,O,of,O,of,O,O,,,
6,human,H,human,H,human,H,H,,,
7,events,E,events,E,events,E,E,,,
8,it,I,it,I,it,I,I,,,
9,becomes,B,becomes,B,becomes,B,B,,,
10,necessary,N,necessary,N,necessary,N,N,,,
11,for,F,for,F,for,F,F,,,
12,one,O,one,O,one,O,O,,,
13,people,P,people,P,people,P,P,,,
14,to,T,to,T,to,T,T,,,
15,dissolve,D,dissolve,D,dissolve,D,D,,,
16,the,T,the,T,the,T,T,,,
17,political,P,political,P,political,P,P,,,
18,bands,B,bands,B,bands,B,B,,,
19,which,W,which,W,which,W,W,,,
20,have,H,have,H,have,H,H,,,
21,connected,C,connected,C,connected,C,C,,,
22,them,T,them,T,them,T,T,,,
23,with,W,with,W,with,W,W,,,
24,another,A,another,A,another,A,A,,,
25,and,A,and,A,and,A,A,,,
26,to,T,to,T,to,T,T,,,
27,assume,A,assume,A,assume,A,A,,,
28,among,A,among,A,among,A,A,,,
29,the,T,the,T,the,T,T,,,
30,powers,P,powers,P,powers,P,P,,,
31,of,O,of,O,of,O,O,,,
32,the,T,the,T,the,T,T,,,
33,earth,E,earth,E,earth,E,E,,,
34,the,T,the,T,the,T,T,,,
35,separate,S,separate,S,separate,S,S,,,
36,and,A,and,A,and,A,A,,,
37,equal,E,equal,E,equal,E,E,,,
38,station,S,station,S,station,S,S,,,
39,to,T,to,T,to,T,T,,,
40,which,W,which,W,which,W,W,,,
41,the,T,the,T,the,T,T,,,
42,laws,L,laws,L,laws,L,L,,,
43,of,O,of,O,of,O,O,,,
44,nature,N,nature,N,nature,N,N,,,
45,and,A,and,A,and,A,A,,,
46,of,O,of,O,of,O,O,,,
47,nature's,N,nature's,N,nature's,N,N,,,
48,god,G,god,G,god,G,G,,,
49,entitle,E,entitle,E,entitle,E,E,,,
50,them,T,them,T,them,T,T,,,
51,a,A,a,A,a,A,A,,,
52,decent,D,decent,D,decent,D,D,,,
53,respect,R,respect,R,respect,R,R,,,
54,to,T,to,T,to,T,T,,,
55,the,T,the,T,the,T,T,,,
56,opinions,O,opinions,O,opinions,O,O,,,
57,of,O,of,O,of,O,O,,,
58,mankind,M,mankind,M,mankind,M,M,,,
59,requires,R,requires,R,requires,R,R,,,
60,that,T,that,T,that,T,T,,,
61,they,T,they,T,they,T,T,,,
62,should,S,should,S,should,S,S,,,
63,declare,D,declare,D,declare,D,D,,,
64,the,T,the,T,the,T,T,,,
65,causes,C,causes,C,causes,C,C,,,
66,which,W,which,W,which,W,W,,,
67,impel,I,impel,I,impel,I,I,,,
68,them,T,them,T,them,T,T,,,
69,to,T,to,T,to,T,T,,,
70,the,T,the,T,the,T,T,,,
71,separation,S,separation,S,separation,S,S,,,
72,we,W,we,W,we,W,W,,,
73,hold,H,hold,H,hold,H,H,,,
74,these,T,these,T,these,T,T,,,
75,truths,T,truths,T,truths,T,T,,,
76,to,T,to,T,to,T,T,,,
77,be,B,be,B,be,B,B,,,
78,self,S,self,S,self,S,S,,,
79,evident,E,evident,E,evident,E,E,,,
80,that,T,that,T,that,T,T,,,
81,all,A,all,A,all,A,A,,,
82,men,M,men,M,men,M,M,,,
83,are,A,are,A,are,A,A,,,
84,created,C,created,C,created,C,C,,,
85,equal,E,equal,E,equal,E,E,,,
86,that,T,that,T,that,T,T,,,
87,they,T,they,T,they,T,T,,,
88,are,A,are,A,are,A,A,,,
89,endowed,E,endowed,E,endowed,E,E,,,
90,by,B,by,B,by,B,B,,,
91,their,T,their,T,their,T,T,,,
92,creator,C,creator,C,creator,C,C,,,
93,with,W,with,W,with,W,W,,,
94,certain,C,certain,C,certain,C,C,,,
95,inalienable,I,inalienable,I,unalienable,U,U,X,X,
96,rights,R,rights,R,rights,R,R,,,
97,that,T,that,T,that,T,T,,,
98,among,A,among,A,among,A,A,,,
99,these,T,these,T,these,T,T,,,
100,are,A,are,A,are,A,A,,,
101,life,L,life,L,life,L,L,,,
102,liberty,L,liberty,L,liberty,L,L,,,
103,and,A,and,A,and,A,A,,,
104,the,T,the,T,the,T,T,,,
105,pursuit,P,pursuit,P,pursuit,P,P,,,
106,of,O,of,O,of,O,O,,,
107,happiness,H,happiness,H,happiness,H,H,,,
108,that,T,that,T,that,T,T,,,
109,to,T,to,T,to,T,T,,,
110,secure,S,secure,S,secure,S,S,,,
111,their,T,their,T,these,T,T,,,
112,rights,R,rights,R,rights,R,R,,,
113,governments,G,governments,G,governments,G,G,,,
114,are,A,are,A,are,A,A,,,
115,instituted,I,instituted,I,instituted,I,I,,,
116,among,A,among,A,among,A,A,,,
117,men,M,men,M,men,M,M,,,
118,deriving,D,deriving,D,deriving,D,D,,,
119,their,T,their,T,their,T,T,,,
120,just,J,just,J,just,J,J,,,
121,powers,P,powers,P,powers,P,P,,,
122,from,F,from,F,from,F,F,,,
123,the,T,the,T,the,T,T,,,
124,consent,C,consent,C,consent,C,C,,,
125,of,O,of,O,of,O,O,,,
126,the,T,the,T,the,T,T,,,
127,governed,G,governed,G,governed,G,G,,,
128,that,T,that,T,that,T,T,,,
129,when,W,when,W,whenever,W,W,,,
130,any,A,any,A,any,A,A,,,
131,form,F,form,F,form,F,F,,,
132,of,O,of,O,of,O,O,,,
133,government,G,government,G,government,G,G,,,
134,becomes,B,becomes,B,becomes,B,B,,,
135,destructive,D,destructive,D,destructive,D,D,,,
136,of,O,of,O,of,O,O,,,
137,these,T,these,T,these,T,T,,,
138,ends,E,ends,E,ends,E,E,,,
139,it,I,it,I,it,I,I,,,
140,is,I,is,I,is,I,I,,,
141,the,T,the,T,the,T,T,,,
142,right,R,right,R,right,R,R,,,
143,of,O,of,O,of,O,O,,,
144,the,T,the,T,the,T,T,,,
145,people,P,people,P,people,P,P,,,
146,to,T,to,T,to,T,T,,,
147,alter,A,alter,A,alter,A,A,,,
148,or,O,or,O,or,O,O,,,
149,to,T,to,T,to,T,T,,,
150,abolish,A,abolish,A,abolish,A,A,,,
151,it,I,it,I,it,I,I,,,
152,and,A,and,A,and,A,A,,,
153,to,T,to,T,to,T,T,,,
154,institute,I,institute,I,institute,I,I,,,
155,a,A,a,A,new,N,N,X,X,
156,new,N,new,N,government,G,G,X,X,
157,government,G,government,G,laying,L,L,X,X,
158,laying,L,laying,L,its,I,I,X,X,
159,its,I,its,I,foundation,F,F,X,X,
160,foundation,F,foundation,F,on,O,O,X,X,
161,on,O,on,O,such,S,S,X,X,
162,such,S,such,S,principles,P,P,X,X,
163,principles,P,principles,P,and,A,A,X,X,
