n,initial
1,W
2,I
3,T
4,C
5,O
6,H
7,E
8,I
9,B
10,N
11,F
12,O
13,P
14,T
15,D
16,T
17,P
18,B
19,W
20,H
21,C
22,T
23,W
24,A
25,A
26,T
27,A
28,A
29,T
30,P
31,O
32,T
33,E
34,T
35,S
36,A
37,E
38,S
39,T
40,W
41,T
42,L
43,O
44,N
45,A
46,O
47,N
48,G
49,E
50,T
51,A
52,D
53,R
54,T
55,T
56,O
57,O
58,M
59,R
60,T
61,T
62,S
63,D
64,T
65,C
66,W
67,I
68,T
69,T
70,T
71,S
72,W
73,H
74,T
75,T
76,T
77,B
78,S
79,E
80,T
81,A
82,M
83,A
84,C
85,E
86,T
87,T
88,A
89,E
90,B
91,T
92,C
93,W
94,C
95,U
96,R
97,T
98,A
99,T
100,A
101,L
102,L
103,A
104,T
105,P
106,O
107,H
108,T
109,T
110,S
111,T
112,R
113,G
114,A
115,I
116,A
117,M
118,D
119,T
120,J
121,P
122,F
123,T
124,C
125,O
126,T
127,G
128,T
129,W
130,A
131,F
132,O
133,G
134,B
135,D
136,O
137,T
138,E
139,I
140,I
141,T
142,R
143,O
144,T
145,P
146,T
147,A
148,O
149,T
150,A
151,I
152,A
153,T
154,I
155,N
156,G
157,L
158,I
159,F
160,O
161,S
162,P
163,A
164,O
165,I
166,P
167,I
168,S
169,F
170,A
171,T
172,T
173,S
174,S
175,M
176,L
177,T
178,E
179,T
180,S
181,A
182,H
183,P
184,I
185,W
186,D
187,T
188,G
189,L
190,E
191,S
192,N
193,B
194,C
195,F
196,L
197,A
198,T
199,C
200,A
201,A
202,A
203,E
204,H
205,S
206,T
207,M
208,A
209,M
210,D
211,T
212,S
213,W
214,E
215,A
216,S
217,T
218,T
219,R
220,T
221,B
222,A
223,T
224,F
225,T
226,W
227,T
228,A
229,A
230,B
231,W
232,A
233,L
234,T
235,O
236,A
237,A
238,U
239,P
240,I
241,T
242,S
243,O
244,E
245,A
246,D
247,T
248,R
249,T
250,U
251,A
252,D
253,I
254,I
255,T
256,R
257,I
258,I
259,T
260,D
261,T
262,T
263,O
264,S
265,G
266,A
267,T
268,P
269,N
270,G
271,F
272,T
273,F
274,S
275,S
276,H
277,B
278,T
279,P
280,S
281,O
282,T
283,C
284,A
285,S
286,I
287,N
288,T
289,N
290,W
291,C
292,T
293,T
294,A
295,T
296,F
297,S
298,O
299,G
300,T
301,H
302,O
303,T
304,P
305,K
306,O
307,G
308,B
309,I
310,A
311,H
312,O
313,R
314,I
315,A
316,U
317,A
318,H
319,I
320,D
321,O
322,T
323,E
324,O
325,A
326,A
327,T
328,O
329,T
330,S
331,T
332,P
333,T
334,L
335,F
336,B
337,S
338,T
339,A
340,C
341,W
342,H
343,H
344,R
345,H
346,A
347,T
348,L
349,T
350,M
351,W
352,A
353,N
354,F
355,T
356,P
357,G
358,H
359,H
360,F
361,H
362,G
363,T
364,P
365,L
366,O
367,I
368,A
369,P
370,I
371,U
372,S
373,I
374,T
375,O
376,T
377,H
378,A
379,S
380,B
381,O
382,A
383,W
384,S
385,S
386,H
387,H
388,U
389,N
390,T
391,A
392,T
393,T
394,H
395,H
396,R
397,T
398,P
399,O
400,L
401,F
402,T
403,A
404,O
405,L
406,D
407,O
408,P
409,U
410,T
411,P
412,W
413,R
414,T
415,R
416,O
417,R
418,I
419,T
420,L
421,A
422,R
423,I
424,T
425,T
426,A
427,F
428,T
429,T
430,O
431,H
432,H
433,C
434,T
435,L
436,B
437,A
438,P
439,U
440,U
441,A
442,D
443,F
444,T
445,D
446,O
447,T
448,P
449,R
450,F
451,T
452,S
453,P
454,O
455,F
456,T
