n,word_hyphen_split,initial_hyphen_split,word_hyphen_joined,initial_hyphen_joined
1,when,W,when,W
2,in,I,in,I
3,the,T,the,T
4,course,C,course,C
5,of,O,of,O
6,human,H,human,H
7,events,E,events,E
8,it,I,it,I
9,becomes,B,becomes,B
10,necessary,N,necessary,N
11,for,F,for,F
12,one,O,one,O
13,people,P,people,P
14,to,T,to,T
15,dissolve,D,dissolve,D
16,the,T,the,T
17,political,P,political,P
18,bands,B,bands,B
19,which,W,which,W
20,have,H,have,H
21,connected,C,connected,C
22,them,T,them,T
23,with,W,with,W
24,another,A,another,A
25,and,A,and,A
26,to,T,to,T
27,assume,A,assume,A
28,among,A,among,A
29,the,T,the,T
30,powers,P,powers,P
31,of,O,of,O
32,the,T,the,T
33,earth,E,earth,E
34,the,T,the,T
35,separate,S,separate,S
36,and,A,and,A
37,equal,E,equal,E
38,station,S,station,S
39,to,T,to,T
40,which,W,which,W
41,the,T,the,T
42,laws,L,laws,L
43,of,O,of,O
44,nature,N,nature,N
45,and,A,and,A
46,of,O,of,O
47,nature's,N,nature's,N
48,god,G,god,G
49,entitle,E,entitle,E
50,them,T,them,T
51,a,A,a,A
52,decent,D,decent,D
53,respect,R,respect,R
54,to,T,to,T
55,the,T,the,T
56,opinions,O,opinions,O
57,of,O,of,O
58,mankind,M,mankind,M
59,requires,R,requires,R
60,that,T,that,T
61,they,T,they,T
62,should,S,should,S
63,declare,D,declare,D
64,the,T,the,T
65,causes,C,causes,C
66,which,W,which,W
67,impel,I,impel,I
68,them,T,them,T
69,to,T,to,T
70,the,T,the,T
71,separation,S,separation,S
72,we,W,we,W
73,hold,H,hold,H
74,these,T,these,T
75,truths,T,truths,T
76,to,T,to,T
77,be,B,be,B
78,self,S,selfevident,S
79,evident,E,that,T
80,that,T,all,A
81,all,A,men,M
82,men,M,are,A
83,are,A,created,C
84,created,C,equal,E
85,equal,E,that,T
86,that,T,they,T
87,they,T,are,A
88,are,A,endowed,E
89,endowed,E,by,B
90,by,B,their,T
91,their,T,creator,C
92,creator,C,with,W
93,with,W,certain,C
94,certain,C,inalienable,I
95,inalienable,I,rights,R
96,rights,R,that,T
97,that,T,among,A
98,among,A,these,T
99,these,T,are,A
100,are,A,life,L
101,life,L,liberty,L
102,liberty,L,and,A
103,and,A,the,T
104,the,T,pursuit,P
105,pursuit,P,of,O
106,of,O,happiness,H
107,happiness,H,that,T
108,that,T,to,T
109,to,T,secure,S
110,secure,S,their,T
111,their,T,rights,R
112,rights,R,governments,G
113,governments,G,are,A
114,are,A,instituted,I
115,instituted,I,among,A
116,among,A,men,M
117,men,M,deriving,D
118,deriving,D,their,T
119,their,T,just,J
120,just,J,powers,P
121,powers,P,from,F
122,from,F,the,T
123,the,T,consent,C
124,consent,C,of,O
125,of,O,the,T
126,the,T,governed,G
127,governed,G,that,T
128,that,T,when,W
129,when,W,any,A
130,any,A,form,F
131,form,F,of,O
132,of,O,government,G
133,government,G,becomes,B
134,becomes,B,destructive,D
135,destructive,D,of,O
136,of,O,these,T
137,these,T,ends,E
138,ends,E,it,I
139,it,I,is,I
140,is,I,the,T
141,the,T,right,R
142,right,R,of,O
143,of,O,the,T
144,the,T,people,P
145,people,P,to,T
146,to,T,alter,A
147,alter,A,or,O
148,or,O,to,T
149,to,T,abolish,A
150,abolish,A,it,I
151,it,I,and,A
152,and,A,to,T
153,to,T,institute,I
154,institute,I,a,A
155,a,A,new,N
156,new,N,government,G
157,government,G,laying,L
158,laying,L,its,I
159,its,I,foundation,F
160,foundation,F,on,O
161,on,O,such,S
162,such,S,principles,P
163,principles,P,and,A
164,and,A,organizing,O
165,organizing,O,its,I
166,its,I,powers,P
167,powers,P,in,I
168,in,I,such,S
169,such,S,form,F
170,form,F,as,A
171,as,A,to,T
172,to,T,them,T
173,them,T,shall,S
174,shall,S,seem,S
175,seem,S,most,M
176,most,M,likely,L
177,likely,L,to,T
178,to,T,effect,E
179,effect,E,their,T
180,their,T,safety,S
181,safety,S,and,A
182,and,A,happiness,H
183,happiness,H,prudence,P
184,prudence,P,indeed,I
185,indeed,I,will,W
186,will,W,dictate,D
187,dictate,D,that,T
188,that,T,governments,G
189,governments,G,long,L
190,long,L,established,E
191,established,E,should,S
192,should,S,not,N
193,not,N,be,B
194,be,B,changed,C
195,changed,C,for,F
196,for,F,light,L
197,light,L,and,A
198,and,A,transient,T
199,transient,T,causes,C
200,causes,C,and,A
201,and,A,accordingly,A
202,accordingly,A,all,A
203,all,A,experience,E
204,experience,E,hath,H
205,hath,H,shown,S
206,shown,S,that,T
207,that,T,mankind,M
208,mankind,M,are,A
209,are,A,now,N
210,now,N,disposed,D
211,disposed,D,to,T
212,to,T,suffer,S
213,suffer,S,while,W
214,while,W,evils,E
215,evils,E,are,A
216,are,A,sufferable,S
217,sufferable,S,than,T
218,than,T,to,T
219,to,T,right,R
220,right,R,themselves,T
221,themselves,T,by,B
222,by,B,abolishing,A
223,abolishing,A,the,T
224,the,T,forms,F
225,forms,F,to,T
226,to,T,which,W
227,which,W,they,T
228,they,T,are,A
229,are,A,accustomed,A
230,accustomed,A,but,B
231,but,B,when,W
232,when,W,a,A
233,a,A,long,L
234,long,L,train,T
235,train,T,of,O
236,of,O,abuses,A
237,abuses,A,and,A
238,and,A,usurpations,U
239,usurpations,U,pursuing,P
240,pursuing,P,invariably,I
241,invariably,I,the,T
242,the,T,same,S
243,same,S,object,O
244,object,O,evinces,E
245,evinces,E,a,A
246,a,A,design,D
247,design,D,to,T
248,to,T,reduce,R
249,reduce,R,them,T
250,them,T,under,U
251,under,U,absolute,A
252,absolute,A,despotism,D
253,despotism,D,it,I
254,it,I,is,I
255,is,I,their,T
256,their,T,right,R
257,right,R,it,I
258,it,I,is,I
259,is,I,their,T
260,their,T,duty,D
261,duty,D,to,T
262,to,T,throw,T
263,throw,T,off,O
264,off,O,such,S
265,such,S,government,G
266,government,G,and,A
267,and,A,to,T
268,to,T,provide,P
269,provide,P,new,N
270,new,N,guards,G
271,guards,G,for,F
272,for,F,their,T
273,their,T,future,F
274,future,F,security,S
275,security,S,such,S
276,such,S,has,H
277,has,H,been,B
278,been,B,the,T
279,the,T,patient,P
280,patient,P,sufferance,S
281,sufferance,S,of,O
282,of,O,these,T
283,these,T,colonies,C
284,colonies,C,and,A
285,and,A,such,S
286,such,S,is,I
