term,date,title,url,verified,snippet
improvised,1836-05-11,"Image 4 of Republican herald (Providence [R.I.]), May 11, 1836",http://www.loc.gov/resource/sn83021460/1836-05-11/ed-1/?sp=4,False,
improvised,1836-06-15,"Image 2 of Republican herald (Providence [R.I.]), June 15, 1836",http://www.loc.gov/resource/sn83021460/1836-06-15/ed-1/?sp=2,False,
improvised,1836-09-13,"Image 2 of Daily national intelligencer (Washington City [D.C.]), September 13, 1836",http://www.loc.gov/resource/sn83026172/1836-09-13/ed-1/?sp=2,False,
improvised,1837-02-23,"Image 2 of The herald (New York [N.Y.]), February 23, 1837",http://www.loc.gov/resource/sn83030311/1837-02-23/ed-1/?sp=2,False,
improvised,1837-06-07,"Image 4 of The Rhode-Island Republican (Newport, R.I.), June 7, 1837",http://www.loc.gov/resource/sn83025561/1837-06-07/ed-1/?sp=4,False,
improvised,1837-07-01,"Image 1 of Camden commercial courier (Camden, S.C.), July 1, 1837",http://www.loc.gov/resource/sn92065563/1837-07-01/ed-1/?sp=1,True,"mily preparing for prayers. They proceeded to their chamber, swearing, singing, and jesting. The pilgrim uttered the pious exhortation to heaven. His improvised prayer was sublime. All the family expressed their admiration and gratitude, and tinson obliged the holy man to accept his bed, instead of that which"
improvised,1837-08-19,"Image 1 of Iowa news (Dubuque, Upper Mississippi Lead Mines, Wisconsin Territory), August 19, 1837",http://www.loc.gov/resource/sn82015686/1837-08-19/ed-1/?sp=1,True,"}' astounding circumstances, which attended the outbreak and progress of the great American Revolution, not the least extraordinary was tho galaxy of improvised genius, drawn forth from the obscurity of co lonial neglect, to carry on the affairs of the e inancipatcd colonies, and to battle the mighty combinat"
improvised,1837-11-04,"Image 2 of Baton-Rouge gazette (Baton-Rouge, La.), November 4, 1837",http://www.loc.gov/resource/sn82003383/1837-11-04/ed-1/?sp=2,False,
improvised,1837-12-28,"Image 1 of The Madisonian (Washington City [i.e. Washington, D.C.]), December 28, 1837",http://www.loc.gov/resource/sn82015015/1837-12-28/ed-1/?sp=1,True,have been born. Perhaps we shall be most correct in dating it as near the time of birth as may be practicable. We shall not state positively that she improvised before she could speak; but it is certain that she composed verses before she could write them. There was a certain epic poem of the in fant L. E. L.
improvised,1838-01-17,"Image 1 of Morning herald (New York [N.Y.]), January 17, 1838",http://www.loc.gov/resource/sn83030312/1838-01-17/ed-1/?sp=1,False,
improvised,1838-08-30,"Image 3 of Daily national intelligencer (Washington City [D.C.]), August 30, 1838",http://www.loc.gov/resource/sn83026172/1838-08-30/ed-1/?sp=3,False,
improvised,1839-02-01,"Image 1 of Burlington free press (Burlington, Vt.), February 1, 1839",http://www.loc.gov/resource/sn84023127/1839-02-01/ed-1/?sp=1,True," with that you do not can tor, liuitc lately, you know, iherc were the Siamese I wins, and tho man who plav cd upon his chin, and Hungarian Count who improvised the neighing-) and the words ol command, anJ '.he trumpets of regiment of cavalry nil at onco. I thought it wns quite acknowledged that you are\""so l"
improvised,1839-06-12,"Image 2 of Alexandria gazette (Alexandria, D.C.), June 12, 1839",http://www.loc.gov/resource/sn85025007/1839-06-12/ed-1/?sp=2,True,"iful: and light and ether v hre\u00bb apd spirit,and pure enthusi asm She wore theCancilut An Jalusiau dress: touche,I tae jffiil ir with ebMueiice: |Improvised with wonder)* aeililv; !,\u201ed as she became excited by her theme, or by the rapt attention of her auditors, would pour forth, in the richest and m"
improvised,1839-06-15,"Image 1 of The Madisonian (Washington City [i.e. Washington, D.C.]), June 15, 1839",http://www.loc.gov/resource/sn82015015/1839-06-15/ed-1/?sp=1,True,"ight and ethe real full of lire, and spirit, and pure enthu siasm. She wore the fanciful Andalusian dress touched the guitar with speaking elo quence improvised with wonderful facility and as she became excited by her theme, or by the rapt attention of her auditors, would pour forth in the richest and most me"
improvised,1839-06-24,"Image 2 of Daily national intelligencer (Washington City [D.C.]), June 24, 1839",http://www.loc.gov/resource/sn83026172/1839-06-24/ed-1/?sp=2,True,"ght and ethereal; full of fire, and spirit, and pure enthusiasm. She wore the fanci ful Andalusian dress; touched the guitar with speaking eloquence; improvised with wonderful facility and, as she became excited by her theme, or by the rapt attention of her auditors, would pour forth, in the richest and most "
improvised,1839-08-21,"Image 1 of Le Patriote canadien (Burlington, Vt. : Montréal), August 21, 1839",http://www.loc.gov/resource/sn90000507/1839-08-21/ed-1/?sp=1,False,
improvised,1839-09-11,"Image 2 of Alexandria gazette (Alexandria, D.C.), September 11, 1839",http://www.loc.gov/resource/sn85025007/1839-09-11/ed-1/?sp=2,False,
improvised,1840-08-26,"Image 2 of Alexandria gazette (Alexandria, D.C.), August 26, 1840",http://www.loc.gov/resource/sn85025007/1840-08-26/ed-1/?sp=2,True," of the Imperial Ilarem failed not to pour into her willing ears, of the Pasha\u2019s wealth, influence, and great personal beauty. The sinking women improvised in his honor, with all the gorgeous hyperbole of the East\u2014 the mnssaldthes (professional story-tellers) told tales of his wisdom and valor that "
improvised,1841-01-23,"Image 2 of Baton-Rouge gazette (Baton-Rouge, La.), January 23, 1841, (French)",http://www.loc.gov/resource/sn82003383/1841-01-23/ed-2/?sp=2,False,
improvised,1841-02-06,"Image 1 of Baton-Rouge gazette (Baton-Rouge, La.), February 6, 1841, (French)",http://www.loc.gov/resource/sn82003383/1841-02-06/ed-2/?sp=1,False,
improvised,1841-05-08,"Image 2 of Baton-Rouge gazette (Baton-Rouge, La.), May 8, 1841, (French)",http://www.loc.gov/resource/sn82003383/1841-05-08/ed-2/?sp=2,False,
improvised,1841-05-27,"Image 3 of New-York tribune (New-York [N.Y.]), May 27, 1841",http://www.loc.gov/resource/sn83030212/1841-05-27/ed-1/?sp=3,False,
improvised,1841-06-12,"Image 4 of New-Hampshire statesman and state journal (Concord [N.H.]), June 12, 1841",http://www.loc.gov/resource/sn84022931/1841-06-12/ed-1/?sp=4,False,
improvised,1841-07-17,"Image 2 of The Polynesian (Honolulu (Oahu), Hawaii), July 17, 1841",http://www.loc.gov/resource/sn82015413/1841-07-17/ed-1/?sp=2,False,
improvised,1841-09-10,"Image 3 of Alexandria gazette (Alexandria, D.C.), September 10, 1841",http://www.loc.gov/resource/sn85025007/1841-09-10/ed-1/?sp=3,False,
