term,date,title,url,verified,snippet
stampede,1836-08-12,"Image 2 of The Arkansas advocate (Little Rock, A.T. [Ark.]), August 12, 1836",http://www.loc.gov/resource/sn87062070/1836-08-12/ed-1/?sp=2,True,"r zeal i and devotion. Boldly and bravely have we fought for j you\u2014and great has been our botheration and trouble\u2014 and after all you took a stampede, and rushed away from j us, leaving us to fight alone. Amen and so be it!\u201d And j then came a huge report. The patriotic victors had j brought fo"
stampede,1839-03-23,"Image 3 of New-Hampshire statesman and state journal (Concord [N.H.]), March 23, 1839",http://www.loc.gov/resource/sn84022931/1839-03-23/ed-1/?sp=3,True,"ber of horses and mules captured. On their return, however, a few Commanches stole si lently into the droves es horses while feeding at night, and by stampede, recaptlred the whole ex cept ninety- three horses, which the shrewd Castro, with ten of his warriors, had driven far in advance of the main company,"
stampede,1842-07-08,"Image 2 of Daily Cincinnati Republican (Cincinnati [Ohio]), July 8, 1842",http://www.loc.gov/resource/sn85025798/1842-07-08/ed-1/?sp=2,True,"e ir ofiWartf *u 1; \u25a0\u2022\u25a0-\u2022I .a: f \u00bbV. u! ;it a j-ub-' .i'ient jieriud nn less riiiu (f^idy seven Were u tnevutdy lost by one stampede. Nothing an exert! Ihe grnndeur of llie scene when a l;\u00bbrge uvnlludu or drove of home* mke ft \u2022\u2022scare.*' Old, wca'her* beaten, time wo"
stampede,1842-07-12,"Image 1 of Southern Argus (Columbus, Miss.), July 12, 1842",http://www.loc.gov/resource/sn83016884/1842-07-12/ed-1/?sp=1,True," that species of the fits and starts order so beau tifully given by the fair Fanny, in the ballet I have alluded to. Crossing of the Bosque A Regular Stampede, with its effects upon our Horses. After a little labor in cutting a road through the woods which skirts either side of the Bosque, and digging away "
stampede,1842-07-19,"Image 1 of Southern Argus (Columbus, Miss.), July 19, 1842",http://www.loc.gov/resource/sn83016884/1842-07-19/ed-1/?sp=1,True,"inity these hostile?, and at night strict or ders were given to the guard to be on the alert to prevent a surprise, or our horses and oxen from being stampeded and driven off. 1 he next day we made but live or six miles on our journey, and encamp ed near several mineral soring, the 1 waters of which were str"
stampede,1842-07-26,"Image 1 of Southern Argus (Columbus, Miss.), July 26, 1842",http://www.loc.gov/resource/sn83016884/1842-07-26/ed-1/?sp=1,True," passed--Arrival at a Fresh Wa ter River-Statement of the Mexican Carlos Great Rejoicing Out of Sugar, and Cojjic scarce Rainy JSight Serenade Wolves Stampede of Owls and of Oxen, uith other matters. For three day3 after leaving the Wakoe village our route was along the wide and fertile bottoms of the river"
stampede,1842-08-02,"Image 1 of Southern Argus (Columbus, Miss.), August 2, 1842",http://www.loc.gov/resource/sn83016884/1842-08-02/ed-1/?sp=1,True,"orses in camp; but this time they took themselves in, for F.'s horse was continually cutting up unseemly and extra \""shines, had frequently came near stampeding all our animals and.was worth but litltle after setting aside his tricks. To show how daring the Indians horse thieves were I have but to men tion th"
stampede,1842-08-23,"Image 1 of Southern Argus (Columbus, Miss.), August 23, 1842",http://www.loc.gov/resource/sn83016884/1842-08-23/ed-1/?sp=1,True,"dians. Several of the men had been killed by tiic Cayguas, and on one oc casion a party of thorn\"" rode directly tl. m rt -I. I t 1 iinuu 'u camp ami stampeded no les than eighty -seven horc which were never recovered. Under these cir-ojtnstance-i. and not hearing from our party a seon a we expected, the ofl"
stampede,1842-11-24,"Image 2 of Alexandria gazette (Alexandria, D.C.), November 24, 1842",http://www.loc.gov/resource/sn85025007/1842-11-24/ed-1/?sp=2,False,
stampede,1843-01-28,"Image 1 of The Port-Gibson correspondent (Port Gibson, Miss.), January 28, 1843",http://www.loc.gov/resource/sn83016954/1843-01-28/ed-1/?sp=1,True,"00ae blt ^un, Iwhi\u00f6h I- there termed a Kicking j h rolic. Never having attended one of j these hack-woods swarys\"" or perhaps we any call them \""stampedes\"" wiih more propriety, we were entirely at a j hiss as to thefr object, or the manner in which 'bey ar\u00ab carried on, until ive metj with the foll"
stampede,1843-02-17,"Image 4 of New-Hampshire statesman and state journal (Concord [N.H.]), February 17, 1843",http://www.loc.gov/resource/sn84022931/1843-02-17/ed-1/?sp=4,False,
stampede,1843-05-13,"Image 2 of The Cecil Whig (Elkton, Md.), May 13, 1843",http://www.loc.gov/resource/sn83016348/1843-05-13/ed-1/?sp=2,True,"eems now on the wane, since Otho began to kick in the traces, and show thntcren he has am bition, by the ability he has displuj\u2019ecl in causing a stampede in the camp; but he can scarcely ex pect that his family jars will he endorsed as party mare; or that the political sympathy of his party will cause "
stampede,1844-04-04,"Image 4 of Hill's New-Hampshire patriot (Concord, N.H.), April 4, 1844",http://www.loc.gov/resource/sn84022903/1844-04-04/ed-1/?sp=4,True,"vour Southron hosses couldnt hold a candle to Sleepy David Extracts from a Narrative of the Texan San= ta Fe Fxpedition. BY GEORGE WILKINS KENDALL. A STAMPEDE. j Nothinz can exceed the arandeur of the scene when a large cavallada, or drove of horses, takes a scare.\u201d Oid, weather-beaten, time-worn, and "
stampede,1844-05-25,"Image 2 of The New York herald (New York [N.Y.]), May 25, 1844",http://www.loc.gov/resource/sn83030313/1844-05-25/ed-1/?sp=2,True,"For defendant, T. Brady and G. Gilford. Court Calendar This Day. Circuit Court.?Nos. 1, 17, 60, 4, 6, 20, 36, 48, 42, 11, 33, 15, 16, 40, 28,21, 2. A Stampede!?A novel scene was enacted in our village last week. Some dealers from the West brought up a drove of horses, 30 or 40 in number, before the Mansion "
stampede,1844-05-27,"Image 3 of Daily national intelligencer (Washington City [D.C.]), May 27, 1844",http://www.loc.gov/resource/sn83026172/1844-05-27/ed-1/?sp=3,True,"n between some Winnebago Indians and the troops at Fort Atkinson, in which two of the Indians were killed. The particulars are not yet known.\u201d A Stampede.\u2014A novel scene was enacted in Syracuse, (New York,) last week. Some dealers from the West brought up a drove of horses, 30 or 40 in number, befo"
stampede,1844-06-14,"Image 1 of New-Hampshire statesman and state journal (Concord [N.H.]), June 14, 1844",http://www.loc.gov/resource/sn84022931/1844-06-14/ed-1/?sp=1,True,"etter until after the convention, he would not have been found out,\u201d and very possibly might have received the nomination. Providence Journal. A StamPEDE !\u2014A vovel scene was enacted in our village last week. Some dealers from the West brought up a drove of horses, 30 or 40 in number, before the Ma"
stampede,1844-07-20,"Image 2 of The daily Madisonian (Washington City [i.e. Washington, D.C.]), July 20, 1844",http://www.loc.gov/resource/sn84020074/1844-07-20/ed-1/?sp=2,True,"ankets, tinmunition, trinkets, &c to induce them to commitrav. ges oil our frontier. Eirly in this month the ui |ans were at Copano, and attempted to stampede a drove of mules belonging to Mr. Gourlay. Indian signals have been daily seen all along the coast. \""Pic Carancabuas are missing, and are suppose I "
stampede,1844-07-20,"Image 3 of Daily national intelligencer (Washington City [D.C.]), July 20, 1844",http://www.loc.gov/resource/sn83026172/1844-07-20/ed-1/?sp=3,True,"blankets, ammunition, trinkets, &c. to induce them to commit ravages on our frontier. Early in this month the Lipans were at Copano, and attempted to stampede a drove of mules be longing to Mr. Gourlay. Indian signals have been daily seen all along the coast. The Carancahuas are missing, and are supposed to"
stampede,1844-07-31,"Image 3 of Edgefield advertiser (Edgefield, S.C.), July 31, 1844",http://www.loc.gov/resource/sn84026897/1844-07-31/ed-1/?sp=3,True,"n type we have received the Madisonian of Wednes day afternoon, with the following notice issued by the Postmaster General: \""Printed newspapers duly stampede ad dressed toany part of Canada, andt marked by the sender via Boston, will not itn fo ture be liably to any charge for the con. veyance by packet. T"
stampede,1844-08-02,"Image 1 of Bloomington herald (Bloomington, I. T. [Iowa]), August 2, 1844",http://www.loc.gov/resource/sn85050801/1844-08-02/ed-1/?sp=1,True,"blankets, ammunition, trinket?, &c to induce them to commit ravages on our frontier. Ear ly in the month the Lipans were at Co pano, and attempted to stampede a drove of mules belonging to Mr. Gourlay. Iu dian signals have been daily seen all along the coast. The Carancahu^a are missing, and are suppos^tl t"
stampede,1844-09-14,"Image 2 of Grant County herald (Lancaster, W.T. [i.e. Wis.]), September 14, 1844",http://www.loc.gov/resource/sn87082160/1844-09-14/ed-1/?sp=2,False,
stampede,1844-09-27,"Image 2 of The Ottawa free trader (Ottawa, Ill.), September 27, 1844",http://www.loc.gov/resource/sn84038582/1844-09-27/ed-1/?sp=2,True,"ere lo run together a literal race on horseback, on the day of election, they would requiro a track at least one mi'e, wide. Hurrah for the political stampede Grant Coun ty Herald. In Hartford they are showing a negro, girl fourteen years of ago \""whose weight is five hundred pounds with arms as big as a ma"
stampede,1844-10-22,"Image 1 of The New Hampshire gazette (Portsmouth [N.H.]), October 22, 1844",http://www.loc.gov/resource/sn83025588/1844-10-22/ed-1/?sp=1,False,
stampede,1845-01-04,"Image 2 of Wisconsin herald, and Grant County advertiser (Lancaster, Wis.), January 4, 1845",http://www.loc.gov/resource/sn87082161/1845-01-04/ed-1/?sp=2,True,"make more music than a choir; 'That when be played, the very trees Hobbled cotillions on their kiioes; And that the maple, elm and oak Into a general stampede broke; Ths lady trees al! had their gallants. All promenade I To partners balance If faith in poets\u2019 tales be lawful, Tho way they shurid it dow"
stampede,1845-03-13,"Image 2 of Hawk-eye (Burlington, Iowa), March 13, 1845",http://www.loc.gov/resource/sn85049816/1845-03-13/ed-1/?sp=2,True,"tely out done, Vy the blowing hot snd 1,lowing cold, of the editorials on the Constitution. The panic continued to in crease\u2014it is IIMV like the Stampede o! dmught animal* in a prau ic caravan. Any Lj party stand with antlers thrown back and no.trils dilated, to catch the next freight of odors borne bv"
stampede,1845-03-21,"Image 1 of The Ottawa free trader (Ottawa, Ill.), March 21, 1845",http://www.loc.gov/resource/sn84038582/1845-03-21/ed-1/?sp=1,True," delecting the tracks of some of your horses, when the violent shying of my horse caused mc to raise my eyes. And, by George 1 it was enough to havo 'stampeded' a whole regiment of horse! On the left stood a verji tall skeletonlike figure, dressed in skins one foot advanced, as if ho had stopped in the act o"
stampede,1845-05-08,"Image 1 of Martinsburg gazette (Martinsburg, Va. [W. Va.]), May 8, 1845",http://www.loc.gov/resource/sn84038468/1845-05-08/ed-1/?sp=1,False,
stampede,1845-06-10,"Image 1 of American Republican and Baltimore daily clipper (Baltimore, Md.), June 10, 1845",http://www.loc.gov/resource/sn83009567/1845-06-10/ed-1/?sp=1,False,
stampede,1845-07-10,"Image 1 of Port-Gibson herald (Port Gibson, Miss.), July 10, 1845",http://www.loc.gov/resource/sn87090149/1845-07-10/ed-1/?sp=1,False,
stampede,1845-07-22,"Image 2 of Wheeling times and advertiser (Wheeling, Va. [W. Va.]), July 22, 1845",http://www.loc.gov/resource/sn84038585/1845-07-22/ed-1/?sp=2,False,
stampede,1845-08-14,"Image 1 of Indiana State sentinel (Indianapolis), August 14, 1845",http://www.loc.gov/resource/sn82015677/1845-08-14/ed-1/?sp=1,False,
stampede,1845-12-31,"Image 4 of The New era ([Portsmouth, Va.]), December 31, 1845",http://www.loc.gov/resource/sn86071753/1845-12-31/ed-1/?sp=4,False,
