word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,69,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
about,6,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
above,2,,3.212e-04,42,1780,3.343e-04,3.528e-04,0.910
absence,1,,4.972e-05,42,1780,4.989e-05,6.689e-05,0.743
accident,1,,2.925e-05,42,1780,2.656e-05,3.185e-05,0.918
acclivities,1,,1.307e-07,24,1798,3.409e-07,1.601e-07,0.816
account,1,,3.669e-04,42,1780,3.018e-04,2.475e-04,1.482
accustomed,1,,2.771e-05,42,1780,3.514e-05,2.524e-05,1.098
acquaintances,1,,2.473e-06,42,1780,4.442e-06,4.587e-06,0.539
acquiescence,1,,4.915e-06,42,1780,5.612e-06,4.250e-06,1.157
active,1,,4.950e-05,42,1780,6.209e-05,6.431e-05,0.770
actual,1,,4.990e-05,42,1780,6.374e-05,7.724e-05,0.646
added,1,,1.378e-04,42,1780,1.010e-04,1.001e-04,1.377
addicted,1,,4.538e-06,41,1780,4.146e-06,2.340e-06,1.940
admit,2,,7.097e-05,42,1780,7.029e-05,4.870e-05,1.457
advance,1,,4.138e-05,42,1780,5.350e-05,6.951e-05,0.595
advancing,1,,1.520e-05,42,1780,1.817e-05,1.560e-05,0.974
advantages,1,,6.628e-05,42,1780,6.099e-05,4.104e-05,1.615
affected,1,,5.766e-05,42,1780,5.579e-05,4.859e-05,1.187
after,4,,9.501e-04,42,1780,9.360e-04,9.191e-04,1.034
again,2,,2.795e-04,42,1780,3.366e-04,3.287e-04,0.850
all,11,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
allegany,1,proper,2.630e-06,36,1782,2.746e-06,1.346e-06,1.955
almost,2,,1.826e-04,42,1780,2.396e-04,2.373e-04,0.769
alone,1,,1.380e-04,42,1780,1.705e-04,1.527e-04,0.904
along,2,,9.738e-05,42,1780,1.153e-04,1.526e-04,0.638
already,1,,1.771e-04,42,1780,2.043e-04,1.916e-04,0.924
alternative,1,,1.109e-05,42,1780,1.000e-05,8.354e-06,1.328
although,1,,1.325e-04,42,1780,1.877e-04,1.769e-04,0.749
am,2,,4.508e-04,42,1780,3.551e-04,3.522e-04,1.280
among,5,,3.966e-04,42,1780,4.507e-04,3.721e-04,1.066
an,4,,2.969e-03,42,1780,2.959e-03,2.855e-03,1.040
and,106,,2.816e-02,42,1780,2.824e-02,2.700e-02,1.043
anecdote,1,,8.127e-06,42,1780,8.892e-06,4.725e-06,1.720
another,3,,4.298e-04,42,1780,4.525e-04,4.078e-04,1.054
anxiety,1,,2.085e-05,42,1780,2.749e-05,1.953e-05,1.068
anxious,1,,3.067e-05,42,1780,4.349e-05,3.335e-05,0.920
any,4,,2.178e-03,42,1780,1.839e-03,1.658e-03,1.314
apart,1,,1.705e-05,42,1780,2.492e-05,4.016e-05,0.425
apology,1,,1.557e-05,42,1780,1.390e-05,7.539e-06,2.065
apparently,1,,2.205e-05,42,1780,3.424e-05,4.565e-05,0.483
appearance,3,,1.219e-04,42,1780,1.212e-04,9.792e-05,1.244
appellation,1,,1.237e-05,42,1780,1.019e-05,3.799e-06,3.257
applied,1,,1.105e-04,42,1780,1.149e-04,1.078e-04,1.025
