word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,30,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
able,4,,1.729e-04,42,1780,1.631e-04,1.469e-04,1.177
about,4,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
above,1,,3.212e-04,42,1780,3.343e-04,3.528e-04,0.910
accep,1,,9.233e-08,26,1789,8.137e-08,3.875e-08,2.383
accept,5,,4.179e-05,42,1780,3.318e-05,4.307e-05,0.970
accompanied,1,,5.519e-05,42,1780,6.065e-05,4.806e-05,1.148
according,1,,2.918e-04,42,1780,2.598e-04,1.952e-04,1.495
act,1,proper,8.182e-04,42,1780,6.634e-04,6.375e-04,1.283
adams,1,proper,3.740e-05,42,1780,4.335e-05,4.629e-05,0.808
added,1,,1.378e-04,42,1780,1.010e-04,1.001e-04,1.377
address'd,1,,6.146e-07,32,1782,2.905e-07,1.281e-07,4.796
adherents,1,,6.862e-06,42,1780,6.299e-06,4.722e-06,1.453
advance,1,proper,4.138e-05,42,1780,5.350e-05,6.951e-05,0.595
advanced,2,,7.151e-05,42,1780,6.921e-05,6.078e-05,1.176
afford,1,proper,5.886e-05,42,1780,5.669e-05,3.918e-05,1.502
after,7,,9.501e-04,42,1780,9.360e-04,9.191e-04,1.034
against,3,,7.017e-04,42,1780,6.675e-04,5.705e-04,1.230
agan,1,,3.226e-08,20,1789,4.470e-08,6.600e-08,0.489
age,1,,1.958e-04,42,1780,2.072e-04,1.909e-04,1.025
agent,1,proper,5.283e-05,42,1780,7.998e-05,1.020e-04,0.518
ago,1,,5.291e-05,42,1780,6.192e-05,1.050e-04,0.504
agreed,2,,1.079e-04,42,1780,8.952e-05,9.177e-05,1.176
aid,1,,8.141e-05,42,1780,1.003e-04,1.048e-04,0.777
aiid,1,,9.380e-07,40,1781,3.504e-07,5.354e-07,1.752
alder,1,proper,1.532e-06,38,1781,8.755e-07,1.297e-06,1.182
all,4,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
also,2,,6.678e-04,42,1780,6.941e-04,7.343e-04,0.909
altercations,1,,7.642e-07,38,1782,4.571e-07,2.164e-07,3.531
am,6,,4.508e-04,42,1780,3.551e-04,3.522e-04,1.280
american,1,proper,1.784e-04,42,1780,1.952e-04,2.570e-04,0.694
americans,1,,3.976e-05,41,1780,2.648e-05,2.264e-05,1.756
amiable,1,,2.450e-05,42,1780,1.939e-05,8.395e-06,2.919
amis,1,,5.633e-07,37,1781,4.282e-07,4.449e-07,1.266
among,1,,3.966e-04,42,1780,4.507e-04,3.721e-04,1.066
amount,2,,1.400e-04,42,1780,2.273e-04,3.412e-04,0.410
an,4,,2.969e-03,42,1780,2.959e-03,2.855e-03,1.040
and,89,,2.816e-02,42,1780,2.824e-02,2.700e-02,1.043
andr,1,proper,5.222e-07,35,1781,3.241e-07,1.625e-07,3.214
andrew,6,,2.268e-05,42,1780,2.258e-05,2.515e-05,0.902
another,1,,4.298e-04,42,1780,4.525e-04,4.078e-04,1.054
anp,1,,2.211e-07,29,1784,9.528e-08,7.102e-08,3.113
answer,1,proper,1.781e-04,42,1780,1.843e-04,1.943e-04,0.916
anticipate,1,proper,5.893e-06,42,1780,9.565e-06,6.239e-06,0.945
any,6,,2.178e-03,42,1780,1.839e-03,1.658e-03,1.314
appears,1,,2.051e-04,42,1780,1.738e-04,1.265e-04,1.622
applied,1,,1.105e-04,42,1780,1.149e-04,1.078e-04,1.025
apply,1,,6.538e-05,42,1780,6.034e-05,5.931e-05,1.102
appoint,1,,5.821e-05,42,1780,3.531e-05,2.970e-05,1.960
appointed,2,,2.385e-04,42,1780,1.663e-04,1.430e-04,1.668
appointment,3,,6.249e-05,42,1780,5.294e-05,5.214e-05,1.198
archie,1,proper,6.398e-08,19,1785,1.175e-07,1.040e-06,0.062
archives,2,,5.173e-06,42,1780,4.486e-06,7.005e-06,0.738
are,12,,3.634e-03,42,1780,3.712e-03,3.504e-03,1.037
argue,1,proper,7.081e-06,42,1780,7.967e-06,6.123e-06,1.156
arrange,1,,6.080e-06,42,1780,7.426e-06,9.698e-06,0.627
arrangement,2,,3.659e-05,42,1780,4.439e-05,5.601e-05,0.653
arrival,1,,6.188e-05,42,1780,5.176e-05,3.733e-05,1.658
arrive,1,,2.936e-05,42,1780,2.470e-05,2.121e-05,1.384
arriving,1,,8.069e-06,42,1780,1.080e-05,1.296e-05,0.622
art,1,,1.519e-04,42,1780,1.602e-04,1.557e-04,0.976
article,2,,1.397e-04,42,1780,1.221e-04,1.227e-04,1.138
artists,1,proper,6.803e-06,40,1780,8.680e-06,1.298e-05,0.524
as,22,,6.231e-03,42,1780,6.448e-03,6.478e-03,0.962
association,1,proper,3.033e-05,41,1780,4.321e-05,1.060e-04,0.286
assure,1,,2.382e-05,42,1780,1.901e-05,1.313e-05,1.815
at,25,,3.874e-03,42,1780,3.970e-03,4.249e-03,0.912
attended,1,,1.065e-04,42,1780,8.429e-05,5.318e-05,2.002
attorney,1,,6.011e-05,42,1780,5.457e-05,6.873e-05,0.875
augustine,4,,6.681e-06,42,1780,9.690e-06,7.371e-06,0.906
aunt,1,proper,6.546e-06,41,1780,1.080e-05,1.996e-05,0.328
avail,1,,2.029e-05,42,1780,2.339e-05,1.790e-05,1.133
avoid,2,,4.909e-05,42,1780,4.752e-05,3.909e-05,1.256
