word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,79,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
abode,2,,1.595e-05,42,1780,1.731e-05,1.026e-05,1.554
about,6,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
above,2,,3.212e-04,42,1780,3.343e-04,3.528e-04,0.910
abrupt,1,,4.161e-06,42,1780,4.354e-06,4.795e-06,0.868
absence,1,,4.972e-05,42,1780,4.989e-05,6.689e-05,0.743
abstracting,1,,5.000e-07,32,1786,7.609e-07,4.911e-07,1.018
accompany,1,,1.800e-05,42,1780,1.748e-05,1.535e-05,1.173
according,1,,2.918e-04,42,1780,2.598e-04,1.952e-04,1.495
accordingly,1,,9.880e-05,42,1780,7.819e-05,5.000e-05,1.976
account,1,,3.669e-04,42,1780,3.018e-04,2.475e-04,1.482
accounts,2,,1.121e-04,42,1780,7.005e-05,5.760e-05,1.946
acknowledged,1,,4.427e-05,42,1780,4.261e-05,2.724e-05,1.625
actually,1,,5.731e-05,42,1780,6.309e-05,5.627e-05,1.018
added,1,,1.378e-04,42,1780,1.010e-04,1.001e-04,1.377
afar,1,,4.017e-06,38,1780,5.995e-06,4.886e-06,0.822
affecting,1,,1.750e-05,42,1780,2.057e-05,1.632e-05,1.072
affections,1,,3.570e-05,42,1780,4.766e-05,2.404e-05,1.485
afford,1,,5.886e-05,42,1780,5.669e-05,3.918e-05,1.502
after,1,,9.501e-04,42,1780,9.360e-04,9.191e-04,1.034
again,2,,2.795e-04,42,1780,3.366e-04,3.287e-04,0.850
against,3,,7.017e-04,42,1780,6.675e-04,5.705e-04,1.230
agree,1,,6.634e-05,42,1780,5.236e-05,5.247e-05,1.264
air,1,,1.664e-04,42,1780,1.591e-04,1.832e-04,0.909
alarmed,1,,1.792e-05,42,1780,1.655e-05,9.673e-06,1.852
all,9,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
alligator,1,,5.697e-07,31,1781,1.146e-06,1.118e-06,0.509
alone,3,,1.380e-04,42,1780,1.705e-04,1.527e-04,0.904
along,2,,9.738e-05,42,1780,1.153e-04,1.526e-04,0.638
already,1,,1.771e-04,42,1780,2.043e-04,1.916e-04,0.924
also,1,,6.678e-04,42,1780,6.941e-04,7.343e-04,0.909
altogether,2,,4.372e-05,42,1780,5.946e-05,4.862e-05,0.899
always,2,,2.769e-04,42,1780,2.771e-04,2.739e-04,1.011
am,2,,4.508e-04,42,1780,3.551e-04,3.522e-04,1.280
