word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,37,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
about,3,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
accident,1,,2.925e-05,42,1780,2.656e-05,3.185e-05,0.918
account,1,,3.669e-04,42,1780,3.018e-04,2.475e-04,1.482
acquaintance,3,,3.467e-05,42,1780,3.687e-05,2.573e-05,1.347
acquiring,1,,1.001e-05,42,1780,1.004e-05,6.978e-06,1.434
address,1,,7.503e-05,42,1780,6.375e-05,7.446e-05,1.008
adieu,1,,8.814e-06,41,1780,7.472e-06,4.108e-06,2.146
adjective,1,,2.772e-06,34,1780,4.119e-06,4.441e-06,0.624
advantages,1,,6.628e-05,42,1780,6.099e-05,4.104e-05,1.615
adverb,1,,1.254e-06,31,1785,1.435e-06,1.535e-06,0.817
advice,1,,6.153e-05,42,1780,4.452e-05,3.573e-05,1.722
affairs,2,,1.427e-04,42,1780,9.762e-05,9.233e-05,1.545
affectionate,2,,2.289e-05,42,1780,2.213e-05,1.060e-05,2.159
afford,1,,5.886e-05,42,1780,5.669e-05,3.918e-05,1.502
after,2,,9.501e-04,42,1780,9.360e-04,9.191e-04,1.034
afterwards,1,,1.622e-04,42,1780,1.432e-04,9.313e-05,1.741
again,1,,2.795e-04,42,1780,3.366e-04,3.287e-04,0.850
against,1,,7.017e-04,42,1780,6.675e-04,5.705e-04,1.230
age,2,,1.958e-04,42,1780,2.072e-04,1.909e-04,1.025
ago,1,,5.291e-05,42,1780,6.192e-05,1.050e-04,0.504
ague,1,,2.511e-06,41,1780,2.224e-06,2.101e-06,1.195
air,1,,1.664e-04,42,1780,1.591e-04,1.832e-04,0.909
airs,1,,4.983e-06,41,1780,5.018e-06,4.465e-06,1.116
all,7,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
alone,1,,1.380e-04,42,1780,1.705e-04,1.527e-04,0.904
also,2,,6.678e-04,42,1780,6.941e-04,7.343e-04,0.909
although,3,,1.325e-04,42,1780,1.877e-04,1.769e-04,0.749
altogether,2,,4.372e-05,42,1780,5.946e-05,4.862e-05,0.899
am,13,,4.508e-04,42,1780,3.551e-04,3.522e-04,1.280
ambition,1,,3.984e-05,42,1780,3.558e-05,2.045e-05,1.948
amends,1,,3.728e-06,42,1780,2.986e-06,2.151e-06,1.733
amiable,1,,2.450e-05,42,1780,1.939e-05,8.395e-06,2.919
among,1,,3.966e-04,42,1780,4.507e-04,3.721e-04,1.066
amusement,2,,1.414e-05,42,1780,1.655e-05,1.102e-05,1.283
an,10,,2.969e-03,42,1780,2.959e-03,2.855e-03,1.040
and,86,,2.816e-02,42,1780,2.824e-02,2.700e-02,1.043
andrews,1,proper,6.664e-06,42,1780,7.250e-06,1.107e-05,0.602
anniversary,1,,1.241e-05,42,1780,7.960e-06,7.328e-06,1.693
another,2,,4.298e-04,42,1780,4.525e-04,4.078e-04,1.054
answer,1,,1.781e-04,42,1780,1.843e-04,1.943e-04,0.916
anxiety,2,,2.085e-05,42,1780,2.749e-05,1.953e-05,1.068
anxious,1,,3.067e-05,42,1780,4.349e-05,3.335e-05,0.920
any,9,,2.178e-03,42,1780,1.839e-03,1.658e-03,1.314
appellation,1,,1.237e-05,42,1780,1.019e-05,3.799e-06,3.257
appointed,1,,2.385e-04,42,1780,1.663e-04,1.430e-04,1.668
apprize,1,,1.058e-06,38,1780,1.078e-06,1.983e-07,5.335
approve,1,,2.387e-05,42,1780,1.608e-05,1.116e-05,2.138
april,1,proper,1.567e-04,42,1780,1.053e-04,1.635e-04,0.959
arc,1,,4.231e-05,42,1780,1.905e-05,2.945e-05,1.437
archibald,1,proper,6.430e-06,42,1780,4.424e-06,3.691e-06,1.742
are,20,,3.634e-03,42,1780,3.712e-03,3.504e-03,1.037
around,1,,5.298e-05,42,1780,1.094e-04,1.244e-04,0.426
arrear,1,,2.783e-06,38,1780,2.240e-06,9.927e-07,2.803
arrival,1,,6.188e-05,42,1780,5.176e-05,3.733e-05,1.658
arrogance,1,,3.941e-06,42,1780,3.851e-06,2.279e-06,1.729
as,13,,6.231e-03,42,1780,6.448e-03,6.478e-03,0.962
ascribe,1,,8.545e-06,42,1780,7.997e-06,3.627e-06,2.356
aside,1,,4.091e-05,42,1780,4.730e-05,5.371e-05,0.762
assume,1,,1.912e-05,42,1780,2.720e-05,3.093e-05,0.618
assure,1,,2.382e-05,42,1780,1.901e-05,1.313e-05,1.815
at,11,,3.874e-03,42,1780,3.970e-03,4.249e-03,0.912
athletic,1,,1.436e-06,38,1783,1.915e-06,2.872e-06,0.500
atmosphere,1,,2.359e-05,42,1780,3.052e-05,3.175e-05,0.743
attainment,1,,7.561e-06,42,1780,8.398e-06,5.117e-06,1.478
attend,3,,8.233e-05,42,1780,5.953e-05,4.009e-05,2.054
attractions,1,,3.139e-06,39,1780,5.408e-06,5.482e-06,0.573
avoid,2,,4.909e-05,42,1780,4.752e-05,3.909e-05,1.256
away,2,,1.904e-04,42,1780,2.322e-04,2.452e-04,0.777
awkward,2,,3.665e-06,42,1780,5.476e-06,5.152e-06,0.711
b,2,,1.473e-04,42,1780,1.113e-04,1.655e-04,0.890
back,1,,1.375e-04,42,1780,1.811e-04,2.765e-04,0.497
bad,2,,7.731e-05,42,1780,7.842e-05,8.138e-05,0.950
bargain,1,,1.105e-05,41,1780,1.132e-05,8.845e-06,1.250
be,21,,8.153e-03,42,1780,7.276e-03,6.350e-03,1.284
bear,1,,9.484e-05,42,1780,1.045e-04,8.870e-05,1.069
become,3,,1.952e-04,42,1780,2.208e-04,2.108e-04,0.926
been,5,,2.056e-03,42,1780,2.339e-03,2.234e-03,0.921
befallen,1,,1.931e-06,39,1780,2.335e-06,1.736e-06,1.112
before,2,,9.457e-04,42,1780,9.351e-04,8.471e-04,1.116
beg,2,,4.095e-05,42,1780,2.949e-05,2.530e-05,1.618
began,2,,1.130e-04,42,1780,1.044e-04,1.084e-04,1.043
begin,2,,4.627e-05,42,1780,4.179e-05,4.432e-05,1.044
beginning,1,,9.397e-05,42,1780,7.639e-05,8.706e-05,1.079
begun,3,,2.975e-05,42,1780,2.640e-05,3.166e-05,0.940
behind,1,,5.588e-05,42,1780,6.656e-05,8.248e-05,0.677
being,1,,1.121e-03,42,1780,9.612e-04,8.729e-04,1.284
beings,1,,2.800e-05,42,1780,3.304e-05,1.873e-05,1.495
believe,2,,1.902e-04,42,1780,2.221e-04,1.796e-04,1.059
benefit,1,,8.199e-05,42,1780,9.562e-05,8.631e-05,0.950
beseech,2,,8.999e-06,42,1780,8.035e-06,3.789e-06,2.375
best,1,,2.374e-04,42,1780,2.573e-04,3.087e-04,0.769
better,1,,2.135e-04,42,1780,2.259e-04,2.452e-04,0.871
between,1,,4.937e-04,42,1780,5.028e-04,5.395e-04,0.915
beverley,2,,7.868e-07,34,1781,7.986e-07,6.427e-07,1.224
birds,1,,2.781e-05,42,1780,3.337e-05,4.645e-05,0.599
birth,1,,5.178e-05,42,1780,5.093e-05,4.008e-05,1.292
bizarre,1,proper,1.040e-07,24,1783,1.827e-07,3.599e-07,0.289
bless,4,,2.082e-05,42,1780,2.551e-05,1.664e-05,1.251
body,2,,2.979e-04,42,1780,3.004e-04,2.486e-04,1.198
boisterous,1,,2.138e-06,36,1780,2.979e-06,2.031e-06,1.052
books,2,,1.059e-04,42,1780,1.266e-04,1.547e-04,0.685
bore,1,,2.713e-05,42,1780,3.191e-05,3.057e-05,0.887
both,7,,4.471e-04,42,1780,4.405e-04,4.075e-04,1.097
bouldin,1,proper,1.272e-08,11,1800,1.097e-06,1.440e-07,0.088
bowen's,1,proper,0.000e+00,0,,0.000e+00,0.000e+00,
boy,1,,3.441e-05,42,1780,5.205e-05,7.634e-05,0.451
boyish,1,,7.792e-07,38,1781,1.578e-06,2.100e-06,0.371
boys,3,,1.900e-05,42,1780,3.093e-05,5.407e-05,0.351
breathe,1,,8.639e-06,42,1780,1.214e-05,9.210e-06,0.938
bring,1,,1.440e-04,42,1780,1.407e-04,1.183e-04,1.217
bringing,1,,3.497e-05,42,1780,3.612e-05,3.604e-05,0.970
broods,1,,4.757e-07,33,1781,8.708e-07,1.459e-06,0.326
brother,2,,1.141e-04,42,1780,1.181e-04,1.015e-04,1.124
brought,4,,2.812e-04,42,1780,2.718e-04,2.511e-04,1.120
brown,1,,6.471e-05,42,1780,7.513e-05,1.120e-04,0.578
bryan,1,,4.067e-06,40,1780,3.230e-06,5.177e-06,0.786
buona,8,proper,7.528e-08,22,1789,1.283e-07,7.308e-08,1.030
burden,1,,1.761e-05,42,1780,2.239e-05,2.739e-05,0.643
business,1,,1.966e-04,42,1780,1.917e-04,2.643e-04,0.744
but,17,,3.615e-03,42,1780,3.816e-03,3.321e-03,1.089
buy,1,,1.536e-05,42,1780,1.881e-05,2.853e-05,0.538
by,15,,6.917e-03,42,1780,6.706e-03,6.497e-03,1.065
c,2,,5.348e-04,42,1780,4.964e-04,3.429e-04,1.560
caesar,1,proper,1.599e-05,41,1780,1.809e-05,1.396e-05,1.146
call,1,,1.388e-04,42,1780,1.523e-04,1.489e-04,0.933
called,2,,4.286e-04,42,1780,4.393e-04,3.731e-04,1.149
calomel,1,,2.741e-06,31,1785,5.140e-06,3.216e-06,0.852
came,2,,2.544e-04,42,1780,2.703e-04,3.050e-04,0.834
campbell,1,proper,2.104e-05,42,1780,2.259e-05,2.569e-05,0.819
can,5,,1.244e-03,42,1780,1.346e-03,1.297e-03,0.959
candle,1,,7.047e-06,42,1780,7.647e-06,9.057e-06,0.778
candour,1,,1.269e-05,42,1780,5.764e-06,9.189e-07,13.811
cannot,1,,0.000e+00,0,,0.000e+00,0.000e+00,
care,1,,1.740e-04,42,1780,1.460e-04,1.549e-04,1.123
carlo,1,,9.469e-07,33,1782,1.013e-06,1.374e-06,0.689
cause,1,,3.338e-04,42,1780,3.390e-04,2.669e-04,1.250
caused,1,,4.194e-05,42,1780,5.519e-05,7.663e-05,0.547
caution,1,,2.152e-05,42,1780,1.859e-05,1.267e-05,1.699
changed,1,,4.365e-05,42,1780,5.265e-05,6.046e-05,0.722
character,3,,2.404e-04,42,1780,3.360e-04,2.550e-04,0.943
characterizes,1,,1.171e-06,36,1782,2.307e-06,2.667e-06,0.439
charmed,1,,3.847e-06,41,1780,4.565e-06,4.201e-06,0.916
chatham's,1,proper,0.000e+00,0,,0.000e+00,0.000e+00,
chewing,1,,7.839e-07,36,1781,9.209e-07,1.484e-06,0.528
child,1,,1.104e-04,42,1780,1.287e-04,1.500e-04,0.736
children,3,,2.245e-04,42,1780,2.561e-04,2.439e-04,0.920
choice,1,,5.968e-05,42,1780,4.782e-05,3.949e-05,1.511
choose,1,,3.692e-05,42,1780,3.627e-05,2.707e-05,1.364
circumstance,1,,7.506e-05,42,1780,6.651e-05,2.820e-05,2.661
city,1,,3.057e-04,42,1780,3.389e-04,5.155e-04,0.593
clay,2,,2.594e-05,42,1780,4.541e-05,4.536e-05,0.572
clay's,1,,0.000e+00,0,,0.000e+00,0.000e+00,
cloudy,1,,3.835e-06,42,1780,3.573e-06,5.120e-06,0.749
clumsiness,1,,7.283e-08,24,1798,1.542e-07,2.317e-07,0.314
coles,1,,2.970e-06,33,1786,2.459e-06,1.369e-06,2.169
come,2,,3.187e-04,42,1780,3.529e-04,3.626e-04,0.879
coming,1,,7.824e-05,42,1780,8.563e-05,1.032e-04,0.758
communicate,1,,2.938e-05,42,1780,2.420e-05,1.467e-05,2.003
compare,1,,1.696e-05,42,1780,2.168e-05,2.373e-05,0.715
comparison,1,,2.667e-05,42,1780,3.369e-05,3.460e-05,0.771
compelled,1,,3.572e-05,42,1780,5.291e-05,4.790e-05,0.746
complaint,1,,3.796e-05,42,1780,3.576e-05,4.957e-05,0.766
completely,1,,3.561e-05,42,1780,4.331e-05,4.176e-05,0.853
compliments,1,,1.166e-05,42,1780,5.765e-06,4.050e-06,2.880
composing,1,,7.238e-06,42,1780,8.188e-06,7.092e-06,1.021
con,1,,7.159e-05,42,1780,4.550e-05,3.716e-05,1.926
conceit,2,,4.821e-06,41,1780,4.326e-06,3.490e-06,1.381
conceive,2,,4.776e-05,42,1780,3.653e-05,1.830e-05,2.611
concern,2,,4.093e-05,42,1780,3.034e-05,1.856e-05,2.205
confess,2,,2.829e-05,42,1780,3.040e-05,1.991e-05,1.421
